type,full_details,area,price
SPARKLING,"MOUSSE’ FILS-SPECIAL CLUB MEUNIER LES FORTES TERRES BLANC DE NOIRS - 2018 – (0,75l) Champagne,Francia, 100% Pinot Meunier, 12% Vol.",,€ 240.00
SPARKLING,"MOUZON LEROUX – L’ATAVIQUE EXTRA BRUT GRAND CRU – (0.75l)-Champagne, Francia, 60% Pinot Noir, 40% Chardonnay, 12% Vol.",2-1,€ 110.00
SPARKLING,"MOUZON LEROUX & FILS - L’ASCENDANT SOLERA EXTRA BRUT GRAND CRU - (0,75l) Champagne, Francia, 40% Chardonnay, 60% Pinot Nero, 12,5% Vol.",,€ 160.00
SPARKLING,"MOUZON LEROUX & FILS - L’INCANDESCENT ROSE’ DE SAIGNEE EXTRA BRUT - (0,75l)-------Champagne, Francia, 100% Pinot Nero, 12% Vol.",,€ 150.00
SPARKLING,"MOUZON LEROUX & FILS - L’INEFFABLE EXTRA BRUT-BLANC DE NOIRS GRAND CRU – (0,75l) Champagne, Francia, 100% Pinot Nero, 12% Vol.",,€ 210.00
SPARKLING,"MOUZON LEROUX & FILS – L’ANGELIQUE EXTRA BRUT-BLANC DE BLANC GRAND CRU - (0,75l)- Champagne, Francia, 100% Chardonnay, 12,% Vol.",,€ 210.00
SPARKLING,"MOUZON LEROUX & FILS – OPINIATRE EXTRA BRUT-BLANC DE BLANCS GRAND CRU - (0,75l)-Champagne, Francia, 100% Chardonnay, 12,5% Vol.",,€ 300.00
SPARKLING,"NICOLAS MAILLART-MONTCHENOT BLANC DE NOIRS EXTRA BRUT – 2018 (0,75l) Reims,Francia, 85% Pinot Nero, 15% Pinot Meunier, 12,5% Vol.",,€ 175.00
SPARKLING,"NICOLAS MAILLART-PLATINE PREMIER CRU EXTRA BRUT – (0,75l) Reims,Francia, 54% Pinot Nero, 20% Pinot Meunier, 26% Chardonnay, 12,5% Vol.",,€ 110.00
SPARKLING,"PALMERS & CO. - BLANC DE NOIR – (0,75l) Reims, Francia, 50% Pinot Noir, 50% Pinot Meunier, 12% Vol. ",2-1,€ 160.00
SPARKLING,"PALMERS & CO. - ROSE’ SOLERA – (0,75l)Reims, Francia, 42,5% Chardonnay, 34% Pinot Noir, 8,5% Pinot Meunier, 15% Pinot Nero Riserva Solera, 12% Vol.",2-1,€ 125.00
SPARKLING,"PERTOIS-MORISET-PM 05 EXTRA BRUT GRAND CRU - ( 0,75l) Champagne, Francia, 100% Chardonnat, 12,5% Vol.",,€ 150.00
SPARKLING,"PHILIPPONNAT-CLOS GOISSES EXTRA BRUT – 2013 (0,75l) Champagne, Francia, 85% Pinot Nero, 15% Chardonnay, 12,5% Vol",,€ 510.00
SPARKLING,"PHILIPPONNAT - MOON IMPORT PREMIER CRU (0,75l) Champagne, Francia, 100% Pinot Nero, 12,5% Vol.-150",,€ 150.00
SPARKLING,"PHILIPPONNAT - ROYALE RÉSERVE NON DOSÉ (0,75l)
 Champagne, Francia, 65% Pinot Nero, 30% Chardonnay, 5% Pinot M., 12,5% Vol.",1-1,€ 100.00
SPARKLING,"PHILIPPONNAT– ROYALE RÉSERVE BRUT (0,75l)
Champagne, Francia, 65% Pinot Nero, 30% Chardonnay, 5% Pinot Meunier, 12% Vol.",1-1,€ 100.00
SPARKLING,"PIERRE BRIGANDAT – PINOT NOIR BRUT NATURE (0.75l)
 Champagne Francia, 100% Pinot Nero, 12% Vol.",1-3,€ 70.00
SPARKLING,"R. & L. LEGRAS – BRUT BLANC DE BLANC-GRAND CRU (0.75l) Champagne Francia, 100% Chardonnay , 12% Vol.",1-2,€ 110.00
SPARKLING,"RUINART – BRUT ROSE' – (0,75l)
 Francia, 55% Pinot Noir, 45% Chardonnay, 12,5% Vol.",2-1,€ 180.00
SPARKLING,"SADI MALOT – LES GOISSES EXTRA BRUT GRAND CRU BLANC DE NOIRS – (O,75l)-Reims, Francia, 100% Pinot Noir, 12% Vol.-- € 115,00",,€ 160.00
SPARKLING,"VINCENT COUCHE – DOSAGE ZERO NATURE (0.75l)
Champagne Francia, 65% Pinot Nero 34% Chardonnay, 12,5% Vol.",1-3,€ 90.00
SPARKLING,"VINCENT COUCHE – DOSAGE ZERO NATURE (1,5l)
Champagne Francia, 65% Pinot Nero 34% Chardonnay, 12,5% Vol.",3-1,€ 190.00
SPARKLING,"WARIS LARMANDIER – CUVEE RACINES DE TROIS BRUT (0.75l)
Champagne Francia, 30% Pinot Nero, 60% Chardonnay, 10% Pinot Menier 12% Vol.",1-5,€ 110.00
ROSE,"DOMIZIANO – ARILA' NEGROAMARO ROSE' I.G.P. - 2021 (0,75l) 100% Negroamaro, 13%",3-3,€ 25.00
ROSE,"DOMIZIANO – NEGROAMARO ROSATO SALENTO ARILA'-- 2021 (0,75l) Rosato
 90% Negroamaro, 10% Malvasia nera, 12,5% Vol.",SCAFFALE ,€ 25.00
ROSE,"FEUDI DI SAN GREGORIO - VISIONE ROSATO I.G.T.– 2022 (0,75l)
 100% Aglianico, 12,5% Vol.",3-3,€ 30.00
ROSE,"FRANCESCO POLI – SCHIAVA BIO IGT – 2021 (0,75l) Rosato
 100% Schiava, 11,5% Vol.",FRIGO MESCITA,€ 30.00
ROSE,"GUIDO F. FENDI-CHICCA ROSATO - 2021 (0,75l) Toscana, Grenake, Syrah, 13% Vol.",,€ 90.00
ROSE,"HIBISCUS – ISOLA ROSATO IGT-- 2021 (0,75l)
100% Nero d'Avola, 12% Vol.",3-3,€ 45.00
ROSE,"MONGARDA – ROSATO DI PINOT GRIGIO I.G.T. - (0,75l) NATURALE- 100% Pinot Grigio, 12% Vol.",SCAFFALE ,€ 35.00
ROSE,"YVAN BERNARD-PET NAT ROSE’ 54-55 - (0,75l) Auvergne, Francia, 100% Gamay, 11% Vol.",,€ 50.00
WHITE,"ANSELMI - CAPITEL-CROCE I.G.T. - 2021 (0,75l)-100% Garganega, 12,5 Vol. ",4-3,€ 40.00
WHITE,"ANSELMI – CAPITEL FOSCARINO I.G.T. - 2022 (0,75l)-90% Garganega, 10% Chardonnay, 12,5 Vol. ",4-3,€ 40.00
WHITE,"ANSELMI – SAN VINCENZO VENETO I.G.T. - 2022 (0,75l)-70% Garganega, 30% Chardonnay e Sauvignon, 13% Vol.",4-3,€ 30.00
WHITE,"ANTICA MASSERIA VENDITTI – FALANGHINA DEL SANNIO – 2019-(0,75l)
 100% Falanghina, 13% Vol.",3-3,€ 30.00
WHITE,"BORGO PAGLIANETTO – VERDICCHIO DI MATELICA D.O.C. VERTIS 2019/20 – (0.75l)-100% Verdicchio, 13,5% ",4-4 + SCATOLA,€ 45.00
WHITE,"CA LOJERA – LUGANA D.O.C. - 2022 (0,75l)
100% Lugana, 13% Vol.",4-3,€ 35.00
WHITE,"CA' DI GAL,MOS – ATO D'ASTI LUMINE-- 2022 (0,75l)-100% Moscato bianco, 5% Vol. ",4.2,€ 35.00
WHITE,"CANTINA MARILINA – GRECANICO SKETTA BIO-- 2021 (0,75l)
100% Grecanico, 12,5% Vol.",3-3,€ 35.00
WHITE,"CASTELLO DI AMA – AL POGGIO I.G.T. – 2022 (0,75l)
-100% Chardonnay, 13,5% Vol.",4-3,€ 50.00
WHITE,"CAVE MONT BLANC – BLANC DE MORGEX ET DE LA SALLE-- 2022 (0,75l)
 100% Priè Blanc de Morgex, 11,5% Vol.",4-1,€ 35.00
WHITE,"CERETTO – LANGHE D.O.C. ARNEIS BLANGE' – 2022 (0,75l) 
 100% Arneis, 13% Vol.",4-4,€ 38.00
WHITE,"COLTERENZIO – CHARDONNAY D.O.C. LAFÓA – 2021 -(0,75l)-100% Chardonnay, 13,5% Vol. ",4-2,€ 50.00
WHITE,"COLTERENZIO – GEWÜRZTRAMINER D.O.C. PERELISE – 2022 -(0,75l) 100%-Gewürztraminer, 14,5% Vol.",4-2,€ 35.00
WHITE,"COLTERENZIO – MOSCATO GIALLO D.O.C. PFEFFERER 2022 – (0,75l) 100% Moscato Giallo, 12,5% Vol.",FRIGO MESCITA,€ 25.00
WHITE,"COLTERENZIO – PINOT BIANCO D.O.C. BERG – 2020 – (0,75l) 100% Pinot Bianco, 13,5% Vol.",FRIGO MESCITA E 4-2,€ 35.00
WHITE,"COLTERENZIO – SAUVIGNON D.O.C. LAFÓA – 2021 -(0,75l)-100% Sauvignon Blanc, 14% Vol.",4-2,€ 50.00
WHITE,"DRAGA – FRIULANO COLLIO - (0,75l)
100% Friulano, 13,5% Vol.",4-3,€ 30.00
WHITE,"ENRICO SERAFINO – GAVI - GRIFO DEL QUARTARO D.O.C.G.. - 2022-(0,75l)
 100% Cortese, 12,5% Vol.",4-4,€ 45.00
WHITE,"FERRANDES – PASSITO PANTELLERIA – 2018 (0,75l)
 100% Zibibbo, 14,5% Vol.",4-4,€ 70.00
WHITE,"FEUDI DI SAN GREGORIO – GRECO DI TUFO CUTIZZI D.O.C.G. – 2022 (0,75l)
-100% Greco di Tufo, 13% Vol.",3-3,€ 35.00
WHITE,"FRANCESCO INTORCIA – HERITAGE PASSITO I.G.T. SICILIA (0,75l)-100% Moscato d'Alessandria, 16% Vol. ",4-4,€ 40.00
WHITE,"FRATELLI MURARO – PINOT GRIGIO DELLE VENEZIE D.O.C. - 2021 (0,75l)
 100% Pinot grigio, 13% Vol.",FRIGO MESCITA,€ 30.00
WHITE,"GIUSEPPE CORTESE – CHARDONNAY SCAPULIN LANCHE D.O.C. - (0,75l)-100% Chardonnay, 14% Vol.",4-4 + SCATOLA,€ 45.00
WHITE,"GRAVNER – RIBOLLA I.G.T. 2015 – (0,75l)
100% Ribolla Gialla, 13,5% Vol.",2-3,€ 180.00
WHITE,"GRILLO IOLE – RIBOLLA GIALLA D.O.C. 2021 - (0,75l)
 100%-Ribolla Gialla, 12,5% Vol.",4-3,€ 30.00
WHITE,"GUIDO F.FENDI- VERMENTINO BURATTINI – 2019 (0,75l) 100% Vermentino, 13,5% Vol.",,€ 50.00
WHITE,"GUIDO F.FENDI-VERMENTINO MAREMMA TOSCACA ‘CHICCA’ – 2020 (0,75l) 100% Vermentino, 13,% Vol.",,€ 45.00
WHITE,"HARTMANN DONA' – PINOT BLANC D.O.C. - 2021 (0,75l)-100%-Pinot Bianco, 12,5% Vol. ",4-2,€ 40.00
WHITE,"INAMA – SOAVE CLASSICO D.O.C. 'VIN SOAVE' - 2022 (0,75l)
 100% Garganega, 12% Vol.",4-4,€ 30.00
WHITE,"INAMA – VENETO CHARDONNAY- 2021 (0,75l)
 100%-Chardonnay, 13% Vol.",4-3,€ 25.00
WHITE,"INAMA – VULCAIA FUME' SAUVIGNON DEL VENETO - 2021 (0,75l)
 100% Sauvignon, 14% Vol.",4-3,€ 65.00
WHITE,"INAMA – VULCAIA SAUVIGNON DEL VENETO - 2022 (0,75l)
 100%-Sauvignon, 13% Vol.",4-3,€ 30.00
WHITE,"J. HOFSTÄTTER – GEWÜRZTRAMINER-'KOLBENHOF' RISERVA- 2021 (0,75l)
 100%-Gewürztraminer, 14,5% Vol.",4-1,€ 65.00
WHITE,"J. HOFSTÄTTER – GEWÜRZTRAMINER JOSEPH D.O.C. - 2022 (0,75l) 
 100%-Gewürztraminer, 13,5% Vol.",4-1,€ 35.00
WHITE,"LA COLOMBERA – TIMORASSO COLLI TORTONESI D.O.C. DERTHONA (0,75l) NATURALE
100% Timorasso, 14% Vol",SCAFFALE ,€ 40.00
WHITE,"LA FRASSINA – LISON D.O.C.G. - 2020 (0,75l)
 Tai, Tocai, 13% Vol.",FRIGO MESCITA,€ 25.00
WHITE,"LE BATTISTELLE – SOAVE CLASSICO D.O.C. - 2021 (0,75l)
Garganega. 14,8% Vol",4-3,€ 30.00
WHITE,"LES CRETES – CHARDONNAY CUVÉE BOIS – 2021 (0,75l)-100% Chardonnay, 14% Vol.",,€ 80.00
WHITE,"LES CRETES – CHARDONNAY LES CRETES – (0,75l)-100% Chardonnay, 14,5% Vol. ",,€ 35.00
WHITE,"LES CRETES – PETITE ARVINE – 2022 (0,75l)-100% Petite Arvine, 14% Vol.",,€ 35.00
WHITE,"MAELI – MOSCATO FRIZZANTE DILI' I.G.T. – (0,75l) NATURALE 100% Moscato Giallo, 12% Vol.",SCAFFALE ,€ 30.00
WHITE,"MARCO SARA – RIBOLLA GIALLA D.O.C. BIO – (0,75l) NATURALE
 100% Ribolla Gialla, 12,5% Vol.",SCAFFALE ,€ 38.00
WHITE,"MASARI – AGNOBIANCO VENETO I.G.T. - 2021 (0,75l)
 60% Riesling, 20% Durella, 20% Garganega , 12,5% Vol.",FRIGO MESCITA,€ 30.00
WHITE,"MASUT DA RIVE – FRIULANO ISONZO D.O.C. - 2022 (0,75l)-100% Friulano, 13% Vol.",4-3,€ 35.00
WHITE,"MASUT DA RIVE – SAUVIGNON BLANC ISONZO – 2022 (0,75l)-100% Sauvignon, 13,5% Vol.",4-3,€ 35.00
WHITE,"MICHELUTTI – FRIULANO COLLI ORIENTALI D.O.C. - 2021 (0,75l)-100% Friulano, 15% Vol. ",4-4 + SCATOLA,€ 35.00
WHITE,"PARASCHOS-NOT IGT - 2020 (0,75l) 100% Pinot Grigio, 14% Vol.",,€ 55.00
WHITE,"PATRIZIA CADORE – LUGANA D.O.C. - 2022 (0,75l) 100% Turbiana, 13% Vol.",,€ 30.00
WHITE,"PIEROPAN – SOAVE CLASSICO-– 2022 (0,75l)
 85% Garganega, 15% Trebbiano di Soave 12% Vol.",FRIGO MESCITA,€ 30.00
WHITE,"PIEROPAN – SOAVE CLASSICO IL CALVARINO 50° ANNIVERSARIO – 2021 (0,75l)
 100% Garganega, 12,5% Vol.",4-1,€ 45.00
WHITE,"PIEROPAN – SOAVE CLASSICO LA ROCCA – 2021 (0,75l)
 100% Garganega, 13% Vol.",4-4,€ 65.00
WHITE,"PIEVALTA – VERDICCHIO CASTELLI DI JESI CLASSICO SUPERIORE DOMINE' D.O.C. BIO-- 2020 (0,75l)
 100% Verdicchio, 13% Vol.",3-3,€ 30.00
WHITE,"PODERE GIARDINO – MALVASIA DELL'EMILIA I.G.P. METODO ANCESTRALE (0,75l) NATURALE
 100% Malvasia di Candia Aromatica,-11,5% Vol.",SCAFFALE ,€ 30.00
WHITE,"QUADRO REPETTO – DERTHONA – 2020-(0,75l)-100% Timorasso. 12,5% Vol.",3-3,€ 40.00
WHITE,"RENATO BOVERI VIGNAIOLO - DERTHONA TIMORASSO - 2019 (0,75l) 100% Timorasso, 13,5% Vol.",,€ 45.00
WHITE,"SARAJA – VERMENTINO DI-GALLURA KRAMORI D.O.C.G. SUPERIORE-2021-(0,75l) 100% Vermentino, 14,5% Vol.",3-3,€ 35.00
WHITE,"SARAJA – VERMENTINO DI GALLURA KRAMORI D.O.C.G. SUPERIORE --2021 (1,5l)-100% Vermentino, 14,5% Vol",,€ 65.00
WHITE,"SARAJA – VERMENTINO DI GALLURA TARRA NOA D.O.C.G. - 2022 (0,75l) 100% Vermentino, 13% Vol.",3-3,€ 30.00
WHITE,"STRASSERHOF – GRÜNER VELTLINER VALLE ISARCO – 2022 (0,75l)-100% Grüner Velrlinerr, 14% Vol.",,€ 35.00
WHITE,"STRASSERHOF – RIESLING A.A. VALLE ISARCO D.O.C. - 2022 (0,75l)-100% Riesling, 12,5% Vol ",,€ 45.00
WHITE,"STRASSERHOF – SYLVANER VALLE ISARCO – 2022 (0,75l) 100% Sylvaner, 14% Vol.",,€ 45.00
WHITE,"TASCA D'ALMERITA – CAVALLO DELLE FATE GRILLO D.O.C. - 2022 – 2022 (0,75l)
 100% Grillo, 13,5% Vol.",SOPRA FRIGO 1,€ 30.00
WHITE,"TASCA D'ALMERITA – CHARDONNAY VIGNA SAN FRANCESCO – 2020 (0,75l)
 100% Chardonnay, 14% Vol.",SOPRA FRIGO 1,€ 75.00
WHITE,"TASCA D'ALMERITA – DYDIME MALVASIA I.G.T. SALINA – 2022 (0,75l)
100% Malvasia, 13,5% Vol.",SOPRA FRIGO 1,€ 45.00
WHITE,"TASCA D'ALMERITA – GUARNACCIO PERRICONE D.O.C. - 2020 (0,75l)
 100% Perricone, 13% Vol.",SOPRA FRIGO 1,€ 25.00
WHITE,"TASCA D'ALMERITA – NOZZE D'ORO D.O.C. – 2020 (0,75l)
68% Inzolia, 32% Sauvignon, 12,5% Vol.",SOPRA FRIGO 1,€ 45.00
WHITE,"TENUTA KLOSTERHOF – ACAPELLA PINOT BIANCO – (0,75l) NATURALE
 100% Pinot Bianco, 13% Vol.",SCAFFALE ,€ 35.00
WHITE,"TENUTA ROTTENSTEINER – GEWÜRZTRAMINER D.O.C. - 2022 (0,75l)
 100%-Gewürztraminer, 14,5% Vol.",FRIGO MESCITA,€ 30.00
WHITE,"VIGNAMATO – CASTELLI DI JESI CLASSICO SUPERIORE D.O.C.-- 2021 (0,75l)
 100% Verdicchio, 12% Vol.",3,€ 30.00
WHITE,"VIGNETI MASSA – DERTHONA Tappo a Vite – 2021 (0,75l)
100% Timorasso, 13% Vol.",3-3,€ 40.00
WHITE,"ALPHONSE MELLOT-LES ROMAINS SANCERRE BLANC VIELLES VIGNES – 2021-(0,75l) Valle della Loira, Francia, 100% Sauvignon, 13% Vol.",,€ 150.00
WHITE,"ALPHONSE MELLOT – SANCERRE LA MOUSSIÉRE – 2021-(0,75l)
Valle della Loira, Francia, 100% Sauvignon, 13% Vol.",3-2,€ 85.00
WHITE,"BASSERMAN JORDAM –-RIESLING FORST – 2020 (0.75l)
Germania, 100% Riesling, 12% Vol.",3-2,€ 50.00
WHITE,"BISHOP'S LEAP – SAUVIGNON BLANC-- 2021 (0,75l)-Malborough, Nuova Zelanda,-100% Sauvignon blanc, 12,5% Vol. ",FRIGO MESCITA,€ 35.00
WHITE," BLANCHO - CHABLIS GRAND CRU – 2020 (0,75l) Borgogna , Francia, 100% Chardonnay, 13% Vol.",,€ 150.00
WHITE," VAILLONS - CHABLIS PREMIER CRU 2003 (0,75l) Borgogna , Francia, 100% Chardonnay, 13% Vol.",,€ 170.00
WHITE,"OPOKA - CHARDONNAY  – 2020 (0,75l) Slovenia,-100% Chardonnay, 14% Vol.",,€ 90.00
WHITE,"CHATEAU GRAVAS – SAUTERNES – 2019 (0,75l)
Bordeaux, Francia, 65% Semillon, 35% Sauvignon, 13% Vol.",3-2,€ 45.00
WHITE,"CHATEAU SUDUIRAUT – CASTELNAU-DE SUDUIRAUT SAUTERNES- 2016 (0,75l)-Bordeaux, Francia, 96% Semillon 4% Sauvignon,-13,5% Vol.",3-2,€ 60.00
WHITE,"CHAUDE ECUELLE --CHABLIS – 2020 (0,75l)
Borgogna , Francia, 100% Chardonnay, 12,5% Vol.",3-1,€ 60.00
WHITE,"CLOUS DU MOULIN AUX MOINES – BOURGOGNE ALIGOTE' – 2021 (0,75l)-Borgogna, Francia, 100% Aligotè ",3-1,€ 60.00
WHITE,"DENIS JEANDEAU-VIELLES VIGNES POULLY-FUISSE’ – 2020 (0,75l) Borgogna, Francia, 100% Chardonnay, 13% Vol.",,€ 110.00
WHITE,"DIDIER DAGUENEAU – BUISSON RENARD – 2019 (0,75l)-Francia, 100% Sauvignon, 13,5% Vol.",,€ 350.00
WHITE,"DIDIER DAGUENEAU – SILEX POULLY FUME’ – 2020 (0,75l) Francia, 100% Sauvignon, 12,5% Vol.",,€ 350.00
WHITE,"DOMAIN HOUCHART – COTES DE PROVENCE TRADITION ROSE' – 2022 (0,75l)-Provenza, Francia, Grenache, Cinsault, Syrah, Cabernet Sauvignon, 13% Vol.",3-2,€ 30.00
WHITE,"DOMAINE BOUCHIE' - POULLY-FUME' LA RENARDIERE – 2021-(0,75l) Valle della Loira, Francia, 100% Sauvignon, 13% Vol.",3-1,€ 55.00
WHITE,"DOMAINE D’ELISE- CHABLIS PREMIER CRU COTE DE LECHET – 2021 (0,75l) Borgogna, Francia, 100% Chardonnay, 12,5% Vol.",,€ 75.00
WHITE,"DOMAINE DE BEAUMONT-VOUVRAY SEC DE LES PROMENARDS – 2020 (0,75l) Valle della Loira 100% Chenin Blanc, 13% Vol.65",,€ 65.00
WHITE,"DOMAINE DE BEL AIR – POULLY-FUME' – 2021 (0,75l)
Loria, Francia, 100% Sauvignon Blanc, 13,5% Vol.",3-1,€ 50.00
WHITE,"DOMAINE DELAPORTE -SANCERRE CHAVIGNOL BLANC – 2022 (0.75l)
 Valle della Loira, Francia, 100% Sauvignon Blanc, 13,5% Vol.",3-1,€ 75.00
WHITE,"DOMAINE MIA - BOURGOGNE CHARDONNAY – 2020 (0,75l) Borgogna, Francia, 100% Chardonnay, 13% Vol.",,€ 80.00
WHITE,"DOMAINE PHILIPPE CHAVY-BOURGOGNE CHARDONNAY-– 2021 (0.75l) Borgogna, Francia, 100% Chardonnay, 13,5% Vol.",,€ 100.00
WHITE,"DOMAINE PHILIPPE CHAVY-MERSAULT VIELLES VIGNES-– 2021 (0.75l) Borgogna, Francia, 100% Chardonnay, 13% Vol.",,€ 230.00
WHITE,"DOMAINE SEBASTIEN DAMPT – CHABLIS PREMIER CRU COTE DE LECHET – 2021 (0,75l)-Borgogna, Francia, 100% Chardonnay, 13% Vol.",3-1,€ 90.00
WHITE,"DOMAINE SERVIN-CHABLIS SÉLECTION MASSALE – 2020 (0,75l) Borgogna , Francia, 100% Chardonnay, 13% Vol.",,€ 80.00
WHITE,"DOMAINE SERVIN --CHABLIS – 2020 (0,75l)
Borgogna , Francia, 100% Chardonnay, 12,5% Vol.",3-1,€ 60.00
WHITE,"DOMAINE YVON & LAURENT VOCORET-CHABLIS PREMIER CRU-FOURCHAUME – 2021 (0,75l) Borgogna, Francia, 100% Chardonnay, 13% Vol.",,€ 85.00
WHITE,"DURRBACH MOIN – BOURGOGNE ALIGOTE' (0,75l)
 Borgogna, Francia, 100% Aligotè, 12,5% Vol.",,€ 65.00
WHITE,"FRANCOIS CHIDANE – LES ARGILES BIO – 2020 (0,75l)
 Valle della Loira, Francia, 100% Chenin, 14,5% Vol.",3-2,€ 65.00
WHITE,"GILBERT PICQ – CHABLIS 2021 – (0,75l)
 Burgundy, Francia, 100% Chardonnay, 13% Vol.",3-1,€ 55.00
WHITE,"GUNDERLOCH – RED STONE RIESLING TROCKEN – 2018 (0.75l) 100% Riesling, 11,5% Vol.",,€ 35.00
WHITE,"GUY & YVAN DUFOULEUR – BOURGOGNE HAUTES-CÓTES DE NUITS BLANC-DEMOSEILLE HUGUETTE– 2020 (0,75l)
 Borgogna, Francia, Chardonnay, Pinot Blanc, 13% Vol.",3-1,€ 60.00
WHITE,"J. HOFSTÄTTER – DR. FISCHER-RIESLING TROCKEN MOSEL – 2022 (0,75l)
 Mosella, Germania, 100% Riesling, 12% Vol.",FRIGO MESCITA,€ 30.00
WHITE,"J. HOFSTÄTTER – DR. FISCHER GEWÜRZTRAMINER-–-2022-(0,75l)
 Rheinhessen, Germania, 100% Gewürztraminer 12% Vol.",FRIGO MESCITA,€ 30.00
WHITE,"LEONARDO PALCIC – MALVASIA ISTRIANA – 2019 (0,75l) 100% Malvasia, 12,5% Vol. ",FR MES,€ 40.00
WHITE,"LEONARDO PALCIC – MALVASIA ISTRIANA PRIMO TAIO– 2021 (0,75l)-100% Malvasia, 12,5% Vol. ",FR MES,€ 35.00
WHITE,"LES CHEMINS DE BASSAC – ROUSSANNE CHEMINS DE BASSAC – 2021 (0,75l)
Roussilon, Francia, 100% Roussanne, 13% Vol.",SCAFFALE,€ 40.00
WHITE,"MARCUS MOLITOR – MOSEL HAUS KLOSTERBERG RIESLING QBA TROCKEN - 2020 (0,75l)-Mosella, Germania, 100% Riesling, 12% Vol.",3-2,€ 40.00
WHITE,"MARCUS MOLITOR – MOSEL HAUS KLOSTERBERG RIESLING QBA TROCKEN - 2020 (0,75l)-Mosella, Germania, 100% Riesling, 12% Vol.",,€ 35.00
WHITE,"MARJAN SIMCIC –-PINOT GRIGIO CRU SELECTION – 2020 (0,75l)
Slovenia,-100%-Pinot Grigio, 13% Vol.",4-1,€ 60.00
WHITE,"MARJAN SIMCIC –-RIBOLLA– 2022 (0,75l)
Slovenia,-100% Ribolla, 13% Vol.",4-1,€ 35.00
WHITE,"MARJAN SIMCIC – CHARDONNAY– 2022 (0,75l)
 Slovenia,-100% Chardonnay, 14% Vol.",4-1,€ 35.00
WHITE,"MARJAN SIMCIC – RIBOLLA CRU SELECTION – 2020 (0,75l)
 Slovenia,-100% Ribolla, 13% Vol.",4-1,€ 60.00
WHITE,"MARJAN SIMCIC – RIBOLLA GIALLA OPOKA – 2019 (0,75l)
 Slovenia,-100%-Ribolla Gialla, 13,5% Vol.",4-2,€ 80.00
WHITE,"MARJAN SIMCIC – SAUVIGNON BLANC CRU SELECTION - 2020 (0,75l) Slovenia,-100%-Sauvignon Blanc, 13,5% Vol. ",,€ 60.00
WHITE,"MARJAN SIMCIC – SAUVIGNON VERT OPOKA - 2019 (0,75l)
 Slovenia,-100%-Sauvignon Blanc, 13,5% Vol.",4-2,€ 85.00
WHITE,"MEINKLANG-EPIC – 2022 (0,75l) Burgelang, Austria, Welschriesling, Gruner Veltriner. Muskat, 10,5% Vol.",,€ 35.00
WHITE,"MOULIN DE GASSAC –-CHARDONNAY PAYS D' OC (0,75l)
Roussillon, Francia, 100% Chardonnay, 13% Vol.",3-2,€ 25.00
WHITE,"PIERRICK BOULEY – BOURGOGNE ALIGOTE' – 2020 (0,75l)
 Borgogna, Francia, 100% Aligotè, 12,5% Vol.",3-1,€ 60.00
WHITE,"ROY PREVOSTAT & FILS-CHABLIS VIEILLES VIGNES – 2020 (0,75l) Borgogna , Francia, 100% Chardonnay, 12,5% Vol.",3-1,€ 80.00
WHITE,"SCHLOSS REINHARTHAUSEN – RIESLING TROCKEN BOP– 2021-(0,75l)
Rheingau, Germania, 100% Riesling ",3-2,€ 35.00
WHITE,"SERGE DAGUENEAU – POILLY FUME'-BLANC-– 2022 (0.75l)
 Valle della Loira, Francia, 100% Sauvignon Blanc, 13% Vol.",3-1,€ 60.00
WHITE,"STEPHANE DELETTRE – C'EST COMME CA – 2020 (0,75l)-Valle della Loira 100% Cabernet, 10% Vol.",SCAFFALE,€ 35.00
WHITE,"SUDUIRAUT – BLANC SEC DE SUDUIRAUT-- 2019 (0,75l)-Bordeaux, Francia, 52% Semillon 48% Sauvignon blanc, 13% Vol.",3-2,€ 45.00
WHITE,"TARDIEU-LAURENT-CHÂTEAUNEUF DU PAPE – 2021 (0,75l) Valle della Loira 40% Grenache Blanc, 30% Roussanne, 20% Clairette, 10% Bourboulent, 14% Vol.",,€ 135.00
WHITE,"THIUBAUT HENRION-VDF BLANC CUVEE JOJO CHENIN – 2019 (0,75l) Loria, Francia, 100% Chenin Blanc, 13% Vol.60",,€ 60.00
WHITE,"VINCENT PINARD – SANCERRE FLORES – 2021 (0,75l)
 Valle della Loira, Francia, 100% Sauvignon Blanc, 13% Vol.",3-2,€ 65.00
WHITE,"WEINGUT MICHI LORENZ-SCHIST HAPPENS – 2021 (0,75l) Stiria, Austria, 100% Sauvignon, 12% Vol.",,€ 75.00
WHITE,"WEINGUT MOLITOR-RIESLING ALTE REBEN TROCKEN - 2019 (0,75l) Mosella, Germania, 100% Riesling, 12% Vol.",,€ 55.00
WHITE,"WEINGUT RAUEN --RIESLING NEUGBERG TROKEN – (0.75l) Germania, 100% Riesling, 12,5% Vol",FRIGO MESCITA,€ 40.00
RED,"ANTICA MASSERIA VENDITTI – VANDARI FALANGHINA D.O.C. - 2019 (0,75l) 
 100% Falanghina, 13% Vol.",,€ 30.00
RED,"ARGIOLAS – COSTERA CANNONAU D.O.C. - (0,75l)
 Cannonau, Carignano, 14% Vol.",SCAFFALE,€ 35.00
RED,"BANFI – BRUNELLO DI MONTALCINO S.O.C.G. POGGIO ALLE MURA 2001 – (0,75l)
 100% Sangiovese, 15% Vol",BOTTIGLIERA,€ 140.00
