type,full_details,area,price
SPARKLING,"MONSUPELLO – PINOT NERO NATURE BRUT ROSE' OLTREPO' PAVESE - (0.75l)
 90% Pinot Nero, 10% Chardonnay,-13,5% Vol.",2-5,€ 50.00
SPARKLING,"MONSUPELLO – PINOT NERO NATURE PAS DOSE' OLTREPO' PAVESE - (0.75l)-90% Pinot Nero, 10% Chardonnay,-13% Vol. ",2-5,€ 45.00
SPARKLING,"MURGO – BRUT NERELLO MASCALESE – 2020 (0.75l)
100% Nerello Mascalese, 12,5% Vol.",2-4,€ 40.00
SPARKLING,"PIEVALTA – SPUMANTE CLASSICO PERLUGO DOSAGGIO ZERO BIO (0.75l)
 100% Verdichio,-12% Vol.",2-3,€ 30.00
SPARKLING,"PIFFER – VULCANITE TALENTO DOSAGGIO ZERO – 2017 (0.75l)
 100% Chardonnay , 12,5% Vol.",2-2,€ 50.00
SPARKLING,"SENORIO DE RUBIOS – ESPUMOSO BRUT NATURE CONTADO DO TEA BLANCO – (0.75l)-Spagna, 70% Alariño, Treixadura, Loureio, Gotello e Torrontés",2-1 + SCATOLA,€ 50.00
SPARKLING,"TASCA D’ALMERITA - ALMERITA BRUT – 2019 (0.75l)
100% Chardonnay, 12,5% Vol.",3-4,€ 55.00
SPARKLING,"VIGNATO VIRGILIO – SPUMANTE RECIOTO DI GAMBELLARA DOLCE-D.O.C.G. - 2018 (0.75l)
 100%-Garganega, 12,5% Vol.",2-5,€ 30.00
SPARKLING,"ZANOTELLI – TRENTO DOC BRUT MILLESIMATO FORNERI – 2018 -(0.75l) 100% Chardonnay, 12,5% Vol.",2-1 + SCATOLA,€ 50.00
SPARKLING,"ADAMI – BOSCO DI GICA BRUT VALDOBIADENE PROSECCO SUPERIORE D.O.C.G. (0.75l)- 95-97% Glera, Chardonnay 3-5%, 11% Vol. ",FRIGO MESCITA,€ 30.00
SPARKLING,"DR. FISCHER – STEINBOCK FREE SPARKLING (0.75l)
 Mosella Germania, 100%-Uve bianche , 0,25% Vol.",FRIGO MESCITA,€ 25.00
SPARKLING,"MONGARDA – PROSECCO SUPERIORE EXTRA DRY - (0.75l)- 100% Glera, 11% Vol. ",3-4 + SCATOLA,€ 45.00
SPARKLING,"MONGARDA – SPUMANTE COLLI TREVIGIANI I.G.T. COL FONDO (0.75l)
 100% Glera, 11,5% Vol.",SCAFFALE,€ 30.00
