type,area,price,winery_name,vintage,size,name,info,internal_notes
SPARKLING,FRIGO MESCITA, 25.00,SCANDOLERA,,BOTTLE,PROSECCO SUPERIORE D.O.C.G. ASOLO 4.0 EXTRA BRUT,,
SPARKLING,FRIGO MESCITA, 25.00,SCANDOLERA,,BOTTLE,"PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE    COSTA D'ORO BRUT",,
SPARKLING,FRIGO MESCITA, 25.00,SCANDOLERA,,BOTTLE,"PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE    VIGNETI DEL FAIT EXTRA DRY",,
SPARKLING,2-4, 50.00,ARNAUD LAMBERT,,BOTTLE,CRÉMANT DE LOIRE BRUT ROSE’,,
SPARKLING,2-4, 50.00,ARNAUD LAMBERT,,BOTTLE,CRÉMANT DE LOIRE BLANC BRUT,,
SPARKLING,, 50.00,CLOS DE LA BRIDERIE,,BOTTLE,CRÉMANT DE LOIRE BRUT PURETÉ DE SILEX,,
SPARKLING,2-2, 55.00,DOMAINE PIGNIER,,BOTTLE,CREMANT DE JURA BRUT NATURE AOC,,
SPARKLING,, 50.00,DOMAINE ROBERT ROTH,2021,BOTTLE,CREMANT D’ALSACE BLANC DE BLANCS BRUT DE GRES EXTRA BRUT BIO,,
SPARKLING,FRIGO MESCITA, 55.00,FABRICE & VALERIE CLOSSET,,BOTTLE,CREMANT DU JURA BRUT ZERO DOSAGE,,
SPARKLING,, 70.00,LAURENT COGNARD & CO.,2018,BOTTLE,CREMANT DE BOURGOGNE BLANC DE NOIIRS EXTRA BRUT,,
SPARKLING,2-1, 50.00,MEYER FONNET,,BOTTLE,CREMANT D'ALSACE EXTRA BRUT,,
SPARKLING,2-1, 50.00,PAUL EDUARD,,BOTTLE,CREMANT D'ALSACE EXTRA BRUTCUVEE,,
SPARKLING,2-2, 50.00,VEUVE AMBAL,,BOTTLE,CREMANT DE BOURGOGNE BRUT,,
SPARKLING,, 380.00,ADRIEN DHONDT,2018,BOTTLE,LES COULLEMETS GRAND CRU,,
SPARKLING,, 180.00,AGRAPART,,BOTTLE,COMPLANTÉE EXTRA BRUT GRAND CRU,,
SPARKLING,1-2, 150.00,AGRAPART,,BOTTLE,LES 7 CRUS EXTRA BRUT,,
SPARKLING,1-3, 70.00,ALAIN VESSELLE,,BOTTLE,TRADITION BRUT,,
SPARKLING,2-1, 200.00,ANDRÉ BEAUFORT,,BOTTLE,AMBONNAY BRUT RESERVE,,
SPARKLING,1-3, 75.00,ANDRE' JACQUART,,BOTTLE,VERTUS EXPERIENCE BLANC DE BLANCEXTRA BRUT PREMIER CRU,,
SPARKLING,SCAFFALE, 670.00,ARMAND DE BRIGNAC,,BOTTLE,GOLD BRUT,,
SPARKLING,, 215.00,AUBRY,2018,BOTTLE,LE NOMBRE D’OR SABLE’ BLANC DE BLANCS BRUT NATURE,,
SPARKLING,1-2, 85.00,AUBRY,,BOTTLE,PREMIER CRU BRUT,,
SPARKLING,2-1, 490.00,BERECHE ET FILS,2014,BOTTLE,AYGRAND CRU EXTRA BRUT MILESIME,,
SPARKLING,, 150.00,BERECHÉ ET FILS,,BOTTLE,BRUT RESERVE,,
SPARKLING,2-1, 190.00,BERECHÉ ET FILS,2018,BOTTLE,CAMPANIA REMENSIS EXTRA MILLESIMATO EXTRA BRUT,,
SPARKLING,1-3, 200.00,BILLECART SALMON,,BOTTLE,BRUTROSÉ,,
SPARKLING,2-1, 150.00,BILLECART SALMON,,BOTTLE,EXTRA BRUT NATURE,,
SPARKLING,1-5, 250.00,BOLLINGER,,BOTTLE,PN TX17 BLANC DE NOIR,,
SPARKLING,1-5, 380.00,BOLLINGER,2014,BOTTLE,LA GRANDE ANNÉE BRUT,,
SPARKLING,3-4, 310.00,BOLLINGER,,MAGNUM,SPECIAL CUVEE BRUT,,
SPARKLING,1-4, 85.00,BONNET GILMERT,,BOTTLE,L'EXTRA BLANC DE BLANCS EXTRA BRUT GRAND CRU,,
SPARKLING,2-3, 240.00,BRUNO PAILLARD,,BOTTLE,ASSEMBLAGE EXTRA BRUT MILLESIMATO,,
SPARKLING,2-3, 250.00,BRUNO PAILLARD,2013,BOTTLE,EXTRA BRUT MILLESIME BLANC DE BLANCS GRAN CRU,,
SPARKLING,1-5, 120.00,CAZE’ THIUBAUT,,BOTTLE,NATURELLEMENT EXTRA BRUT,,
SPARKLING,2-1, 250.00,CHARLOT PÈRE ET FILS,2009,BOTTLE,PINOT MEUNIER BRUT NATURE,,
SPARKLING,, 280.00,CHARTOGNE TAILLET,2018,BOTTLE,HORS SERIE,,
SPARKLING,, 230.00,CHARTOGNE TAILLET,2018,BOTTLE,LES COUARRES EXTRA BRUT,,
SPARKLING,1-2, 190.00,CHARTOGNE TAILLET,2018,BOTTLE,CHEMIN DE REIMS BLANC DE BLANCS EXTRA BRUT,,
SPARKLING,1-2, 120.00,CHARTOGNE TAILLET,,BOTTLE,SAINTE ANNE BRUT CUVÉE,,
SPARKLING,1-3, 420.00,DAVID LECLAPART,,BOTTLE,L'APHRODISIAQUE 1er CRU BRUT NATURE,,
SPARKLING,1-4, 110.00,DELAMOTTE,,BOTTLE,BRUTDELAMOTTE,,
SPARKLING,1-2, 170.00,DHONDT GRELLET,,BOTTLE,DANS UN PREMIER TEMPS BRUT,,
SPARKLING,1, 150.00,DHONDT GRELLET,,BOTTLE,LES TERRES FINES EXTRA BRUT BLANC DE BLANCS PREMIER CRU,,
SPARKLING,1-1, 800.00,DOM PERIGNON ­,2004,BOTTLE,P2 VINTAGE BRUT,,
SPARKLING,1-1, 850.00,DOM PERIGNON,1988,BOTTLE,DOM PERIGNON BRUT,,
SPARKLING,1-1, 390.00,DOM PERIGNON,2013,BOTTLE,VINTAGE BRUT,,
SPARKLING,1-3, 250.00,EGLY OURIET,,BOTTLE,BRUT GRAND CRU,,
SPARKLING,1-3, 130.00,FERNAND THILL,2015,BOTTLE,GRAND CRU BRUT MILLESIME,,
SPARKLING,1-3, 100.00,FERNAND THILL,,BOTTLE,TRADITION BRUT GRAND CRU,,
SPARKLING,, 130.00,FRANCK PASCAL,,BOTTLE,RELIANCE BRUT NATURE,,
