external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
33.0,A Lorenzo 180 Millesimato 2°Edizione DOC,L. Bellani,,,BOTTLE,,6200.0,,7,"purchase_price:  26.00 € , supplier: Karner, retail_price:  52.34 € , glass_price:  € 10.33 "
34.0,"Champagner Premier Cru - Guy Larmandier I CH, PN",Guy Larmandier,,,BOTTLE,,6100.0,,5,"purchase_price:  25.50 € , supplier: FW, retail_price:  51.33 € , glass_price:  € 10.17 "
35.0,"Champagne rose  majeur Ayala I CH, PN, PM",Ayala,,,BOTTLE,,9700.0,,3,"purchase_price:  48.50 € , supplier: WS, retail_price:  97.63 € , glass_price:  € 16.17 "
36.0,Champagner Brut Rose,Billecart Salmon,,,BOTTLE,,12700.0,,2,"purchase_price:  63.50 € , supplier: WS, retail_price:  127.83 € , glass_price:  € 21.17 "
37.0,"Champagne Ruinart Brut I PN, CH, PM",Ruinart,,,BOTTLE,,10600.0,,2,"purchase_price:  56.25 € , supplier: O, retail_price:  113.23 € , glass_price:  € 17.67 "
39.0,Coup de Coer Extra Brut,Monmarthe,,,BOTTLE,,7200.0,,11,"purchase_price:  34.80 € , supplier: Cuzziol, retail_price:  70.05 € , glass_price:  € 12.00 "
40.0,Champagne Cristal,Louis Roederer,,,BOTTLE,2013.0,36800.0,,2,"purchase_price:  199.00 € , supplier: WD, retail_price:  400.59 € , glass_price:  € 61.33 "
41.0,Champagne Dom Ruinart Blanc de Blanc,Ruinart,,,BOTTLE,2009.0,32000.0,,2,"purchase_price:  189.00 € , supplier: WD, retail_price:  380.46 € , glass_price:  € 53.33 "
42.0,Champagne Coutier,Coutier,,,BOTTLE,2011.0,8700.0,,7,"purchase_price:  39.15 € , supplier: Michl, retail_price:  78.81 € , glass_price:  € 14.50 "
44.0,"Champagne 1er Cru Tradtion I PN, CH, PM",Gosset-Brabant,,,BOTTLE,,6700.0,,8,"purchase_price:  31.20 € , supplier: Karner, retail_price:  62.81 € , glass_price:  € 11.17 "
45.0,"Champagne Carte Blanche 1er Cru I PN, CH, PM",L. Bénard-Pituois,,,BOTTLE,,5600.0,,3,"purchase_price:  23.40 € , supplier: Karner, retail_price:  47.10 € , glass_price:  € 9.33 "
46.0,Champagne Origin.al I PN,Henri Dosnon,,,BOTTLE,,6800.0,,4,"purchase_price:  32.00 € , supplier: Karner, retail_price:  64.42 € , glass_price:  € 11.33 "
47.0,"Champagne Memoire Extra Brut I PN, PM, CH",Huré Frères,,,BOTTLE,,13200.0,,5,"purchase_price:  62.00 € , supplier: Karner, retail_price:  124.81 € , glass_price:  € 22.00 "
48.0,Champagne  Tradition,Michel Laval,,,BOTTLE,,6300.0,,18,"purchase_price:  26.90 € , supplier: WD, retail_price:  54.15 € , glass_price:  € 10.50 "
49.0,Champagne Legras Haas Extra Brut Chouilly grand cru,Legras Haas,,,BOTTLE,,8900.0,,6,"purchase_price:  42.00 € , supplier: WD, retail_price:  84.55 € , glass_price:  € 14.83 "
50.0,Cremant de Loire non dosè / CB,Chateau Pierre-Bise,,,BOTTLE,2018.0,5300.0,,3,"purchase_price:  18.00 € , supplier: WD, retail_price:  36.23 € , glass_price:  € 8.83 "
51.0,Premiere Cuvee Extra brut,Bruno Paillard,,,BOTTLE,,9200.0,,8,"purchase_price:  41.50 € , supplier: Cuzziol, retail_price:  83.54 € , glass_price:  € 15.33 "
52.0,Premiere Cuvee Rose Extra brut,Bruno Paillard,,,BOTTLE,,9800.0,,2,"purchase_price:  48.90 € , supplier: Cuzziol, retail_price:  98.44 € , glass_price:  € 16.33 "
53.0,Assemblage Millesime,Bruno Paillard,,,BOTTLE,2012.0,12700.0,,2,"purchase_price:  63.00 € , supplier: Cuzziol, retail_price:  126.82 € , glass_price:  € 21.17 "
54.0,Kalkspitz,Christoph Hoch,,,BOTTLE,,3900.0,,10,"purchase_price:  10.50 € , supplier: Cuzziol, retail_price:  21.14 € , glass_price:  € 6.50 "
54.5,Zero Infinito,Pojer & Sandri,,,BOTTLE,,4000.0,,20,"purchase_price:  13.00 € , supplier: FW, retail_price:  26.17 € , glass_price:  € 6.67 "
