ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,100,WHITE,Grüner Veltliner,Weingut Garlider,,BOTTLE,2020,3900,,13,"purchase_price: 11.80 € , supplier: WD, retail_price: 23.75 € , glass_price: € 6.50",Grüner Veltliner,Garlider,wine_01h0qzm1g05z4fzy8ag4vdsbyx,,40.599724,,40.599724
TRUE,102,WHITE,Grüner Veltliner,Pacherhof,,BOTTLE,2022,4100,,9,"purchase_price: 12.67 € , supplier: Karner, retail_price: 25.50 € , glass_price: € 6.83",Grüner Veltliner,Pacherhof,wine_01h0qzm2wzkgx777xh1sy1a38x,,40.366135,,40.366135
TRUE,103,WHITE,Sylvaner Alte Rebe,Weingut Pacherhof,,BOTTLE,2019,5600,,8,"purchase_price: 20.59 € , supplier: Karner, retail_price: 41.45 € , glass_price: € 9.33",Sylvaner Alte Reben,Pacherhof,wine_01h0qzm2wzyfdmfvtvp7c8x5fs,,45.864223,,45.864223
TRUE,104,WHITE,Sylvaner Praepositus,Stiftskellerei Neustift,,BOTTLE,2019,4200,,5,"purchase_price: 14.10 € , supplier: Neustift, retail_price: 28.38 € , glass_price: € 7.00",Praepositus Sylvaner,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbq4tyhyes4vcm6w3c3,,45.148907,,45.148907
TRUE,106,WHITE,Sylvaner Hautnah,Weingut Garlider,,BOTTLE,2016,6100,,5,"purchase_price: 24.60 € , supplier: WD, retail_price: 49.52 € , glass_price: € 10.17",Hautnah,Garlider,wine_01h0qzm1g3a94dphd4pkjrhdts,,43.840878,,43.840878
TRUE,107.2,WHITE,Silvaner,Daniel Sigmund,,BOTTLE,2021,4300,,6,"purchase_price: 13.90 € , supplier: Lebewein, retail_price: 27.98 € , glass_price: € 7.17",Silvaner,Daniel Sigmund,wine_01havwedqp5y1q5b89ar1r75mt,,48.960026,,48.960026
TRUE,107.3,WHITE,Sylvaner,Zöhlhof,,BOTTLE,2021,4300,,5,"purchase_price: 13.70 € , supplier: Lebewein, retail_price: 27.58 € , glass_price: € 7.17",Sylvaner,Zöhlhof,wine_01h0sq48xrnh0ejjw9qjgb580c,,36.771008,,36.771008
TRUE,108,WHITE,Riesling,Weingut Falkenstein,,BOTTLE,2021,4500,,15,"purchase_price: 13.50 € , supplier: FW, retail_price: 27.18 € , glass_price: € 7.50",Riesling,Falkenstein,wine_01h0qzm0axbqydzx212xvsedzy,,28.779549,,28.779549
TRUE,109,WHITE,Riesling private reserve (reserviert),Weingut Falkenstein,,BOTTLE,2015,5500,Private Reseve (reserviert),0,"purchase_price: 15.45 € , supplier: FW, retail_price: 35.00 € , glass_price: € 9.17",Riesling,Falkenstein,wine_01h0qzm0axbqydzx212xvsedzy,,28.779549,,28.779549
TRUE,110,WHITE,Riesling Anadûron,Weingut Falkenstein,,BOTTLE,2018,6200,,15,"purchase_price: 28.40 € , supplier: FW, retail_price: 35.00 € , glass_price: € 10.33",Anadûron Riesling,Falkenstein,wine_01h0qzm0ax45vx7esvkqhcztsw,,43.20707,,43.20707
TRUE,111,WHITE,Riesling Windbichl,castel Juval,,BOTTLE,2020,7000,,9,"purchase_price: 26.90 € , supplier: WD, retail_price: 54.15 € , glass_price: € 11.67",Windbichel Riesling,Weingut Unterortl - Castel Juval,wine_01h0qsxmvw08hsa6byhtmc1p9w,,41.187553,,41.187553
TRUE,115,WHITE,Riesling Praepositus,Stiftskellerei Neustift,,BOTTLE,2017,4900,,2,"purchase_price: 15.50 € , supplier: Neustift, retail_price: 31.20 € , glass_price: € 8.17",Praepositus Riesling,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbqxy7znx9ckcz7p9vn,,41.85797,,41.85797
TRUE,117,WHITE,Sauvignon Voglar,Weingut Peter Dipoli,,BOTTLE,2020,4500,,11,"purchase_price: 15.50 € , supplier: FW, retail_price: 31.20 € , glass_price: € 7.50",Voglar Sauvignon,Peter Dipoli,wine_01h4pmmfh6r404w55z8dcbj6d3,,50.831673,,50.831673
TRUE,120,WHITE,Sauvignon,Weingut Wassererhof,,BOTTLE,2020,4100,,16,"purchase_price: 10.90 € , supplier: O, retail_price: 21.94 € , glass_price: € 6.83",Sauvignon,Wassererhof,wine_01h0my5smt5adr77cskhfgknp4,,32.406593,,32.406593
TRUE,121,WHITE,Sauvignon Riserva,Weingut Wassererhof,,BOTTLE,2019,5700,,4,"purchase_price: 23.86 € , supplier: O, retail_price: 48.03 € , glass_price: € 9.50",Sauvignon Riserva,Wassererhof,wine_01h0my5smtzfrg5h1r8bk8zh90,,36.370445,,36.370445
TRUE,122,WHITE,Sauvignon Private reserve,Weingut Falkenstein,,BOTTLE,2012,5500,Private Reserve,7,"purchase_price: 15.70 € , supplier: FW, retail_price: 31.60 € , glass_price: € 9.17",Sauvignon,Falkenstein,wine_01h0qzm0ax1nf1bsgysmncw65z,,28.076412,,28.076412
TRUE,123,WHITE,Sauvignon Rachtl,Kellerei Tiefenbrunner,,BOTTLE,2018,8300,,2,"purchase_price: 35.00 € , supplier: FW, retail_price: 70.46 € , glass_price: € 13.83",Rachtl,Tiefenbrunner,wine_01h0sq47vfm5chdak9pp6qrvfh,,39.15188,,39.15188
TRUE,124,WHITE,Sauvignon Lieben Aich,Manincor,,BOTTLE,2020,9200,,6,"purchase_price: 43.24 € , supplier: Karner, retail_price: 87.04 € , glass_price: € 15.33",Lieben Aich,Manincor,wine_01gzr4ksk9b3gdt3dksv5jy13q,1134476,43.08291,1134476,43.08291
TRUE,125,WHITE,Sauvignon Quarz,Kellerei Terlan,,BOTTLE,2020,8500,,10,"purchase_price: 36.00 € , supplier: Karner, retail_price: 72.47 € , glass_price: € 14.17",Quarz Sauvignon,Terlan (Terlano),wine_01gzr4ksn55kqa21f0wdpx6t3r,77676,49.833767,77676,49.833767
TRUE,127,WHITE,Sauvignon Oberberg,Weingut Kornell,,BOTTLE,2020,5600,,18,"purchase_price: 19.90 € , supplier: Karner, retail_price: 40.06 € , glass_price: € 9.33",Oberberg Sauvignon Blanc,Kornell,wine_01h0sq4757dashcv82bnem6360,,36.610767,,36.610767
TRUE,128,WHITE,Sauvignon Tasnim Bio,Weingut Loacker,,BOTTLE,2019,4100,,8,"purchase_price: 11.80 € , supplier: WD, retail_price: 23.75 € , glass_price: € 6.83",Tasnim Sauvignon Blanc,Weingut Loacker,wine_01h0r2ppan8v751dmm790sbrs7,,43.910027,,43.910027
TRUE,129,WHITE,Cosmas,Weingut Kornell,,BOTTLE,2022,3700,,44,"purchase_price: 9.90 € , supplier: Karner, retail_price: 19.93 € , glass_price: € 6.17",Cosmas Sauvignon Blanc,Kornell,wine_01h0qsxnnmasa43667qnn6pxde,,32.776474,,32.776474
TRUE,131,WHITE,Sauvignon Mathias,Weingut Pfitscher,,BOTTLE,2019,5900,,5,"purchase_price: 24.00 € , supplier: WD, retail_price: 48.31 € , glass_price: € 9.83",Sauvignon Blanc Riserva Mathias,Pfitscher,wine_01gzr4kt58j7pwnwnxq0za0tx5,,39.591415,,39.591415
TRUE,132,WHITE,Gewürztraminer Selida,Kellerei Tramin,,BOTTLE,2022,3500,,-1,"purchase_price: 9.90 € , supplier: FW, retail_price: 19.93 € , glass_price: € 5.83",Selida Gewürztraminer,Tramin,wine_01h0sq47xgbgzxzhnp2khrrwws,,40.212807,,40.212807
TRUE,133,WHITE,Gewürztraminer Nussbaumer,Kellerei Tramin,,BOTTLE,2021,6000,,11,"purchase_price: 19.90 € , supplier: WD, retail_price: 40.06 € , glass_price: € 10.00",Nussbaumer Gewürztraminer,Tramin,wine_01h0sq47xgwvqvqhjhsn8v8t7z,,41.57202,,41.57202
TRUE,134,WHITE,Gewürztraminer Orange,Schloss Englar,,BOTTLE,2020,4200,,14,"purchase_price: 13.00 € , supplier: FW, retail_price: 26.17 € , glass_price: € 7.00",Gewürztraminer,Schloss Englar,wine_01havweffj3f2f4krj4kqtyqb8,,43.58909,,43.58909
TRUE,135,WHITE,Gewürztraminer Upupa Orange,Martin Abraham,,BOTTLE,2020,5500,,4,"purchase_price: 19.90 € , supplier: WD, retail_price: 40.06 € , glass_price: € 9.17",Upupa Orange/Gewürztraminer,Weingut Abraham,wine_01h0my5rh098vwf36e7400szd9,,44.098534,,44.098534
TRUE,136,WHITE,Gewürztraminer Riserva Exilissi,Baron di Pauli,,BOTTLE,2018,5900,,7,"purchase_price: 23.40 € , supplier: FW, retail_price: 47.10 € , glass_price: € 9.83",Exilissi,Baron Di Pauli,wine_01h0my5sf7cjjh5q3a01q970zx,,41.566566,,41.566566
TRUE,137,DESSERT,Gewürztraminer Tardus,Schlosskellerei Tiefenbrunner,,BOTTLE,2019,5800,,18,"purchase_price: 22.35 € , supplier: FW, retail_price: 44.99 € , glass_price: € 9.67",Tardus Gewürztraminer Vendemmia Tardiva,Tiefenbrunner,wine_01h0sq47vfhmzmwvz3h6qv12pq,,36.277103,,36.277103
TRUE,139,WHITE,Gewürztraminer am Sand,Alois Lageder,,BOTTLE,2021,4600,,8,"purchase_price: 16.60 € , supplier: WD, retail_price: 33.42 € , glass_price: € 7.67",Am Sand Gewürztraminer,Alois Lageder,wine_01h0my5rfeq68dk5596455bga6,,54.28973,,54.28973
TRUE,140,WHITE,Vino del Passo - Green Mountain Wine,Weingut Lieselehof,,BOTTLE,2019,8200,,8,"purchase_price: 39.50 € , supplier: Liesele, retail_price: 79.51 € , glass_price: € 13.67",Vino del Passo,Lieselehof,wine_01h0r2pp8yfy68k5r6f4457naw,,45.744293,,45.744293
TRUE,140.2,WHITE,Le Viogn,Tröpfltalhof,,BOTTLE,2021,5200,,4,"purchase_price: 17.20 € , supplier: WD, retail_price: 34.62 € , glass_price: € 8.67",Le Viogn,Tröpfltalhof,wine_01harvcmmj01epfk72y97k86pz,,50.522858,,50.522858
TRUE,141.2,WHITE,Shades of Gris Project XXX,Kellerei Kaltern,,BOTTLE,2020,5500,,7,"purchase_price: 19.90 € , supplier: WD, retail_price: 40.06 € , glass_price: € 9.17",Project XXX Shades of Gris,Kaltern,wine_01h0qzm21t6pydws2nghmxh5dh,,55.30966,,55.30966
TRUE,142,WHITE,Julian - Bio,Weingut Lieselehof,,BOTTLE,2019,5000,,8,"purchase_price: 20.70 € , supplier: Liesele, retail_price: 41.67 € , glass_price: € 8.33",Julian,Lieselehof,wine_01h0r2pp8xmngpc50t0j4311c8,,37.85215,,37.85215
TRUE,143,WHITE,Julian Orange - Bio,Weingut Lieselehof,,BOTTLE,2020,6400,,8,"purchase_price: 31.20 € , supplier: Liesele, retail_price: 62.81 € , glass_price: € 10.67",Julian Orange,Lieselehof,wine_01h0r2pp8yvc9hwyf33n63qwmy,,42.22412,,42.22412
TRUE,143.4,WHITE,De Vite (bestellt),Weingut Hofstätter,,BOTTLE,2022,3700,,35,"purchase_price: 9.43 € , supplier: O, retail_price: 18.98 € , glass_price: € 6.17",de Vite,J. Hofstätter,wine_01gzr4ktjakf7b6s583vd9fwy3,,29.450256,,29.450256
TRUE,144,WHITE,Manna,Franz Haas,,BOTTLE,2022,4900,,30,"purchase_price: 17.15 € , supplier: FW, retail_price: 34.52 € , glass_price: € 8.17",Manna Schweizer,Franz Haas,wine_01h0my5rjcmap9n1dhfr7akpc4,,37.988693,,37.988693
TRUE,145,WHITE,Beyond The Clouds,Weingut Elena Walch,,BOTTLE,2021,9900,,9,"purchase_price: 52.00 € , supplier: O, retail_price: 104.68 € , glass_price: € 16.50",Beyond the Clouds,Elena Walch,wine_01gzr4kt16x7xf11p195ys5yks,,56.208504,,56.208504
TRUE,147,WHITE,Reserve della Contessa,Weingut Manincor,,BOTTLE,2022,4200,,4,"purchase_price: 13.75 € , supplier: OB, retail_price: 27.68 € , glass_price: € 7.00",Réserve della Contessa,Manincor,wine_01gzr4ksk759grydaffac4m90n,1137040,43.157093,1137040,43.157093
TRUE,148,WHITE,Private Cuvèe,Weingut Pacherhof,,BOTTLE,2019,6600,,14,"purchase_price: 27.46 € , supplier: Karner, retail_price: 55.28 € , glass_price: € 11.00",Private Cuvée,Pacherhof,wine_01h0qzm2wz1nke0pfb03307jm8,,39.643234,,39.643234
TRUE,151,WHITE,LR,Kellerei Schreckbichl,,BOTTLE,2017,13000,,1,"purchase_price: 56.00 € , supplier: WD, retail_price: 112.73 € , glass_price: € 21.67",LR,Colterenzio (Schreckbichl),wine_01gzr4kt492fr5ca6kj4bcg3qk,,35.13241,,35.13241
TRUE,152,WHITE,LR,Kellerei Schreckbichl,,BOTTLE,2019,12500,,6,"purchase_price: 64.00 € , supplier: WD, retail_price: 128.83 € , glass_price: € 20.83",LR,Colterenzio (Schreckbichl),wine_01gzr4kt492fr5ca6kj4bcg3qk,,35.13241,,35.13241
TRUE,152,WHITE,Appius,Kellerei St. Michael eppan,,BOTTLE,2016,15900,,1,"purchase_price: 77.00 € , supplier: Karner, retail_price: 155.00 € , glass_price: € 26.50",Appius,St. Michael-Eppan,wine_01gzr4ksmyxxe6zv6hev5pa5jb,2816718,48.51238,2816718,48.51238
TRUE,153,WHITE,Caroline,Weingut Pranzegg,,BOTTLE,2018,5200,,6,"purchase_price: 18.62 € , supplier: Karner, retail_price: 37.48 € , glass_price: € 8.67",Caroline,Pranzegg,wine_01hczek1m69rmrm5fdcxc8q3x2,,40.636086,,40.636086
TRUE,154,WHITE,Eart,Bergmannhof,,BOTTLE,2020,5800,,8,"purchase_price: 24.00 € , supplier: WD, retail_price: 48.31 € , glass_price: € 9.67",Eart,Bergmannhof,wine_01h0my5sm6ee47rcg7ncks7402,,38.85031,,38.85031
TRUE,155,WHITE,Dolomytos Weiss,Ansitz Dolomythos,,BOTTLE,2016,6800,,8,"purchase_price: 31.75 € , supplier: WS, retail_price: 63.91 € , glass_price: € 11.33",Dolomytos Weißwein,Ansitz Dolomytos,wine_01h0my5rjsy280zdn8ek2ebhzp,,56.105186,,56.105186
TRUE,156,WHITE,Dolomytos Weiss,Ansitz Dolomythos,,BOTTLE,2007,8900,,3,"purchase_price: 40.90 € , supplier: WS, retail_price: 82.33 € , glass_price: € 14.83",Dolomytos Weißwein,Ansitz Dolomytos,wine_01h0my5rjsy280zdn8ek2ebhzp,,56.105186,,56.105186
TRUE,156.5,WHITE,Dona Blanc,Hartmann Dona,,BOTTLE,2019,5400,,9,"purchase_price: 19.90 € , supplier: Akos, retail_price: 40.06 € , glass_price: € 9.00",Donà Blanc,Hartmann Donà,wine_01h0qzm1v50ycesemx1rez16em,,37.187935,,37.187935
TRUE,157,ROSE,Ros`Anna Lacrima di Morro dÀlba,Tenuta di Fra,,BOTTLE,,3700,,0,"purchase_price: 8.85 € , supplier: Daniel, retail_price: 17.82 € , glass_price: € 6.17",Ros''Anna,Tenuta di Fra',wine_01h0sq4718ann9hyf6pcczg7za,,45.596268,,45.596268
TRUE,158,ROSE,Rosé,Kellerei Nals Margreid,,BOTTLE,2021,3300,,0,"purchase_price: 7.35 € , supplier: FW, retail_price: 14.80 € , glass_price: € 5.50",Rosé,Nals Margreid,wine_01gzr4kspdet51a90vvp0qsg8a,8404643,40.382805,8404643,40.382805
TRUE,160,ROSE,Le Rose de Manincor,Weingut Manincor,,BOTTLE,2022,4400,,9,"purchase_price: 14.85 € , supplier: O, retail_price: 29.89 € , glass_price: € 7.33",La Rosé de Manincor,Manincor,wine_01gzr4ksk751hdtk6xz0xbmwk3,1137041,39.298473,1137041,39.298473
TRUE,161,ROSE,upupa Rosa,Abraham,,BOTTLE,2022,4100,,9,"purchase_price: 12.50 € , supplier: WD, retail_price: 25.16 € , glass_price: € 6.83",Upupa Rosa,Weingut Abraham,wine_01h0sq48v8gx608cnwrv63wypt,,39.07891,,39.07891
TRUE,163,WHITE,Nosiola Bio,Salvetta,,BOTTLE,2016,3800,,4,"purchase_price: 11.50 € , supplier: Akos, retail_price: 23.15 € , glass_price: € 6.33",Nosiola,Salvetta,wine_01gzr4ksnef7xvtraq6raj0xkp,1780240,38.654457,1780240,38.654457
TRUE,164,WHITE,Pinot Grigio - bio,Cesconi,,BOTTLE,2022,4000,,17,"purchase_price: 11.20 € , supplier: WD, retail_price: 22.55 € , glass_price: € 6.67",Pinot Grigio,Cesconi,wine_01h0qsxn5kh4g8wddr1kkzjznn,,32.213715,,32.213715
TRUE,165,WHITE,Massifitti Trebbiano di Soave,Suavia,,BOTTLE,2020,4000,,0,"purchase_price: 11.50 € , supplier: Cuzziol, retail_price: 23.15 € , glass_price: € 6.67",Massifitti Trebbiano di Soave,Suavia,wine_01gzr4ksjqm22nvqgjn5za06j0,2142553,52.521374,2142553,52.521374
TRUE,166,WHITE,Monte Carbonare,Suavia,,BOTTLE,2021,4200,,18,"purchase_price: 12.60 € , supplier: Cuzziol, retail_price: 25.36 € , glass_price: € 7.00",Monte Carbonare,Suavia,wine_01gzr4ksjq1chqhq10kfhx7t9d,2255730,46.65281,2255730,46.65281
TRUE,167,SPARKLING,Opera Semplice,Suavia,,BOTTLE,,5300,,9,"purchase_price: 18.00 € , supplier: Cuzziol, retail_price: 36.23 € , glass_price: € 8.83",Opera Semplice Trebbiano di Soave,Suavia,wine_01gzr4kscjq0t07kxnv1723vjv,2420287,42.039715,2420287,42.039715
TRUE,168,WHITE,Pinot Grigio Sturm,Tenuta Sturm,,BOTTLE,2018,3600,,11,"purchase_price: 11.00 € , supplier: Karner, retail_price: 22.14 € , glass_price: € 6.00",Pinot Grigio,Sturm,wine_01h0qzm19s868wdqp5dfe8br1b,,32.51136,,32.51136
TRUE,169,WHITE,Adelchi Ribolla Gialla,Venica e Venica,,BOTTLE,2021,5200,,6,"purchase_price: 17.30 € , supplier: WD, retail_price: 34.82 € , glass_price: € 8.67",L''Adelchi Ribolla Gialla,Venica & Venica,wine_01gzr4ksm6hvnze0se53sgffqb,2389792,74.82541,2389792,74.82541
TRUE,170,WHITE,Friulano,Ronco Severo,,BOTTLE,2020,5500,,5,"purchase_price: 20.50 € , supplier: WD, retail_price: 41.27 € , glass_price: € 9.17",Friulano,Ronco Severo,wine_01gzr4kskf8tjrs89m8js7e5we,1364430,46.693436,1364430,46.693436
TRUE,171,WHITE,Greco di Tufo - Cutizzi,Feudi San Gregorio,,BOTTLE,2018,3600,,0,"purchase_price: 9.50 € , supplier: Akos, retail_price: 19.12 € , glass_price: € 6.00",Greco Di Tufo Cutizzi,Feudi di San Gregorio,wine_01gzr4ksnzg22arwsq420h1d1d,1226616,58.18757,1226616,58.18757
TRUE,172,WHITE,Fiano di Avellino - Pietra calda,Feudi San Gregorio,,BOTTLE,2018,3600,,10,"purchase_price: 9.50 € , supplier: Akos, retail_price: 19.12 € , glass_price: € 6.00",Fiano Di Avellino,Feudi di San Gregorio,wine_01gzr4ksnyxxc0cgkey6644ksf,5090,48.245605,5090,48.245605
TRUE,173,WHITE,Chardonnay,Monteverro,,BOTTLE,2016,12300,,3,"purchase_price: 61.00 € , supplier: Karner, retail_price: 122.79 € , glass_price: € 20.50",Chardonnay Toscana,Monteverro,wine_01gzr4kt10g9hzyrx660tfc373,,34.02313,,34.02313
TRUE,174,WHITE,Vermentino BIO,Monteverro,,BOTTLE,2021,4000,,13,"purchase_price: 11.50 € , supplier: Karner, retail_price: 23.15 € , glass_price: € 6.67",Vermentino di Monteverro Toscana,Monteverro,wine_01gzr4kt10yzf7tf29pqyt107r,,35.424355,,35.424355
TRUE,175,WHITE,Riesling Herzu,Germano Ettore,,BOTTLE,2021,5400,,10,"purchase_price: 19.30 € , supplier: WD, retail_price: 38.85 € , glass_price: € 9.00",Hérzu Langhe Riesling,Ettore Germano,wine_01gzr4ksqc2g6h2rvg77jf1w9m,1219077,50.340637,1219077,50.340637
TRUE,177,WHITE,Arneis Camestri,Marco Porello,,BOTTLE,2022,3600,,9,"purchase_price: 8.70 € , supplier: Cuzziol, retail_price: 17.51 € , glass_price: € 6.00",Camestrì Roero Arneis,Marco Porello,wine_01gzr4ktrf34xpxj3y98y0rqt0,,50.798447,,50.798447
TRUE,179,WHITE,Reiterpfad,Von Winning,,BOTTLE,2018,5900,,8,"purchase_price: 23.50 € , supplier: WD, retail_price: 47.31 € , glass_price: € 9.83",Ruppertsberger Reiterpfad Riesling,Von Winning,wine_01harvcmjwxvv0b6a8e7pkz8dt,,43.11544,,43.11544
TRUE,180,WHITE,Riesling Spätlese Trocken,Karthäuserhof,,BOTTLE,2008,6300,,-2,"purchase_price: 28.00 € , supplier: Michl, retail_price: 63.00 € , glass_price: € 10.50",Riesling Spätlese Trocken,Karthäuserhof,wine_01h0qzm1v1a7fes1kk7hjkmegd,,39.31856,,39.31856
TRUE,182,WHITE,Alte Reben Riesling,Van Volxem,,BOTTLE,2021,5400,,5,"purchase_price: 19.36 € , supplier: Karner, retail_price: 38.97 € , glass_price: € 9.00",Alte Reben Riesling,Van Volxem,wine_01gzr4kszceqrgqrt5ne6992jb,,44.732822,,44.732822
TRUE,183,WHITE,Riesling Scharzhofberger,Van Volxem,,BOTTLE,2020,8200,,5,"purchase_price: 39.20 € , supplier: Karner, retail_price: 78.91 € , glass_price: € 13.67",Scharzhofberger Riesling,Van Volxem,wine_01gzr4kszcqaqw9fcwh2ta7j2w,,43.08727,,43.08727
TRUE,184,WHITE,Riesling Röttgen,Heymann-Löwenstein,,BOTTLE,2019,8900,,3,"purchase_price: 43.50 € , supplier: WD, retail_price: 87.57 € , glass_price: € 14.83",Röttgen,Heymann-Löwenstein,wine_01gzr4kszd4sy7a8f62emk9n5y,,45.22591,,45.22591
TRUE,185,WHITE,Riesling Quarzit,Peter Jakob Kühn,,BOTTLE,2021,5000,,11,"purchase_price: 21.50 € , supplier: WD, retail_price: 43.28 € , glass_price: € 8.33",Quarzit Riesling Trocken,Peter Jakob Kühn,wine_01gzr4ksygyhrddqgac50473fs,,52.509003,,52.509003
TRUE,186,WHITE,Riesling Nikolaus,Peter Jakob Kühn,,BOTTLE,2020,9500,,9,"purchase_price: 51.90 € , supplier: WD, retail_price: 104.47 € , glass_price: € 15.83",Sankt Nikolaus Riesling Trocken,Peter Jakob Kühn,wine_01gzr4ksyga1qwjtyd5xxbmyr1,,48.24656,,48.24656
TRUE,187,WHITE,Riesling Stettener stein GG,Weingut am Stein,,BOTTLE,2019,8000,,2,"purchase_price: 38.90 € , supplier: WD, retail_price: 78.31 € , glass_price: € 13.33",Stettener Stein GG Riesling,Am Stein,wine_01hawwcx66k3kwxen36zz1b2vm,,57.17598,,57.17598
TRUE,189,WHITE,Riesling Tonschiefer,Weingut Dönnhof,,BOTTLE,2022,4300,,16,"purchase_price: 13.95 € , supplier: FW, retail_price: 28.08 € , glass_price: € 7.17",Tonschiefer Riesling Trocken,Dönnhoff,wine_01h4pmmh3cx444k5r00xkf8cm3,,34.343452,,34.343452
TRUE,190,WHITE,Riesling hermannhöhle GG,Weingut Dönnhof,,BOTTLE,2020,9800,,3,"purchase_price: 44.50 € , supplier: FW, retail_price: 89.58 € , glass_price: € 16.33",Hermannshöhle Riesling GG,Dönnhoff,wine_01h0qzm233e12vjya19bk71pp0,,40.622536,,40.622536
TRUE,191,WHITE,Riesling Dellchen magnum,Weingut Dönnhof,,MAGNUM,2018,16400,,0,"purchase_price: 79.50 € , supplier: FW, retail_price: 160.03 € , glass_price: € 27.33",Dellchen Riesling GG,Dönnhoff,wine_01hawwcx5ajwbapgr2evheyb2k,,33.985603,,33.985603
TRUE,192,WHITE,Riesling Dellchen magnum,Weingut Dönnhof,,MAGNUM,2016,17100,,1,"purchase_price: 85.00 € , supplier: FW, retail_price: 171.11 € , glass_price: € 28.50",Dellchen Riesling GG,Dönnhoff,wine_01hawwcx5ajwbapgr2evheyb2k,,33.985603,,33.985603
TRUE,193,WHITE,Riesling Frühlingsplätzchen GG,Schönleber,,BOTTLE,2018,8900,,6,"purchase_price: 43.50 € , supplier: Cuzziol, retail_price: 87.57 € , glass_price: € 14.83",Frühlingsplätzchen Riesling GG,Emrich-Schönleber,wine_01havweedyn643yjx0efqn6hdx,,40.56521,,40.56521
TRUE,196,WHITE,Graue Freyheit,Heinrich,,BOTTLE,2020,5700,,8,"purchase_price: 22.00 € , supplier: WD, retail_price: 44.29 € , glass_price: € 9.50",Graue Freyheit,Heinrich,wine_01h0r2pppcmr7ky05k0cp1jnny,,38.686047,,38.686047
TRUE,197,WHITE,Sauvignon Sernau,Tement,,BOTTLE,2018,6900,,3,"purchase_price: 33.90 € , supplier: WD, retail_price: 68.24 € , glass_price: € 11.50",Sernau Sauvignon Blanc,Tement,wine_01gzr4kt17drah4vr123r8wsjv,,34.66911,,34.66911
TRUE,202,WHITE,Riesling Trabener Würzgarten Kabinett Feinherb,Martin Müllen,,BOTTLE,2020,5200,,0,"purchase_price: 17.80 € , supplier: Michl, retail_price: 35.83 € , glass_price: € 8.67",Trabener Würzgarten Riesling Kabinett Feinherb,Martin Müllen,wine_01hcwsyktg8h40b5xn3q56020c,,50.16971,,50.16971
TRUE,205,WHITE,Chablis Bearoy 1er Cru,Geoffroy,,BOTTLE,2021,5800,,6,"purchase_price: 22.50 € , supplier: Cuzziol, retail_price: 45.29 € , glass_price: € 9.67",Beauroy Chablis Premier Cru,Alain Geoffroy,wine_01gzr4ks5hj1ejmdnak48by8pf,24176,29.64476,24176,29.64476
TRUE,206,WHITE,Borgogne Les Sétilles,Olivier Leflaive,,BOTTLE,2020,7000,,10,"purchase_price: 30.40 € , supplier: WD, retail_price: 61.20 € , glass_price: € 11.67",Bourgogne ''Les Sétilles'',Olivier Leflaive,wine_01h0my5sw5a2mjgqy1fvsgy2ny,,49.843727,,49.843727
TRUE,207,WHITE,Meursault Charrons,Michel bouzereau,,BOTTLE,2019,9800,,0,"purchase_price: 52.20 € , supplier: WD, retail_price: 105.08 € , glass_price: € 16.33",Meursault ''Les Grands Charrons'',Michel Bouzereau,wine_01harvckxxh7e4egjzfbhg59sq,,42.986572,,42.986572
TRUE,208,WHITE,Pouilly Fumé Cuvee riquette,Domaine de Bel Air,,BOTTLE,2021,4600,,6,"purchase_price: 16.50 € , supplier: Cuzziol, retail_price: 33.21 € , glass_price: € 7.67",Cuvée Riquette Pouilly-Fumé,Domaine de Bel Air,wine_01h0sq491rfc0rb7h53pt7m7wv,,48.451897,,48.451897
TRUE,209,WHITE,Pouilly Fumé,Ladoucette,,BOTTLE,2021,6000,,8,"purchase_price: 24.90 € , supplier: WD, retail_price: 50.12 € , glass_price: € 10.00",Pouilly-Fumé,de Ladoucette,wine_01gzr4ksd492bkqagv21b4nz5r,74359,36.418068,74359,36.418068
TRUE,212,WHITE,Chassagne Montrachet Les Fairendes 1er Cru,Domaine Coffinet-Duvernay,,BOTTLE,2018,11200,,2,"purchase_price: 56.50 € , supplier: Cuzziol, retail_price: 113.73 € , glass_price: € 18.67",Chassagne-Montrachet 1er Cru ''Les Fairendes'',Domaine Coffinet-Duvernay,wine_01h0qsxnag4d8m2f0fm5pxn51v,,59.9619,,59.9619
TRUE,213,WHITE,Viré Clessé,Comte Lafon,,BOTTLE,2021,6500,,11,"purchase_price: 27.00 € , supplier: Cuzziol, retail_price: 54.35 € , glass_price: € 10.83",Vire-Clessé,Les Héritiers du Comte Lafon,wine_01gzr4ktmxf5wt2qsw6amzjp8z,,35.532967,,35.532967
TRUE,214,WHITE,Mercurey Les Rochelles,Domaine Mia,,BOTTLE,2020,6400,,5,"purchase_price: 28.50 € , supplier: Cuzziol, retail_price: 57.37 € , glass_price: € 10.67",Les Rochelles Mercurey,Domaine MIA,wine_01h4pmmh21thvm5z42ytfxezyb,,43.386314,,43.386314
