ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,27,SPARKLING,Barbalonga Saten,Barbalonga,,BOTTLE,,4600,,10,"purchase_price: 16.50 € , supplier: WD, retail_price: 33.21 € , glass_price: € 7.67",Franciacorta Saten,Barbalonga,wine_01h0my5schkq9d4wyg03qxfnh2,,39.921875,,39.921875
TRUE,28,SPARKLING,Cuvee 60 Blanc de blancs,Casa Caterina,,BOTTLE,,5700,,4,"purchase_price: 21.90 € , supplier: WD, retail_price: 44.08 € , glass_price: € 9.50",Cuvée 60 Zero Blanc de Blancs,Casa Caterina,wine_01h0my5vrgwwxac1xgpgyr9ndn,,47.39958,,47.39958
TRUE,29,SPARKLING,Bellavista Alma Gran Cuvee Brut,Bellavista,,BOTTLE,,5900,,1,"purchase_price: 23.66 € , supplier: WD, retail_price: 47.63 € , glass_price: € 9.83",Alma Gran Cuvée Brut,Bellavista,wine_01gzr4ktfzzysgtwyv6g5c66c4,,37.362457,,37.362457
TRUE,33,SPARKLING,A Lorenzo 180 Millesimato 2°Edizione DOC,L. Bellani,,BOTTLE,,6200,2°Edizione,7,"purchase_price: 26.00 € , supplier: Karner, retail_price: 52.34 € , glass_price: € 10.33",A Lorenzo 180,Luca Bellani,wine_01h0r2ppcs1gjafc7g5eam89g0,,41.01808,,41.01808
TRUE,34,SPARKLING,"Champagner Premier Cru - Guy Larmandier I CH, PN",Guy Larmandier,,BOTTLE,,6100,,5,"purchase_price: 25.50 € , supplier: FW, retail_price: 51.33 € , glass_price: € 10.17",Brut Champagne Premier Cru,Guy Larmandier,wine_01h0qzm2vdb5wxdwrspf4nygdk,,44.874985,,44.874985
TRUE,39,SPARKLING,Coup de Coer Extra Brut,Monmarthe,,BOTTLE,,7200,,11,"purchase_price: 34.80 € , supplier: Cuzziol, retail_price: 70.05 € , glass_price: € 12.00",Coup de Coeur Extra Brut Champagne Premier Cru,Monmarthe,wine_01h4pmmfcxane4zrraq4k4ykk6,,42.157314,,42.157314
TRUE,40,SPARKLING,Champagne Cristal,Louis Roederer,,BOTTLE,2013,36800,,2,"purchase_price: 199.00 € , supplier: WD, retail_price: 400.59 € , glass_price: € 61.33",Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,74304,42.190475,74304,42.190475
TRUE,41,SPARKLING,Champagne Dom Ruinart Blanc de Blanc,Ruinart,,BOTTLE,2009,32000,,2,"purchase_price: 189.00 € , supplier: WD, retail_price: 380.46 € , glass_price: € 53.33",Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd4nsbgy7pt1nwzq7k8,1192720,52.16726,1192720,52.16726
TRUE,44,SPARKLING,"Champagne 1er Cru Tradtion I PN, CH, PM",Gosset-Brabant,,BOTTLE,,6700,,8,"purchase_price: 31.20 € , supplier: Karner, retail_price: 62.81 € , glass_price: € 11.17",Tradition Brut Champagne Premier Cru,Gosset-Brabant,wine_01h4pmmfg2hyd3dr54axyex7rp,,52.183952,,52.183952
TRUE,45,SPARKLING,"Champagne Carte Blanche 1er Cru I PN, CH, PM",L. Bénard-Pituois,,BOTTLE,,5600,,3,"purchase_price: 23.40 € , supplier: Karner, retail_price: 47.10 € , glass_price: € 9.33",Carte Blanche Brut Champagne Premier Cru,L. Bénard-Pitois,wine_01h4pmmgg5xx8bm62v2934yv1h,,53.354954,,53.354954
