type,name,winery,info,vintage,size,price,EK
RED,Blauburgunder Schwarze Mandonna,Klosterhof,,,0.75,"45,00 €",18.8
,Blauburgunder Schwarze Mandonna Riserva,Klosterhof,,,0.75,55.00€,30
RED,Blauburgunder Riserva Mazon,Hofstätter,,,0.75,"54,00 €",26.9
RED,Blauburgunder St . Urban,Hofstätter,,,0.75,"78,00 €",45.8
RED,Blauburgunder Riserva Thalmann,Kellerei Bozen,,,0.75,"45,00 €",19.2
,Blauburgunder Artur,Seeperle,,,0.75,45.00€,19.5
RED,Blauburgunder Krafuss,Alois Lageder,,,0.75,"66,00 €",37.45
RED,Blauburgunder Ponkler,Franz Haas,,,0.75,"102,00 €",72
RED,Blauburgunder Riserva Selection,Gottardi,,,0.75,"91,00 €",45
,Blauburgunder Riserva Curlan,Girlan,,,0.75,102.00€,62
,Blauburgunder Riserva,Wildmonn,,,0.75,99.00€,59.9
,Blauburgunder Riserva Aegis,Kollerhof,,,0.75,91.00€,42.5
RED,Cabernet Riserva Mumelter,Kellerei Bozen,,,0.75,"52,00 €",27.5
RED,Cabernet Riserva Löwengang,Lageder,,,0.75,"90,00 €",56.5
RED,Cabernet Lafoa,Schreckbichl,,,0.75,89.00€,55
RED,Cabernet Riserva Quintessenz,Kellerei Kaltern,,,0.75,"50,00 €",25.6
RED,Cabernet Turmhof,Tiefenbrunner,,,0.75,"41,00 €",15.1
,Cabernet Riserva Höhepunkt,Seeperle,,,0.75,"72,00 €",42
RED,Cabernet Riserva,Waldtaler,,,0.75,"39,00 €",13.9
RED,Lagrein Greif,Kornellhof,,,0.75,"35,00 €",9.4
RED,Lagrein Barbagol,Laimburg,,,0.75,"45,00 €",18.8
RED,Lagrein Perlhof,Kellerei Bozen,,,0.75,"37,00 €",11
RED,Lagrein Taber,Kellerei Bozen,,,0.75,"60,00 €",31.9
RED,Lagrein Prestige,Kellerei Bozen,,,0.75,"45,00 €",19.2
RED,Lagrein Carano,Baron di Pauli,,,0.75,"47,00 €",22.4
RED,Lagrein,Fliederhof,,,0.75,"37,00 €",11.5
RED,Lagrein Praepositus,Neustift,,,0.75,"50,00 €",23.5
RED,Lagrein St. Valentin,St. Michael,,,0.75,"52,00 €",25
RED,Lagrein Riserva Abtei muri,Muri Gries,,,0.75,"47,00 €",20.9
