type,prefix,name,winery,size,vintage,sales_price_eur,qty
RED,Merlot,Riserva,Salegg,,2020,44,10
RED,Lagrein,Zobl,St. Pauls,,2024,33,0
RED,Lagrein,Latus,Ritterhof,,2022,38.5,9
RED,Lagrein,Waldgries,Waldgries,,2021,45.5,6
RED,Lagrein,Urban,Tramin,,2020,53,6
RED,Lagrein,Abtei Muri,Muri Gries,,2021,60,9
RED,Lagrein,Mirell,Waldgries,,2019,71,15
RED,Lagrein,Mirell,Waldgries,,2021,67,6
RED,Lagrein,Taber,Bozen,,2022,70.5,0
RED,Lagrein,Porphyr,Terlan,,2021,78,3
RED,Lagrein,Roblinus,Waldgries,,2015,130,2
RED,Lagrein,Barbagol,Laimburg,,2018,49,9
RED,Cabernet,Riserva Turmfeld,St. Pauls,,2022,34,2
RED,,Istrice Barrique,Elena Walch,,2022,45,6
RED,,Römiberg,Alois Lageder,,2013,73.5,7
RED,,Franc Lerian ,Seppi,,2019,44,3
RED,,Paul,St. Pauls,,2024,24,0
RED,,Perlhofer,Ritterhof,,2022,32,11
RED,,Laurin,Girlan,,2022,33,6
RED,,Reserve del conte,Manincor,,2022,37,13
RED,,Arzio Riserva,Baron di Paoli,,2019,60,4
RED,,Arzio Riserva,Baron di Paoli,,2020,56,6
RED,,Anticus Riserva,Nals & Margreid,,2022,59.5,0
RED,,Mauritius,Bozen,,2021,59.5,20
RED,,Barolo,Massolino,,2020,54,3
RED,,Morellino di scansano,Valdifalco,,2021,30,7
RED,,Tignanello,Marchesi,,2012,200,2
RED,,Tignanello,Marchesi,,2010,200,1
RED,,Tignanello,Marchesi,,2020,160,6
RED,,Lagröll,St. Pauls,MAGNUM,2018,90,1
RED,,Maison de Maison,Manicor,MAGNUM,2013,170,2
RED,,Pinot Nero Riserva Passion,St. Pauls,MAGNUM,2013,100,2
RED,,Merlot Riserva Passion,St. Pauls,MAGNUM,2011,150,1
RED,,Bolgheri rosso ,Dario di vaira,MAGNUM,2022,150,2
