external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,, Provence,Triennes ,,BOTTLE,2024,3200,0,12,,,True
,, Sauvignon Indra,Girlan,,MAGNUM,2017,5500,0,1,,,True
,, Sauvignon Lafoa,Schreckbichl,,MAGNUM,2017,9000,0,2,,,True
,, Gewürztramine Fuchslahn,Lentsch,,MAGNUM,2015,6500,0,1,,,True
,, Terlaner Classico,Terlan,,MAGNUM,2016,5500,0,1,,,True
,, La Rose de Manincor bio,Manincor,,MAGNUM,2017,8300,0,1,,,True
,, Novo Domus,Terlan,,JEROBOAM,2014,18000,0,1,,,True
,RED,Vernatsch Waldgries,Waldgries,,BOTTLE,2023,3200,0,3,,,True
,RED,Vernatsch Pelagium,Seppi Werner,,BOTTLE,2022,2900,0,7,,,True
,RED,Vernatsch Keil Bio ,Manincor,,BOTTLE,2022,3600,0,4,,,True
,RED,Pinot Nero Luzia,St. Pauls,,BOTTLE,2023,3100,0,46,,,True
,RED,Pinot Nero St. Daniel,Schreckbichl,,BOTTLE,2022,3700,0,6,,,True
,RED,Pinot Nero Bachgart,Lentsch,,BOTTLE,2020,3850,0,11,,,True
,RED,Pinot Nero Trattman Riserva,Girlan,,BOTTLE,2020,6200,0,5,,,True
,RED,Pinot Nero Mason Mason,Manincor,,BOTTLE,2015,8600,0,18,,,True
,RED,Pinot Nero Schwarze Madonna,Tenuta Klosterhof,,BOTTLE,2018,6500,0,4,,,True
,RED,Merlot Huberfeld,St. Pauls,,BOTTLE,2022,3100,0,6,,,True
,RED,Merlot Levad,Nals&Margreid,,BOTTLE,2021,3750,0,6,,,True
,RED,Merlot Siebeneich,Terlan,,BOTTLE,2021,4100,0,6,,,True
,RED,Merlot Riserva,Salegg,,BOTTLE,2020,4400,0,10,,,True
,RED,Lagrein Latus,Ritterhof,,BOTTLE,2022,3850,0,9,,,True
,RED,Lagrein Waldgries,Waldgries,,BOTTLE,2021,4550,0,6,,,True
,RED,Lagrein Urban,Tramin,,BOTTLE,2020,5300,0,6,,,True
,RED,Lagrein Abtei Muri,Muri Gries,,BOTTLE,2021,6000,0,9,,,True
,RED,Lagrein Mirell,Waldgries,,BOTTLE,2019,7100,0,15,,,True
,RED,Lagrein Mirell,Waldgries,,BOTTLE,2021,6700,0,6,,,True
,RED,Lagrein Porphyr,Terlan,,BOTTLE,2021,7800,0,3,,,True
,RED,Lagrein Roblinus,Waldgries,,BOTTLE,2015,13000,0,2,,,True
,RED,Lagrein Barbagol,Laimburg,,BOTTLE,2018,4900,0,9,,,True
,RED,Cabernet Riserva Turmfeld,St. Pauls,,BOTTLE,2022,3400,0,2,,,True
,RED, Istrice Barrique,Elena Walch,,BOTTLE,2022,4500,0,6,,,True
,RED, Römiberg,Alois Lageder,,BOTTLE,2013,7350,0,7,,,True
,RED, Franc Lerian ,Seppi,,BOTTLE,2019,4400,0,3,,,True
,RED, Perlhofer,Ritterhof,,BOTTLE,2022,3200,0,11,,,True
,RED, Laurin,Girlan,,BOTTLE,2022,3300,0,6,,,True
,RED, Reserve del conte,Manincor,,BOTTLE,2022,3700,0,13,,,True
,RED, Arzio Riserva,Baron di Paoli,,BOTTLE,2019,6000,0,4,,,True
,RED, Arzio Riserva,Baron di Paoli,,BOTTLE,2020,5600,0,6,,,True
,RED, Mauritius,Bozen,,BOTTLE,2021,5950,0,20,,,True
,RED, Barolo,Massolino,,BOTTLE,2020,5400,0,3,,,True
,RED, Morellino di scansano,Valdifalco,,BOTTLE,2021,3000,0,7,,,True
,RED, Tignanello,Marchesi,,BOTTLE,2012,20000,0,2,,,True
,RED, Tignanello,Marchesi,,BOTTLE,2010,20000,0,1,,,True
,RED, Tignanello,Marchesi,,BOTTLE,2020,16000,0,6,,,True
,RED, Lagröll,St. Pauls,,MAGNUM,2018,9000,0,1,,,True
,RED, Maison de Maison,Manicor,,MAGNUM,2013,17000,0,2,,,True
,RED, Pinot Nero Riserva Passion,St. Pauls,,MAGNUM,2013,10000,0,2,,,True
,RED, Merlot Riserva Passion,St. Pauls,,MAGNUM,2011,15000,0,1,,,True
,RED, Bolgheri rosso ,Dario di vaira,,MAGNUM,2022,15000,0,2,,,True
