wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes
wine_01gzr4kt16x7xf11p195ys5yks,79,BOTTLE,2020,90,0,GamberoRosso . Veronelli . Bibenda,,5,
wine_01gzr4kt492fr5ca6kj4bcg3qk,80,BOTTLE,2017,124,0,Falstaff : 95 Punkte,,5,
wine_01gzr4ksj337pq3rg2ys5snjqz,81,BOTTLE,2018,143,0,"Robert Parker 96 Punkte, James Suckling 97 Punkte",,4,
wine_01gzr4ksmyxxe6zv6hev5pa5jb,82,BOTTLE,2015,165,0,Robert Parker 95+ Punkte,,4,
wine_01h0r2pq1mqv62ngwhn5zcqtte,85,BOTTLE,2022,26,0,,,3,
wine_01gzr4ksmxmrh60e659pcec82r,86,BOTTLE,2022,29,0,Gambero Rosso 3 bicchieri,,15,
wine_01gzr4ksmxmrh60e659pcec82r,86,BOTTLE,2023,29,0,Gambero Rosso 3 bicchieri,,4,
wine_01gzr4ksr1xeqa7qjghh7edfz2,87,BOTTLE,2021,32,0,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",,3,
wine_01gzr4ksr1xeqa7qjghh7edfz2,87,BOTTLE,2022,32,0,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",,6,
wine_01h0b4rjgxsqh9zf0h82pxmsgh,88,BOTTLE,2021,35,0,"FALSTAFF : 93 Pkt., VERNATSCH-CUP: Vernatsch des Jahres",,3,
wine_01h0my5rhs4297dbhyg8ngnv6y,90,BOTTLE,2020,59,0,,,6,
wine_01hawwcz6g9k7q7t7t06j26tpd,91,BOTTLE,2019,62,0,,,5,
wine_01h0r2pq1mme1g80nm4fwcj7ra,92,BOTTLE,2021,31,0,,,4,
wine_01gzr4ksn5agw365140he6yvs3,94,BOTTLE,2019,47,0,,,3,
wine_01gzr4ksn5agw365140he6yvs3,94,BOTTLE,2020,47,0,,,6,
wine_01gzr4kt16rbg23ev9fdyw7ar0,96,BOTTLE,2017,190,0,,,2,
wine_01gzr4ksk78jz57rmx7y4yqhqq,97,MAGNUM,2020,85,0,,,2,
wine_01gzr4ksktxgmhcw3y7x327kxd,98,BOTTLE,2020,60,0,"Gambero Rosso 3 bicchieri, Robert Parker 94 Punkte",,5,
wine_01gzr4kt163y4xhj4xhmpssq3w,99,BOTTLE,2020,61,0,,,6,
wine_01hawwcz6ybdn4p3n24a180rwm,101,BOTTLE,2018,80,0,,,9,
wine_01h0qzm1c5qb5cetv3jrpkk8pm,102,BOTTLE,2016,108,0,,,4,
wine_01h0qzm1pm7p3pekabgw88zacw,103,BOTTLE,2020,119,0,Robert Parker 93 Punkte Falstaff 95 Punkte,,3,
wine_01gzr4ksn5scs5qg8h77qnc1rs,104,BOTTLE,2015,155,0,,,3,
wine_01gzr4ksn5scs5qg8h77qnc1rs,104,BOTTLE,2018,155,0,,,2,
wine_01h0qzm1pmtysvk48mrdbc8n5b,105,BOTTLE,2017,158,0,Robert Parker 95+ Punkte Falstaff 97 Punkte,,3,
wine_01h0qzm1pmtysvk48mrdbc8n5b,105,BOTTLE,2019,158,0,Robert Parker 95+ Punkte Falstaff 97 Punkte,,3,
wine_01gzr4kspdbqsw4vswax6agr8k,106,BOTTLE,0,37,0,,,0,
wine_01h0qzm1v03g64rzcatxnbg9f8,107,BOTTLE,2018,65,0,,,2,
wine_01h0qzm1v03g64rzcatxnbg9f8,107,BOTTLE,2019,65,0,,,6,
wine_01h0my5rkpg4py5d7tbkjynb34,108,BOTTLE,2019,48,0,,,6,
wine_01havweezfgt6j22j4fnghqksk,109,BOTTLE,2020,50,0,,,4,
wine_01h4pmmfh81000dkhjr5nycrc7,110,BOTTLE,2019,64,0,Robert Parker 93 Punkte,,6,
wine_01h0qsxmw60741s5xf8a7g1yv2,111,BOTTLE,2018,65,0,Gambero Rosso 3 bicchieri,,4,
wine_01havweezez7xbwrgwrh61zpah,112,BOTTLE,2016,85,0,Gambero Rosso 3 bicchieri,,7,
wine_01havweezez7xbwrgwrh61zpah,112,MAGNUM,2017,164,0,Gambero Rosso 3 bicchieri,,2,
wine_01gzr4ksdg8terh0mgz2f03eeq,113,BOTTLE,2018,34,0,,,2,
wine_01gzr4ksdg8terh0mgz2f03eeq,113,BOTTLE,2020,34,0,,,6,
wine_01gzr4kspdy9hn9s2498zg5arb,114,BOTTLE,2020,40,0,,,2,
wine_01gzr4kt16820wjbdg9fbdw024,115,BOTTLE,2021,43,0,,,5,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116,BOTTLE,2015,71,0,"trebicchieri, Gambero Rosso",,4,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116,BOTTLE,2020,71,0,"trebicchieri, Gambero Rosso",,2,
wine_01h0my5rjs8rshj1vbhpgcwdyt,116,MAGNUM,2018,136,0,"trebicchieri, Gambero Rosso",,1,
wine_01h0sq47vfhs28y8xmmryes74t,117,BOTTLE,2015,115,0,,,5,
wine_01h0sq48b3jve2v3bhek4vafnm,118,BOTTLE,2022,35,0,,,5,
wine_01h4pmmg365tt1bdgna30887rz,119,BOTTLE,2020,50,0,,,5,
wine_01h0my5rjsjmc5trft3fn3tf0d,120,BOTTLE,2016,62,0,"Gambero Rosso 3 bicchieri, Falstaff 93 Punkte",,9,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,BOTTLE,2018,71,0,Gambero Rosso 3 bicchieri,,5,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,BOTTLE,2021,71,0,Gambero Rosso 3 bicchieri,,6,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,MAGNUM,2016,135,0,Gambero Rosso 3 bicchieri,,2,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,JEROBOAM,2017,260,0,Gambero Rosso 3 bicchieri,,1,
wine_01h0my5rkg9tcrx4kt4gktkckn,121,MATHUSALEM,2016,510,0,Gambero Rosso 3 bicchieri,,1,
wine_01gzr4ksn538gj86tet5g3ad2c,122,BOTTLE,2019,75,0,,,4,
wine_01h0r2pppesdk19cfa35xnp8h1,123,BOTTLE,2012,86,0,,,5,
wine_01h0r2pppesdk19cfa35xnp8h1,123,MAGNUM,2013,165,0,,,1,
wine_01h4pmmfh93j1t0fkgezz7fazr,124,BOTTLE,2016,99,0,Robert Parker 95 Punkte,,3,
wine_01h4pmmfh93j1t0fkgezz7fazr,124,BOTTLE,2017,99,0,Robert Parker 95 Punkte,,2,
wine_01h4pmmfh93j1t0fkgezz7fazr,124,BOTTLE,2020,99,0,Robert Parker 95 Punkte,,7,
wine_01h0my5rn5agsqx1htnk7swsa8,125,BOTTLE,2019,96,0,,,7,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,BOTTLE,2020,96,0,,,6,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,BOTTLE,2021,96,0,,,6,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,MAGNUM,2018,96,0,,,1,„RARITÄT“
wine_01h0my5rn5agsqx1htnk7swsa8,125,MAGNUM,2021,96,0,,,1,„RARITÄT“
wine_01h0r2pqe7swjrs3trks81fdrf,126,BOTTLE,2019,195,0,,,3,
wine_01gzr4ksn5krczaydj3qa1wznz,127,BOTTLE,2021,33,0,,,5,
wine_01gzr4ksk7b0pcbwmmy0vdycnb,128,BOTTLE,2019,53,0,,,4,
wine_01gzr4kspdnc1xqb9twv6da1tz,129,BOTTLE,2018,62,0,Falstaff 93 Punkte,,2,
wine_01gzr4kspdnc1xqb9twv6da1tz,129,BOTTLE,2020,62,0,Falstaff 93 Punkte,,6,
wine_01gzr4kspdnc1xqb9twv6da1tz,129,MAGNUM,2016,120,0,Falstaff 93 Punkte,,2,
wine_01h0my5rjsgn8q9afa20srmmzp,130,BOTTLE,2016,68,0,,,4,
wine_01gzr4ksk7fteyvmd67b82hxx7,132,BOTTLE,2015,97,0,,,2,
wine_01gzr4ksk7fteyvmd67b82hxx7,132,BOTTLE,2016,97,0,,,2,
wine_01h0qzm1v0sxqtmdxtqmth8chv,133,BOTTLE,2015,250,0,,,3,
wine_01gzr4ktq47w415nv7n8w3shhg,135,BOTTLE,2019,70,0,,,9,super limitiert
wine_01gzr4ktq47w415nv7n8w3shhg,135,BOTTLE,2020,70,0,,,6,super limitiert
wine_01gzr4ksd1fnr67jf8jfan1y6x,139,BOTTLE,2019,37,0,,,3,
wine_01gzr4kt84510z7t51yh4wewdh,140,BOTTLE,2018,30,0,,,4,
wine_01gzr4ksswndtayhsp089ks5c1,141,BOTTLE,2019,37,0,,,2,
wine_01gzr4ksswndtayhsp089ks5c1,141,BOTTLE,2020,37,0,,,6,
wine_01gzr4ktes5agcj68hd5gda8tv,142,BOTTLE,2016,36,0,,,7,
wine_01gzr4ksd26w035f1fyngbtc2g,143,BOTTLE,2021,48,0,,,4,
wine_01gzr4ksnx8asdj89jfbepz68c,144,BOTTLE,2020,78,0,,,9,
wine_01gzr4ksnx8asdj89jfbepz68c,144,MAGNUM,2020,150,0,,,1,
wine_01gzr4ktfgst7pg802das6cq32,145,BOTTLE,2018,58,0,,,5,
wine_01gzr4kt1pts0qc6257pa9w557,146,BOTTLE,2015,100,0,"James Suckling 97 Punkte , Robert Parker 93 Punkte",,7,
wine_01gzr4ktfgsnd47xs02ye7gr6g,147,BOTTLE,2015,130,0,"James Suckling 99/100 , Robert Parker 98/100",,8,
wine_01h0f3cmb3kdn8xhtpbvng3mbs,148,BOTTLE,2015,150,0,"James Suckling 100 Punkte, Falstaff 99 Punkte",,6,
wine_01gzr4ksd6hxayhxgx9bvd6ge3,149,BOTTLE,2019,109,0,Robert Parker 96 Punkte,,5,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150,BOTTLE,2019,118,0,,,4,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150,BOTTLE,2021,118,0,,,6,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150,BOTTLE,2020,118,0,,,2,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150,MAGNUM,2019,240,0,,,1,
wine_01h0my5rm9jp96emkssr3n64wy,151,BOTTLE,2019,158,0,James Suckling 99 Punkte,,1,
wine_01h0my5rm9jp96emkssr3n64wy,151,BOTTLE,2020,158,0,James Suckling 99 Punkte,,3,
wine_01h0my5rm9jp96emkssr3n64wy,151,BOTTLE,2021,158,0,James Suckling 99 Punkte,,3,
wine_01gzr4kt84z2nc5cd3spjanz4t,152,BOTTLE,2020,255,0,,,4,
wine_01gzr4kt84z2nc5cd3spjanz4t,152,MAGNUM,2019,500,0,,,1,
wine_01gzr4kt84z2nc5cd3spjanz4t,152,JEROBOAM,2016,1650,0,,,1,
wine_01gzr4kspp5ck3gwm5w4617e7m,154,BOTTLE,2020,79,0,,,2,
wine_01gzr4kspp5ck3gwm5w4617e7m,154,BOTTLE,2021,79,0,,,9,
wine_01gzr4ksd3m8y62ggabzd1kdmg,155,BOTTLE,2016,250,0,,,5,
wine_01gzr4ksppdm8hwsp2wvphad1q,156,BOTTLE,2016,290,0,,,5,
wine_01gzr4ksg38xhhverb8hjn93qb,157,BOTTLE,2012,118,0,,,2,
wine_01gzr4ksg38xhhverb8hjn93qb,157,BOTTLE,2015,118,0,,,5,
wine_01gzr4ksmnpz53trpyg2j9wbsn,158,MAGNUM,2019,71,0,,,3,
wine_01gzr4ksmnpz53trpyg2j9wbsn,158,JEROBOAM,2019,230,0,,,1,
wine_01gzr4ksmnpz53trpyg2j9wbsn,158,MATHUSALEM,2019,290,0,,,1,
wine_01gzr4kthqgny88c4v2vf0vw05,161,BOTTLE,2021,38,0,,,6,
wine_01gzr4kt852mghyjybtvaxx7p0,162,BOTTLE,2020,42,0,,,6,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2020,290,0,,,2,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2019,300,0,,,5,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2018,310,0,,,6,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2017,320,0,,,5,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2016,390,0,,,2,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2012,400,0,,,1,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2011,410,0,,,4,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163,BOTTLE,2004,420,0,,,1,
wine_01h0r2pq1mddt3an3mny3988dd,164,MAGNUM,0,88,0,,,2,
wine_01h0f3cmbts4w0cgbm09zbfrjy,165,MAGNUM,2016,96,0,,,1,
wine_01gzr4ksccghc75cyecdekrc9g,166,MAGNUM,0,114,0,,,1,
wine_01gzr4ksd21816c7pdatn9v5fq,167,MAGNUM,2021,64,0,,,1,
wine_01h0sq47xgny3zdnmy8t6fhvyr,168,MAGNUM,2020,84,0,,,1,
wine_01h0qzm2wzyfdmfvtvp7c8x5fs,169,MAGNUM,2019,94,0,,,1,
wine_01gzr4ksn55kqa21f0wdpx6t3r,170,MAGNUM,2017,170,0,,,1,
wine_01gzr4ksn55kqa21f0wdpx6t3r,170,MAGNUM,2021,170,0,,,1,
wine_01gzr4kskpj16tf3ed9mnxc7mv,171,JEROBOAM,2021,200,0,,,1,
wine_01gzr4ksktxgmhcw3y7x327kxd,172,MAGNUM,0,122,0,,,0,
wine_01havweezez7xbwrgwrh61zpah,174,MAGNUM,2017,172,0,Gambero Rosso 3 bicchieri,,2,
wine_01h0qzm23n4bsypkqs0cvt08et,175,MAGNUM,2018,175,0,,,1,
wine_01h0my5rkg9tcrx4kt4gktkckn,176,MAGNUM,2016,144,0,Gambero Rosso 3 bicchieri,,2,
wine_01gzr4ksn538gj86tet5g3ad2c,177,MAGNUM,2016,154,0,,,1,
wine_01h0my5rh4696kz0ytbwtarqyc,178,MAGNUM,2016,108,0,WineHunter Award Platinum & Gold,,1,
wine_01h0my5rh4696kz0ytbwtarqyc,178,MAGNUM,2021,108,0,WineHunter Award Platinum & Gold,,1,
wine_01gzr4kspdnc1xqb9twv6da1tz,179,MAGNUM,2016,132,0,,,1,
wine_01gzr4kssxjbxzsnqdzshxape2,182,JEROBOAM,2016,270,0,,,1,
wine_01gzr4kt803g52eh6v7h6921w3,183,JEROBOAM,2018,250,0,,,1,
wine_01gzr4ksswn8cnrh7jb8qff1wy,184,MAGNUM,2019,238,0,,,1,
wine_01havwef7ya7xsapjneazpzm2z,185,MATHUSALEM,2019,290,0,,,1,
wine_01gzr4ksdgjjpdxvted1cpey4d,187,BOTTLE,2022,26,0,,,6,
wine_01h0qsxmw6nhm703kat91s5t3n,192,HALF_BOTTLE,2019,59,0,,,3,
wine_01h0sq494wn3fzrae5avkkf6mt,51,BOTTLE,2018,47,0,,,2,
wine_01h0sq494wn3fzrae5avkkf6mt,51,BOTTLE,2019,47,0,,,5,
wine_01hbdnwg9520pzpkqx31n2978t,53,BOTTLE,2010,195,0,,,1,
wine_01hbdnwg9520pzpkqx31n2978t,53,BOTTLE,2009,195,0,,,1,
wine_01hbdnwg9520pzpkqx31n2978t,53,BOTTLE,2011,195,0,,,2,
wine_01h0sq48vhhn1brkpy620a1fyk,93,BOTTLE,2022,38,0,,,5,
wine_01gzr4ktnt2fyvhxdcpdmzf0mp,10,BOTTLE,2016,0,0,,,0,
wine_01gzr4ksd78ehmmtvanytr2tec,15,BOTTLE,2015,0,0,,,0,
wine_01h4pmmgzhpe7y4jsmk8wsmd6w,16,BOTTLE,2011,0,0,,,0,
ROSALIE Cuvee KELLEREI MERAN,32,BOTTLE,2022,25,0,,,4,
wine_01j220jqz5w8a4s3gbbxxd212g,35,BOTTLE,2023,31,0,,,6,
wine_01h0qzm1tfvf6a3bpfs48vrqcy,49,BOTTLE,2022,38,0,,,11,
wine_01h0qzm2wzyfdmfvtvp7c8x5fs,55,BOTTLE,2018,46,0,,,4,
wine_01h0qzm2wzyfdmfvtvp7c8x5fs,55,MAGNUM,2019,46,0,,,2,
wine_01h0qzm0axbqydzx212xvsedzy,57,BOTTLE,2020,38,0,"trebicchieri, Gambero Rosso",,3,
wine_01h0qzm0axbqydzx212xvsedzy,57,BOTTLE,2021,38,0,"trebicchieri, Gambero Rosso",,7,
wine_01h0qzm0ax45vx7esvkqhcztsw,59,BOTTLE,2018,58,0,,,6,
wine_01h0sq47vezrd4vebp8esf2ybf,61,BOTTLE,2018,60,0,Trebicchieri Gambero Rosso,,5,
wine_01h0sq47vezrd4vebp8esf2ybf,61,BOTTLE,2020,60,0,Trebicchieri Gambero Rosso,,6,
wine_01h0sq48vhws9pbek51kw1ferp,70,BOTTLE,2020,67,0,,,4,
wine_01h0sq48vhws9pbek51kw1ferp,70,BOTTLE,2021,67,0,,,12,
wine_01gzr4ksn5pjxvcdzw8y12kegn,83,BOTTLE,2018,240,0,Gambero Rosso,,1,
wine_01gzr4ksn5pjxvcdzw8y12kegn,83,BOTTLE,2019,240,0,Gambero Rosso,,1,
wine_01gzr4ksn5pjxvcdzw8y12kegn,83,BOTTLE,2020,240,0,Gambero Rosso,,1,
wine_01gzr4ksn5pjxvcdzw8y12kegn,83,BOTTLE,2021,240,0,Gambero Rosso,,1,
wine_01h4pmmfh512e49ytdxkctdsdq,84,LITER,2023,18,0,,,10,
wine_01gzr4ksn07qrknrg486gmvw52,89,BOTTLE,2017,79,0,,,6,
wine_01havwefpyhcj37b1yfss2s6me,95,BOTTLE,2019,48,0,,,6,
wine_01h0sq48vhqt4wdwg8jz9sj34q,100,BOTTLE,2017,66,0,,,2,
wine_01h0sq48vhqt4wdwg8jz9sj34q,100,BOTTLE,2018,66,0,,,7,
wine_01j2220hd653cma24yr76zfbpy,131,BOTTLE,2020,71,0,,,5,
