external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
50,WHITE,Weissburgunder “Sirmian” Kellerei Nals Margreid ,,"Gambero Rosso 3 Bicchieri, James Suckling 95 Punkte",BOTTLE,0,4200,0.0,0.0,,
51,WHITE,WEISSBURGUNDER - BERGKELLEREI PASSEIER ,,,BOTTLE,0,4700,0.0,0.0,,
52,WHITE,"Weissburgunder „Tecum“ Weingut Castelfeder nur Magnum 1,50 l - ",,,BOTTLE,0,8900,0.0,0.0,,
53,WHITE,Terlaner „Rarity“ 2010 ,,,BOTTLE,['2010'],19500,0.0,0.0,,
54,WHITE,SYLVANER „PRAEPOSITUS“ - NEUSTIFT ,, Gambero Rosso,BOTTLE,0,3600,0.0,0.0,,
55,WHITE,Sylvaner „Alte Reben“ Pacher Hof ,,,BOTTLE,0,4600,0.0,0.0,,
55,WHITE,Sylvaner „Alte Reben“ Pacher Hof ,,,MAGNUM,0,4600,0.0,0.0,,
56,WHITE,RIESLING DÖNNHOFF „TONSCHIEFER“ ,,,BOTTLE,0,3700,0.0,0.0,,
57,WHITE,"RIESLING „VINSCHGAU“ - FALKENSTEIN (trebicchieri, Gambero Rosso) ",,"trebicchieri, Gambero Rosso",BOTTLE,0,3800,0.0,0.0,,
58,WHITE,Riesling „Geieregg“ Weingut Himmelreich ,,,BOTTLE,0,4000,0.0,0.0,,
59,WHITE,Riesling Anaduron Falkensteiner,,,BOTTLE,0,0,0.0,0.0,,
60,WHITE,KERNER „PRAEPOSITUS“ - KLOSTER NEUSTIFT ,, Wine Hunter Award Platinum & Gold,BOTTLE,0,3600,0.0,0.0,,
61,WHITE,MÜLLER THURGAU „FELDMARSCHALL“ TIEFENBRUNNER ,,Trebicchieri Gambero Rosso,BOTTLE,0,6000,0.0,0.0,,
62,WHITE,Chardonnay „Magred“ Kellerei Nals Margreid ,,James Suckling 92 Punkte,BOTTLE,0,3000,0.0,0.0,,
63,WHITE,Chardonnay „Bioland“ Riedingerhof Meran ,,,BOTTLE,0,3500,0.0,0.0,,
64,WHITE,CHARDONNAY „KREUTH“ KELLEREI TERLAN ,,,BOTTLE,0,3700,0.0,0.0,,
65,WHITE,Chardonnay Riserva „Baron Salvadori“ Kellerei Nals Margreid ,,James Suckling 95 Punkte,BOTTLE,0,5200,0.0,0.0,,
66,WHITE,Chardonnay „Troy“ Kellerei Tramin ,,,BOTTLE,0,9800,0.0,0.0,,
67,WHITE,Sauvignon “Myra” Ansitz Waldgries ,,,BOTTLE,0,3600,0.0,0.0,,
68,WHITE,SAUVIGNON „MANTELE“ KELLEREI NALS MARGREID ,,,BOTTLE,0,3800,0.0,0.0,,
69,WHITE,Sauvignon “Lafoa” Kellerei Schreckbichl ,,,BOTTLE,0,4400,0.0,0.0,,
70,WHITE,Sauvignon Exclusiv der „Vollendete“ Ploner Marling ,,,BOTTLE,0,6700,0.0,0.0,,
71,WHITE,SAUVIGNON “QUARZ” Kellerei Terlan ,,,BOTTLE,0,8400,0.0,0.0,,
