ok,external_id,type,name,winery_name,storage_area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,28,SPARKLING,BRUT FERRARI PERLE' BIANCO,FERRARI,,BOTTLE,2015,80,8000,0,,,Perlé Bianco Riserva,Ferrari,wine_01gzr4ksccrmvta6snft247t35,,32.2725
FALSE,29,SPARKLING,BRUT FERRARI PERLE' CUVEE ZERO,FERRARI,,BOTTLE,2014,100,10000,0,,,Perlé Zero,Ferrari,wine_01gzr4kscc048n1dp9m162cgxe,,34.969368
TRUE,30,SPARKLING,BRUT FERRARI PERLE' NERO,FERRARI,,BOTTLE,2013,110,11000,0,,,Perlé Nero,Ferrari,wine_01gzr4kscc2q9h2vh9dzr6ja8q,,34.969368
TRUE,31,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE COLLEZIONE,FERRARI,,BOTTLE,2001,550,55000,0,,,Giulio Ferrari' Riserva del Fondatore Collezione,Ferrari,wine_01gzr4ksccwywgnay6b8qpby5a,,47.496826
TRUE,31,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE COLLEZIONE,FERRARI,,BOTTLE,2002,550,55000,0,,,Giulio Ferrari' Riserva del Fondatore Collezione,Ferrari,wine_01gzr4ksccwywgnay6b8qpby5a,,47.496826
TRUE,32,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE,FERRARI,,BOTTLE,2008,240,24000,0,,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,44.583126
TRUE,32,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE,FERRARI,,BOTTLE,2010,240,24000,0,,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,44.583126
TRUE,33,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE,FERRARI,,MAGNUM,2007,480,48000,0,,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,44.583126
TRUE,33,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE,FERRARI,,MAGNUM,2008,480,48000,0,,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,44.583126
TRUE,33,SPARKLING,GIULIO FERRARI RIS. DEL FONDATORE,FERRARI,,MAGNUM,2009,480,48000,0,,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,44.583126
TRUE,34,SPARKLING,BRUT,KETTMEIER,,BOTTLE,2018,42,4200,0,,,Athesis Brut,Kettmeir,wine_01h0qzm23rs8gaa77kqcm4f89w,,25.17138
TRUE,35,SPARKLING,BRUT METODO CLASSICO ''TOMBOLA DI PIN'',DE STEFANI,,BOTTLE,2010,50,5000,0,,,Cuvée Tombola di Pin Brut,De Stefani,wine_01h0qsxnwvj0g698rsxts8dvsp,,37.85398
FALSE,36,SPARKLING,BLANC DE BLANC,METODO CLASSICO EXTRA BRUT,,BOTTLE,,40,4000,0,,,Blanc de Blancs Brut,Brut Dargent,wine_01h0sq48dbx15ye4tn9z0sec9v,,28.646189
FALSE,37,SPARKLING,BRUT DURELLO,BELLAGUARDIA,,BOTTLE,2013,45,4500,0,,,Montecchi Il Durello Pas Dosè,Bellaguardia,wine_01gzr4ksf8aa5jqj3f51dm22rx,,34.91755
FALSE,38,SPARKLING,BRUT ROSE',BELLAGUARDIA,,BOTTLE,2016,58,5800,0,,,Capuleti Rosé,Bellaguardia,wine_01gzr4ksf8scka9ne2q6s28w0y,,32.27655
TRUE,39,SPARKLING,DURELLO PAS DOSE',DAL MASO,,BOTTLE,,0,0,0,,,Durello Lessini Riserva Pas Dosé,Dal Maso,wine_01gzr4kth2texnddca89anqz6c,,35.45673
TRUE,40,SPARKLING,EXTRA BRUT CUVEE' MARIANNA,ARUNDA,,BOTTLE,,68,6800,0,,,Cuvée Marianna Extra Brut,Arunda,wine_01h0my5rqp4re1r7j537tvhbys,,41.67991
TRUE,41,SPARKLING,LEONIA POMINO BRUT,FRESCOBALDI,,BOTTLE,2016,45,4500,0,,,Leonia Cuvée Voyage Brut,Frescobaldi,wine_01gzr4ksh5xsax54mcqey9ac0a,,35.87228
TRUE,42,SPARKLING,MATT '55,PIAN DELLE VETTE,,BOTTLE,2014,65,6500,0,,,Matt 55 Metodo Classico,Pian Delle Vette,wine_01gzr4ksjs0gnpjetky8shmg91,,58.50104
TRUE,43,SPARKLING,PLUK BLANC DE NOIR BRUT NATURE,BELLENDA,,BOTTLE,2012,56,5600,0,,,Pluck Blanc de Noirs,Bellenda,wine_01h0my5sjnx64301y2df7hqnrp,,38.497917
TRUE,44,SPARKLING,WURM BLANC DE BLANC BRUT NATURE,BELLENDA,,BOTTLE,2008,60,6000,0,,,Würm Brut Nature,Bellenda,wine_01h0my5sjn5cc9xe07q17vr7mx,,44.95347
TRUE,45,SPARKLING,BRUT FRANCIACORTA DOPPIO ERRE DI,DERBUSCO CIVES,,BOTTLE,,48,4800,0,,,Franciacorta Brut Doppio Erre Di,Derbusco Cives,wine_01gzr4kse4bg9s9j5b4s29c4dx,,57.628464
