ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,,SPARKLING,Laurent-Perrier Millesimè,Laurent-Perrier Millesimè,,BOTTLE,2008,10500,,50,,Brut Millésimé Champagne,Laurent-Perrier,wine_01gzr4ks5h7z6yfdmcpd6fmyrq,1657892,36.091103
TRUE,,SPARKLING,Laurent-Perrier Millesimè (Magnum),Laurent-Perrier Millesimè (Magnum),,MAGNUM,2008,26000,,50,,Brut Millésimé Champagne,Laurent-Perrier,wine_01gzr4ks5h7z6yfdmcpd6fmyrq,1657892,36.091103
TRUE,,SPARKLING,Laurent-Perrier Cuvèe Rosè,Laurent-Perrier Cuvèe Rosè,,BOTTLE,,16500,,50,,Cuvée Rosé Brut Champagne,Laurent-Perrier,wine_01gzr4ks5hfqf9jmzma14b516x,,35.14034
TRUE,,SPARKLING,Laurent-Perrier Grand Siècle,Laurent-Perrier Grand Siècle,,BOTTLE,,22000,,50,,Grand Siècle Champagne (Grande Cuvée),Laurent-Perrier,wine_01gzr4ks5hkcz2qxsp47h8v1jr,1238419,41.34029
TRUE,,SPARKLING,Laurent-Perrier Alexandra Grand Cuvèe Rosè,Laurent-Perrier Alexandra Grand Cuvèe Rosè,,BOTTLE,2004,48000,,50,,Alexandra Champagne Rosé (Grande Cuvée),Laurent-Perrier,wine_01gzr4ks5h2j3msa7p18neys12,8307,44.128662
TRUE,,SPARKLING,Franciacorta Cuvèe Prestige Cà del Bosco,Franciacorta Cuvèe Prestige Cà del Bosco,,BOTTLE,,15000,,50,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,1191278,36.839508
TRUE,,SPARKLING,Veuve Clicquot Cuvèe Saint-Pètersbourg (Magnum),Veuve Clicquot Cuvèe Saint-Pètersbourg (Magnum),,MAGNUM,,24500,,50,,Cuvée Saint-Pétersbourg Brut Champagne,Veuve Clicquot,wine_01gzr4ks5vtmcbtxja8zx2ax6e,1146393,47.697052
TRUE,,SPARKLING,Bollinger Special Cuvée (Magnum),Bollinger Special Cuvée (Magnum),,MAGNUM,,31000,,50,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929,32.23071
TRUE,,SPARKLING,Ruinart Blanc de Blancs (Magnum),Ruinart Blanc de Blancs (Magnum),,MAGNUM,,41000,,50,,Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,1192720,45.06498
TRUE,,SPARKLING,Ruinart Brut Rosè (Magnum),Ruinart Brut Rosè (Magnum),,MAGNUM,,41000,,50,,Dom Ruinart Rosé Brut Champagne,Ruinart,wine_01h0f3cmbmtvmkd6m243g38m9r,,41.963898
TRUE,,SPARKLING,Taittinger Cuvèe Prestige Brut (Jeroboam),Taittinger Cuvèe Prestige Brut (Jeroboam),,JEROBOAM,,41000,,50,,Cuvée Prestige Brut Champagne,Taittinger,wine_01h0f3cmbm11rs6z6r4yhqx5x1,,36.01034
TRUE,,SPARKLING,Vranken Diamant Brut Pommery (Jeroboam),Vranken Diamant Brut Pommery (Jeroboam),,JEROBOAM,,60000,,50,,Diamant Brut Champagne,Vranken,wine_01h4pmmfg1d1yhyy3fvvbqe71h,,37.016346
TRUE,,SPARKLING,Bollinger Special Cuvée (Jeroboam),Bollinger Special Cuvée (Jeroboam),,JEROBOAM,,94000,,50,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929,32.23071
TRUE,,SPARKLING,Taittinger Cuvèe Prestige Brut (Mathusalem),Taittinger Cuvèe Prestige Brut (Mathusalem),,MATHUSALEM,,70000,,50,,Cuvée Prestige Brut Champagne,Taittinger,wine_01h0f3cmbm11rs6z6r4yhqx5x1,,36.01034
TRUE,,SPARKLING,Ruinart Blanc de Blancs (Jeroboam),Ruinart Blanc de Blancs (Jeroboam),,JEROBOAM,,112000,,50,,Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,1192720,45.06498
TRUE,,WHITE,Soave classico Pieropan,Soave classico Pieropan,,BOTTLE,2022,3500,,50,,Soave Classico,Pieropan,wine_01gzr4ksj4ahty016zbqf90zeg,22925,39.443665
TRUE,,WHITE,Lugana Cà dei Frati,Lugana Cà dei Frati,,BOTTLE,2021,3900,,50,,I Frati Lugana,Cà dei Frati,wine_01gzr4ksd21816c7pdatn9v5fq,1136902,48.29022
TRUE,,WHITE,Friulano Primarùl Venica,Friulano Primarùl Venica,,BOTTLE,2021,3800,,50,,Primarűl Friulano,Venica & Venica,wine_01gzr4ksm6n616a3td318x0160,8831630,45.778
TRUE,,WHITE,"Sauvignon ""Ronco delle Mele"" Venica","Sauvignon ""Ronco delle Mele"" Venica",,BOTTLE,2021,7500,,50,,Ronco delle Mele Sauvignon,Venica & Venica,wine_01gzr4ksm64xrr18y47rpcfxx0,1257879,49.672905
TRUE,,WHITE,Chardonnay Jermann,Chardonnay Jermann,,BOTTLE,2021,4100,,50,,Chardonnay,Jermann,wine_01h0qzm233prkg8gewmdrc384y,,22.98838
TRUE,,WHITE,Terre Alte (Sauvignon-P. Bianco-Friulano) Livio Felluga,Terre Alte (Sauvignon-P. Bianco-Friulano) Livio Felluga,,BOTTLE,2019,9800,,50,,Terre Alte,Livio Felluga,wine_01gzr4kskvxsct8qy4tzyt5p7v,15091,49.085564
TRUE,,WHITE,Vintage Tunina Jermann,Vintage Tunina Jermann,,BOTTLE,2020,8500,,50,,Vintage Tunina,Jermann,wine_01h0qzm2337vfbvx938w74edx3,,36.557602
TRUE,,WHITE,Gewürztraminer Hofstätter,Gewürztraminer Hofstätter,,BOTTLE,2021,3800,,50,,Gewürztraminer,J. Hofstätter,wine_01h0qzm1vg3y386agp77mh76qw,,25.421585
TRUE,,WHITE,Gewürztraminer Sanct Valentin St. Michele Appiano,Gewürztraminer Sanct Valentin St. Michele Appiano,,BOTTLE,2021,5100,,50,,Gewürztraminer Sanct Valentin,St. Michael-Eppan,wine_01gzr4ksmv77d19k37hn5xh7nh,,29.644554
TRUE,,WHITE,Terlaner (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,Terlaner (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,,BOTTLE,2022,4200,,50,,Terlaner,Terlan (Terlano),wine_01gzr4ksn5hrrj46e95x5nft46,6292452,57.316208
