external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity,name,storage_area,info,internal_notes
,RED,BAROLO,CAMILLA,PIEMONTE,BAROLO,BRUNA GRIMALDI,2019.0,BOTTLE,50,18.5,18.0,BAROLO CAMILLA,,,Purchase Price: 18.5
,RED,BAROLO,CANNUBI,PIEMONTE,BAROLO,CHIARA BOSCHIS,2000.0,BOTTLE,160,0.0,1.0,BAROLO CANNUBI,,,Purchase Price: 0.0
,RED,BAROLO,CANNUBI,PIEMONTE,BAROLO,FRANCESCO RINALDI E FIGLI,2017.0,BOTTLE,90,38.0,2.0,BAROLO CANNUBI,,,Purchase Price: 38.0
98096785546.0,RED,BAROLO,CAPALOT,PIEMONTE,BAROLO,CRISSANTE,2017.0,BOTTLE,80,28.0,5.0,BAROLO CAPALOT,,,Purchase Price: 28.0
90876535657.0,RED,BAROLO,CERRETTA,PIEMONTE,BAROLO,ETTORE GERMANO,2015.0,BOTTLE,90,31.0,5.0,BAROLO CERRETTA,,,Purchase Price: 31.0
96764352365.0,RED,BAROLO,COMUNE DI MONFORTE,PIEMONTE,BAROLO,DIEGO CONTERNO,2017.0,BOTTLE,80,35.0,3.0,BAROLO COMUNE DI MONFORTE,,,Purchase Price: 35.0
,RED,BAROLO,GALINA,PIEMONTE,BAROLO,CRISSANTE,2016.0,BOTTLE,70,30.0,1.0,BAROLO GALINA,,,Purchase Price: 30.0
98078956.0,RED,BAROLO,MARENCA,PIEMONTE,PIEMONTE,PIRA,2018.0,BOTTLE,80,28.0,1.0,BAROLO MARENCA,,,Purchase Price: 28.0
564739392302.0,RED,BAROLO,MONFORTINO,PIEMONTE,BAROLO,GIACOMO CONTERNO,2014.0,MAGNUM,2800,700.0,1.0,BAROLO MONFORTINO,,,Purchase Price: 700.0
,RED,BAROLO,MONFORTINO,PIEMONTE,BAROLO,GIACOMO CONTERNO,2015.0,MAGNUM,3000,800.0,1.0,BAROLO MONFORTINO,,,Purchase Price: 800.0
90878965.0,RED,BAROLO,MONVIGLIERO RISERVA,PIEMONTE,BAROLO,CASTELLO DI VERDUNO,2013.0,BOTTLE,135,50.0,1.0,BAROLO MONVIGLIERO RISERVA,,,Purchase Price: 50.0
,RED,BAROLO,PERCRISTINA,PIEMONTE,BAROLO,DOMENICO CLERICO,2011.0,BOTTLE,220,110.0,2.0,BAROLO PERCRISTINA,,,Purchase Price: 110.0
8033254937688.0,RED,BAROLO,PRAPÒ,PIEMONTE,LANGHE,CERETTO,2016.0,MAGNUM,420,230.0,1.0,BAROLO PRAPÒ,,,Purchase Price: 230.0
,RED,BAROLO,SERRALUNGA,PIEMONTE,BAROLO,PIRA,2019.0,BOTTLE,65,22.0,6.0,BAROLO SERRALUNGA,,,Purchase Price: 22.0
3582100840.0,RED,BAROLO,TEBAVIO,PIEMONTE,BAROLO,TENUTA ILLUMINATA,2007.0,BOTTLE,70,23.0,2.0,BAROLO TEBAVIO,,,Purchase Price: 23.0
,RED,BAROLO,TEBAVIO,PIEMONTE,BAROLO,TENUTA ILLUMINATA,2009.0,BOTTLE,75,24.0,1.0,BAROLO TEBAVIO,,,Purchase Price: 24.0
,RED,BAROLO,TEBAVIO,PIEMONTE,BAROLO,TENUTA ILLUMINATA,2014.0,BOTTLE,70,23.0,1.0,BAROLO TEBAVIO,,,Purchase Price: 23.0
8978965.0,RED,BAROLO,TRETURNE,PIEMONTE,LANGHE,FOGLIATI,2017.0,BOTTLE,65,24.0,1.0,BAROLO TRETURNE,,,Purchase Price: 24.0
98541234.0,RED,BAROLO,VIGNA CAPPELLA S.STEFANO,PIEMONTE,BAROLO,ROCCHE DEI MANZONI,2009.0,BOTTLE,120,47.0,1.0,BAROLO VIGNA CAPPELLA S.STEFANO,,,Purchase Price: 47.0
879678567543.0,WHITE,BIANCO,BIANCO,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021.0,BOTTLE,38,12.9,4.0,BIANCO BIANCO,,,Purchase Price: 12.9
,WHITE,BIANCO,CAPO MARTINO,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021.0,BOTTLE,75,35.0,11.0,BIANCO CAPO MARTINO,,,Purchase Price: 35.0
4260085770441.0,WHITE,BIANCO,CAPRICE,GERMANIA,MOSELLA,HOFFLIN,2021.0,BOTTLE,28,10.9,6.0,BIANCO CAPRICE,,,Purchase Price: 10.9
,WHITE,BIANCO,LALLA,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR VIGNA SAN GIORGIO,2022.0,BOTTLE,28,9.8,3.0,BIANCO LALLA,,,Purchase Price: 9.8
,WHITE,BIANCO,MARENEVE,SICILIA,ETNA,FEDERICO GRAZIANI,2021.0,BOTTLE,0,0.0,12.0,BIANCO MARENEVE,,,Purchase Price: 0.0
309786756453.0,WHITE,BIANCO,MILLEUVE,FRIULI VENEZIA GIULIA,VINO DA UVE COMUNITARIE,BORGO DEL TIGLIO,2021.0,BOTTLE,25,8.0,60.0,BIANCO MILLEUVE,,,Purchase Price: 8.0
7896753424.0,WHITE,BIANCO,SAN GIORGIO,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR VIGNA SAN GIORGIO,2020.0,BOTTLE,50,20.5,6.0,BIANCO SAN GIORGIO,,,Purchase Price: 20.5
8030421004730.0,WHITE,BIANCO,TERRE ALTE,FRIULI VENEZIA GIULIA,COF,LIVIO FELLUGA,2018.0,BOTTLE,85,35.0,2.0,BIANCO TERRE ALTE,,,Purchase Price: 35.0
666677788.0,WHITE,BIANCO,VIGNAI DELL ABBATE,FRIULI VENEZIA GIULIA,COF,VIGNAI DELL ABBATE,2005.0,BOTTLE,55,15.0,2.0,BIANCO VIGNAI DELL ABBATE,,,Purchase Price: 15.0
24356768.0,WHITE,BIANCO,VINTAGE TUNINA,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2005.0,BOTTLE,100,25.0,1.0,BIANCO VINTAGE TUNINA,,,Purchase Price: 25.0
8033324032374.0,WHITE,BIANCO,VINTAGE TUNINA,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2012.0,MAGNUM,150,55.0,1.0,BIANCO VINTAGE TUNINA,,,Purchase Price: 55.0
8033324031377.0,WHITE,BIANCO,VINTAGE TUNINA,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021.0,MAGNUM,170,85.0,1.0,BIANCO VINTAGE TUNINA,,,Purchase Price: 85.0
8033324031421.0,WHITE,BIANCO,WHERE DREAMS,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021.0,BOTTLE,70,33.0,6.0,BIANCO WHERE DREAMS,,,Purchase Price: 33.0
