ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,,RED,BAROLO BRUNATE,FRANCESCO RINALDI E FIGLI,,BOTTLE,2018,85,,4,Purchase Price: 39.0,Barolo Le Brunate,Francesco Rinaldi & Figli,wine_01gzr4kt39y32kermecattmc7a,,56.942074
TRUE,8033254937716,RED,BAROLO BUSSIA,CERETTO,,MAGNUM,2016,420,,1,Purchase Price: 230.0,Bussia Barolo,Ceretto,wine_01gzr4kt6eya318dp2ab2ndw5q,,42.885433
TRUE,,RED,BAROLO CAMILLA,BRUNA GRIMALDI,,BOTTLE,2019,50,,18,Purchase Price: 18.5,Camilla Barolo,Bruna Grimaldi,wine_01h0my5seykbyz5xvw6s942c0k,,49.90817
TRUE,,RED,BAROLO CANNUBI,CHIARA BOSCHIS,,BOTTLE,2000,160,,1,Purchase Price: 0.0,Barolo Cannubi,Boschis,wine_01h0qzm060da4m3xahm30twyh0,,41.374077
TRUE,,RED,BAROLO CANNUBI,FRANCESCO RINALDI E FIGLI,,BOTTLE,2017,90,,2,Purchase Price: 38.0,Barolo Cannubi,Francesco Rinaldi & Figli,wine_01gzr4kt39039e1h199z2f6bn2,,58.747234
TRUE,98096785546,RED,BAROLO CAPALOT,CRISSANTE,,BOTTLE,2017,80,,5,Purchase Price: 28.0,Capalot Barolo,Crissante Alessandria,wine_01h0r2pqchkezj10fhw7c0fkah,,41.719147
TRUE,90876535657,RED,BAROLO CERRETTA,ETTORE GERMANO,,BOTTLE,2015,90,,5,Purchase Price: 31.0,Barolo Cerretta,Ettore Germano,wine_01gzr4ksqcvtff7mhbnkee2g61,1712697,56.49168
TRUE,96764352365,RED,BAROLO COMUNE DI MONFORTE,DIEGO CONTERNO,,BOTTLE,2017,80,,3,Purchase Price: 35.0,Barolo Del Comune di Monforte d''Alba,Diego Conterno,wine_01gzr4kt6xmd29qhj86g7x6v3z,,53.056213
TRUE,,RED,BAROLO GALINA,CRISSANTE,,BOTTLE,2016,70,,1,Purchase Price: 30.0,Galina Barolo,Crissante Alessandria,wine_01h0my5sf7s2dv1ae1sjhga2w4,,40.205612
TRUE,98078956,RED,BAROLO MARENCA,PIRA,,BOTTLE,2018,80,,1,Purchase Price: 28.0,Barolo Marenca,Pira Luigi,wine_01gzr4kt5y5c23qkejxskmv61f,,32.43483
