external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
879678567543,WHITE,BIANCO,BIANCO,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021,"0,75",38,12.9,4
,WHITE,BIANCO,CAPO MARTINO,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021,"0,75",75,35,11
4260085770441,WHITE,BIANCO,CAPRICE,GERMANIA,MOSELLA,HOFFLIN,2021,"0,75",28,10.9,6
,WHITE,BIANCO,LALLA,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR VIGNA SAN GIORGIO,2022,"0,75",28,9.8,3
,WHITE,BIANCO,MARENEVE,SICILIA,ETNA,FEDERICO GRAZIANI,2021,"0,75",0,0,12
309786756453,WHITE,BIANCO,MILLEUVE,FRIULI VENEZIA GIULIA,VINO DA UVE COMUNITARIE,BORGO DEL TIGLIO,2021,"0,75",25,8,60
7896753424,WHITE,BIANCO,SAN GIORGIO,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR VIGNA SAN GIORGIO,2020,"0,75",50,20.5,6
8030421004730,WHITE,BIANCO,TERRE ALTE,FRIULI VENEZIA GIULIA,COF,LIVIO FELLUGA,2018,"0,75",85,35,2
666677788,WHITE,BIANCO,VIGNAI DELL ABBATE,FRIULI VENEZIA GIULIA,COF,VIGNAI DELL ABBATE,2005,"0,75",55,15,2
24356768,WHITE,BIANCO,VINTAGE TUNINA,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2005,"0,75",100,25,1
8033324032374,WHITE,BIANCO,VINTAGE TUNINA,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2012,MG,150,55,1
8033324031377,WHITE,BIANCO,VINTAGE TUNINA,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021,MG,170,85,1
8033324031421,WHITE,BIANCO,WHERE DREAMS,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021,"0,75",70,33,6
8025493523173,RED,CABERNET FRANC,CABERNET FRANC,FRIULI VENEZIA GIULIA,COLLIO,RUSSIZ SUPERIORE,2021,"0,75",33,12,16
87654657687965,SPARKLING,CHAMPAGNE,BLANC DE BLANCS,FRANCIA,CHAMPAGNE,MAURICE GRUMIER,,"0,75",90,37,6
5678976228,SPARKLING,CHAMPAGNE,BLANC DE BLANCS EB GRAN CRU,FRANCIA,CHAMPAGNE,VAUVERSIN,,"0,75",70,32,12
3760105450236,SPARKLING,CHAMPAGNE,BLANC DE BLANCS GRAN CRU,FRANCIA,CHAMPAGNE,LEGRAS & HAAS,,"0,75",85,39,1
76985786798656,SPARKLING,CHAMPAGNE,BLANC DE BLANCS GRAN CRU EB,FRANCIA,CHAMPAGNE,LEMESNIL,,"0,75",75,28,5
1234567802022,SPARKLING,CHAMPAGNE,BLANC DE BLANCS NATURE,FRANCIA,CHAMPAGNE,LAHERTE FRERES,,"0,75",95,42,2
3446281300038,SPARKLING,CHAMPAGNE,BLANCS DE BLANC,FRANCIA,CHAMPAGNE,PALMER & C,,"0,75",80,35.5,1
3418760000654,SPARKLING,CHAMPAGNE,BRUT,FRANCIA,CHAMPAGNE,DELAMOTTE,,"0,75",75,35,2
3353210019711,SPARKLING,CHAMPAGNE,BRUT EXCELLENCE,FRANCIA,CHAMPAGNE,GOSSET,,"0,75",75,27,3
8767564563454,SPARKLING,CHAMPAGNE,BRUT NAURE ZERO,FRANCIA,CHAMPAGNE,TARLANT,,"0,75",85,39,1
3114080404355,SPARKLING,CHAMPAGNE,COLLECTIO 243,FRANCIA,CHAMPAGNE,LOUIS ROEDERER,,"0,75",90,45,6
