external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
98678645465,,SCHIOPETTINO,SCHIOPETTINO,FRIULI VENEZIA GIULIA,CIALLA,RONCHI DI CIALLA,2096,"0,75",150,54,2
8010788010377,,SCHIOPETTINO,SCHIOPETTINO,FRIULI VENEZIA GIULIA,COF,RONCO CASALI,2022,"0,75",28,9,22
987654456,SPARKLING,SPUMANTE,51151,TRENTO,TRENTO,MOSER,,"0,75",38,15.8,12
89786755,SPARKLING,SPUMANTE,BLANCS DE BLANCS EXTRA BRUT RIS,TRENTINO-ALTO ADIGE,TRENTO,CAMARANI,2018,"0,75",40,15.5,2
8032685710044,SPARKLING,SPUMANTE,LA SCALA BRUT,LOMBARDIA,FRANCIACORTA,BELLAVISTA,2015,"0,75",55,27.5,30
4260463680409,SPARKLING,SPUMANTE,MADEMOISELLE,GERMANIA,MOSELLA,VILLA HUESGEN,2019,"0,75",45,20,6
8053676061709,SPARKLING,SPUMANTE,MOLINAR EB,ITALIA,TRENTINO,POJER E SANDRI,2017,"0,75",100,55,1
8015920202788,SPARKLING,SPUMANTE,RIBOLLA GIALLA,FRIULI VENEZIA GIULIA,COLLIO,CANTINA PRODUTTORI CORMONS,,"0,75",22,4.3,117
8053676061204,SPARKLING,SPUMANTE,ROSÈ BRUT,TRENTINO-ALTO ADIGE,TRENTO,POJER E SANDRI,,"0,75",40,17.6,14
8908965654634,SPARKLING,SPUMANTE,TRENTO NATURE,TRENTINO-ALTO ADIGE,TRENTO,PEDROTTI,,"0,75",38,15,72
45453212,,TREBBIANO,TREBBIANO,ABRUZZO,ABRUZZO,EMIDIO PEPE,2006,"0,75",150,0,1
8032947170036,,VERDICCHIO,VILLA BUCCI,MARCHE,MARCHE,BUCCI,2015,"0,75",55,22,1
8032947170012,,VERDICCHIO,VILLA BUCCI,MARCHE,MARCHE,BUCCI,2018,"0,75",60,27,1
701197961753,,VITOVSKA,VITOVSKA,FRIULI VENEZIA GIULIA,CARSO,RUJ,2021,"0,75",25,7,24
