type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
WHITE,Reserve della Contessa  MAG - biodyn,MAGNUM,2023,Manincor,4, 27.80 € ,78
WHITE,Manna Cru,,2023,Franz Haas,18, 21.40 € ,54
WHITE,(Chardonnay-Riesling-Gewürztraminer),,,,,,
WHITE,Mann Cru MAG,MAGNUM,2022,Franz Haas,3, 44.20 € ,108
WHITE,(Chardonnay-Riesling-Gewürztraminer),,,,,,
WHITE,Nova Domus,,2021,Terlan,4, 31.10 € ,72
WHITE,(Pinot bianco-Sauvignon-Chardonnay),,,,,,
WHITE,Nova Domus,,2019,,2,,
WHITE,Nova Domus MAG,MAGNUM,2020,Terlan,2, 65.80 € ,144
WHITE,(Pinot bianco-Sauvignon-Chardonnay),,,,,,
WHITE,Stoan,,2022,Tramin,17, 20.80 € ,53
WHITE,(Chard.-Weissb.-Sauv.-Gewürztraminer),,,,,,
WHITE,Stoan MAG,MAGNUM,2020,Tramin,5, 44.80 € ,106
WHITE,Stoan 3L,JEROBOAM,2023,Tramin,1, 99.90 € ,212
WHITE,Beyond the clouds,,2020,Elena Walch,5, 59.00 € ,110
WHITE,Beyond the clouds,,2019,,1,,
WHITE,Beyond the clouds,,2021,,6,,
WHITE,(Chardonnay - …),,,,,,
WHITE,Pulsar Blanc – Natural wine in Anfora,,2017,Roberto Ferrari,12, 33.30 € ,69
WHITE,Pulsar Blanc – Natural wine in Anfora,,2016,,1,,
WHITE,Pulsar Blanc – Natural wine in Anfora,,2018,,16,,
WHITE,(Riesling – Gewürztraminer – Chardonnay),,,,,,
WHITE,Abendrot – Natural wine   Wein.Werk,,2018,Thomas Niedermayr,7, 26.00 € ,62
WHITE,(100% Souvignier gris),,,,,,
WHITE,Abendrot – Natural wine   Wein.Werk,,2019,,24,,
WHITE,Johanniter   Wein.werk,,2020,Burgerhof,18, 12.50 € ,38
WHITE,(100% Johanniter),,,,,,
WHITE,Johanniter   Wein.werk MAG,MAGNUM,2018,Burgerhof,1, 28.80 € ,76
WHITE,,,,,,,
WHITE,"Chardonnay ""Doss""",,2024,Castelfeder,78, 9.50 € ,32
WHITE,Chardonnay Cardellino,,2023,Elena Walch,13, 13.05 € ,39
WHITE,Chardonnay Cardellino MAG,MAGNUM,2023,Elena Walch,4, 33.55 € ,78
WHITE,Chardonnay „Löwengang“ - biodyn,,2021,Alois Lageder,12, 46.50 € ,
WHITE,"Chardonnay ""Löwengang"" - biodyn",,2018,,4,,89
WHITE,Chardonnay „La Foa“,,2022,Schreckbichl,12, 20.40 € ,52
WHITE,Chardonnay „La Foa“ Mag,MAGNUM,2022,Schreckbichl,3, 44.80 € ,104
WHITE,Chardonnay St.Valentin,,2022,St.Michael Eppan,9, 20.00 € ,51
WHITE,,,,,,,
WHITE,Terlaner Weissburgunder Berg,,2022,Niedrist,12, 15.80 € ,44
