Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,290,Cabernet,Rarum,"Cabernet Löwengang Rarum (gem Kiste, 70,00€ pro Flasche) 1998,1996, 2003, 2005, 2007, 2010;",Alois Lageder,Überetsch,Lageder, 70.00 € , 70.00 € , 14.00 € , 154.00 € , 154.00 € , 159.00 € , 140.91 € ,5.00 €, € 26.50 ,5,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
,291,Cabernet,2021,Turmhof Cabernet Sauvignon,Schlosskellerei Tiefenbrunner,Unterland,Cuzziol/FW, 12.50 € , 25.00 € , 3.75 € , 41.25 € , 41.00 € , 39.00 € , 25.16 € ,-2.00 €, € 6.50 ,17,29,27,19,,2,,,,3,3,,1,,2,,,,,,,,,,,,1,,2,,,1,,,,1,,,,3,2,,2,,,,,4,,3,1,,,,,1,,,,,,
,292,Cabernet,2015,Risorgimento,LPR,Unterand,WD, 119.00 € , 80.00 € , 19.90 € , 218.90 € , 219.00 € , 229.00 € , 239.55 € ,10.00 €, € 38.17 ,8,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,292.5,Syrah,2019,Syrah Marra,Niedrist,Unterand,FW, 27.90 € , 30.00 € , 5.79 € , 63.69 € , 64.00 € , 64.00 € , 56.16 € ,0.00 €, € 10.67 ,,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,293,Cuvèe,2021,Reserve del Conte - Bio,Weingut Manincor,Unterland,O, 13.75 € , 25.00 € , 3.88 € , 42.63 € , 43.00 € , 43.00 € , 27.68 € ,0.00 €, € 7.17 ,15,96,90,21,,2,3,1,,7,2,,5,1,2,1,,,,,,,,,,1,1,1,3,3,1,3,,,,1,1,3,1,,1,2,1,1,3,1,1,3,,2,3,5,1,,28,2,,,,,,
,294,Cuvèe,2020,Palestina,Lentsch,Unterland,WD, 20.90 € , 30.00 € , 5.09 € , 55.99 € , 56.00 € , 52.00 € , 42.07 € ,-4.00 €, € 8.67 ,,147,92,55,,3,6,1,3,4,2,,6,4,4,1,,,,,,,,,1,1,,2,3,2,1,,1,3,1,2,2,3,2,,1,4,8,1,4,2,,1,4,3,,2,3,,8,3,,,,,,
,295,Cuvèe,2009,Palestina (reserviert),Lentsch,Unterland,WD, 27.90 € , 35.00 € , 6.29 € , 69.19 € , 69.00 € , 69.00 € , 56.16 € ,0.00 €, € 11.50 ,7,,7,0,,,,1,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,296,Cuvèe,2016,Learn,Glassierhof,Unterland,WD, 21.30 € , 30.00 € , 5.13 € , 56.43 € , 56.00 € , 56.00 € , 42.88 € ,0.00 €, € 9.33 ,11,26,26,11,,,,1,,,,,,,,,,,,,,,,,,,,,1,,3,3,,,,3,,,1,1,,,1,1,3,1,4,2,,1,,,,,1,1,,,,,,
,297,Cuvèe,2017,Iugum,Weingut Peter Dipoli,Unterland,FW, 28.00 € , 30.00 € , 5.80 € , 63.80 € , 64.00 € , 61.00 € , 56.36 € ,-3.00 €, € 10.17 ,11,28,22,17,,,,,,,,1,,,,,1,,,,,,,,,,1,1,2,1,1,,1,,,,,1,,2,1,,,,,8,,,3,1,,,,,1,,,,,,,
,298,Cuvèe,2019,Frauenriegel,Weingut Peter Dipoli,Unterland,FW, 32.60 € , 30.00 € , 6.26 € , 68.86 € , 69.00 € , 75.00 € , 65.62 € ,6.00 €, € 12.50 ,7,33,35,5,,2,,,,1,2,1,,2,2,3,,,,,,,,,1,,2,3,1,,,1,,,,,2,2,1,2,1,1,1,1,,,2,1,,,,,,,,,,,,,,
