Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,343,italienische Weine,2007,Barolo Le Vigne sibi et paucis,Sandrone Luciano,Piemonte,FW, 81.00 € , 80.00 € , 16.10 € , 177.10 € , 177.00 € , 190.00 € , 163.05 € ,13.00 €, € 31.67 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344,italienische Weine,2014,Barolo Aleste,Sandrone Luciano,Piemonte,FW, 59.00 € , 60.00 € , 11.90 € , 130.90 € , 131.00 € , 127.00 € , 118.77 € ,-4.00 €, € 21.17 ,5,,0,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,345,italienische Weine,2018,Barolo Aleste,Sandrone Luciano,Piemonte,FW, 59.00 € , 60.00 € , 11.90 € , 130.90 € , 131.00 € , 128.00 € , 118.77 € ,-3.00 €, € 21.33 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346,italienische Weine,2009,Barolo Cannubi Boschis sibi et paucis,Sandrone Luciano,Piemonte,FW, 75.00 € , 75.00 € , 15.00 € , 165.00 € , 165.00 € , 183.00 € , 150.98 € ,18.00 €, € 30.50 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,347,italienische Weine,2018,Barolo Marcenasco,Ratti Renato,Piemonte,FW, 28.00 € , 30.00 € , 5.80 € , 63.80 € , 64.00 € , 62.00 € , 56.36 € ,-2.00 €, € 10.33 ,7,,2,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
,348,italienische Weine,2012,Barolo Falletto,Bruno Giacosa,Piemonte,Matma, 110.00 € , 90.00 € , 20.00 € , 220.00 € , 220.00 € , 220.00 € , 221.43 € ,0.00 €, € 36.67 ,6,,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,italienische Weine,2018,Barolo Gattera,Mauro Veglio,Piemonte,Cuzziol, 33.00 € , 30.00 € , 6.30 € , 69.30 € , 69.00 € , 69.00 € , 66.43 € ,0.00 €, € 11.50 ,0,30,13,17 ,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,1,,2,,,,,,,
,350,italienische Weine,2020,Barbera d´alba Cascina,Mauro Veglio,Piemonte,Cuzziol, 21.00 € , 30.00 € , 5.10 € , 56.10 € , 56.00 € , 56.00 € , 42.27 € ,0.00 €, € 9.33 ,0,15,7,8 ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,3,,,3,,,,,,,,,,,,,
,350,italienische Weine,2009,Barolo Cannubi Boschis sibi et paucis Magnum,Sandrone Luciano,Piemonte,FW, 155.00 € , 150.00 € , 30.50 € , 335.50 € , 336.00 € , 336.00 € , 312.02 € ,0.00 €, € 56.00 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,351,italienische Weine,2018,Barbaresco Rabajà,Giuseppe Cortese,Piemonte,FW, 35.75 € , 30.00 € , 6.58 € , 72.33 € , 72.00 € , 72.00 € , 71.96 € ,0.00 €, € 12.00 ,7,,6,1 ,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,352,italienische Weine,2017,Barbaresco Ovello,Produttori di Barbaresco,Piemonte,FW, 26.00 € , 30.00 € , 5.60 € , 61.60 € , 62.00 € , 62.00 € , 52.34 € ,0.00 €, € 10.33 ,1,3,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,353,italienische Weine,2015,Barbaresco Riserva Basarin BIO,Punset,Piemonte,WD, 28.90 € , 30.00 € , 5.89 € , 64.79 € , 65.00 € , 65.00 € , 58.18 € ,0.00 €, € 10.83 ,,15,8,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,4,,,,,,,
,354,italienische Weine,2019,Chianti Classico,Isole e Olena,Toscana,FW, 15.80 € , 30.00 € , 4.58 € , 50.38 € , 50.00 € , 42.00 € , 31.81 € ,-8.00 €, € 7.00 ,13,6,11,8 ,,,,3,,4,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
,355,italienische Weine,2017,Chianti Classico Riserva,Caparsa,Toscana,Cuzziol, 23.00 € , 30.00 € , 5.30 € , 58.30 € , 58.00 € , 58.00 € , 46.30 € ,0.00 €, € 9.67 ,6,,2,4 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,356,italienische Weine,2019/20,Chianti Classico ,Fontodi,Toscana,karner, 22.90 € , 30.00 € , 5.29 € , 58.19 € , 58.00 € , 55.00 € , 46.10 € ,-3.00 €, € 9.17 ,11,5,4,12 ,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
,357,italienische Weine,2013,Chianti Classico Vigna del Sorbo,Fontodi,Toscana,karner, 59.90 € , 50.00 € , 10.99 € , 120.89 € , 121.00 € , 121.00 € , 120.58 € ,0.00 €, € 20.17 ,4,4,6,2 ,,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
,358,italienische Weine,2019,Flaccianello,Fontodi,Toscana,karner, 99.00 € , 70.00 € , 16.90 € , 185.90 € , 186.00 € , 195.00 € , 199.29 € ,9.00 €, € 32.50 ,3,3,2,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
,359,italienische Weine,1999,Chianti Classico Castello Fonterutoli,Mazzei,Toscana,Karner, 40.00 € , 40.00 € , 8.00 € , 88.00 € , 88.00 € , 92.00 € , 80.52 € ,4.00 €, € 15.33 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,italienische Weine,2021,Rosso di Montalcino,Tenuta Collosorbo,Toscana,FW, 10.90 € , 25.00 € , 3.59 € , 39.49 € , 39.00 € , 39.00 € , 21.94 € ,0.00 €, € 6.50 ,7,12,9,10 ,,,,,,,2,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,
,361,italienische Weine,2018,Brunello di Montalcino,Tenuta Collosorbo,Toscana,FW, 25.00 € , 30.00 € , 5.50 € , 60.50 € , 61.00 € , 61.00 € , 50.33 € ,0.00 €, € 10.17 ,12,12,16,8 ,,,,,,,1,3,1,,,,,,,,,,,,1,1,,1,4,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,2,,,,,,
,362,italienische Weine,2016,Brunello di Montalcino,Tenuta Mastrojanni,Toscana,FW, 37.80 € , 35.00 € , 7.28 € , 80.08 € , 80.00 € , 80.00 € , 76.09 € ,0.00 €, € 13.33 ,7,3,4,6 ,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,363,italienische Weine,2012,Brunello di Montalcino Cupano BIO,Tenuta Cupano ,Toscana,WD, 67.20 € , 60.00 € , 12.72 € , 139.92 € , 140.00 € , 139.00 € , 135.27 € ,-1.00 €, € 23.17 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,364,italienische Weine,2016,Flaccianello,Poggio di Sotto,Toscana,Karner, 134.60 € , 80.00 € , 21.46 € , 236.06 € , 236.00 € , 245.00 € , 270.95 € ,9.00 €, € 40.83 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,366,italienische Weine,2016,Caiarossa,Caiarossa,Toscana,Akos, 28.00 € , 40.00 € , 6.80 € , 74.80 € , 75.00 € , 83.00 € , 56.36 € ,8.00 €, € 13.83 ,3,,2,1 ,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,367,italienische Weine,2019,Caiarossa,Caiarossa,Toscana,Akos, 34.00 € , 40.00 € , 7.40 € , 81.40 € , 81.00 € , 84.00 € , 68.44 € ,3.00 €, € 14.00 ,,12,0,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,367,italienische Weine,2012,Caiarossa,Caiarossa,Toscana,Akos, 28.00 € , 40.00 € , 6.80 € , 74.80 € , 75.00 € , 84.00 € , 56.36 € ,9.00 €, € 14.00 ,12,12,11,13 ,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,2,,,,,,,
,368,italienische Weine,2012/13,Aria di Caiarossa,Caiarossa,Toscana,Akos, 15.00 € , 30.00 € , 4.50 € , 49.50 € , 50.00 € , 52.00 € , 30.20 € ,2.00 €, € 8.67 ,24,22,37,9 ,,6,1,,5,1,1,2,,,,1,,,,,,,,,1,8,,,,1,,,,,2,2,,,,,,1,,,,1,,1,,1,,,,,2,,,,,,,
,369,italienische Weine,2019,Aria di Caiarossa,Caiarossa,Toscana,Akos, 16.00 € , 30.00 € , 4.60 € , 50.60 € , 51.00 € , 53.00 € , 32.21 € ,2.00 €, € 8.83 ,,12,,12 ,,6,1,,5,1,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,
,369,italienische Weine,2020,Le Pergole Torte,Montevertine,Toscana,FW, 85.00 € , 85.00 € , 90.00 € , 260.00 € , 260.00 € , 260.00 € , 240.00 € ,0.00 €, € 43.33 ,2,3,0,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370,italienische Weine,2019,Montevertine,Montevertine,Toscana,FW, 36.00 € , 35.00 € , 7.10 € , 78.10 € , 78.00 € , 78.00 € , 72.47 € ,0.00 €, € 13.00 ,2,3,2,3 ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,370.2,italienische Weine,2019,La Massa,La Massa,Toscana,Karner, 13.97 € , 25.00 € , 3.90 € , 42.87 € , 43.00 € , 43.00 € , 28.12 € ,0.00 €, € 7.17 ,,6,2,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,372,italienische Weine,2019,Giorgio Primo,La Massa,Toscana,Karner, 80.08 € , 60.00 € , 14.01 € , 154.09 € , 154.00 € , 154.00 € , 161.20 € ,0.00 €, € 25.67 ,,3,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371,italienische Weine,2016,"Brunello di Montalcino ""Le Lucere""",San Filippo,Toscana,Mahatma, 69.90 € , 60.00 € , 12.99 € , 142.89 € , 143.00 € , 145.00 € , 140.71 € ,2.00 €, € 24.17 ,3,3,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,373,italienische Weine,2021,Insoglio del Cinghiale,Tenuta di Biserno,Toscana,FW, 15.90 € , 25.00 € , 4.09 € , 44.99 € , 45.00 € , 45.00 € , 32.01 € ,0.00 €, € 7.50 ,4,23,10,17 ,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,5,,,,,,,
,374,italienische Weine,2019,Il Pino di Biserno,Tenuta di Biserno,Toscana,Karner, 28.45 € , 30.00 € , 5.85 € , 64.30 € , 64.00 € , 68.00 € , 57.27 € ,4.00 €, € 11.33 ,7,,2,5 ,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,375,italienische Weine,2018,Tignanello ,Antinori,Toscana,Karner, 64.68 € , 60.00 € , 12.47 € , 137.15 € , 137.00 € , 155.00 € , 130.20 € ,18.00 €, € 25.83 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,376,italienische Weine,2019,Tignanello ,Antinori,Toscana,Karner, 79.95 € , 70.00 € , 15.00 € , 164.95 € , 165.00 € , 165.00 € , 160.94 € ,0.00 €, € 27.50 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,377,italienische Weine,2011,Sassicaia,Tenuta San Guido,Toscana,O, 143.75 € , 140.00 € , 28.38 € , 312.13 € , 312.00 € , 290.00 € , 289.37 € ,-22.00 €, € 48.33 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,378,italienische Weine,2012,Sassicaia,Tenuta San Guido,Toscana,O, 143.75 € , 141.00 € , 28.48 € , 313.23 € , 313.00 € , 299.00 € , 289.37 € ,-14.00 €, € 49.83 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,379,italienische Weine,2018,Cabernet Franc,Duemani,Toscana,WD, 84.00 € , 80.00 € , 16.40 € , 180.40 € , 180.00 € , 180.00 € , 169.09 € ,0.00 €, € 30.00 ,1,3,1,3 ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,380,italienische Weine,2007,Barolo Cannubi Boschis ,Sandrone Luciano,Piemonte,Mahatma, 161.00 € , 130.00 € , 29.10 € , 320.10 € , 320.00 € , 318.00 € , 324.09 € ,-2.00 €, € 53.00 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,381,italienische Weine,2011,Barolo Le Vigne,Sandrone Luciano,Piemonte,Mahatma, 61.00 € , 60.00 € , 12.10 € , 133.10 € , 133.00 € , 135.00 € , 122.79 € ,2.00 €, € 22.50 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,382,italienische Weine,2013,Vite talin,Sandrone Luciano,Piemonte,FW, 185.00 € , 136.00 € , 32.10 € , 353.10 € , 353.00 € , 450.00 € , 372.41 € ,97.00 €, € 75.00 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,383,italienische Weine,2016,Vite talin,Sandrone Luciano,Piemonte,FW, 185.00 € , 180.00 € , 36.50 € , 401.50 € , 402.00 € , 440.00 € , 372.41 € ,38.00 €, € 73.33 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,384,italienische Weine,2013,Masseto,Tenuta dell'Ornellaia,Toscana,Mahatma, 535.00 € , 200.00 € , 73.50 € , 808.50 € , 809.00 € , 980.00 € ," 1,076.96 € ",171.00 €, € 163.33 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,385,italienische Weine,2018/15,Concerto Fonterutoli,Mazzei,Toscana,WD, 45.90 € , 40.00 € , 8.59 € , 94.49 € , 94.00 € , 94.00 € , 92.40 € ,0.00 €, € 15.67 ,6,,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,386,italienische Weine,2016/2017,Verruzzo,Monteverro,Toscana,karner, 10.90 € , 25.00 € , 3.59 € , 39.49 € , 39.00 € , 38.00 € , 21.94 € ,-1.00 €, € 6.33 ,19,3,7,15 ,,1,,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,387,italienische Weine,2017,Terra di monteverro,Monteverro,Toscana,karner, 29.00 € , 30.00 € , 5.90 € , 64.90 € , 65.00 € , 65.00 € , 58.38 € ,0.00 €, € 10.83 ,1,21,8,14 ,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,4,,,,,,,
,389,italienische Weine,2012/13,Aglianico del Vulture Superiore - Fontanelle Riserva,Basilisco,Basilicata,Akos, 15.00 € , 25.00 € , 4.00 € , 44.00 € , 44.00 € , 44.00 € , 30.20 € ,0.00 €, € 7.33 ,6,,2,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
,390,italienische Weine,2015,Aglianico del Vulture Superiore - Fontanelle Riserva,Basilisco,Basilicata,Akos, 15.00 € , 25.00 € , 4.00 € , 44.00 € , 44.00 € , 43.00 € , 30.20 € ,-1.00 €, € 7.17 ,2,1,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,391,italienische Weine,2017,Montepulciano Riserva,Castorani,Abruzzen,WD, 17.30 € , 30.00 € , 4.73 € , 52.03 € , 52.00 € , 56.00 € , 34.82 € ,4.00 €, € 9.33 ,,6,,6 ,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,
,392,italienische Weine,2018,Rocce e fiori,Gianni Sinesi,Puglia,WD, 22.90 € , 30.00 € , 5.29 € , 58.19 € , 58.00 € , 58.00 € , 46.10 € ,0.00 €, € 9.67 ,,12,5,7 ,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,393,italienische Weine,2018, Primitivo di Manduria Dunico,Feline,Puglia,WD, 23.50 € , 30.00 € , 5.35 € , 58.85 € , 59.00 € , 56.00 € , 47.31 € ,-3.00 €, € 9.33 ,5,6,13,-2 ,,2,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,,2,,,,,,,
,393,italienische Weine,2021,Es ,Fino Gianfranco,Puglia,WD, 46.50 € , 40.00 € , 8.65 € , 95.15 € , 95.00 € , 95.00 € , 93.60 € ,0.00 €, € 15.83 ,9,6,8,7 ,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,2,1,,,,,,
,394,italienische Weine,2018,Tancredi,Donnafugata,Sicilia,O, 26.64 € , 30.00 € , 5.66 € , 62.30 € , 62.00 € , 62.00 € , 53.63 € ,0.00 €, € 10.33 ,5,6,10,1 ,,,,,,,,,5,,,,1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
,395,italienische Weine,2012/16,Mille e una notte,Donnafugata,Sicilia,Karner, 43.08 € , 40.00 € , 8.31 € , 91.39 € , 91.00 € , 102.00 € , 86.72 € ,11.00 €, € 17.00 ,2,6,2,6 ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,396,italienische Weine,2016,Zisola Doppiozeta Noto Rosso,Mazzei,Sicilia,WD, 19.90 € , 30.00 € , 4.99 € , 54.89 € , 55.00 € , 55.00 € , 40.06 € ,0.00 €, € 9.17 ,3,,2,1 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,397,italienische Weine,2020,Nero D´Avola Bio,Caruso e M,Sicilia,WD, 8.90 € , 25.00 € , 3.39 € , 37.29 € , 37.00 € , 34.00 € , 17.92 € ,-3.00 €, € 5.67 ,6,18,7,17 ,,,,,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
,398,italienische Weine,2015,Etna Rosso - Calderara Sottana,Tenuta delle Terre Nere,Sicilia,Akos, 33.50 € , 35.00 € , 6.85 € , 75.35 € , 75.00 € , 79.00 € , 67.44 € ,4.00 €, € 13.17 ,0,,1,-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,399,italienische Weine,2016,Etna Rosso - Calderara Sottana,Tenuta delle Terre Nere,Sicilia,Akos, 33.50 € , 35.00 € , 6.85 € , 75.35 € , 75.00 € , 79.00 € , 67.44 € ,4.00 €, € 13.17 ,1,,1,0 ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,italienische Weine,2020,Etna Rosso - Calderara Sottana,Tenuta delle Terre Nere,Sicilia,Akos, 42.50 € , 40.00 € , 8.25 € , 90.75 € , 91.00 € , 91.00 € , 85.55 € ,0.00 €, € 15.17 ,,6,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,401,italienische Weine,2017,Etna Rosso - Prephylloxera,Tenuta delle Terre Nere,Sicilia,Akos, 57.50 € , 35.00 € , 9.25 € , 101.75 € , 102.00 € , 113.00 € , 115.75 € ,11.00 €, € 18.83 ,6,,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,402,italienische Weine,2017,Etna Rosso - Santo Spirito,Tenuta delle Terre Nere,Sicilia,Akos, 27.50 € , 30.00 € , 5.75 € , 63.25 € , 63.00 € , 64.00 € , 55.36 € ,1.00 €, € 10.67 ,1,,1,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,403,italienische Weine,2017,"Etna Rosso - Feudo di Mezzo ""santo spirito""",Tenuta delle Terre Nere,Sicilia,Akos, 27.50 € , 30.00 € , 5.75 € , 63.25 € , 63.00 € , 63.00 € , 55.36 € ,0.00 €, € 10.50 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,404,italienische Weine,2018,"Etna Rosso - Feudo di Mezzo ""Moganazzi""",Tenuta delle Terre Nere,Sicilia,Akos, 34.75 € , 30.00 € , 6.48 € , 71.23 € , 71.00 € , 71.00 € , 69.95 € ,0.00 €,,3,,3,0 ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,405,italienische Weine,2014,Etna Rosso - Feudo di Mezzo (nicht gekommen letztes mal),Alta Mora,Sicilia,WD, 30.90 € , 30.00 € , 6.09 € , 66.99 € , 67.00 € , 67.00 € , 62.20 € ,0.00 €, € 11.17 ,7,5,10,2 ,,1,,,2,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,2,,,,,,,
,406,italienische Weine,2020,Etna Bianco,Alta Mora,Sicilia,WD, 16.20 € , 30.00 € , 4.62 € , 50.82 € , 51.00 € , 51.00 € , 32.61 € ,0.00 €, € 8.50 ,4,2,2,4 ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,407,italienische Weine,2015,"Etna Rosso - Feudo di Mezzo ""Il quadro delle rose""",Tenuta delle Terre Nere,Sicilia,Akos, 24.75 € , 30.00 € , 5.48 € , 60.23 € , 60.00 € , 61.00 € , 49.82 € ,1.00 €, € 10.17 ,0,,0,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,408,italienische Weine,2015,Etna Rosso - Prephylloxera,Tenuta delle Terre Nere,Sicilia,Akos, 77.50 € , 70.00 € , 14.75 € , 162.25 € , 162.00 € , 165.00 € , 156.01 € ,3.00 €, € 27.50 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,409,italienische Weine,2016,Etna Rosso -Archineri,Pietrdolce,Sicilia,Cuzziol, 24.50 € , 30.00 € , 5.45 € , 59.95 € , 60.00 € , 60.00 € , 49.32 € ,0.00 €, € 10.00 ,,12,1,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,410,italienische Weine,2017,Etna Rosso - Santo Spirito,Pietrdolce,Sicilia,Cuzziol, 24.50 € , 30.00 € , 5.45 € , 59.95 € , 60.00 € , 60.00 € , 49.32 € ,0.00 €, € 10.00 ,,6,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,409,Frankreich,2020,Gevrey Chambertin,Lucien Boillot,Frankreich,FW, 39.50 € , 35.00 € , 7.45 € , 81.95 € , 82.00 € , 82.00 € , 79.51 € ,0.00 €, € 13.67 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,410,Frankreich,2019,Bourgogne Pinot Noir,Rossignol,Frankreich,Cuzziol, 25.50 € , 30.00 € , 5.55 € , 61.05 € , 61.00 € , 61.00 € , 51.33 € ,0.00 €, € 10.17 ,0,6,2,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
,411,Frankreich,2015/12,Pinot Noir Nuits St. Georg Vaucrains 1. Cru,Chezeaux,Frankreich,WD, 52.38 € , 50.00 € , 10.24 € , 112.62 € , 113.00 € , 113.00 € , 105.44 € ,0.00 €, € 18.83 ,2,,1,1 ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,412,Frankreich,2014,Chateau Clinet,Chateau Clinet,Bordeaux,WD, 74.90 € , 70.00 € , 14.49 € , 159.39 € , 159.00 € , 139.00 € , 150.77 € ,-20.00 €, € 23.17 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,413,Frankreich,2015,Chateau La Fleur Peyrabon,Chateau La Fleur Peyrabon,Bordeaux,WD, 33.00 € , 30.00 € , 6.30 € , 69.30 € , 69.00 € , 67.00 € , 66.43 € ,-2.00 €, € 11.17 ,3,,1,2 ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
