external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
10,WHITE,CERVARO DELLA SALA,ANTINORI,,BOTTLE,2022,65.0,,0,,Castello della Sala Cervaro della Sala,"{'id': 'wnry_01gzq1kgtkjsg3njm3rcj657de', 'name': 'Antinori', 'seoName': 'antinori-tuscany-marchesi-antinori', 'territory_id': 'terr_01gz19fryky5a3k6wx1adt2t9j', 'territory': None, 'other_data': {'expected_wines_count': 93}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksd3b397szz15dat7s7b,,45.07706
11,WHITE,DESSIMIS PINOT GRIGIO,VIE DE ROMANS,,BOTTLE,2021,30.0,,0,,Dessimis Pinot Grigio,"{'id': 'wnry_01gzq1kgttsaaazee29zpm45z1', 'name': 'Vie di Romans', 'seoName': 'vie-di-romans-vineyards', 'territory_id': 'terr_01gz19fs04407jcn07f3tm6q9g', 'territory': None, 'other_data': {'expected_wines_count': 23}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksk550tpn2vchzczedvk,,50.020454
12,RED,SAUVIGNON,CANTINA S. MICHELE APPIANO,,BOTTLE,2022,30.0,,0,,Cabernet Sauvignon,"{'id': 'wnry_01gzq1kgzcpf8vs6xgz71a3rdg', 'name': 'S. Osvaldo', 'seoName': 's-osvaldo', 'territory_id': 'terr_01gz19frzeqhc1et06astt7r2e', 'territory': None, 'other_data': {'expected_wines_count': 39}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01havweeyxbe05sfjbs577tmmy,,15.362257
13,WHITE,SAUVIGNON LAFOA,COLTERENZIO,,BOTTLE,2022,35.0,,0,,Lafóa Sauvignon,"{'id': 'wnry_01gzq1kgttmxk53cpw6r1v3x2r', 'name': 'Colterenzio (Schreckbichl)', 'seoName': 'colterenzio-schreckbichl', 'territory_id': 'terr_01gz19frypz7gpvvkmx5adbvbh', 'territory': None, 'other_data': {'expected_wines_count': 76}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksd91kx6d5rhyzts8a62,,33.937214
14,WHITE,VIERIS SAUVIGNON,VIE DE ROMANS,,BOTTLE,2021,30.0,,0,,Vieris Sauvignon Blanc,"{'id': 'wnry_01gzq1kgttsaaazee29zpm45z1', 'name': 'Vie di Romans', 'seoName': 'vie-di-romans-vineyards', 'territory_id': 'terr_01gz19fs04407jcn07f3tm6q9g', 'territory': None, 'other_data': {'expected_wines_count': 23}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksk5zqd3t9csd0yj26f7,,39.332565
15,WHITE,GAJA E REY,GAJA,,BOTTLE,2018,240.0,,0,,Gaia & Rey Langhe,"{'id': 'wnry_01gzq1kgtnxeg59s063z1z2g8e', 'name': 'Gaja', 'seoName': 'gaja', 'territory_id': 'terr_01gz19fs1ngzntrwvd6jn094y2', 'territory': None, 'other_data': {'expected_wines_count': 55}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksppmrbs9bck881h9qrt,,33.31376
16,RED,AMARONE,ALLEGRINI,,BOTTLE,2018,75.0,,0,,Amarone per l'Ermitage,"{'id': 'wnry_01gzq1kgtpd14xha8y2en29245', 'name': 'Allegrini', 'seoName': 'allegrini', 'territory_id': 'terr_01gz19frzeqhc1et06astt7r2e', 'territory': None, 'other_data': {'expected_wines_count': 39}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01hawwd0bbyd9xrgczv3rj3965,,30.972103
17,RED,CHIANTI CLASSICO,FONTODI,,BOTTLE,2020,24.0,,0,,Chianti Classico,"{'id': 'wnry_01gzq1kh209fxqgk8e03wr1ha7', 'name': 'Fontodi', 'seoName': 'tenuta-fontodi', 'territory_id': 'terr_01gz19fryky5a3k6wx1adt2t9j', 'territory': None, 'other_data': {'expected_wines_count': 10}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4kt80f0t49p6s4b6nvkdv,,39.023224
18,RED,PINOT NERO PATRICIA,GIRLAN,,BOTTLE,2021,26.0,,0,,Patricia Pinot Noir,"{'id': 'wnry_01gzq1kgv5bayw0ja077physbz', 'name': 'Girlan', 'seoName': 'girlan', 'territory_id': 'terr_01gz19frypz7gpvvkmx5adbvbh', 'territory': None, 'other_data': {'expected_wines_count': 64}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01gzr4ksksmf95bvw0mp9sxwyx,,37.192673
19,RED,ROCCA RUBIA,SANTADI,,BOTTLE,2020,0.0,,0,,Rocca Rubia Carignano del Sulcis,"{'id': 'wnry_01gzq1kgtpqace0tp0dp18pq5s', 'name': 'Santadi', 'seoName': 'cantina-di-santadi', 'territory_id': 'terr_01gz19fs85ppspbrjcfxg6ka8n', 'territory': None, 'other_data': {'expected_wines_count': 31}, 'metadata': {'createdBy': None, 'user': None, 'createdAt': '2023-05-13T09:12:47.877705Z', 'updatedAt': '2023-05-13T09:12:47.877705Z', 'deletedAt': None}}",wine_01hyn6fv0xhary0spszesxapvt,,39.248093
