ok,external_id,type,name,winery_name,area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,,SPARKLING,SPUMANTE RECIOTO DI GAMBELLARA DOLCED.O.C.G.,VIGNATO VIRGILIO,2-5,BOTTLE,2018,30,,,,Recioto di Gambellara Metodo Classico,Virgilio Vignato,wine_01gzr4ksfnda0v5fth98eqjma8,2601078,54.98909,,
TRUE,,SPARKLING,BOSCO DI GICA BRUT VALDOBIADENE PROSECCO SUPERIORE D.O.C.G.,ADAMI,FRIGO MESCITA,BOTTLE,,30,,,,Bosco di Gica Valdobbiadene Prosecco Superiore Brut,Adami,wine_01h0f3cmbp89g7jej0y9waazvt,,46.21747,,
TRUE,,SPARKLING,STEINBOCK FREE SPARKLING,DR. FISCHER,FRIGO MESCITA,BOTTLE,,25,,,,Selection Steinbock Alcohol Free Sparkling,Weingut Dr. Fischer,wine_01gzr4kt598v5dfn8ert8tkqq0,,39.293804,,
TRUE,,SPARKLING,PROSECCO SUPERIORE EXTRA DRY,MONGARDA,3-4 + SCATOLA,BOTTLE,,45,,,,Valdobbiadene Prosecco Superiore Extra Dry,Mongarda,wine_01h0r2pq895tk2dqzx4ypkbw0d,,43.256752,,
TRUE,,SPARKLING,SPUMANTE COLLI TREVIGIANI I.G.T. COL FONDO,MONGARDA,SCAFFALE,BOTTLE,,30,,,,Col Fondo Glera Colli Trevigiani,Mongarda,wine_01h0qzm1hzbtf1wmnf96cwf5ya,,53.971508,,
TRUE,,SPARKLING,PROSECCO SUPERIORE D.O.C.G. ASOLO 4.0 EXTRA BRUT,SCANDOLERA,FRIGO MESCITA,BOTTLE,,25,,,,Cuvee 4 Zero Asolo Prosecco Superiore Extra Brut,Scandolera,wine_01h4pmmfdhp806mfd1rqm1g18h,,45.764553,,
TRUE,,SPARKLING,"PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE COSTA D'ORO BRUT",SCANDOLERA,FRIGO MESCITA,BOTTLE,,25,,,,Conegliano Valdobbiadene Prosecco Superiore Brut,Scandolera,wine_01h4pmmfzvtxyph2dwc5y9bf5f,,50.36471,,
TRUE,,SPARKLING,"PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE VIGNETI DEL FAIT EXTRA DRY",SCANDOLERA,FRIGO MESCITA,BOTTLE,,25,,,,Vigneti del Fait Conegliano Valdobbiadene Prosecco Superiore,Scandolera,wine_01h0qzm041ayk68x67k13r463w,,57.022152,,
TRUE,,SPARKLING,CRÉMANT DE LOIRE BLANC BRUT,ARNAUD LAMBERT,2-4,BOTTLE,,50,,,,Crémant de Loire Brut,Domaine Arnaud Lambert,wine_01h0qzm2w3d6ajr570q7gm54yh,,44.174107,,
TRUE,,SPARKLING,CRÉMANT DE LOIRE BRUT PURETÉ DE SILEX,CLOS DE LA BRIDERIE,,BOTTLE,,50,,,,Puréte de Silex Crémant de Loire Brut,Clos de la Briderie,wine_01h0qzm2ky8n8shm2qa5c29jga,,60.47526,,
TRUE,,SPARKLING,CREMANT DE JURA BRUT NATURE AOC,DOMAINE PIGNIER,2-2,BOTTLE,,55,,,,L’Autre Crémant du Jura Brut Nature,Pignier,wine_01h4pmmgt7yw9fpq8dzqsa0733,,38.580948,,
TRUE,,SPARKLING,CREMANT D’ALSACE BLANC DE BLANCS BRUT DE GRES EXTRA BRUT BIO,DOMAINE ROBERT ROTH,,BOTTLE,2021,50,,,,Brut de Grès Crémant Blanc de Blancs Millesime,Domaine Robert Roth,wine_01h4pmmgtdwqv8byn6secy5nxt,,54.897778,,
TRUE,,SPARKLING,CREMANT DE BOURGOGNE BLANC DE NOIIRS EXTRA BRUT,LAURENT COGNARD & CO.,,BOTTLE,2018,70,,,,Blanc de Noir Extra Brut Zéro,Domaine Laurent Cognard,wine_01h4pmmfk41nmapdsy92wyqfwm,,43.09545,,
TRUE,,SPARKLING,CREMANT D'ALSACE EXTRA BRUT,MEYER FONNET,2-1,BOTTLE,,50,,,,Cremant d''Alsace Brut Extra,Meyer-Fonné,wine_01h4pmmfcvxq1ztcqaxgd91g95,,31.14262,,
TRUE,,SPARKLING,CREMANT DE BOURGOGNE BRUT,VEUVE AMBAL,2-2,BOTTLE,,50,,,,Crémant de Bourgogne Brut,Veuve Ambal,wine_01gzr4ks5vk1m51fwzdfvaefnr,5844991,44.87352,,
TRUE,,SPARKLING,COMPLANTÉE EXTRA BRUT GRAND CRU,AGRAPART,,BOTTLE,,180,,,,Pascal Agrapart Champagne Complantée Grand Cru Extra Brut,Agrapart & Fils,wine_01gzr4ksxkbkskx7hcytpc73x4,,40.946365,,
TRUE,,SPARKLING,LES 7 CRUS EXTRA BRUT,AGRAPART,1-2,BOTTLE,,150,,,,7 Crus Extra Brut Champagne Grand Cru ''Avize'',Agrapart & Fils,wine_01h0my5rrw52crdjem8kksb2wg,,36.799442,,
TRUE,,SPARKLING,TRADITION BRUT,ALAIN VESSELLE,1-3,BOTTLE,,70,,,,Brut Tradition Champagne Grand Cru ''Bouzy'',Alain Vesselle,wine_01h4pmmgfq7ay7vraqt0kz8w4e,,41.016815,,
TRUE,,SPARKLING,AMBONNAY BRUT RESERVE,ANDRÉ BEAUFORT,2-1,BOTTLE,,200,,,,Réserve Brut Champagne Grand Cru ''Ambonnay'',André Beaufort,wine_01h4pmmgfwvk47fygzg38nr1x6,,44.591034,,
TRUE,,SPARKLING,VERTUS EXPERIENCE BLANC DE BLANCEXTRA BRUT PREMIER CRU,ANDRE' JACQUART,1-3,BOTTLE,,75,,,,Blanc de Blancs Extra Brut Vertus Experience Champagne Premier Cru,André Jacquart,wine_01gzr4kt00th2mb594e3m23yv7,,54.430096,,
TRUE,,SPARKLING,GOLD BRUT,ARMAND DE BRIGNAC,SCAFFALE,BOTTLE,,670,,,,Brut Champagne (Gold),Armand de Brignac,wine_01gzr4ksda5ttx31nc2fx6hq90,2240674,50.01712,,
TRUE,,SPARKLING,LE NOMBRE D’OR SABLE’ BLANC DE BLANCS BRUT NATURE,AUBRY,,BOTTLE,2018,215,,,,Le Nombre d''Or Sable Blanc des Blancs Champagne Brut Nature,Aubry,wine_01h4pmmfm6txg87rr560wzrq23,,46.449593,,
TRUE,,SPARKLING,PREMIER CRU BRUT,AUBRY,1-2,BOTTLE,,85,,,,Brut Champagne Premier Cru,Aubry,wine_01h0f3cmbpjnvgep4sy88f0ner,,36.43636,,
TRUE,,SPARKLING,CAMPANIA REMENSIS EXTRA MILLESIMATO EXTRA BRUT,BERECHÉ ET FILS,2-1,BOTTLE,2018,190,,,,Campania Remensis Extra Brut Rosé Champagne,Bérêche & Fils,wine_01h4pmmfd0xd2aeqpe1ncxvxxc,,35.463512,,
TRUE,,SPARKLING,EXTRA BRUT NATURE,BILLECART SALMON,2-1,BOTTLE,,150,,,,Brut Nature Champagne,Billecart-Salmon,wine_01gzr4ks64x0y631wkdetyncm2,8528452,46.382885,,
TRUE,,SPARKLING,LA GRANDE ANNÉE BRUT,BOLLINGER,1-5,BOTTLE,2014,380,,,,La Grande Année Brut Champagne,Bollinger,wine_01gzr4ks6y229v3p9003jmyzy6,18931,40.965466,,
TRUE,,SPARKLING,SPECIAL CUVEE BRUT,BOLLINGER,3-4,MAGNUM,,310,,,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929,35.466183,,
TRUE,,SPARKLING,L'EXTRA BLANC DE BLANCS EXTRA BRUT GRAND CRU,BONNET GILMERT,1-4,BOTTLE,,85,,,,L''Extra Blanc de Blancs Champagne Grand Cru,Bonnet Gilmert,wine_01h0my5svmnxmx689mmy0b83fm,,51.881886,,
TRUE,,SPARKLING,ASSEMBLAGE EXTRA BRUT MILLESIMATO,BRUNO PAILLARD,2-3,BOTTLE,,240,,,,Assemblage Brut Champagne,Bruno Paillard,wine_01gzr4ks5h35qv70a07kdtd8tw,1165683,39.983524,,
TRUE,,SPARKLING,EXTRA BRUT MILLESIME BLANC DE BLANCS GRAN CRU,BRUNO PAILLARD,2-3,BOTTLE,2013,250,,,,Blanc de Blancs Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5hy2rbzr51rnh3c3gh,1232685,44.872368,,
