"winery","name","vintage","internal_notes_1",,"internal_notes_2","info","price"
"Hirtzberger","GV ROTES TOR FEDERSPIEL",2024,"0,75 x 6 / S",,,,€ 28.50
"Hirtzberger","GV ROTES TOR FEDERSPIEL",2023,"0,75 x 6 / S",12.50%,,,€ 28.50
"Hirtzberger","GV ROTES TOR FEDERSPIEL",2022,"0,75 x 6 / S",12.50%,,,€ 28.50
"Hirtzberger","RR STEINTERRASSEN FEDERSPIEL",2024,"0,75 x 6 / S",,,,€ 28.50
"Hirtzberger","RR STEINTERRASSEN FEDERSPIEL",2023,"0,75 x 6 / S",12.50%,,,€ 28.50
"Hirtzberger","GV ROTES TOR SMARAGD",2024,"0,75 x 6 / S",,,,€ 49.50
"Hirtzberger","GV ROTES TOR SMARAGD",2023,"0,75 x 6 / S",13.50%,,,€ 49.50
"Hirtzberger","GV RIED AXPOINT SMARAGD",2024,"0,75 x 6 / S",,,,€ 49.50
"Hirtzberger","GV RIED AXPOINT SMARAGD",2023,"0,75 x 6 / S",13.50%,,,€ 49.50
"Hirtzberger","GV HONIVOGEL SMARAGD",2024,"0,75 x 6 / S",,,,€ 100.00
"Hirtzberger","GV HONIVOGEL SMARAGD",2024,"1,5 x 1 / S",,,,€ 210.00
"Hirtzberger","RR RIED HOCHRAIN SMARAGD",2024,"0,75 x 6 / S",,,,€ 59.00
"Hirtzberger","RR RIED STEINPORZ SMARAGD",2024,"0,75 x 6 / S",,,,€ 59.00
"Hirtzberger","RR RIED STEINPORZ SMARAGD",2023,"0,75 x 6 / S",13.00%,,,€ 59.00
"Hirtzberger","RR RIED SINGERRIEDEL SMARAGD",2024,"0,75 x 6 / S",,,,€ 100.00
"Hirtzberger","RR RIED SINGERRIEDEL SMARAGD",2024,"1,5 x 1 / S",,,,€ 210.00
"Hirtzberger","RR RIED SINGERRIEDEL SMARAGD",2023,"1,5 x 1 / S",13.50%,,"Limitato",€ 210.00
"Piewald","GV „π“ FEDERSPIEL",2023,"0,75 x 6 / S",12.50%,,,€ 10.90
"Piewald","RR RIED ZORNBERG FEDERSPIEL",2022,"0,75 x 6 / S",12.50%,,,€ 12.90
"Piewald","GV SPITZER GRABEN SMARAGD",2023,"0,75 x 6 / S",13.50%,,,€ 18.50
"Piewald","RR RIED BIERN SMARAGD",2022,"0,75 x 6 / S",13.50%,,,€ 20.90
"Piewald","RR RIED BIERN SMARAGD - MAGNUM",2021,"1,5 x 3 / S",13.50%,,,€ 48.50
"Piewald","RR RIED BIERN SMARAGD",2019,"0,75 x 6 / S",13.50%,,,"€ 20,90*"
"Ott","GV AM BERG",2024,"0,75 x 12/Stv",12.00%,,,€ 12.90
"Ott","GV AM BERG - DOPPIOMAGNUM",2023,"3,0 x 1 / S",12.00%,,,€ 79.00
"Ott","GV FASS 4",2023,"0,75 x 12/Stv",12.50%,,,€ 17.90
"Ott","GV FASS 4 - MAGNUM",2024,"1,5 x 3 / S",12.50%,,,€ 40.50
"Ott","GV FASS 4 - DOPPIOMAGNUM",2022,"3,0 x 1 / S",12.50%,,,€ 87.50
"Ott","GV FASS 4 - JEROBOAM",2021,"6,0 x 1 / S",12.50%,,,€ 199.00
"Ott","ROSALIE ROSÉ (vino rosato)",2023,"0,75 x 6 /Stv",12.00%,,"Limitato",€ 14.90
"Ott","GV DER OTT",2023,"0,75 x 6 / Stv",13.50%,,,€ 24.90
"Ott","GV DER OTT",2023,"0,75 x 6 / Stv",13.50%,,,"€ 27,90"
"Ott","GV RIED STEIN 1ÖTW",2021,"0,75 x 6 / Stv",13.00%,,,€ 36.50
"Ott","GV RIED SPIEGEL 1ÖTW",2021,"0,75 x 6 / Stv",13.00%,,,€ 36.50
"Ott","GV RIED ROSENBERG 1ÖTW",2022,"0,75 x 6 / Stv",13.00%,,,€ 45.90
"Ott","GV RIED ROSENBERG 1ÖTW - MAGNUM",2021,"1,5 x 3 / S",13.00%,,,€ 92.00
"Ott","GV QVEVRE macerato",2015,"0,75 x 3 / Stv",13.00%,,,€ 42.00
"Ott","GV RIED STEIN 1ÖTW",2020,"0,75 x 6 / Stv",13.00%,,,"€ 36,50*"
"Ott","GV RIED STEIN 1ÖTW",2018,"0,75 x 6 / Stv",13.00%,,,"€ 39,50*"
"Ott","GV RIED SPIEGEL 1ÖTW",2020,"0,75 x 6 / Stv",13.00%,,,"€ 36,50*"
"Ott","GV RIED SPIEGEL 1ÖTW",2019,"0,75 x 6 / Stv",13.00%,,,"€ 38,50*"
"Ott","GV RIED ROSENBERG 1ÖTW",2020,"0,75 x 6 / Stv",13.00%,,,"€ 43,90*"
"Ott","GV RIED ROSENBERG 1ÖTW",2018,"0,75 x 6 / Stv",13.00%,,,"€ 45,00*"
"Ott","GV RIED ROSENBERG 1ÖTW",2020,"1,5 x 3 / S",13.00%,,,"€ 92,00*"
"Ott","GV RIED ROSENBERG 1ÖTW",2019,"1,5 x 3 / S",13.00%,,,"€ 94,00*"
"Ott","GV RIED ROSENBERG 1ÖTW",2018,"1,5 x 3 / S",13.00%,,,"€ 96,00*"
"Diwald","GV EXTRA BRUT - 24 mesi","s.a.","0,75 x 6 / S",12.50%,Feb-24,,€ 15.50
"Diwald","GV VOM LÖSS",2023,"0,75 x 6 / S",12.50%,,,€ 9.50
"Diwald","RR FUCHSENTANZ",2022,"0,75 x 6 / S",12.50%,,,€ 11.90
"Diwald","GV RIED GOLDBERG 1ÖTW",2020,"0,75 x 6 / S",13.00%,,,€ 18.50
"Diwald","RR RIED EISENHUT 1ÖTW",2020,"0,75 x 6 / S",13.00%,,,€ 19.90
"Schloss Gobelsburg","BRUT RESERVE - 36 mesi","s.a.","0,75 x 6 / S",12.00%,Nov-23,,€ 21.50
"Schloss Gobelsburg","BRUT RESERVE - MAGNUM","s.a.","1,50 x 1 / S",12.00%,Mar-22,,€ 44.50
"Schloss Gobelsburg","BLANC DE BLANCS BRUT - 36 mesi","s.a.","0,75 x 6 / S",12.00%,Feb-22,,€ 26.50
"Schloss Gobelsburg","BLANC DE BLANCS BRUT - MAGNUM","s.a.","1,50 x 1 / S",12.00%,Feb-22,,€ 54.50
"Schloss Gobelsburg","GV LÖSS",2023,"0,75 x 6 / Stv",12.00%,,,€ 9.50
"Schloss Gobelsburg","GV KAMPTAL",2023,"0,75 x 6 / Stv",12.50%,,,€ 12.50
"Schloss Gobelsburg","RR URGESTEIN",2024,"0,75 x 6 / Stv",12.00%,,,€ 12.90
"Schloss Gobelsburg","GV LANGENLOIS",2023,"0,75 x 6 / S",12.50%,,,€ 16.50
"Schloss Gobelsburg","GV LANGENLOIS",2022,"0,75 x 6 / S",12.50%,,"Limitato",€ 15.90
"Schloss Gobelsburg","RR ZÖBING",2023,"0,75 x 6 / S",12.50%,,,€ 16.90
"Schloss Gobelsburg","RR ZÖBING",2021,"0,75 x 6 / S",12.50%,,"Limitato",€ 14.90
"Schloss Gobelsburg","GV RIED LAMM 1ÖTW",2022,"0,75 x 6 / S",13.50%,,,€ 49.90
"Schloss Gobelsburg","RR RIED HEILIGENSTEIN 1ÖTW",2022,"0,75 x 6 / S",13.50%,,,€ 49.90
"Schloss Gobelsburg","RR RIED HEILIGENSTEIN 1ÖTW",2020,"0,75 x 6 / S",13.50%,,,"€ 49,90*"
"Schloss Gobelsburg","TRADITION HERITAGE EDIZ. 852","3Y","0,75 x 6 / S",13.00%,,"Limitato",€ 36.50
"Schloss Gobelsburg","TRADITION HERITAGE EDIZ. 852","10Y","0,75 x 6 / S",13.00%,,"Limitato",€ 100.00
"Schloss Gobelsburg","GV AUSLESE",2017,"0,375 x 6 / S",7.50%,"150 g/l",,€ 17.90
"Schloss Gobelsburg","GV EISWEIN",2022,"0,375 x 6 / S",7.50%,"240 g/l",,€ 45.50
"Am Stein","PURE & NAKED BRUT NATURE",2024,"0,75 x 6 / S",11.50%,,,€ 18.50
"Am Stein","SILVANER BRUT",2019,"0,75 x 6 / S",12.00%,,,€ 19.50
"Am Stein","CUVÉE HELLE FREUDE",2023,"0,75 x 6 / St",11.50%,"trocken",,€ 10.90
"Am Stein","SILVANER TROCKEN",2023,"0,75 x 6 / St",11.50%,"trocken",,€ 11.90
"Am Stein","SILVANER TROCKEN",2022,"0,75 x 6 / St",11.50%,"trocken",,€ 11.90
"Am Stein","SILVANER WÜRZBURG",2023,"0,75 x 6 / St",12.50%,"trocken",,€ 13.90
"Am Stein","SILVANER WÜRZBURG",2022,"0,75 x 6 / St",12.50%,"trocken",,€ 13.90
"Am Stein","RR STETTEN",2022,"0,75 x 6 / St",12.50%,"trocken",,€ 13.90
"Am Stein","RR STETTEN",2021,"0,75 x 6 / St",12.50%,"trocken",,€ 13.90
"Am Stein","SILVANER WÜRZBURGER STEIN 1G",2021,"0,75 x 6 / St",13.00%,"trocken",,€ 19.50
"Am Stein","SILVANER INNERE LEISTE 1G",2021,"0,75 x 6 / St",13.00%,"trocken",,€ 19.90
"Am Stein","SILVANER STETTENER STEIN GG",2021,"0,75 x 6 / St",12.50%,"trocken",,€ 41.90
"Am Stein","SILVANER STETTENER STEIN GG",2017,"0,75 x 6 / St",12.50%,"trocken",,€ 39.00
"Am Stein","RR STETTENER STEIN GG",2019,"0,75 x 6 / St",12.50%,"trocken",,€ 39.00
"Am Stein","SILVANER VINZ ALTE REBEN",2020,"0,75 x 6 / St",12.00%,"trocken",,€ 23.90
"Am Stein","SILVANER VINZ ALTE REBEN",2017,"0,75 x 6 / St",12.00%,"trocken",,€ 23.90
"Christmann","RR AUS DEN LAGEN",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 19.90
"Christmann","RR KAPPELLENBERG 1G ",2023,"0,75 x 6 / S",12.00%,"trocken",,€ 34.90
"Christmann","RR MEERSPINNE GG",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 65.00
"Christmann","RR IDIG GG",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 70.00
"Christmann","RR IDIG GG - MAGNUM",2023,"1,50 x 1 / S",12.50%,"trocken",,€ 149.00
"Christmann","SPÄTBURGUNDER AUS DEN LAGEN",2021,"0,75 x 6 / S",13.00%,,,€ 26.90
"Christmann","SPÄTBURGUNDER SCHLÖSSL 1G",2022,"0,75 x 6 / S",13.00%,,,€ 41.50
"Christmann","SPÄTBURGUNDER ÖLBERG 1G",2022,"0,75 x 6 / S",13.00%,,,€ 55.00
"Christmann","SPÄTBURGUNDER BIENGARTEN 1G",2020,"0,75 x 6 / S",13.00%,,,€ 53.50
