"winery","name","vintage","internal_notes_1",,"internal_notes_2","info","price"
"Clemens Busch","RR VOM GRAUEN SCHIEFER - MAGNUM",2023,"1,50 x 3 / S",12.00%,"trocken",,€ 38.00
"Clemens Busch","RR VOM ROTEN SCHIEFER",2023,"0,75 x 6 / S",11.50%,"trocken",,€ 16.50
"Clemens Busch","RR VOM ROTEN SCHIEFER - MAGNUM",2023,"1,50 x 3 / S",12.00%,"trocken",,€ 38.00
"Clemens Busch","RR VOM ROTEN SCHIEFER - D. MAGNUM",2022,"3,0 x 1 / S",12.00%,"trocken",,€ 71.90
"Clemens Busch","RR VOM BLAUEN SCHIEFER",2023,"0,75 x 6 / S",11.50%,"trocken",,€ 21.50
"Clemens Busch","RR NONNENGARTEN 1G",2022,"0,75 x 6 / S",12.00%,"trocken",,€ 21.50
"Clemens Busch","RR NONNENGARTEN 1G - MAGNUM",2022,"1,50 x 3 / S",12.00%,"trocken",,€ 48.50
"Clemens Busch","RR MARIENBURG GG",2023,"0,75 x 6 / S",12.00%,"trocken",,€ 34.50
"Clemens Busch","RR MARIENBURG GG - MAGNUM",2022,"1,50 x 3 / S",11.50%,"trocken",,€ 70.00
"Clemens Busch","RR MARIENBURG FALKENLAY GG",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 37.50
"Clemens Busch","RR MARIENBURG FAHRLAY GG ",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 37.50
"Clemens Busch","RR MARIENBURG FAHRLAY TERRASSEN GG",2022,"0,75 x 6 / S",12.50%,"trocken",,€ 58.50
"Clemens Busch","RR MARIENBURG RAFFES ",2022,"0,75 x 6 / S",12.50%,"trocken",,€ 98.00
"Clemens Busch","RR MARIENBURG FELSTERRASSE",2022,"0,75 x 6 / S",12.50%,"trocken",,€ 98.00
"Clemens Busch","RR MARIENBURG KABINETT",2023,"0,75 x 6 / S",8.50%,"50 g/l",,€ 19.50
"Clemens Busch","RR MARIENBURG SPÄTLESE GK",2022,"0,75 x 6 / S",8.00%,"95 g/l",,€ 28.50
"Clemens Busch","RR MARIENBURG FAHRLAY AUSLESE",2019,"0,375x 6 / S",7.50%,"135 g/l",,€ 24.50
"Clemens Busch","RR MARIENBURG AUSLESE GK",2018,"0,375x 6 / S",7.00%,"180 g/l",,€ 31.90
"Clemens Busch","RR MARIENBURG FALKENLAY GG",2019,"0,75 x 6 / S",12.50%,"trocken",,"€ 39,50*"
"Clemens Busch","RR MARIENBURG FAHRLAY GG",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 39,00*"
"Clemens Busch","RR MARIENBURG FAHRLAY TERRASSEN GG",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 50,00*"
"Clemens Busch","RR MARIENBURG FELSTERRASSE",2021,"0,75 x 6 / S",12.50%,"trocken",,"€ 98,00* "
"Clemens Busch","RR MARIENBURG FELSTERRASSE",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 98,00*"
"Clemens Busch","RR MARIENBURG GG - MAGNUM",2021,"1,50 x 3 / S",11.50%,"trocken",,"€ 72,00*"
"Clemens Busch","RR MARIENBURG FAHRLAY GG  - MAG.",2021,"1,50 x 3 / S",12.50%,"trocken",,"€ 79,50*"
"Clemens Busch","RR M. FALKENLAY GG  - MAGNUM",2021,"1,50 x 3 / S",12.50%,"trocken",,"€ 79,50*"
"Clemens Busch","RR M. FALKENLAY GG  - DOPPIOMAGN.",2021,"3,00 x 1 / S",12.00%,"trocken",,"€ 165,00*"
"Clemens Busch","RR MARIENBURG GG - DOPPIOMAGNUM",2016,"3,00 x 1 / S",12.00%,"trocken",,"€ 145,00*"
"Clemens Busch","RR M. FAHRLAY GG - DOPPIOMAGNUM",2016,"3,00 x 1 / S",12.50%,"trocken",,"€ 185,00*"
"Clemens Busch","RR M. FALKENLAY GG - DOPPIOMAGNUM",2016,"3,00 x 1 / S",12.50%,"trocken",,"€ 185,00*"
"Schloss Lieser","RR TROCKEN",2023,"0,75 x 6 / St",12.50%,"trocken",,€ 11.50
"Schloss Lieser","RR HELDENSTÜCK",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 19.90
"Schloss Lieser","RR WOODEN TERROIR CASE GG**",2023,"0,75 x 6 / S",13.00%,"trocken","Limitato",€ 350.00
"Schloss Lieser","RR WEHLENER SONNENUHR GG",2023,"0,75 x 6 / S",13.00%,"trocken",,€ 42.50
"Schloss Lieser","RR NIEDERBERG HELDEN GG",2023,"0,75 x 6 / S",13.00%,"trocken",,€ 42.50
"Schloss Lieser","RR KABINETT",2023,"0,75 x 6 / St",8.50%,"45 g/l",,€ 14.50
"Schloss Lieser","RR JUFFER KABINETT",2023,"0,75 x 6 / S",8.50%,"45 g/l",,€ 18.50
"Schloss Lieser","RR WEHL. SONNENUHR KABINETT",2021,"0,75 x 6 / S",8.50%,"45 g/l",,€ 16.50
"Schloss Lieser","RR NIEDERBERG HELDEN SPÄTLESE",2021,"0,75 x 6 / S",8.00%,"80 g/l",,€ 19.90
"Schloss Lieser","RR WEHL. SONNENUHR SPÄTLESE",2018,"0,75 x 6 / S",8.00%,"85 g/l",,€ 20.90
"Schloss Lieser","RR N. HELDEN AUSLESE",2023,"0,75 x 6 / S",7.00%,"95 g/l",,€ 33.90
"Schloss Lieser","RR N. HELDEN AUSLESE GK",2023,"0,75x 6 / S",7.00%,"140 g/l",,€ 49.00
"Schloss Lieser","RR N. HELDEN AUSLESE GK",2019,"0,375x 6 / S",7.00%,"140 g/l",,€ 28.90
"Schloss Lieser","RR N. HELDEN AUSLESE LGK",2019,"0,75 x 6 / S",7.00%,"150 g/l",,€ 70.00
"Schloss Lieser","RR N. HELDEN AUSLESE LGK",2018,"0,375x 6 / S",7.00%,"155 g/l",,€ 42.50
"Schloss Lieser","RR N. HELDEN TROCKENBEERENAUSLESE",2018,"0,375x 6 / S",7.00%,"320 g/l","Limitato",€ 180.00
"Schloss Lieser","RR NIEDERBERG HELDEN GG",2021,"0,75 x 6 / S",13.00%,"trocken",,"€ 37,90*"
"Schloss Lieser","RR WEHLENER SONNENUHR GG",2018,"0,75 x 6 / S",13.00%,"trocken",,"€ 39,50*"
"Schloss Lieser","RR NIEDERBERG HELDEN GG",2018,"0,75 x 6 / S",13.00%,"trocken",,"€ 39,50*"
"Schloss Lieser","RR NIEDERBERG HELDEN GG",2017,"0,75 x 6 / S",12.50%,"trocken",,"€ 40,50*"
"Schloss Lieser","RR N. HELDEN AUSLESE GK",2019,"0,375x 6 / S",7.00%,"140 g/l",,"€ 28,90*"
"Schloss Lieser","RR N. HELDEN AUSLESE GK",2018,"0,375x 6 / S",7.00%,"140 g/l",,"€ 30,00*"
"Haart","RIESLING TROCKEN",2023,"0,75 x 6 / S",12.00%,"trocken",,€ 12.50
"Haart","RR PIESPORTER TROCKEN",2022,"0,75 x 6 / S",12.00%,"trocken",,€ 15.90
"Haart","RR GOLDTRÖPFCHEN GG",2022,"0,75 x 6 / S",12.50%,"trocken",,€ 30.90
"Haart","RR HAART TO HEART",2023,"0,75 x 6 / S",11.00%,"15 g/l",,€ 12.50
"Haart","RR GOLDTRÖPFCHEN KABINETT",2022,"0,75 x 6 / S",9.50%,"ca. 40 g/l",,€ 16.50
"Haart","RR GOLDTRÖPFCHEN SPÄTLESE",2023,"0,75 x 6 / S",8.00%,"ca. 80 g/l",,€ 20.90
"Haart","RR GOLDTRÖPFCHEN AUSLESE",2023,"0,75 x 6 / S",8.00%,"ca. 95 g/l",,€ 32.00
"Haart","RR GOLDTRÖPFCHEN SPÄTLESE",2022,"0,75 x 6 / S",8.00%,"ca. 80 g/l",,"€ 21,90*"
"Haart","RR GOLDTRÖPFCHEN SPÄTLESE",2021,"0,75 x 6 / S",8.00%,"ca. 80 g/l","Limitato","€ 21,90*"
"Haart","RR GOLDTRÖPFCHEN SPÄTLESE",2013,"0,75 x 6 / S",8.00%,"ca. 80 g/l",,"€ 36,90*"
"Haart","RR DOMHERR SPÄTLESE",2011,"0,75 x 6 / S",8.00%,"ca. 80 g/l","Limitato","€ 39,50*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE",2019,"0,75 x 6 / S",8.00%,"ca. 95 g/l",,"€ 33,50*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE",2019,"0,375x 6 / S",8.00%,"ca. 95 g/l",,"€ 18,90*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE",2013,"0,375x 6 / S",8.00%,"ca. 95 g/l",,"€ 27,50*"
"Haart","RR OHLIGSBERG AUSLESE GK",2011,"0,375x 6 / S",8.00%,"ca. 95 g/l",,"€ 40,00*"
"Haart","RR OHLIGSBERG AUSLESE GK",2007,"0,375x 6 / S",8.00%,"ca. 95 g/l",,"€ 41,50*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE GK",2011,"0,375x 6 / S",8.00%,"ca. 135 g/l","Limitato","€ 40,00*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE GK",2004,"0,375x 6 / S",8.00%,"ca. 135 g/l",,"€ 45,00*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE GK",1999,"0,75 x 6 / S",8.00%,"ca. 135 g/l",,"€ 140,00*"
"Haart","RR GOLDTRÖPFCHEN AUSLESE LGK",2005,"0,375x 6 / S",8.00%,"ca. 155 g/l","Limitato ","€ 160,00*"
"Ansgar Clüsserath","RR VOM SCHIEFER ",2023,"0,75 x 6 / St",11.00%,"trocken",,€ 12.90
"Ansgar Clüsserath","RR STEINREICH",2023,"0,75 x 6 / S",11.00%,"trocken",,€ 18.50
"Ansgar Clüsserath","RR STEINREICH",2022,"0,75 x 6 / S",11.00%,"trocken","Limitato",€ 18.50
"Ansgar Clüsserath","RR T. APOTHEKE",2023,"0,75 x 6 / S",12.00%,"trocken",,€ 34.50
"Ansgar Clüsserath","RR T. APOTHEKE KABINETT",2023,"0,75 x 6 / S",8.00%,"ca. 45 g/l ",,€ 18.50
"Ansgar Clüsserath","RR T. APOTHEKE KABINETT",2022,"0,75 x 6 / S",8.00%,"ca. 45 g/l ",,€ 17.90
"Ansgar Clüsserath","RR T. APOTHEKE SPÄTLESE",2023,"0,75 x 6 / S",8.00%,"ca. 65 g/l ",,€ 22.50
"Geltz-Zilliken","RR TROCKEN",2022,"0,75 x 6 / St",11.50%,"trocken","Limitato",€ 12.90
"Geltz-Zilliken","RR SAARBURG",2022,"0,75 x 6 / S",11.50%,"trocken",,€ 17.90
"Geltz-Zilliken","RR SAARBURG ALTE REBEN",2022,"0,75 x 6 / S",11.50%,"trocken",,€ 25.90
"Geltz-Zilliken","RR RAUSCH GG",2023,"0,75 x 6 / S",12.00%,"trocken",,€ 45.00
"Geltz-Zilliken","RR RAUSCH GG",2022,"0,75 x 6 / S",12.00%,"trocken",,€ 45.00
"Geltz-Zilliken","RR BUTTERFLY",2023,"0,75 x 6 / St",11.50%,"ca. 15 g/l","                 ",€ 12.90
"Geltz-Zilliken","RR RAUSCH DIABAS",2022,"0,75 x 6 / S",11.00%,"ca. 18 g/l",,€ 45.00
"Geltz-Zilliken","RR RAUSCH KABINETT",2023,"0,75 x 6 / S",8.00%,"ca. 55 g/l",,€ 24.50
"Geltz-Zilliken","RR RAUSCH KABINETT",2022,"0,75 x 6 / S",8.00%,"ca. 55 g/l",,€ 24.50
"Geltz-Zilliken","RR RAUSCH SPÄTLESE",2023,"0,75 x 6 / S",8.00%,"ca. 80 g/l",,€ 36.90
"Geltz-Zilliken","RR RAUSCH AUSLESE",2021,"0,375x 6 / S",8.00%,"ca. 100 g/l",,€ 30.00
"Geltz-Zilliken","RR RAUSCH SPÄTLESE",2020,"0,375x 6 / S",8.00%,"ca. 80 g/l",,€ 16.50
"Geltz-Zilliken","RR RAUSCH SPÄTLESE",2011,"0,75 x 6 / S",7.50%,"ca. 80 g/l","               Esaurito","€ 50,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE",2019,"0,75 x 6 / S",8.00%,"ca. 100 g/l",,"€ 52,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE",2018,"0,75 x 6 / S",8.00%,"ca. 100 g/l",,"€ 52,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE",2018,"0,375x 6 / S",8.00%,"ca. 100 g/l",,"€ 27,50*"
"Geltz-Zilliken","RR RAUSCH AUSLESE",2009,"0,75 x 6 / S",7.50%,"ca. 100 g/l",,"€ 65,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE GK",2018,"0,375x 6 / S",8.00%,"ca. 140 g/l",,"€ 60,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE GK",2017,"0,75 x 6 / S",7.50%,"ca. 140 g/l",,"€ 115,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE GK",2017,"0,375x 6 / S",7.50%,"ca. 140 g/l",,"€ 63,00*"
"Geltz-Zilliken","RR RAUSCH AUSLESE GK",2005,"0,375x 6 / S",7.50%,"ca. 140 g/l",,"€ 95,00*"
"Josmeyer","CHANTE PINOT BRUT NATURE","s.a.","0,75 x 6 / S",11.50%,"0 g/l ",,€ 15.90
"Josmeyer","SYLVANER PEAU ROUGE",2023,"0,75 x 6 / S",12.50%,"1 g/l ",,€ 15.90
"Josmeyer","GEWÜRZTR. CUVÈE FLEUR DE LOTUS ",2023,"0,75 x 6 / S",12.50%,"1 g/l",,€ 14.90
"Josmeyer","GEWÜRZTR. CUVÈE DES FOLASTRIES",2021,"0,75 x 6 / S",13.00%,"1 g/l",,€ 23.50
"Josmeyer","GEWÜRZTR. CUVÈE DES FOLASTRIES",2020,"0,75 x 6 / S",13.00%,"8,5 g/l",,€ 24.50
"Josmeyer","PINOT AUXERROIS „H“ V.V.",2017,"0,75 x 6 / S",12.50%,"2 g/l",,€ 25.90
"Josmeyer","PINOT GRIS UN CERTAIN REGARD",2019,"0,75 x 6 / S",13.50%,"1 g/l",,€ 25.90
"Josmeyer","RIESLING DRAGON",2021,"0,75 x 6 / S",13.00%,"1 g/l",,€ 28.50
"Josmeyer","RIESLING LES PIERRETS",2018,"0,75 x 6 / S",12.00%,"1 g/l",,€ 28.50
"Josmeyer","RR GRAND CRU HENGST",2018,"0,75 x 6 / S",13.50%,"2 g/l",,€ 40.00
"Josmeyer","RR GRAND CRU HENGST",2015,"0,75 x 6 / S",13.50%,"3 g/l",,€ 45.90
"Josmeyer","RR GRAND CRU HENGST SAMAIN",2015,"0,75 x 6 / S",13.50%,"5 g/l","Limitato",€ 52.50
"Josmeyer","RR GRAND CRU HENGST SAMAIN",2014,"0,75 x 6 / S",13.50%,"4 g/l","Limitato",€ 52.50
"Thierry Laffay","PETITE CHABLIS",2023,"0,75 x 12 / S",13.00%,,,€ 19.90
"Thierry Laffay","CHABLIS VIEILLES VIGNES",2023,"0,75 x 12 / S",13.00%,,,€ 27.50
"Thierry Laffay","CHABLIS 1ER CRU VAILLON",2023,"0,75 x 12 / S",12.50%,,,€ 36.50
"Thierry Laffay","CHABLIS 1ER CRU VAILLON",2020,"0,75 x 12 / S",12.50%,,"Limitato",€ 33.50
"Thierry Laffay","CHABLIS 1ER CRU MONT DE MILIEU",2022,"0,75 x 12 / S",13.50%,,,€ 36.50
"Thierry Laffay","CHABLIS 1ER CRU CÔTE DE LÉCHET",2022,"0,75 x 12 / S",13.00%,,,€ 36.50
"Thierry Laffay","CHABLIS GRAND CRU VAUDÈSIR",2022,"0,75 x 12 / S",13.00%,,"Limitato","€ 77,00* "
"Thierry Laffay","CHABLIS GRAND CRU BOUGROS ",2022,"0,75 x 12 / S",13.00%,,"Limitato","€ 77,00* "
"Humbert","BOURGOGNE CHARDONNAY",2022,"0,75 x 12 / S",13.50%,,"Limitato","€ 32,50*"
"Humbert","BOURGOGNE CHARDONNAY",2019,"0,75 x 12 / S",13.50%,,,"€ 34,50*"
"Humbert","BOURGOGNE ROUGE COTE D`OR",2022,"0,75 x 12 / S",13.50%,,,"€ 35,90*"
"Humbert","FIXIN VIEILLES VIGNES",2022,"0,75 x 12 / S",13.50%,,"Limitato","€ 46,50*"
"Humbert","GEVREY-CHAMBERTIN VIEILLES V.",2022,"0,75 x 12 / S",13.00%,,," € 72,50*"
"Humbert","GEVREY-CHAMBERTIN V.V. - MAGNUM",2022,"1,5 x 3 / S",13.00%,,," € 150,00*"
"Humbert","GEVREY-CHAMBERTIN V.V. - DOPPIOM.",2022,"3,0 x 1 / S",13.00%,,,"€ 335,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2022,"0,75 x 12 / S",13.50%,,,"€ 150,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2022,"1,5 x 3 / S",13.50%,,,"€ 305,00*"
"Humbert","GEVREY-CHAMBERTIN 1ER CRU PETITE CHAPELLE",2022,"0,75 x 12 / S",13.00%,,"Limitato","€ 150,00*"
"Humbert","GEVREY-CHAMBERTIN 1ER CRU",2022,"0,75 x 12 / S",13.50%,,,"€ 165,00*"
,"ESTOURNELLES-SAINT-JACQUES",,,,,,
"Humbert","CHARMES-CHAMBERTIN GRAND CRU",2022,"0,75 x 12 / S",13.50%,,,"€ 260,00 *"
"Humbert","CHARMES-CHAMBERTIN GRAND CRU",2021,"0,75 x 12 / S",13.50%,,"Limitato","€ 260,00 *"
"Humbert","GEVREY-CHAMBERTIN VIEILLES V.",2021,"0,75 x 12 / S",13.00%,,"Limitato"," € 70,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2021,"0,75 x 12 / S",13.50%,,,"€ 148,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2020,"0,75 x 12 / S",13.50%,,,"€ 120,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2019,"0,75 x 12 / S",13.50%,," ","€ 120,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2018,"0,75 x 12 / S",13.50%,," ","€ 125,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2017,"0,75 x 12 / S",13.50%,," ","€ 125,00*"
"Humbert","GEVREY-CHAM. 1ER CRU POISSENOT",2016,"0,75 x 12 / S",13.50%,," ","€ 130,00*"
"Humbert","GEVREY-CHAMBERTIN VIEILLES V.",2021,"3,0 x 1 / S",13.00%,,,"€ 330,00*"
"Humbert","GEVREY-CHAMBERTIN VIEILLES V.",2020,"3,0 x 1 / S",13.00%,,"Limitato","€ 330,00*"
"Humbert","GEVREY-CH. 1ER CRU POISSENOT",2021,"3,0 x 1 / S",13.50%,,,"€ 650,00*"
"Humbert","GEVREY-CH. 1ER CRU POISSENOT",2020,"3,0 x 1 / S",13.50%,,"Limitato","€ 500,00*"
"Humbert","GEVREY-CH. 1ER CRU POISSENOT",2018,"3,0 x 1 / S",13.50%,,"Limitato","€ 550,00*"
"Harmand-Geoffroy","GEVREY-CHAMBERTIN VIEILLES V.",2021,"0,75 x 6 / S",13.50%,,,"€ 75,00*"
"Harmand-Geoffroy","GEVREY-CHAMBAERTIN 1ER CRU -LA BOSSIERE",2021,"0,75 x 6 / S",13.00%,,,"€ 115,00*"
"Harmand-Geoffroy","GEVREY-CHAMBAERTIN 1ER CRU",2017,"0,75 x 6 / S",13.00%,,"Limitato","€ 120,00*"
,"LA BOSSERIE MONOPOLE",,,,,,
"Harmand-Geoffroy","GEVREY-CHAMBERTIN 1ER CRU",2021,"0,75 x 6 / S",13.50%,,"Limitato","€ 125,00*"
,"LAVAUX-SAINT-JACQUES",,,,,,
"Desaunay-Bissey","NUITS-SAINT-GEORGES ",2019,"0,75 x 6 / S"," ",,,"€ 68,00*"
,"LES BELLECROIX VIEILLES VIGNES",,,,,,
"Desaunay-Bissey","GEVERY-CHAMBERTIN",2020,"0,75 x 6 / S",,,,"€ 68,00* "
,"GEVREY-CHAMBERTIN",2016,"0,75 x 6 / S",,,,"€ 68,00*"
"Desaunay-Bissey","CHAMBOLLE-MUSIGNY ",2020,"0,75 x 6 / S",,,,"€ 79,00*"
,"LA COMBE D`ORVEAU VIEILLES VIGNES",,,,,,
"Desaunay-Bissey","VOSNE-ROMANÉE VIEILLES VIGNES",2020,"0,75 x 6 / S",,,,"€ 79,00*"
"Desaunay-Bissey","VOSNE-ROMANÉE 1ER CRU",2021,"0,75 x 6 / S",,,,"€ 115,00*"
,"LES BEAUX MONTS VIEILLES VIGNES",,,,,,
"Desaunay-Bissey","GRANDS-ECHÉZEAUX GRAND CRU VIEILLES V",2020,"0,75 x 6 / S",,,"Limitato","€ 275,00*"
"La Tene","PINOT NOIR LA TÈNE",2022,"0,75 x 12 / S",13.00%,,,"€ 9,90*"
"La Tene","CHARDONNAY LA TÈNE",2023,"0,75 x 12 / S",13.00%,,,"€ 9,90*"
"Billard","COTEAUX BOURGUIGNONS ",2023,"0,75 x 6 / S",12.50%,,,€ 13.50
,"CHARDONNAY",,,,,,
"Billard","HAUTES COTES DE BEAUNE BLANC",2023,"0,75 x 6 / S",12.50%,,,€ 19.50
"Billard","SAINT-ROMAIN LA COMBE BAZIN BLANC",2023,"0,75 x 6 / S",13.00%,,,€ 33.90
"Billard","SAINT-AUBIN 1ER CRU SUR LE SENTIER DU CLOU",2023,"0,75 x 6 / S",13.00%,,,€ 49.90
"Billard","COTEAUX BOURGUIGNONS ROUGE     ",2023,"0,75 x 6 / S",12.50%,,,€ 13.50
"Billard","HAUTES COTES DE BEAUNE ROUGE",2023,"0,75 x 6 / S",13.00%,,,€ 19.50
"Billard","SAINT-ROMAIN ROUGE",2023,"0,75 x 6 / S",13.00%,,,€ 27.50
"Billard","CHASSAGNE-MONTRACHET",2023,"0,75 x 6 / S",13.00%,,,€ 39.50
,"LES MORICHOTS ROUGE",,,,,,
"Billard","POMMARD ",2023,"0,75 x 6 / S",13.00%,,,€ 45.90
"Genot-Boulanger","MEURSAULT CLOS DU CROMIN",2021,"0,75 x 6 / S",,,,€ 79.00
"Genot-Boulanger","PULIGNY-MONTRACHET LES LEVRONS",2021,"0,75 x 6 / S",,,,€ 79.00
"Genot-Boulanger","PULIGNY-MONTRACHET LES NOSROYES",2021,"0,75 x 6 / S",,,,€ 79.00
"Genot-Boulanger","MEURSAULT 1ER CRU LES BOUCHÈRES ",2021,"0,75 x 6 / S",,,,€ 133.00
"Genot-Boulanger","PULIGNY-MONTRACHET ",2021,"0,75 x 6 / S",,,"Limitato",€ 179.00
,"1ER CRU LES FOLATIÈRES",,,,,,
"Genot-Boulanger","CORTON-CHARLEMAGNE GRAND CRU",2021,"0,75 x 6 / S",,,,€ 269.00
"Genot-Boulanger","BOURGOGNE PINOT NOIR",2021,"0,75 x 6 / S",,,,€ 32.00
"Genot-Boulanger","POMMARD VIEILLES VIGNES",2021,"0,75 x 6 / S",,,"Limitato",€ 59.00
"Genot-Boulanger","ALOXE-CORTON 1ER CRU ",2021,"0,75 x 6 / S",,,,€ 83.00
,"CLOS DU CHAPITRE",,,,,,
"Genot-Boulanger","POMMARD 1ER CRU CLOS BLANC",2020,"0,75 x 6 / S",,,,€ 109.00
"Genot-Boulanger","CLOS DE VOUGEOT GRAND CRU",2021,"0,75 x 6 / S",,,"Limitato",€ 269.00
"Jean Baptiste Jessiaume","BOURGOGNE CHARDONNAY",2022,"0,75 x 12 / S",13.00%,,,€ 27.50
"Jean Baptiste Jessiaume","SANTENAY BLANC LA FORGE",2022,"0,75 x 12 / S",13.00%,,,€ 35.50
"Jean Baptiste Jessiaume","CHASSAGNE-MONTRACHET",2022,"0,75 x 12 / S",13.00%,,,€ 65.00
"Jean Baptiste Jessiaume","MEURSAULT 1ER CRU BLAGNY ",2022,"0,75 x 12 / S",13.00%,,"Limitato",€ 115.00
,"LA PIÈCE SOUS LE BOIS",,,,,,
"Jean Baptiste Jessiaume","BOURGOGNE PINOT NOIR",2022,"0,75 x 12 / S",13.00%,,,€ 27.50
"Jean Baptiste Jessiaume","SANTENAY ROUGE LA FORGE",2022,"0,75 x 12 / S",13.00%,,,€ 35.00
"Jean Baptiste Jessiaume","VOLNAY",2022,"0,75 x 12 / S",13.00%,,,€ 49.00
"Jean Baptiste Jessiaume","VOLNAY",2019,"0,75 x 12 / S",13.00%,,,€ 49.00
"Jean Baptiste Jessiaume","SANTENAY ROUGE 1ER CRU",2022,"0,75 x 12 / S",13.00%,,,€ 45.90
,"CLOS ROUSSEAU",,,,,,
"Jean Baptiste Jessiaume","SANTENAY ROUGE 1ER CRU",2020,"0,75 x 12 / S",13.00%,,,€ 54.90
,"LES GRAVIÈRES",,,,,,
"Jean Baptiste Jessiaume","VOLNAY 1ER CRU LES FREMIETS",2020,"0,75 x 12 / S",13.00%,,"Limitato",€ 75.00
"Guillot-Broux","SAINT-VERAN LES ROCHETTES",2022,"0,75 x 6 / S",13.00%,,,€ 22.90
"Guillot-Broux","POUILLY-FUISSÉ LA REPOSTÈRE",2022,"0,75 x 12 / S",13.00%,,,€ 29.90
"Guillot-Broux","POUILLY-FUISSÉ ",2021,"0,75 x 12 / S",13.00%,,"Limitato",€ 65.00
,"LA MARÈCHAUDE 1ER CRU",,,,,,
"Guillot-Broux","POUILLY-FUISSÉ  LA ROCHE 1ER CRU",2022,"0,75 x 12 / S",13.00%,,,€ 64.50
"Guillot-Broux","MACON-CRUZILLE LES GENIÈVRIÈRES",2023,"0,75 x 6 / S",13.00%,,,€ 28.50
"Guillot-Broux","MACON-CRUZILLE LES PERRIÈRES",2021,"0,75 x 12 / S",13.00%,,,€ 46.50
"Guillot-Broux","MACON-CRUZILLE BEAUMONT",2017,"0,75 x 6 / S",13.00%,,,€ 22.30
,"(100% Gamay)",,,,,,
"Guillot-Broux","BOURGOGNE R. LES GENIÈVRIÈRES",2021,"0,75 x 6 / S",13.00%,,,€ 28.90
"Guillot-Broux","BOURGOGNE ROUGE LA MYOTTE",2020,"0,75 x 6 / S",13.00%,,,€ 37.50
"Guillot-Broux","BOURGOGNE ROUGE LA MYOTTE",2017,"0,75 x 6 / S",13.00%,,,€ 30.90
"Amelie Guillot","CRÉMANT DU JURA - 36 mesi","s.a.","0,75 x 6 / S",12.00%," /",,€ 16.90
"Amelie Guillot","CHARDONNAY VIEILLES VIGNES",2022,"0,75 x 6 / S",13.50%,,,€ 22.50
"Amelie Guillot","SAVAGNIN SWEETNESS QUILLÉ ",2022,"0,75 x 6 / S",14.00%,,,€ 24.90
,"VIELLES VIGNES",,,,,,
"Amelie Guillot","SAVAGNIN VIEILLES VIGNES",2019,"0,75 x 6 / S",13.00%,,,€ 29.50
"Amelie Guillot","VIN  JAUNE VV",2017,"0,62 x 6 / S",13.00%,,,€ 44.50
"Amelie Guillot","POULSARD VIELLES VIGNES",2023,"0,75 x 6 / S",12.00%,,,€ 18.90
"Amelie Guillot","TROUSSEAU VIELLES VIGNES",2023,"0,75 x 6 / S",12.00%,,,€ 20.50
"Amelie Guillot","TROUSSEAU EN TARTOT",2021,"0,75 x 6 / S",13.00%,,,€ 17.90
"Amelie Guillot","MACVIN DU JURA BLANC MAROULI","s.a.","0,75 x 6 / S",17.00%,"160 g/l",,€ 27.50
"Amelie Guillot","MACVIN DU JURA ROSÉ","s.a.","0,75 x 6 / S",17.00%,"140 g/l",,€ 27.50
"Ogereau","ANJOU BLANC EN CHENIN",2023,"0,75 x 6 / S",13.50%,,,€ 13.90
"Ogereau","ANJOU BLANC VENT DE SPILITE",2021,"0,75 x 6 / S",13.50%,,,€ 24.50
"Ogereau","ANJOU BLANC VENT DE SPILITE",2020,"0,75 x 6 / S",13.50%,,,€ 24.50
"Ogereau","SAVENNIÈRES LA SAPOANAIRE",2021,"0,75 x 6 / S",13.50%,,,€ 20.90
"Ogereau","SAVENNIÈRES LA SAPOANAIRE",2020,"0,75 x 6 / S",13.50%,,,€ 20.90
"Ogereau","COTEAUX-DU-LAYON S. LAMBERT",2022,"0,75 x 6 / S",12.50%,"85 g/l",,€ 20.90
