"PRODUTTORE","VINO","ANNATA","QUANTITA'","Purchase Price + notes",
,"MEURSAULT PERRIERES 1CRU",2009,2,"€250/260",
,"PULIGNY MONTRACHET LES COMBETTES 1CRU",2009,2,"€150/160",
,"CHEVALIER MONTRACHET GRAND CRU MAGNUM",2009,1,"€ 1,200",
"YVES BOYER MARTENOT","PULIGNY MONTRACHET 1CRU LE CAILLERT",2006,2,150,
,"MEURSAULT PERRIERS 1CRU",2006,2,260,
"DOMAINE GUFFENS","MACON PIERRECLOS",2005,2,70,
"DOMAINE CHAVY CHOUET","POULIGNY MONTRACHET 1CRU LES FOLATIERES",2010,1,80,
"DOMAINE AUX MOINES (BORDO)","SAVENNIERES ROCHE AUX MOINES",2004,4,30,
"DOMAINE FONTAINE GAGNARD (CERETTO)","CHASSAGNE MONTRACHET 1CRU LES VERGERS",2007,1,90,
,"CHASSAGNE MONTRACHET 1CRU LA MATROIE",2009,1,100,
,"CRIOTES BATARD MONTRACHET GRAND CRU",2009,2,500,
,"CHASSAGNE MONTRACHET 1CRU LA MALTROIE",2006,3,100,
,"CHASSAGNE MONTRACHET 1CRU LA MALTROIE",2005,2,90,
"DOMAINE A.ET.P DE VILLAINE (proprietario Romaneè conti)","BOUZERON",2009,1,"200 (non si trovano)",
,"CHASSAGNE MONTRACHET 1CRU LES CAILLERETS",2009,3,100,
"DOMAINE FONTAINE GAGNARD (CERETTO)","CHASSAGNE MONTRACHET 1CR LES VERGERS",2009,1,,
"DUGAT PY - GEVREY CHAMBERTIN","BOURGOGNE CUVEE HALINARD",2007,1,60,
,"COEUR DE ROY",2006,1,150,
,"1CRU CHAMPEAUX",2007,2,200,
,"CHARMES CHAMBERTIN GRAND CRU",2007,3,800,
,"MAZOYERS CHAMBERTEN GRAND CRU",2007,4,400,
,"MAZIS CHAMBERTEN GRAND CRU",2007,3,400,
,"GEVREY CHAMBERTIN VIEILLES VIGNES",2007,2,100,
"DIDIER DAGUENAU","SILEX BLANC FUME' DE POUILLY",2005,3,150,
,"SILEX BLANC FUME' DE POUILLY",2007,3,150,
"ALOPHONSE MELLOT","EDMOND SANCERRE",2004,3,"35 (è un base)",
,"MONT SANCERRE MAGNUM ",2002,1,80,
"DOMAINE PRIEURE ROCH (etichetta piuma)","NUITS SAINT GEORGES 1CRU",2005,2,,
,"POMMARD GRANDS EPENOTS",2002,3,50,
"DOMAINE DES PERDRIX (BORGOGNA) (etichetta uccello)","ECHEZEAUX GRAND CRU",2006,3,250,
,"NUITS SAINT GEORGES 1CRU",2006,1,150,
"DOMAINE DI GIOIA ROYER (Village)","CHAMBOLLE MUSIGNY",2009,1,70,
"DOMINIQUE LAURENT","CHOREY LES BEAUNE",2005,10,40,
"DOMAINE DE VILLENEUVE (VELIER)","CHATEAUNEUF DU PAPE",2001,3,60,
"FAIVELEY (SAGNA)","VOSNE ROMANEE",2005,2,90,
"ALAIN GRAILLOT","LA GUIRAUDE CROZES HERMITAGE",2005,1,,
"ALAIN HUDELOT NOELLAT (CERETTO)","VOSNE ROMANEE ",2005,1,100,
,"VOSNE ROMANEE 1CRU  LES SUCHOTS",2006,3,180,
,"CLOS DE VOUGEOT GRAND CRU",2006,3,250,
"DOMAINE DES MARTINELLES (CERETTO)","HERMITAGE",2005,3,150,
"DOMAINE TOLLOT BEAUT","ALOXE CORTON",2007,2,"60 (da vendere)",
"DOMAINE CLAPE (CERETTO)","CORNAS ",2005,3,80,
"PHILIPPE PACALET","CHAMBOLLE MUSIGNY 1CRU",2010,6,"200/250",
"DOMANE DE MONTILLE (gran produttore)","VOLNAY LES CHAMPANS 1CRU",2000,2,200,
,"VOLNAY LES CHAMPANS 1CRU",2001,1,"150/180",
,"POMMARD GRANDS EPENOTS 1CRU",2001,1,"150/180",
"CLAUDE DU GAT (vale il produttore) ","GEVREY CHAMBERTIN",2005,2,150,
"DOMAINE DENIS MORTET","GEVREY CHAMBERTIN VIEILES VIGNES",2007,2,100,
,"GEVREY CHAMBERTIN VIEILES VIGNES",2006,2,"80/90",
,"GEVREY CHAMBERTIN",2007,1,"80/90",
,"CLOS DE VOUGEOT GRAND CRU",2007,1,250,
"CHATEAU HAUT BEAUSEJOUR (SAGNA)","SAINT ESTEPHE",2009,4,"42 (è longevo)",
"DOMAINE GROS (gran produttore) FRERE ET SOEUR","VOSNE ROMANEE 1CRU LES CHAUMES",2006,2,200,
,"ECHEZEAUX GRAND CRU",2006,1,"350 da vendere, l ho pagata 65",
,"RICHEBOURG GRAND CRU ",2007,2,450,
,"RICHEBOURG GRAND CRU ",2006,1,400,
"DOMAINE JEAN GRIVOT","RICHEBOURG GRAND CRU ",2004,2,,
"DOMAINE TRAPES","CHAMBERTIN GRAND CRU",2006,2,,
,"LATRICIERES CHAMBERTIN GRAND CRU ",2006,2,,
,"GEVREY CHAMBERTIN 1CRU",2006,2,,
"CHATEAU GAZIN (grandi marche francesi)","POMEROL",2019,2,"Pagata io 102€",
