wine_id,size,vintage,price,info,storage_area,internal_notes
wine_01h4pmmfcybwt5g6v1gz2xkk67,BOTTLE,2012,16000,,1-1,
wine_01h4pmmgk1pemxa551nafsmenn,BOTTLE,0,29000,Metodo solera,1-1,
wine_01h4pmmfcx5fa8rsb1f0k2n037,BOTTLE,2013,16000,,1-1,
wine_01h4pmmfcx5fa8rsb1f0k2n037,BOTTLE,2010,23000,,3-1,
wine_01h4pmmgg9ks96abtw86yvrrkx,BOTTLE,0,18000,,,
wine_01h4pmmgkh5w9qarvcftc8ybx8,BOTTLE,0,18000,,,
wine_01h4pmmgkh5w9qarvcftc8ybx8,MAGNUM,0,28000,,,
wine_01gzr4ksc92vy7pe7s4fhq3j6s,BOTTLE,0,15000,,,
wine_01gzr4ksc93gshb9ysern8935m,BOTTLE,2013,15000,,1-2,
wine_01gzr4ksc9yq8kbbtmbxvhnd7p,BOTTLE,2014,13000,,1-2,
wine_01gzr4ksc9nv6yv79dv69fxaeq,BOTTLE,0,13000,,1-2,
wine_01gzr4ksc94zy3dc52zya8nafq,BOTTLE,0,9000,,1-2,
wine_01h4pmmgg5x3xh4ee8x4m2w9kk,BOTTLE,2020,23000,,1-2,
wine_01h4pmmfcxf8gzb7br6ffa8rr3,BOTTLE,0,14500,,1-3,
wine_01h0qzm2vdanmrda67kg8mhy65,BOTTLE,0,12000,,1,
wine_01h0qzm2vdb5wxdwrspf4nygdk,BOTTLE,0,11000,,1,
wine_01gzr4ktsdjr7edgveykk4hs4s,BOTTLE,0,45000,,,
wine_01gzr4ks7h5x1nhhc1jnbgbg29,BOTTLE,0,38000,170th Edition,1-5,
wine_01h4pmmfcxhvt6at5k6x2e8ne9,BOTTLE,2021,7564,,2-1,
wine_01h4pmmgjm9j9eztxvcvgyan7e,MAGNUM,0,21000,,1-4,
wine_01h4pmmfcvn2zes5d5f1wjadgh,BOTTLE,0,11000,,1-4,
wine_01gzr4ks5tqthh4jv8natgmek8,BOTTLE,2014,40000,,1-3,
wine_01h4pmmgnpad6pkhar90m30jzk,BOTTLE,2015,9500,,1-3,
wine_01h0r2ppq7ytxa8eh0zsmj9avf,BOTTLE,2019,14000,,1-4,
wine_01h0r2ppq7kt03skch138zye50,BOTTLE,2019,15000,,1-5,
wine_01h4pmmfcw6dxr7fpfd5g6arqc,BOTTLE,0,9000,,1-4,
wine_01h0my5rrtj5shpty7n8tmk0h1,BOTTLE,0,28000,,,
wine_01gzr4kskbm8rff597est1x7mj,BOTTLE,0,15000,,,
wine_01h0f3cmbtxf8k57zhy2mn3dtj,BOTTLE,0,9000,,1-2,
wine_01h4pmmgg8sv1tvkfvfk5z2w0b,BOTTLE,2012,12000,,2-2,
wine_01gzr4ksxe0sdmh1d43kq99xqs,BOTTLE,0,12000,,,
wine_01h4pmmgpppjkgf88avg2kqpxz,BOTTLE,2019,15000,,,
wine_01h4pmmggf69tb1jj1fwe2ds0j,BOTTLE,0,11000,,2-1,
wine_01h4pmmgpwp0v7htebdbhh1aq5,BOTTLE,0,16000,,,
wine_01h0r2pp9wx3p9jt857yksx3c7,BOTTLE,0,15000,,,
wine_01h4pmmgpwgm4xt1ry3dx4v6k9,BOTTLE,0,21000,,,
wine_01h4pmmgpxqgc3nam05aw67bcv,BOTTLE,0,21000,,,
wine_01h4pmmgpwwyqyprewtwfejrp3,BOTTLE,0,30000,,,
wine_01h4pmmggb8f5r768av9db9nwn,BOTTLE,0,11000,,,
wine_01h4pmmgrg88kgaq18996faq8q,BOTTLE,0,16000,,2-1,
wine_01h4pmmgrg47f3qn7d25v3975t,BOTTLE,0,12500,,2-1,
wine_01gzr4ks63510rxe0fbhaqdv5f,BOTTLE,2013,51000,,,
wine_01gzr4ks63jq95xanh97sq7sjy,BOTTLE,0,15000,,,
wine_01gzr4ks63dw1mz9w5ezwc97av,BOTTLE,0,10000,,1-1,
wine_01gzr4ks63nx7n95vw12dcynhy,BOTTLE,0,10000,,1-1,
wine_01h4pmmfk06gk507ht77r4cjm8,BOTTLE,0,7000,,1-3,
wine_01gzr4ktsex2yqnthj8zdxzxaa,BOTTLE,0,11000,,1-2,
wine_01h0f3cmbmtvmkd6m243g38m9r,BOTTLE,0,18000,,2-1,
wine_01h4pmmgfhgw51dj91bj0xbae4,BOTTLE,0,16000,,,
wine_01h4pmmgsy15269hvpvaavpmq2,BOTTLE,0,9000,,1-3,
wine_01h4pmmgsy15269hvpvaavpmq2,MAGNUM,0,19000,,3-1,
wine_01h0qzm2vd4tp2ns6mg23d6rhz,BOTTLE,0,11000,,1-5,
wine_01gzr4ksp2gg2we1vy7fh3ybnn,BOTTLE,2022,3000,,3-3,
wine_01h0my5sh0q0tem2adamp4be78,BOTTLE,2021,3000,,FRIGO MESCITA,
wine_01h0qzm1t9hmw5vn7rand0nx4d,BOTTLE,2021,9000,,,
wine_01h0qzm226ee8rvp4b29hhnc9w,BOTTLE,2021,4500,,3-3,
wine_01gzr4ksdrkxd0vxnxj204j8qh,BOTTLE,2022,4000,,4-3,
wine_01gzr4ksj7zdbpvz6wtppc0wgv,BOTTLE,2022,3000,,4-3,
wine_01h0my5rm171a7rfxxczj5sjb3,BOTTLE,2019,3000,,3-3,
wine_01gzr4ksr0mw9ppfvxxw6vyg7z,BOTTLE,2019,4500,,4-4 + SCATOLA,
wine_01gzr4ksg2z8rmcvfnw7dp4wka,BOTTLE,2022,3500,,4-3,
wine_01h0my5rkrkc25s4pw0pvf97hk,BOTTLE,2021,3500,,3-3,
wine_01gzr4kss47e8aymjsgb640xmt,BOTTLE,2022,5000,,4-3,
wine_01gzr4ksgmk7f2t0tn19sgwwg3,BOTTLE,2022,3500,,4-1,
wine_01gzr4kt6dcssjtppy7fmpq0c5,BOTTLE,2022,3800,,4-4,
wine_01gzr4ksdaap8qgvttdchv03pk,BOTTLE,2021,5000,,4-2,
wine_01gzr4kt49whwzncybp9a6yb8b,BOTTLE,2022,3500,,4-2,
wine_01gzr4kt49kze5jqmfxgercqpt,BOTTLE,2022,2500,,FRIGO MESCITA,
wine_01gzr4kt49xx5x185hnmbtd80n,BOTTLE,2020,3500,,FRIGO MESCITA E 4-2,
wine_01gzr4ksd91kx6d5rhyzts8a62,BOTTLE,2021,5000,,4-2,
wine_01h0qzm04fq2d2m0767bz3rdt4,BOTTLE,0,3000,,4-3,
wine_01h0qsxnqxh2y81dkhxk64t8k5,BOTTLE,2022,4500,,4-4,
wine_01gzr4ksnzg22arwsq420h1d1d,BOTTLE,2022,3500,,3-3,
wine_01h0qsxnpc6ma73xt3h2vtrvre,BOTTLE,2021,3000,,FRIGO MESCITA,
wine_01h0my5t8pmn7qz7a5g49bavp4,BOTTLE,0,4500,,4-4 + SCATOLA,
wine_01gzr4ksd9kfp30jtsgmty7rzt,BOTTLE,2015,18000,,2-3,
wine_01gzr4kt5pwsa8qhr5c6vvje47,BOTTLE,2021,3000,,4-3,
wine_01h0qsxnbwdnvxnsbmr35ssk6c,BOTTLE,2019,5000,,,
wine_01h0qsxnbws4g8s48fcbswf10h,BOTTLE,2020,4500,,,
wine_01gzr4ksj2tpq3qeh7dmesn1qv,BOTTLE,2022,3000,,4-4,
wine_01gzr4ksj2swy4dfs7x0ayb2zv,BOTTLE,2021,2500,,4-3,
wine_01gzr4ksj2vhr6mzr4an8szhym,BOTTLE,2021,6500,,4-3,
wine_01gzr4ksj2d6vn7abpd9wv0nmc,BOTTLE,2022,3000,,4-3,
wine_01h0qzm1vf5g6wsr3ychsek0rg,BOTTLE,2022,3500,,4-1,
wine_01gzr4kt45bh8v3tywbx87qyq7,BOTTLE,2020,2500,,FRIGO MESCITA,
wine_01gzr4ksjspmv5j12n5tb3edhh,BOTTLE,2021,3000,,4-3,
wine_01gzr4ksqfkdqev8benngq562n,BOTTLE,2021,8000,,,
wine_01gzr4ksqf6ype3trzzf1bk0kt,BOTTLE,0,3500,,,
wine_01gzr4ksqfe88tpqakcr3w9fx4,BOTTLE,2022,3500,,,
wine_01h0qzm1frzfzsjgywj19nr7sh,BOTTLE,0,3800,,SCAFFALE,
wine_01gzr4ktrxrgdj49jbx14qe0fw,BOTTLE,2021,3000,,FRIGO MESCITA,
wine_01h0r2ppzr413fhrebrjy2nev3,BOTTLE,2022,3500,,4-3,
wine_01h0qzm19thqax1qqrb4z7f3kp,BOTTLE,2022,3500,,4-3,
wine_01gzr4kskw7jbec6b807jdp5b5,BOTTLE,2020,5500,,,
wine_01h0my5t77vhdfpxx3xaqktsac,BOTTLE,2022,3000,,,
wine_01gzr4ksj4ahty016zbqf90zeg,BOTTLE,2022,3000,,FRIGO MESCITA,
wine_01gzr4ksj4tjshy9tb20x9c3ac,BOTTLE,2021,4500,50° Anniversario,4-1,
wine_01gzr4ksj486bxhqwtxq2ntets,BOTTLE,2021,6500,,4-4,
wine_01h0qsxmvqk701s22cygbpqdka,BOTTLE,2020,3000,,3-3,
wine_01h0qsxmvm4p9ezsqe763v97qz,BOTTLE,0,3000,Metodo ancestrale,SCAFFALE,
wine_01gzr4ksek2c08g0hmq1r5pnea,BOTTLE,2020,4000,,3-3,
wine_01h0my5szq2qtg79wem1scyfm6,BOTTLE,2019,4500,,,
wine_01h0sq490g0p2ev48m24g41rb8,BOTTLE,2022,3000,,3-3,
wine_01h4pmmfxh7kxqfr3ehf3zcza3,BOTTLE,2022,3500,,,
wine_01h4pmmfxh500vvfr6sx3q6rya,BOTTLE,2022,4500,,,
wine_01h4pmmfxhnw0x88q4z90acrfh,BOTTLE,2022,4500,,,
wine_01h0my5t3c0pk4gj7er1z662qe,BOTTLE,2022,3000,,FRIGO MESCITA,
wine_01gzr4kspzmnx7513yw6j9qar7,BOTTLE,2021,4000,Tappo a vite,3-3,
wine_01gzr4ksvxnh8xhg570q5rnhqf,BOTTLE,2021,15000,,,
wine_01gzr4ksvx93s3v3b1w60ymx2k,BOTTLE,2021,8500,,3-2,
wine_01h4pmmgzshse3tna6qbp42cbq,BOTTLE,2020,5000,,3-2,
wine_01h0my5sr7nx4q1h2vx0anhyqx,BOTTLE,2021,3500,,FRIGO MESCITA,
wine_01h4pmmgx1x74krx32z2jc9f7q,BOTTLE,2020,6000,,3-1,
wine_01h0r2pq6c0mjgf9vt2n535czj,BOTTLE,2021,6000,,3-1,
wine_01h4pmmh15jn2hhmz95s2zknxc,BOTTLE,2020,11000,,,
wine_01gzr4kst7bzg9z930ytz72je5,BOTTLE,2019,35000,,,
wine_01h4pmmh1bhkgv56mkpb55fbva,BOTTLE,2020,35000,,,
wine_01h0qsxnxqbtc016ddc3g90vey,BOTTLE,2021,7500,,,
wine_01gzr4ks6d2c3kd9m82dww8ncb,BOTTLE,2022,7500,,3-1,
wine_01h4pmmh21h7mqp7zrm65h6xdy,BOTTLE,2020,8000,,,
wine_01h0my5swekx5xwgz85dgzcxef,BOTTLE,2021,10000,,,
wine_01h4pmmh2hpmjs6w9ce42q0ahj,BOTTLE,2021,23000,,,
wine_01h4pmmh2mt8h1e642h62ehtka,BOTTLE,2021,9000,,3-1,
wine_01gzr4ksq0pqsx6g5wk9essty6,BOTTLE,2020,8000,,,
wine_01h4pmmh0s0yekmxyxfgd9af2y,BOTTLE,2020,6000,,3-1,
wine_01h4pmmh0w393zc87m0s5rx76g,BOTTLE,2021,8500,,,
wine_01h0qzm1g4vjrnhs73s03nfqph,BOTTLE,0,6500,,,
wine_01gzr4ksrx15k91md0y0xvsfcb,BOTTLE,2020,6500,,3-2,
wine_01h0my5svd6jgsa972xnenb95c,BOTTLE,2021,5500,,3-1,
wine_01h4pmmh3a1mjkaw4jxkd9xs2p,BOTTLE,2018,3500,,,
wine_01h4pmmgwwzpqgha5ptq3vybve,BOTTLE,2020,6000,,3-1,
wine_01h4pmmh405ec4dw8zvrw8ykqe,BOTTLE,2021,4000,,SCAFFALE,
wine_01gzr4ksszazn8xc6vyvy11av7,BOTTLE,2020,6000,,4-1,
wine_01gzr4kssypr8ssbgks1t13j1y,BOTTLE,2022,3500,,4-1,
wine_01gzr4ksszk3k6hehdnm0ggrav,BOTTLE,2019,8000,,4-2,
wine_01gzr4ksszrgfa3gwb4sxk3e1f,BOTTLE,2020,6000,,,
wine_01gzr4kst0e9pcx7xpnbfx4q9y,BOTTLE,2019,8500,,4-2,
wine_01h4pmmh53s16w7jwk71qdhhh7,BOTTLE,2022,3500,,,
wine_01h4pmmh4j9kdkksda49p44hx0,BOTTLE,0,2500,,3-2,
wine_01h4pmmh12sfzfn5dgh87jmx4j,BOTTLE,2020,6000,,3-1,
wine_01h4pmmh0xrqk1e3ppdmt70em8,BOTTLE,2020,8000,,3-1,
wine_01h4pmmh3cp3gb1k0v8hp6dj9m,BOTTLE,2021,3500,,3-2,
wine_01h4pmmh1kmk3hhtrm9h9vxya2,BOTTLE,2022,6000,,3-1,
wine_01gzr4kt44g1e1vs7k1a1q2xr2,BOTTLE,2019,4500,,3-2,
wine_01h4pmmgwjnbw0my9pyxmj7ngd,BOTTLE,2021,13500,,,
wine_01h4pmmh5ed5nzya83zg45rwg0,BOTTLE,2021,6500,,3-2,
wine_01h4pmmh5e4g00350mc29enp5f,BOTTLE,2021,7500,,,
wine_01h4pmmh45d6hq7r4vsgzm5b6g,BOTTLE,0,4000,,FRIGO MESCITA,
wine_01gzr4ksrw6f44hg3y15z0dm2c,BOTTLE,0,3500,,SCAFFALE,
wine_01gzr4ksga1y9bvbrackprhjgv,BOTTLE,2001,14000,,BOTTIGLIERA,
wine_01gzr4ksd458e1b3jk0y3k9tsm,BOTTLE,2020,4500,,SCAFFALE,
wine_01gzr4kss4482788s5dth7nehj,BOTTLE,2021,4800,,SCATOLA,
wine_01gzr4ksny6gja7fn0tpxa4jdv,BOTTLE,2019,9500,,4 BOTTIGLIERA 2 SCATOLA,
wine_01gzr4ksny6gja7fn0tpxa4jdv,MAGNUM,2019,19000,,BOTTIGLIERA,
wine_01gzr4kss4gwk9ngw3nr5wy7nt,BOTTLE,2019,8500,,SCAFFALE,
wine_01gzr4kt6e8t3kr0338y8df3ry,BOTTLE,2020,8000,,BOTTIGLIERA,
wine_01gzr4kt6eee3etext8jsxcaw1,BOTTLE,2021,3500,,BOTTIGLIERA,
wine_01gzr4kt6dg12ga74cyqmag57t,BOTTLE,2019,9500,,BOTTIGLIERA,
wine_01gzr4kt6e57qeprbbe7k7g6rg,BOTTLE,2021,4500,,BOTTIGLIERA,
wine_01gzr4kt492y5tscpcks9sqjjr,BOTTLE,2020,3800,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4kskv33cewkey32djev36,BOTTLE,2020,3800,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4kskv33cewkey32djev36,MAGNUM,2020,8500,,SOPRA FRIGO,
wine_01h0my5t8pwpex66k73s0xvcr6,BOTTLE,0,2500,,BOTTIGLIERA-MAG,
wine_01h0qzm1vf1xzamprrnxx0043s,BOTTLE,2020,7500,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4ksqf47yd69xpd2asd7zy,BOTTLE,2022,3500,,,
wine_01gzr4ksqfeqm5yqe8axz5z57p,BOTTLE,2019,4000,,,
