ok,type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,WHITE,GEWÜRZTRAMINER JOSEPH D.O.C.,J. HOFSTÄTTER,4-1,BOTTLE,2022,35,,,Joseph Gewürztraminer,J. Hofstätter,wine_01h0qzm1vf5g6wsr3ychsek0rg,,44.8755
FALSE,WHITE,TIMORASSO COLLI TORTONESI D.O.C. DERTHONA,LA COLOMBERA,SCAFFALE,BOTTLE,,40,,,Derthona,La Colombera - Piercarlo Semino,wine_01h0qsxnetbpn843hxbg5vz2f9,,32.3482
TRUE,WHITE,LISON D.O.C.G.,LA FRASSINA,FRIGO MESCITA,BOTTLE,2020,25,,,Lison,La Frassina,wine_01gzr4kt45bh8v3tywbx87qyq7,,39.708378
TRUE,WHITE,SOAVE CLASSICO D.O.C.,LE BATTISTELLE,4-3,BOTTLE,2021,30,,,Montesei Soave Classico,Le Battistelle,wine_01gzr4ksjspmv5j12n5tb3edhh,1950148,39.252396
TRUE,WHITE,CHARDONNAY CUVÉE BOIS,LES CRETES,,BOTTLE,2021,80,,,Cuvée Bois Chardonnay,Les Crêtes,wine_01gzr4ksqfkdqev8benngq562n,95228,39.384834
TRUE,WHITE,CHARDONNAY LES CRETES,LES CRETES,,BOTTLE,,35,,,Chardonnay,Les Crêtes,wine_01gzr4ksqf6ype3trzzf1bk0kt,3999923,29.426493
TRUE,WHITE,PETITE ARVINE,LES CRETES,,BOTTLE,2022,35,,,Petite Arvine,Les Crêtes,wine_01gzr4ksqfe88tpqakcr3w9fx4,95232,39.76014
FALSE,WHITE,MOSCATO FRIZZANTE DILI' I.G.T.,MAELI,SCAFFALE,BOTTLE,,30,,,Riesling - Moscatel Rosada,Meli,wine_01h0my5rbxhnyq3rz02ke9v8sp,,24.958607
TRUE,WHITE,RIBOLLA GIALLA D.O.C. BIO,MARCO SARA,SCAFFALE,BOTTLE,,38,,,Ribolla Gialla,Marco Sara,wine_01h0qzm1frzfzsjgywj19nr7sh,,47.80119
TRUE,WHITE,AGNOBIANCO VENETO I.G.T.,MASARI,FRIGO MESCITA,BOTTLE,2021,30,,,Agnobianco,Masari,wine_01gzr4ktrxrgdj49jbx14qe0fw,,43.037167
TRUE,WHITE,FRIULANO ISONZO D.O.C.,MASUT DA RIVE,4-3,BOTTLE,2022,35,,,Friulano,Masut Da Rive,wine_01h0r2ppzr413fhrebrjy2nev3,,44.246372
TRUE,WHITE,SAUVIGNON BLANC ISONZO,MASUT DA RIVE,4-3,BOTTLE,2022,35,,,Sauvignon Blanc,Masut Da Rive,wine_01h0qzm19thqax1qqrb4z7f3kp,,42.476135
TRUE,WHITE,NOT IGT,PARASCHOS,,BOTTLE,2020,55,,,Not,Paraschos,wine_01gzr4kskw7jbec6b807jdp5b5,1275994,35.115723
TRUE,WHITE,LUGANA D.O.C.,PATRIZIA CADORE,,BOTTLE,2022,30,,,Lugana,Patrizia Cadore,wine_01h0my5t77vhdfpxx3xaqktsac,,52.026665
TRUE,WHITE,SOAVE CLASSICO,PIEROPAN,FRIGO MESCITA,BOTTLE,2022,30,,,Soave Classico,Pieropan,wine_01gzr4ksj4ahty016zbqf90zeg,22925,39.33245
TRUE,WHITE,SOAVE CLASSICO IL CALVARINO 50° ANNIVERSARIO,PIEROPAN,4-1,BOTTLE,2021,45,50° Anniversario,,Calvarino Soave Classico,Pieropan,wine_01gzr4ksj4tjshy9tb20x9c3ac,22930,45.06617
TRUE,WHITE,SOAVE CLASSICO LA ROCCA,PIEROPAN,4-4,BOTTLE,2021,65,,,La Rocca Soave Classico,Pieropan,wine_01gzr4ksj486bxhqwtxq2ntets,22945,46.653984
