external_id,type,name_1,name_2,name_3,internal_notes,vintage,info,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
,,Champagne,Dom Perignon,VINTAGE,,2015,,,,,12,,,,
126,,Champagne,Dom Perignon,VINTAGE,,2012,, 295.00 € ,,,30,,,,
,,Champagne,Dom Perignon,VINTAGE, MAGNUM ,2010,,,,,1,4,,,
,,Champagne,Dom Perignon,VINTAGE,,2008,,,,,,,1,,
126,,Champagne,Dom Perignon,Plénitude 2,,2004,,,,,11,,,,
,,Champagne,Dom Perignon,Plénitude 2,,2003,,,,,9,,,,
,,Champagne,Dom Perignon,Plénitude 2,,2002,, 650.00 € ,,,4,,,,
,,Champagne,Don Perignon ,GREEN ILUSIONIST brut, BRUT ,2010,,,,,2,,,,
136,,Champagne,Don Perignon ,ROSÉ ,,2008,, 560.00 € ,,,12,,,,
,,Champagne,Don Perignon ,ROSÉ ILUSIONIST brut, BRUT ,2006,,,,,3,,,,
,,Champagne,Don Perignon ,LADY GAGA EDITION ,,2008,,,,,3,,,,
126,,Champagne,Louis Roederer,CRISTAL,,2014,,,,,4,,,,
,,Champagne,Louis Roederer,CRISTAL,,2012,, 350.00 € ,,,2,,,,
,,Champagne,Louis Roederer,CRISTAL,,2000,,,,,2,,,,
,,Champagne,Louis Roederer,COLLEcTION 242,,,,,,,6,,,,
126,,Champagne,Krug,GRANDE CUVÉE  170th EDITION ,,,, 450.00 € ,,,12,,,,
136,,Champagne,Krug,BRUT ROSÉ  25 éme  ,,,, 450.00 € ,,,8,,,,
126,,Champagne,Salon,LE MESNIL  BRUT  ,,1997,," 1,500.00 € ",,,2,,,,
136,,Champagne,Bollinger ,SPECIAL CUVÉE ROSÉ,,,, 145.00 € ,,,16,,,,
,,Champagne,Le Mesnil  ,GRAN CRU BRUT  BLANC DE BLANCS ,,,,,,,1,,,,
,,Champagne,Laurent-Perrier,BRUT ,,2008,,,,,3,,,,
,,Champagne, Andre Beaufort a Ambonnay,GRAN CRU ROSÉ BRUT ,,1990,,,,,3,,,,
,,Champagne,Armande De Brignac,GOLD BRUT ,,,,,,,3,,,,
,,Champagne,Pol Roger ,BRUT RESERVE,,,,,,,2,,,,
,,Champagne,Pol Roger ,SIR WINSTON CHURCHILL ,,1999,,,,,3,,,,
,,Champagne,Pol Roger ,ROSÉ ,,2004,,,,,1,,,,
