external_id,name,name_2,name_3,internal_notes,vintage,info,bottle_qty,magnum_qty,demi_qty,bottle_price,magnum_price,demi_price,,
126,Champagne,Dom Perignon,VINTAGE,,2015,,12,,,,,,,
,Champagne,,,,2012,,30,,,,,,,
,Champagne,,, MAGNUM ,2010,,1,4,, 295.00 € ,,,,
,Champagne,,,,2008,,,,1,,,,,
126,Champagne,Dom Perignon,Plénitude 2,,2004,,11,,,,,,,
,,,,,2003,,9,,,,,,,
,,,,,2002,,4,,, 650.00 € ,,,,
,Champagne,Don Perignon ,GREEN ILUSIONIST, BRUT ,2010,,2,,,,,,,
136,Champagne,Don Perignon ,ROSÉ ,,2008,,12,,, 560.00 € ,,,,
,Champagne,Don Perignon ,ROSÉ ILUSIONIST, BRUT ,2006,,3,,,,,,,
,Champagne,Don Perignon ,LADY GAGA EDITION ,,2008,,3,,,,,,,
,Champagne,,,,,,,,,,,,,
126,Champagne,Louis Roederer,CRISTAL,,2014,,4,,,,,,,
,Champagne,Louis Roederer,CRISTAL,,2012,,2,,, 350.00 € ,,,,
,Champagne,Louis Roederer,CRISTAL,,2000,,2,,,,,,,
,Champagne,Louis Roederer,COLLEETION 242,,,,6,,,,,,,
,Champagne,,,,,,,,,,,,,
126,Champagne,Krug,GRANDE CUVÉE,,, 170th EDITION ,12,,, 450.00 € ,,,,
136,Champagne,Krug,BRUT ROSÉ,,, 25 éme  ,8,,, 450.00 € ,,,,
,Champagne,,,,,,,,,,,,,
126,Champagne,Salon,LE MESNIL, BRUT  ,1997,,2,,," 1,500.00 € ",,,,
,Champagne,,,,,,,,,,,,,
136,Champagne,Bollinger ,SPECIAL CUVÉE ROSÉ,,,,16,,, 145.00 € ,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Le Mesnil  ,GRAN CRU BRUT, BLANC DE BLANCS ,,,1,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Laurent-Perrier,BRUT ,,2008,,3,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne, Andre Beaufort a Ambonnay,GRAN CRU, ROSÉ BRUT  ,1990,,3,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Armande De Brignac,GOLD BRUT ,,,,3,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Pol Roger ,BRUT RESERVE,,,,2,,,,,,,
,Champagne,Pol Roger ,SIR WINSTON CHURCHILL ,,1999,,3,,,,,,,
,Champagne,Pol Roger ,ROSÉ ,,2004,,1,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,H. Billiot Fils,GRAN CRU RISERVA, BRUT  ,,,1,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Jacques Selosse,LIEUX DITS , EXTRA BRUT  ,2021,,2,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Guillaume Selosse,LARGILLIER, EXTRA BRUT  ,2018,,2,,,,,,,
,Champagne,Guillaume Selosse,LARGILLIER, EXTRA BRUT  ,2017,,1,,,,,,,
,Champagne,,,,,,,,,,,,,
,Champagne,Au dessus du Gros Mont,,,2018,,1,,,,,,,
,,,,,,,,,,,,,,
,,NATURAL WINES,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Vini biologici oppure biodinamici, senza di aggiungere lieviti oppure zolfo e senza filtrazione",,,,,,,,,,,,
,,"Biologisch oder biodynamisch hergestellte Weine, ohne Zugabe von Hefe oder Schwefel und unfiltriert.",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Thomas Niedermayr,Hof Gandberg, Eppan Berg ,,,,,,,,,,
141,Hof Gandberg,Sonnrain,T.N. 99 Gandberg, PIWI ,2019,BIO,7,,, 55.00 € ,,,,
142,Hof Gandberg,Bronner,T.N. 04 Gandberg, PIWI ,2017,BIO,10,,, 50.00 € ,,,,
143,Hof Gandberg,Abendrot,T.N. 06 Gandberg, PIWI ,2018,BIO,8,,, 55.00 € ,,,,
144,Hof Gandberg,Solaris,T.N. 14 Gandberg, PIWI ,2019,BIO,25,,, 45.00 € ,,,,
145,Hof Gandberg,Souvignier Gris,T.N. 16 Gandberg, PIWI ,2021,BIO,2,,, 45.00 € ,,,,
146,Hof Gandberg,Gandfels Cab. Cantor+Cortis,T.N. 06 Gandberg, PIWI ,2016,BIO,31,,, 55.00 € ,,,,
,,,,,,,,,,,,,,
,,Martin Gojer,Weingut Pranzegg, Bozen ,,,,,,,,,,
147,Weingut Pranzegg,Caroline,Cuvée," Ch,S,V,MB ",2015,BIO,,,, 52.00 € ,,,,
148,Weingut Pranzegg,vino rosso leggero,Cuvée," M,L,V ",2016,BIO,,,, 38.00 € ,,,,
151,Weingut Pranzegg,Quirein,Lagrein,,2009,BIO,,,, 65.00 € ,,,,
,,,,,,,,,,,,,,
,,Christian Kerschbaumer,Weingut Garlider, Feldthurns ,,,,,,,,,,
153,Christian Kerschbaumer	Weingut Garlider ,Sylvaner,hautnah,,2016,BIO,,,, 55.00 € ,,,,
,,,,,,,,,,,,,,
,,Familie Dichristin Tröpfltalhof ,Tröpfltalhof, Kaltern ,,,,,,,,,,
154,Familie Dichristin	Tröpfltalhof ,Viognier,LeViogn,,2020,BIO,,,, 49.00 € ,,,,
155,Familie Dichristin	Tröpfltalhof ,Sauvignon,Garnellen,,2012, Anphora ,,,, 75.00 € ,,,,
156,Familie Dichristin	Tröpfltalhof ,Merlot & Cabernet Sauvignon,Rosé Marie,,2020, Anphora ,,,, 52.00 € ,,,,
157,Familie Dichristin	Tröpfltalhof ,Cabernet Sauvignon,Barleith,,2016, Anphora ,,,, 75.00 € ,,,,
,,,,,,,,,,,,,,
,,Sinn Robert,Sinn Robert St. Quirinus , Kaltern ,,,,,,,,,,
161,Sinn Robert	St. Quirinus ,"Aromera, Souvignier Gris, Johanniter",Planties , PIWI - Anphora ,2017,BIO,,,, 65.00 € ,,,,
162,Sinn Robert	St. Quirinus ,"Prior, Chambourcin",Planties, PIWI - Rosé ,2022,BIO,,,, 47.00 € ,,,,
,,,,,,,,,,,,,,
,,Baron Longo,Liebenstein, Neumarkt ,,,,,,,,,,
163,Baron Longo,Liebenstein,Cuvée," W,Ch ",2015,,,,, 55.00 € ,,,,
164,Baron Longo,Solaris,,,2017,,,,, 55.00 € ,,,,
,,,,,,,,,,,,,,
,,DUEMANI,Costa Toscana, Riparbella ,,,,,,,,,,
165,DUEMANI,Syrah - Toscana Rosato,Si, Anphora ,2022,BIO,,,, 65.00 € ,,,,
,,,,,,,,,,,,,,
I,,Alto Adige - Südtirol,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Cuvée blanc ,,,,,,,,,,,,
,,,,,,,,,,,,,,
180,,Kellerei Kurtatsch,LIBELL, Ch+PG+SB+PB ,2024,(5x 23),126,,, 45.00 € ,,,,
172,,Kellerei Kurtatsch,AMOS, PB+CH+PG+SB+KE ,2022,,15,,, 59.00 € ,,,,
,,Kellerei Kurtatsch,AMOS,,2018, MAGNUNM ,,1,,,,,,
179,,Weingut Franz Haas,MANNA, RI+CH+GT+SB ,2023,,18,,, 69.00 € ,,,,
,,Weingut Franz Haas,MANNA,,2007, MAGNUNM ,,2,,, 125.00 € ,,,
,,Weingut Hofstätter,DE VITE ,,2018, MAGNUNM ,,0,,, 80.00 € ,,,
173,,Kellerei Tramin,STOAN, CH+SB+PB+GT ,2022,,31,,, 75.00 € ,,,,
175,,Weingut Kornell,AICHBERG, PB+CH+SB ,2020,,18,,, 75.00 € ,,,,
174,,Kellerei Eisacktal,ADAMANTIS, SY+GV+PG+KE ,2020,,13,,, 120.00 € ,,,,
,,Weingut Elena Walch,BEYOND THE CLOUDS   , CH+GV+SB ,2022,,59,,,,,,,
177,,Weingut Elena Walch,BEYOND THE CLOUDS   ,,2021,,3,,, 120.00 € ,,,,
,,Weingut Elena Walch,BEYOND THE CLOUDS   ,,2020,,2,,,,,,,
171,,Kellerei Nals-Margreid,NAMA, CH+PB+SB ,2018,,3,,, 145.00 € ,,,,
176,,Kellerei St. Michael-Eppan,APPIUS, CH+PB+PG+SB ,2019,,12,,, 155.00 € ,,,,
,,Kellerei St. Michael-Eppan,APPIUS,,2012,,1,,,,,,,
,,,,,,,,,,,,,,
170,,Weingut Franz Haas,MANNA,,2007,,11,,, 95.00 € ,,,,
,,Weingut Franz Haas,MANNA,,2006,,5,,,,,,,
,,Weingut Elena Walch,BEYOND THE CLOUDS ARGENTUM B.,,2016,,15,,,,,,,
170,,Weingut Elena Walch,BEYOND THE CLOUDS ARGENTUM B.,,2014,,24,,, 155.00 € ,,,,
,,Weingut Schreckbichl ,CORNELIUS ,,1997,,2,,,,,,,
,,Alois Lageder ,CONTEST KLEIN ,,1999,,2,,,,,,,
,,Alois Lageder ,CONTEST KLEIN ,,1969,,1,,,,,,,
,,Kellerei Grilan ,RISERVA BIANCA ,,2008,,4,,,,,,,
,,,,,,,,,,,,,,
,,Pinot blanc ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Pinot blanc ,Kellerei Bozen,DELLAGO ,,2023,,17,,,,,,,
,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER,,2024,,20,,,,,,,
181,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER,,2023,,42,,, 45.00 € ,,,,
,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER, MAGNUNM ,2015,,,1,,, 80.00 € ,,,
,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER, MAGNUNM ,2011,,,1,,, 80.00 € ,,,
,Pinot blanc ,Kellerei Kaltern ,KUNSTSTÜCK, MAGNUNM ,2014,,,0,,, 80.00 € ,,,
,Pinot blanc ,Weingut Falkenstein ,VINSCHGAU, MAGNUNM ,2009,,,0,,, 80.00 € ,,,
182,Pinot blanc ,Weingut Schloss Plars,PATAUN,,2022,,17,,, 49.00 € ,,,,
185,Pinot blanc ,Weingut Prackfolerhof,,,2022,,28,,, 55.00 € ,,,,
188,Pinot blanc ,Weingut Gumphof,PRAESULIS,,2022,,31,,, 59.00 € ,,,,
,Pinot blanc ,Weingut Gumphof,PRAESULIS,,2021,,3,,,,,,, 
186,Pinot blanc ,Kellerei St.Michael-Eppan,ST.VALENTIN,,2022,,33,,, 59.00 € ,,,,
,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA, MAGNUNM ,2022,,30,6,,,,,,
187,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2021,,89,,, 69.00 € ,,,,
,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA, MAGNUNM ,2017,,,7,,, 160.00 € ,,,
189,Pinot blanc ,Weingut Gumphof,RENAISSANCE,,2015,,34,,, 79.00 € ,,,,
,Pinot blanc ,Kellerei St. Pauls  ,SANKTISSIMUS,,2018,,3,,,,,,,
190,Pinot blanc ,Kellerei St. Pauls  ,SANKTISSIMUS,,2013,,5,,, 110.00 € ,,,,
,Pinot blanc ,,,,,,,,,,,,,
195,Pinot blanc ,Kellerei Terlan,KLASSISCH,,2010,RARITAS,10,,, 75.00 € ,,,,
,Pinot blanc ,,,,2008,,9,,,,,,,
195,Pinot blanc ,Kellerei St. Pauls,PLÖTZNER,,2010,RARITAS,10,,, 75.00 € ,,,,
195,Pinot blanc ,Weingut Falkenstein,,,2007,RARITAS,,,, 75.00 € ,,,,
,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2021,RARITAS,30,,,,,,,
,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2019,RARITAS,6,,,,,,,
,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2011,RARITAS,7,,,,,,,
,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2008,RARITAS,6,,,,,,,
195,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2007,RARITAS,7,,, 85.00 € ,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2012,RARITAS,6,,,,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2011,RARITAS,4,,,,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2010,RARITAS,3,,,,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2009,RARITAS,3,,,,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2007,RARITAS,3,,,,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2006,RARITAS,5,,,,,,,
195,Pinot blanc ,(Jahrgangswechsl auf 1996),,,2005,RARITAS,4,,, 185.00 € ,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,2004,RARITAS,5,,,,,,,
,Pinot blanc ,Kellerei Terlan,RARITAS,,1996,RARITAS,12,,,,,,,
,,,,,,,,,,,,,,
,,Chardonnay,,,,,,,,,,,,
,,,,,,,,,,,,,,
270,Chardonnay,Kellerei Terlan,TRADITION,,2024,,24,,, 45.00 € ,,,,
273,Chardonnay,Kellerei Terlan,KREUTH,,2023,,47,,, 55.00 € ,,,,
274,Chardonnay,Kellerei St.Michael-Eppan,ST.VALENTIN,,2022,,58,,, 59.00 € ,,,,
278,Chardonnay,Kellerei Kurtatsch,FREIENFELD, (+28 2020?) ,2021,,137,,, 75.00 € ,,,,
279,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2019,BIO,20,,, 95.00 € ,,,,
277,Chardonnay,Weingut Tiefenbrunner,AU,,2020,,20,,, 120.00 € ,,,,
,Chardonnay,Weingut Tiefenbrunner,AU, MAGNUNM ,2018,,,4,,,,,,
,Chardonnay,Weingut Castelfeder ,KREUZWEG RISERVA,,2021,,6,,,,,,,
,Chardonnay,Weingut Castelfeder ,KREUZWEG RISERVA,,2020,,6,,,,,,,
,Chardonnay,Kellerei Tramin,TROY,,2021,,12,,,,,,,
,Chardonnay,Kellerei Tramin,TROY,,2019,,15,,,,,,,
275,Chardonnay,Kellerei Tramin,TROY,,2018,,13,,, 125.00 € ,,,,
,Chardonnay,Kellerei Nals-Margreid,NAMA,,2020,,6,,,,,,,
271,Chardonnay,Kellerei Nals-Margreid,NAMA,,2019,,4,,, 145.00 € ,,,,
,Chardonnay,Kellerei Nals-Margreid,NAMA,,,,,,,,,,,
,Chardonnay,Kellerei St.Michael-Eppan,ST.VALENTIN,,2022,RARITAS,18,,,,,,,
285,Chardonnay,Kellerei St.Michael-Eppan,ST.VALENTIN,,2011,,5,,, 85.00 € ,,,,
,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2007,RARITAS,48,,,,,,,
285,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2006,,11,,, 85.00 € ,,,,
,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2005,,2,,,,,,,
,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2000,,1,,,,,,,
,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,1997,,2,,,,,,,
,Chardonnay,Kellerei Terlan,KREUTH,,2023,RARITAS,30,,,,,,,
285,Chardonnay,,(Kein Jahrgangswechsl),,2012,,1,,, 85.00 € ,,,,
285,Chardonnay,Weingut Tiefenbrunner,LINTICLARUS,,2007,RARITAS,6,,, 95.00 € ,,,,
