wine_id,size,vintage,price,info,storage_area,internal_notes
wine_01h4pmmh544qb1zmts9s1znn12,BOTTLE,0,3600,,, https://www.scalo17.it/prodotto/schloss-reinhartshausen-rheingau-riesling-brut-metodo-classico/
wine_01gzr4ks5wfx390r80n6qp60pz,BOTTLE,0,3600,,,"Chardonnay, Pinot Nero, Aligotè, Gamè https://www.wineexpert.it/it/prodotto/Cremant-de-%20Bourgogne-Gran-cuvee-Brut-Veuve-%20Ambal.aspx"
wine_01h4pmmgg3agcap38f1w7v37wc,BOTTLE,0,8000,,, https://www.callmewine.com/champagne-aubry-P6768.htm
wine_01h4pmmgg36ppcppnjjh2chgjd,BOTTLE,2008,12000,,, https://www.callmewine.com/champagne-aubry-rose-P6767.htm
wine_01gzr4ks6416ctefvem90vkjd9,BOTTLE,0,13000,,, https://www.vinatis.it/44237-champagne-billecart-salmon-grand-cru-blanc-de-blancs
wine_01gzr4ks77wsdabt6vnn27vs4y,BOTTLE,0,12000,,, https://www.tannico.it/champagne-brut-special-cuvee-bollinger.html
wine_01gzr4ks6y229v3p9003jmyzy6,BOTTLE,2014,30000,,, https://www.tannico.it/champagne-brut-la-grande-annee-2014-bollinger.html?utm_source=aw-it-categories-brand-wine-dsa&utm_medium=cpc&utm_campaign=aw-it-categories-brand-wine-dsa&nol=true&ep=true&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIKqM_AGJuwBpIs4Ob2-CK8k6dMf9cS271UVSXGviPLiIzUIwxT9hrhoC3lcQAvD_BwE
wine_01gzr4ks77ynfxxqrnkg6ddmwp,BOTTLE,2004,36000,,, https://www.tannico.it/champagne-extra-brut-r-d-2004-bollinger-astuccio.html
wine_01gzr4ks5h4zp749zmdayb3sac,BOTTLE,0,9900,,, https://www.tannico.it/champagne-premiere-cuvee-extra-brut-bruno-paillard.html
wine_01gzr4ksd7kxm1ztzqza3vfezb,BOTTLE,2003,63000,,, https://www.callmewine.com/champagne-p2-dom-perignon-2003-P32524.htm
wine_01h4pmmfcvbrfk9sa5g54hvhxb,BOTTLE,0,11000,,,5 - N° 744 https://www.tannico.it/champagne-extra-brut-cuvee-n-745-jacquesson.html
wine_01havwedsmwdhw3sc5rgnhjp2v,BOTTLE,2013,25000,,,3 - 2012 https://babo.wine/it/champagne/jacquesson-dizy-terres-rouges-2013-extra-brut-p172824
wine_01gzr4ks5hsmde1f5vkm7fzt85,BOTTLE,0,8000,,, https://www.tannico.it/champagne-brut-la-cuvee-laurent-perrier.html
