wine_id,size,vintage,price,info,area,internal_notes
wine_01h4pmmgx0n4y5a8ga9661syy7,BOTTLE,2020,7200,,,? - 2018 | ? - 2015 https://www.millesima.it/domaine-henri-boillot-meursault-village-2020.html
wine_01h4pmmgx0n4y5a8ga9661syy7,BOTTLE,2020,14500,,,3 - 2018 | 3 - 2015 | mattoni https://vinibianchirossi.com/it/vini-bianchi-francesi-borgogna/1351-meursault-2018-henri-boillot.html
