ok,type,name,winery_name,area,size,vintage,price,details,tech_sheet,internal_notes,info,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,SPARKLING,CAMILLUCCI FRANCIACORTA Brut,CAMILLUCCI FRANCIACORTA Brut,,BOTTLE,,39,,https://www.vivino.com/IT/it/camilucci-franciacorta-brut/w/6266186?bottle_count=1&gclid=CjwKCAjw_b6WBhAQEiwAp4HyINa-OOM6fwZ3PRYmmEZSfKS16DJ6dpKVbzvhwkEj7WqOqnrcMlxy-xoCpC4QAvD_BwE&istBid=t&istCompanyId=1f45d186-ba46-4ea2-9835-5874342b279a&istFeedId=49622936-1088-4832-99c0-030a939ffe0d&istItemId=pawlpqmiq&utm_campaign=PM_02_466&utm_content=IT&utm_medium=paid_search&utm_source=google, https://www.vivino.com/IT/it/camilucci-franciacorta-brut/w/6266186?bottle_count=1&gclid=CjwKCAjw_b6WBhAQEiwAp4HyINa-OOM6fwZ3PRYmmEZSfKS16DJ6dpKVbzvhwkEj7WqOqnrcMlxy-xoCpC4QAvD_BwE&istBid=t&istCompanyId=1f45d186-ba46-4ea2-9835-5874342b279a&istFeedId=49622936-1088-4832-99c0-030a939ffe0d&istItemId=pawlpqmiq&utm_campaign=PM_02_466&utm_content=IT&utm_medium=paid_search&utm_source=google,,Franciacorta Brut,Camilucci,wine_01h0my5vpyam86jxpybvqrkjs6,,37.452248
TRUE,SPARKLING,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,CAMILLUCCI FRANCIACORTA ST.13 RISERVA Brut Nature,,BOTTLE,,52,St. 13,https://www.camilucci.it/st/,St. 13 https://www.camilucci.it/st/,,Franciacorta Riserva Brut Nature,Camilucci,wine_01h0my5vpzcghne87qbpvyxmp2,,43.30321
TRUE,SPARKLING,"UBERTI ""COMARÍ DEL SALEM"" Extra Brut","UBERTI ""COMARÍ DEL SALEM"" Extra Brut",,BOTTLE,,69,,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf, https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,,Franciacorta Comarì del Salem,Uberti,wine_01gzr4kscv10cn44hem8c64kr4,2111457,47.01386
TRUE,SPARKLING,"UBERTI ""FRANCESCO I"" Extra Brut","UBERTI ""FRANCESCO I"" Extra Brut",,BOTTLE,,39,,https://www.ubertivini.it/documents/catalogo2022Uberti.pdf, https://www.ubertivini.it/documents/catalogo2022Uberti.pdf,,Franciacorta Francesco I Extra Brut,Uberti,wine_01gzr4kscv0q62pz4wc2cv3ebq,1402728,43.587147
TRUE,SPARKLING,ALTEMASI Brut,ALTEMASI Brut,,BOTTLE,2019,39,,https://www.tannico.it/trento-brut-doc-millesimato-2017-altemasi.html, https://www.tannico.it/trento-brut-doc-millesimato-2017-altemasi.html,,Método Classico Brut,Altemasi,wine_01gzr4ksdb672jy83gdgne4bqr,1395619,32.375397
FALSE,SPARKLING,BLAUWAL CUVEÉ Extra Brut,BLAUWAL CUVEÉ Extra Brut,,BOTTLE,,42,,https://www.shop-cesconi.it/it/blauwal-cevee-extra-brut-trentino-doc-metodo-classico-cesconi-71, https://www.shop-cesconi.it/it/blauwal-cevee-extra-brut-trentino-doc-metodo-classico-cesconi-71,,Blanc de Blancs Extra Brut,Brut Dargent,wine_01h4pmmghw41kxtt6zwgdpmyvm,,25.208412
FALSE,SPARKLING,DER BLAUWAL Riserva Extra Brut,DER BLAUWAL Riserva Extra Brut,,BOTTLE,2013,79,,https://www.shop-cesconi.it/it/blauwal-riserva-extra-brut-trento-doc-metodo-classico-cesconi-71, https://www.shop-cesconi.it/it/blauwal-riserva-extra-brut-trento-doc-metodo-classico-cesconi-71,,Blanc de Blancs Extra Brut,Brut Dargent,wine_01h4pmmghw41kxtt6zwgdpmyvm,,26.274374
TRUE,SPARKLING,ETYSSA N.5 Extra Brut,ETYSSA N.5 Extra Brut,,BOTTLE,2016,45,,https://www.wineilvino.it/negozio/spumanti/trento-extra-brut-cuvee-numero-5-etyssa/, https://www.wineilvino.it/negozio/spumanti/trento-extra-brut-cuvee-numero-5-etyssa/,,Cuvée No. 5 Extra Brut,Etyssa,wine_01h4pmmfdetjx479a8vhjzcawv,,43.386124
TRUE,SPARKLING,FERRARI “PERLÉ” Brut,FERRARI “PERLÉ” Brut,,BOTTLE,2016,54,?- 2015,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Trentodoc-4.pdf,?- 2015 https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Trentodoc-4.pdf,,Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,4972,31.402613
FALSE,SPARKLING,FERRARI “PERLÉ ZERO” Cuvèe,FERRARI “PERLÉ ZERO” Cuvèe,,BOTTLE,2014,99,? - 2010,https://www.ferraritrento.com/wp-content/uploads/2017/09/Ferrari-Perle-Zero-Cuvee-Zero14-Trentodoc.pdf,? - 2010 https://www.ferraritrento.com/wp-content/uploads/2017/09/Ferrari-Perle-Zero-Cuvee-Zero14-Trentodoc.pdf,,Perlé Zero,Ferrari,wine_01gzr4kscc048n1dp9m162cgxe,5827155,35.43027
