external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,Unnamed: 10,reason
899,Moulin rouge xo Fillioux,,al bicchiere,,,,€,"€ 20,00",,,grappe or beer
900,Armagnac,,,,,,,PREZZI AL BICCHIERE,,,grappe or beer
901,Bas Armagnac Dartigalongue,,al bicchiere,,,,€,"€ 10,00",1,,grappe or beer
902,Bas Armagnac Datigalongue hors d’age,,,,,,,,"0,5",,grappe or beer
903,Bas Armagnac Clos Martin 8 yo,,al bicchiere,,,,€,"€ 10,00","1,5",,grappe or beer
904,Bas Armagnac Darroze Les Grandes Assemblages 12yo €,,al bicchiere,,,,€,"€ 10,00","0,5",,grappe or beer
905,Bas Armagnac Les Sables Fauves ,,,,,,,,1,,grappe or beer
906,Rhum,,,,,,,PREZZI AL BICCHIERE,,,grappe or beer
907,Dos Maderas 10 yo,,al bicchiere,,,,€,"€ 10,00","1,5",,grappe or beer
908,Abuelo 15 yo Napoleon,,al bicchiere,,,,€,"€ 14,00",,,grappe or beer
909,Diplomatico,,al bicchiere,,,,€,"€ 12,00",,,grappe or beer
910,Millionario 15 res.,,al bicchiere,,,,€,"€ 14,00","0,5",,grappe or beer
911,Homere Clement rhum agricole martinique,,al bicchiere,,,,€,"€ 12,00",2,,grappe or beer
912,Homere Clement rhum agricole vieux,,al bicchiere,,,,€,"€ 14,00",1,,grappe or beer
913,Nation Peruano 8 yo,,al bicchiere,,,,€,"€ 10,00","0,5",,grappe or beer
914,Nation Jamaica sherry finish 5 yo,,al bicchiere,,,,€,"€ 12,00","0,5",,grappe or beer
915,Santa Teresa Metodo Solera,,,,,,,,1,,grappe or beer
916,Porto,,,,,,,PREZZI AL BICCHIERE,,,grappe or beer
917,Ramos Pinto RP10,,al bicchiere,,,,€,"€ 10,00","0,5",,grappe or beer
918,Churchill Vintage,,al bicchiere,,,16,€,"€ 16,00",,,grappe or beer
919,Vodka,,,,,,,PREZZI AL BICCHIERE,,,grappe or beer
920,Mamont Vodka,,al bicchiere,,,,€,"€ 12,00",1,,grappe or beer
921,Moskovskaya,,,,,,,,"0,5",,grappe or beer
922,Belvedere,,,,,,,,"1,5",,grappe or beer
923,Belvedere Altitude edition,,,,,,,,"0,5",,grappe or beer
924,Saké,,,,,,,,,,grappe or beer
925,Gjkon,,al bicchiere,,,,€,,,,grappe or beer
926,Vermouth,,,,,,,,,,grappe or beer
927,Vermouth Tenuta Fertuna ,,,,,,,,4,,grappe or beer
928,Lynx vermouth bianco,,,,,,,,1,,grappe or beer
1,Demi: 375 ml,,,,,,,,,,winery_name is null
16,Champagne & ...,,,,,,,,,,winery_name is null
64,Metodo Classico,,,,,,,,,,winery_name is null
