external_id,name_one,name_two,winery_name,size,vintage,price,quantity,country
79,Satèn,Franciacorta,Barone Pizzini,,19,,1,ITA
80,Brut,Spumante ,Maso Martis,,,"€ 60,00",16,ITA
81,Brut Millesimato,Spumante ,Maso Martis,Magnum,16,"€ 105,00",1,ITA
82,Perlé,Spumante Ferrari ,Ferrari,,18,"€ 65,00",6,ITA
83,Perlé,Spumante Ferrari ,Ferrari,Magnum,12,"€ 160,00",6,ITA
84,,Spumante riserva del fondatore ,Giulio Ferrari,Magnum,8,"€ 420,00",1,ITA
85,,Spumante riserva del fondatore,Giulio Ferrari,,8,"€ 210,00","1 ‘08, 1 ‘10",ITA
86,,Spumante riserva Lunelli,Giulio Ferrari,,6,"€ 250,00",,ITA
87,Cuvée Voyage,Spumante ,Frescobaldi,,,"€ 38,00",3,ITA
88,Brut,Spumante Riesling,P. J. Kuhn,,‘19,"€ 50,00",15,DEU
89,Extra Brut,Spumante Lamm n.12,Winkler,,,"€ 65,00",7,ITA
90,Extra Brut,Spumante,Loredan Gasparini,,1979-2019,"€ 45,00",,ITA
91,,Prosecco,,,,,,
92,Extra Dry,Valdobbiadene DOCG Prosecco Superiore,Agostinetto,,,"€ 25,00",82,
93,,Valdobbiadene DOCG Vigna del Baffo,Agostinetto,,,,4,
94,Dry,Cartizze Valdobbiadene DOCG Prosecco Superiore,Agostinetto,,21,"€ 48,00","9 ‘21, 11 ‘20, 27 ’22",
95,Brut,"Valdobbiadene Prosecco Superiore DOCG ""Bareta""",Merotto,,,"€ 30,00",42,
96,Extra Dry,"Valdobbiadene Prosecco Superiore DOCG ""Castè""",Merotto,,,"€ 30,00",,
97,Brut,Valdobbiadene Prosecco Superiore DOCG,Nino Franco,,,"€ 30,00",24,
98,Millesimato Brut,Prosecco ,Ardenghi,,,"€ 30,00",,
99,Brut,"Valdobbiadene Prosecco Superiore DOCG ""Fagher""",Le Colture,,,"€ 25,00",,
100,Brut,"Valdobbiadene Prosecco Superiore DOCG ""Fagher""",Le Colture,Magnum,,"€ 50,00",16,
101,Extra Dry,Prosecco ,Borgo Antico,,,"€ 28,00",,
102,Brut,Valdobbiadene DOCG ,Ra Spondes de Edy,,,,44,
103,,,,,,,,
104,,Vini Bianchi,,,,,,
105,,Trentino Alto Adige,,,,,,
106,,"Gewurztraminer ""Nussbaumer""",Tramin,,20,"€ 60,00",12,
107,,Gewurztraminer,Elena Walch,,,"€ 27,00","27 ‘22, 1 ‘21",
108,,Gewurztraminer ,Alois Lageder,,,"€ 30,00",2 ‘21 5 ‘22,
109,,Gewurztraminer ,Franz Haas,,20,"€ 48,00",17,
110,,"Gewurztraminer ""Kolbenhof""",Tenuta J. Hofstätter,,,"€ 70,00","3 ‘18, 3 ‘19, 13 ‘21 ",
111,,Gewurztraminer,Abbazia di Novacella,,,"€ 33,00","3 ‘21, 8 ‘22",
112,,Gewurtztraminer ,Pacherhof,,21,"€ 45,00",8,
113,,Gewurtztraminer ,Kofererhof,,‘21,"€ 38,00",4,
114,,"Gewurtztraminer ""Ceslar""",Cantina di Bolzano,,21,"€ 28,00",8,
115,,Manna,Franz Haas,,,"€ 64,00","2 ‘18, 3 ‘19, 4 ‘20",
116,,Manna ,Franz Haas,Magnum,20,"€ 120,00",20,
117,,Kerner ,Abbazia di Novacella,,’20,"€ 30,00",,
118,,"Kerner ""Praepositus""",Abbazia di Novacella,,,"€ 42,00","9 ‘20, 19 ‘22",
119,,Kerner Kofererhof,Kofererhof,,,"€ 39,00","1 ‘21, 14 ‘22",
120,,Müller Thurgau,Elena Walch,,21,"€ 23,00",4,
121,,"Pinot bianco ""Moriz""",Tramin,,,"€ 30,00","5 ‘20, 5 ‘22",
122,,"Pinot bianco ""Kristallberg""",Elena Walch,,22,"€ 42,00","19 ‘22, 2 ‘20 ",
123,,Pinot bianco ,Elena Walch,,,"€ 24,00","2 ‘21, 32 ‘22",
124,,Pinot grigio ,Tramin,,22,"€ 27,00",11,
125,,"Riesling ""Castel Ringberg""",Elena Walch,,22,"€ 42,00",32,
126,,Riesling,Pacherhof,,,"€ 45,00","5 ‘21, 5 ‘22",
127,,Sauvignon ,Tramin,,22,"€ 30,00",10,
128,,Sauvignon,Elena Walch,,22,"€ 27,00",15,
129,,Souvignier Gris Piwi ,Thomas Niedermayr,,18,"€ 40,00",3,
130,,Weissburgunder 76 ,Thomas Niedermayr,,‘17,"€ 50,00",3,
131,,Riesling R,Kofererhof,,22,,12,
132,,Sylvaner,Kofererhof,,,"€ 29,00","2 ‘20, 6 ‘22",
133,,Müller Thurgau,Kofererhof,,19 '20,"€ 26,00",,
134,,Sylvaner ,Pacherhof,,22,"€ 36,00",8,
135,,Sylvaner,Abbazia di Novacella,,,"€ 27,00","2 ‘19, 4 ‘21, 11 ‘22",
136,,Sylvaner Stiftsgarten ,Abbazia di Novacella,,‘19,"€ 98,00",6,
137,,Terlaner Doc ,Cantina di Terlano,,‘22,"€ 39,00",3,
138,,,,,,,,
139,,Friuli Venezia Giulia,,,,,,
140,Sharis iGT,Chardonnay,Livio Felluga,,22,"€ 36,00",3,
141,,Chardonnay ,Silvio Jermann,,’21,"€ 40,00",6,
142,,Chardonnay ,Borgo Conventi,,21,"€ 19,00",2,
143,,Luna di Ponca,Borgo Conventi,Magnum,19,,1,
144,,Chardonnay Zittelle,Miani,,20,"€ 110,00",4,
145,,Sauvignon ,Schioppetto,,18,"€ 42,00","1 ‘18, 8 ‘21",
