"type","size","storage_area","name1","name2","winery","vintage","qty","purchase_price_eur","sales_price_eur",,,
"RED","BOTTLE",,"Syrah","Il San Lorenzo","Fattoria San Lorenzo",2009,6,50.50 €,118.00 €,,,
"RED","BOTTLE",,"Tinto Fino","Callejo Felix","Callejo",2018,2,84.15 €,182.00 €,,,
"RED","BOTTLE","G2","Rosso","Ruje","Zidarich",2015,4,36.00 €,86.00 €,,,
"RED","BOTTLE",,"Rosso","Rujno","Gravner",2003,0,80.00 €,196.00 €,,,
"RED","BOTTLE",,"Rosso","Rah XVI","Alois Ladeger",,1,15.00 €,48.00 €,,,
"RED","BOTTLE","G2","Teroldego","Dolomiti","Foradori",2021,3,11.30 €,36.00 €,,,
"RED","BOTTLE","G4","Valpolicella","Ca'Fiui","Corte Sant'Alda",2021,20,9.00 €,30.50 €,,,
"RED","BOTTLE","MAG","Vernatsch","Firsi","Kandlerhof",2021,2,9.40 €,32.00 €,,,
"RED","BOTTLE",,"Vernatsch","Gschleier von Alten Reben","Girlan",2015,1,9.90 €,48.00 €,,,
"RED","BOTTLE","MAG","Vernatsch","Sankt Anna R ","In der Eben",2016,2,21.50 €,56.00 €,,,
"RED","BOTTLE","MAG","Vernatsch","Sankt Anna R ","In der Eben",2017,18,23.50 €,56.00 €,,,
"RED","BOTTLE","MAG","St. Magdalener","Waldgries","Gries ",2023,13,9.90 €,30.50 €,,,
,"BOTTLE",,"Kerner Passito","Nectaris","EKG.",2020,10,24.60 €,54.00 €,,,
,"BOTTLE",,"Peti Manseng","Le Petit Bio","Manincor",2018,8,33.30 €,74.00 €,,,
,"BOTTLE",,"Cuvee","Eiswein","Kracher",2020,8,26.50 €,58.00 €,,," "
,"BOTTLE",,"Lagrein Passito","Paul","Kiemberger",2022,4,25.90 €,58.00 €,,,
"RED","MAGNUM",,"Amarone","Valmezzane","Corte S Alda",2017,1,99.00 €,198.00 €,,,
"RED","MAGNUM","MAG","Alicante Nero Bio","Alicante","Ampeleia",2020,10,32.10 €,89.00 €,,,
"RED","MAGNUM","MAG","Barolo","Perarmando","Parusso",2018,1,58.00 €,138.00 €,,,
"RED","MAGNUM","MAG","Barolo","Cerretta","Giovanni Rosso",2018,8,120.00 €,230.00 €,,,
"RED","MAGNUM","MAG","BArolo","Mosconi","Parusso",2019,3,144.00 €,280.00 €,,,
"RED","MAGNUM","MAG","Brunello di Montalcino","Podernovi","San Polo",2019,3,180.00 €,320.00 €,,,
"RED","MAGNUM","MAG","Nebbiolo","Langhe Doc","Giovanni Rosso",2020,8,24.00 €,72.00 €,,,
"RED","MAGNUM",,"Cabernet Merlot Riserva","Staffelfeld","Baron Widmann",2020,0,36.00 €,92.00 €,,,
"RED","MAGNUM",,"Cab. Franc e Cab Sauv","Poggio alle Nanne","Antinori Le Mortelle",2022,1,81.00 €,184.00 €,,,
"RED","MAGNUM",,"Cabernet Sauv Ris","Campaner","K. Kaltern",2021,7,29.10 €,74.00 €,,,
"RED","MAGNUM",,"Cabernet Sauv","Kunststück","K.Kaltern",2015,3,80.00 €,156.00 €,,,
"RED","MAGNUM",,"Cabernet Merlot Riserva","Arzio","Baron di Pauli",2020,5,59.00 €,128.00 €,,,
"RED","MAGNUM",,"Cuvee","Reif","Unterganzner",2022,1,59.96 €,194.00 €,,,
"RED","MAGNUM",,"Cabernet","Istrice","E. Walch",2022,7,39.90 €,92.00 €,,,
"RED","MAGNUM",,"Cuvee","Kermesse","E. Walch",2019,1,75.20 €,158.00 €,,,
"RED","MAGNUM",,"Cuvee","La Grola","Allegrini",2020,3,38.00 €,92.00 €,,,
"RED","MAGNUM",,"Le Volte ",,"Ornellaia",2022,3,65.00 €,145.00 €,,,
"RED","MAGNUM",,"Lagrein","Lamarein","Mayr Josephus",2022,0,82.00 €,204.00 €,,,
"RED","MAGNUM",,"Lagrein","Porphyr Riserva","Terlan",2021,6,85.30 €,178.00 €,,,
"RED","MAGNUM",,"Lagrein","Frauenrigl","Kurtatsch",2022,1,35.90 €,96.00 €,,,
"RED","MAGNUM",,"Merlot e Cab. Franc","Altrovino Bio","Costa Toscana",2021,1,50.00 €,118.00 €,,,
"RED","MAGNUM",,"Nerello Mascalese","Etna Rosso DOC","Pietradolce",2017,2,50.00 €,118.00 €,,,
"RED","MAGNUM",,"Rosso","Ruje","Zidarich",2017,1,83.00 €,174.00 €,,,
"RED","MAGNUM",,"Rosso","Rujno","Gravner",2006,1,210.00 €,440.00 €,,,
"RED","MAGNUM",,"Pinot Nero","Mason di Mason","Manincor",2021,1,94.00 €,202.00 €,,,
"RED","MAGNUM",,"Pinot Nero Riserva","Thalerhof","Maso Thaler",2018,3,45.00 €,88.00 €,,,
"RED","MAGNUM",,"Pino Nero","Riserva","Stroblhof",2019,4,55.30 €,140.00 €,,,
"RED","MAGNUM",,"Pinot Nero","Mazzon","K. Gottardi",2020,7,46.40 €,108.00 €,,,
"RED","MAGNUM",,"Pinot Nero","Flora","Girlan",2021,7,37.50 €,96.00 €,,,
"RED","MAGNUM",,"Pinot Nero Riserva","Vigna Ganger","K. Girlan",2014,0,150.00 €,340.00 €,,,
,"MAGNUM",,"Franciacorta","Doppio Erredi","Derbusco",,0,35.00 €,92.00 €,,,
,"MAGNUM",,"Franciacorta Brut","La Capinera","Vigni Cenci",,0,34.30 €,92.00 €,,,
,"MAGNUM",,"Spumante","Arunda","Arunda",,7,49.30 €,106.00 €,,,
,"MAGNUM",,"Trento doc extra Brut","Vent","Toblino",2019,1,41.00 €,88.00 €,,,
,"MAGNUM",,"Bianco ","Kaplja","Damijan Podversic",2018,0,52.00 €,124.00 €,,,
,"MAGNUM",,"Kerner","Gall","Griesser",2023,0,36.70 €,78.00 €,,,
,"MAGNUM",,"Cuvee","Nova Domus Riserva","K. Terlan",2020,2,65.80 €,142.00 €,,,
,"MAGNUM",,"Cuvee","Nova Domus Riserva","K. Terlan",2021,1,65.80 €,142.00 €,,,
,"MAGNUM",,"Cuvee","Nova Domus Riserva","K. Terlan",2013,2,85.00 €,180.00 €,,,
,"MAGNUM",,"Cuvee","Nova Domus Riserva","K. Terlan",2014,2,85.00 €,180.00 €,,,
,"MAGNUM",,"Cuvee","Nova Domus Riserva","K. Terlan",2015,2,85.00 €,180.00 €,,,
,"MAGNUM",,"Cuvee","Stoan","Tramin",2022,6,44.80 €,104.00 €,,,
,"MAGNUM",,"Weissburgunder","Kunststück","K. Kaltern",2014,1,70.00 €,154.00 €,,,
,"MAGNUM",,"Weissburgunder","Vorberg","Terlan",2014,2,80.00 €,175.00 €,,,
,"MAGNUM",,"Weissburgunder","Vorberg","Terlan",2015,2,80.00 €,175.00 €,,,
,"MAGNUM",,"Weissburgunder","Vorberg","Terlan",2016,2,80.00 €,175.00 €,,,
,"MAGNUM",,"Vitovska","Vitovska Collection","Zidarich",2015,0,90.00 €,206.00 €,,,
,"MAGNUM",,"Vitovska","Vitovska ","Zidarich",2019,1,36.00 €,102.00 €,,,
,"MAGNUM",,"Vitovska","Kamen","Zidarich",2020,3,37.00 €,132.00 €,,,
,"MAGNUM",,"Vitovska","Origine","Vodopivec",2019,2,70.00 €,156.00 €,,,
,"MAGNUM",,"Chardonnay","Sophie","Manincor",2023,10,51.80 €,116.00 €,,,
,"MAGNUM",,"Chardonnay","Löwengang","Lageder",2018,1,65.95 €,152.00 €,,,
,"MAGNUM",,"Chardonnay","Löwengang","Lageder",2021,2,65.95 €,152.00 €,,,
,"MAGNUM",,"Chardonnay","Beyond the Clouds","Elena Walch",2021,0,86.35 €,182.00 €,,,
,"MAGNUM",," Champagne ","Blanc du Blanc","Ruinart",,1,126.50 €,260.00 €,,,
,"MAGNUM",,"Ribolla Gialla","Gravner","Gravner",2015,2,72.00 €,208.00 €,,,
,"MAGNUM",,"Ribolla Gialla","Gravner","Gravner",2006,0,110.00 €,218.00 €,,,
,"MAGNUM",,"Sauvignon","Lafoa","Schreckbichl",2021,0,36.20 €,102.00 €,,,
,"MAGNUM",,"Prosecco Brut","Brunei","La Tordera",,3,13.90 €,56.00 €,,,
,"MAGNUM",,"Bianco","Vespa","Bastianich",2008,1,65.57 €,132.00 €,,,
,"MAGNUM",,"Bianco","Vespa","Bastianich",2009,1,57.38 €,132.00 €,,,
,"JEROBOAM",,"Spumante Brut","Arunda","J. Reiterer",,0,81.00 €,188.00 €,,,
,"JEROBOAM",,"Cuvee","Kermesse","Elena Walch",2020,1,165.00 €,280.00 €,,,
,"JEROBOAM",,"Cab. Sauv. Riserva","Campaner","K. Kaltern",2020,0,61.70 €,162.00 €,,,
,"JEROBOAM",,"Kerner","Praepositus","Neustift Kellerei",2021,1,58.20 €,144.00 €,,,
,"JEROBOAM",,"Prosecco Brut",,"La Tordera",,0,39.00 €,92.00 €,,,
,"JEROBOAM",,"Lagrein 3L","Porphyr","Terlan",2020,1,133.00 €,304.00 €,,,
,"RHEOBOAM",,"Cuvee","Kermesse ","Elena Walch",2013,1,253.00 €,480.00 €,,,
,"RHEOBOAM",,"Cuvee","Kermesse ","Elena Walch",2015,1,278.00 €,480.00 €,,,
,"RHEOBOAM",,,"Reif","Unterganzner",2022,1,230.00 €,480.00 €,,,
,"MATHUSALEM",,"Spumante Brut","Arunda","J. Reiterer",,1,205.20 €,410.00 €,,,
