external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_eur
,RED,Brunello di Montalcino Podernovi,San Polo,,MAGNUM,2019,32000,18000,3,MAG,,True,180.00 €
,RED,Nebbiolo Langhe Doc,Giovanni Rosso,,MAGNUM,2020,7200,2400,8,MAG,,True,24.00 €
,RED,Cab. Franc e Cab Sauv Poggio alle Nanne,Antinori Le Mortelle,,MAGNUM,2022,18400,8100,1,,,True,81.00 €
,RED,Cabernet Sauv Ris Campaner,K. Kaltern,,MAGNUM,2021,7400,2910,7,,,True,29.10 €
,RED,Cabernet Sauv Kunststück,K.Kaltern,,MAGNUM,2015,15600,8000,3,,,True,80.00 €
,RED,Cabernet Merlot Riserva Arzio,Baron di Pauli,,MAGNUM,2020,12800,5900,5,,,True,59.00 €
,RED,Cuvee Reif,Unterganzner,,MAGNUM,2022,19400,5996,1,,,True,59.96 €
,RED,Cabernet Istrice,E. Walch,,MAGNUM,2022,9200,3990,7,,,True,39.90 €
,RED,Cuvee Kermesse,E. Walch,,MAGNUM,2019,15800,7520,1,,,True,75.20 €
,RED,Cuvee La Grola,Allegrini,,MAGNUM,2020,9200,3800,3,,,True,38.00 €
,RED,Lagrein Porphyr Riserva,Terlan,,MAGNUM,2021,17800,8530,6,,,True,85.30 €
,RED,Lagrein Frauenrigl,Kurtatsch,,MAGNUM,2022,9600,3590,1,,,True,35.90 €
,RED,Merlot e Cab. Franc Altrovino Bio,Costa Toscana,,MAGNUM,2021,11800,5000,1,,,True,50.00 €
,RED,Nerello Mascalese Etna Rosso DOC,Pietradolce,,MAGNUM,2017,11800,5000,2,,,True,50.00 €
,RED,Rosso Ruje,Zidarich,,MAGNUM,2017,17400,8300,1,,,True,83.00 €
,RED,Rosso Rujno,Gravner,,MAGNUM,2006,44000,21000,1,,,True,210.00 €
,RED,Pinot Nero Mason di Mason,Manincor,,MAGNUM,2021,20200,9400,1,,,True,94.00 €
,RED,Pinot Nero Riserva Thalerhof,Maso Thaler,,MAGNUM,2018,8800,4500,3,,,True,45.00 €
,RED,Pino Nero Riserva,Stroblhof,,MAGNUM,2019,14000,5530,4,,,True,55.30 €
,RED,Pinot Nero Mazzon,K. Gottardi,,MAGNUM,2020,10800,4640,7,,,True,46.40 €
,RED,Pinot Nero Flora,Girlan,,MAGNUM,2021,9600,3750,7,,,True,37.50 €
,,Spumante Arunda,Arunda,,MAGNUM,0,10600,4930,7,,,True,49.30 €
,,Trento doc extra Brut Vent,Toblino,,MAGNUM,2019,8800,4100,1,,,True,41.00 €
,,Cuvee Nova Domus Riserva,K. Terlan,,MAGNUM,2020,14200,6580,2,,,True,65.80 €
,,Cuvee Nova Domus Riserva,K. Terlan,,MAGNUM,2021,14200,6580,1,,,True,65.80 €
,,Cuvee Nova Domus Riserva,K. Terlan,,MAGNUM,2013,18000,8500,2,,,True,85.00 €
,,Cuvee Nova Domus Riserva,K. Terlan,,MAGNUM,2014,18000,8500,2,,,True,85.00 €
,,Cuvee Nova Domus Riserva,K. Terlan,,MAGNUM,2015,18000,8500,2,,,True,85.00 €
,,Cuvee Stoan,Tramin,,MAGNUM,2022,10400,4480,6,,,True,44.80 €
,,Weissburgunder Kunststück,K. Kaltern,,MAGNUM,2014,15400,7000,1,,,True,70.00 €
,,Weissburgunder Vorberg,Terlan,,MAGNUM,2014,17500,8000,2,,,True,80.00 €
,,Weissburgunder Vorberg,Terlan,,MAGNUM,2015,17500,8000,2,,,True,80.00 €
,,Weissburgunder Vorberg,Terlan,,MAGNUM,2016,17500,8000,2,,,True,80.00 €
,,Vitovska Vitovska ,Zidarich,,MAGNUM,2019,10200,3600,1,,,True,36.00 €
,,Vitovska Kamen,Zidarich,,MAGNUM,2020,13200,3700,3,,,True,37.00 €
,,Vitovska Origine,Vodopivec,,MAGNUM,2019,15600,7000,2,,,True,70.00 €
,,Chardonnay Sophie,Manincor,,MAGNUM,2023,11600,5180,10,,,True,51.80 €
,,Chardonnay Löwengang,Lageder,,MAGNUM,2018,15200,6595,1,,,True,65.95 €
,,Chardonnay Löwengang,Lageder,,MAGNUM,2021,15200,6595,2,,,True,65.95 €
,, Champagne  Blanc du Blanc,Ruinart,,MAGNUM,0,26000,12650,1,,,True,126.50 €
,,Ribolla Gialla Gravner,Gravner,,MAGNUM,2015,20800,7200,2,,,True,72.00 €
,,Prosecco Brut Brunei,La Tordera,,MAGNUM,0,5600,1390,3,,,True,13.90 €
,,Bianco Vespa,Bastianich,,MAGNUM,2008,13200,6556,1,,,True,65.57 €
,,Bianco Vespa,Bastianich,,MAGNUM,2009,13200,5738,1,,,True,57.38 €
,,Cuvee Kermesse,Elena Walch,,JEROBOAM,2020,28000,16500,1,,,True,165.00 €
,,Kerner Praepositus,Neustift Kellerei,,JEROBOAM,2021,14400,5820,1,,,True,58.20 €
,,Lagrein 3L Porphyr,Terlan,,JEROBOAM,2020,30400,13300,1,,,True,133.00 €
,,Cuvee Kermesse ,Elena Walch,,RHEOBOAM,2013,48000,25300,1,,,True,253.00 €
,,Cuvee Kermesse ,Elena Walch,,RHEOBOAM,2015,48000,27800,1,,,True,278.00 €
,,Spumante Brut Arunda,J. Reiterer,,MATHUSALEM,0,41000,20520,1,,,True,205.20 €
