external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_eur
,WHITE,Müller Thurgau Thur XVI,Alois Lageder,,BOTTLE,2016,4800,1500,2,,,True,15.00 €
,WHITE,Pigato/Vermentino Crescendo,Tenuta Selvadolce,,BOTTLE,2022,5800,2100,6,A2,,True,21.00 €
,WHITE,Pinot Grigio Fuoripista,Foradori,,BOTTLE,2022,5100,1900,20,MAG,,True,19.00 €
,WHITE,Pinot Grigio Sivi,Radikon,,BOTTLE,2022,5600,1920,10,C4,,True,19.20 €
,WHITE,Ribolla Gialla Rebula Blu,Nando,,BOTTLE,2021,4100,1243,10,D2,,True,12.43 €
,WHITE,Ribolla Gialla Gravner,Gravner,,BOTTLE,2015,11200,5000,6,D2,,True,50.00 €
,WHITE,Ribolla Gialla Damijan,Damijan Podversic,,BOTTLE,2018,6400,2500,5,D1,,True,25.00 €
,WHITE,Riesling Riserva,Famiglia Roeno,,BOTTLE,2012,5400,2020,2,,,True,20.20 €
,WHITE,Riesling Smaragd,E. Knoll,,BOTTLE,2018,8500,3650,1,A3,,True,36.50 €
,WHITE,Riesling Smaragd,E. Knoll,,BOTTLE,2023,9800,4750,9,A3,,True,47.50 €
,WHITE,Riesling Marienburg,Clemens Busch,,BOTTLE,2017,8200,2890,2,A1,,True,28.90 €
,WHITE,Riesling Marienburg,Clemens Busch,,BOTTLE,2021,8200,3200,12,A1,,True,32.00 €
,WHITE,Riesling Schiefergestein,Schäfer-Fröhlich,,BOTTLE,2020,5800,2340,11,A1,,True,23.40 €
,WHITE,Riesling Vom Schiefer,Clüsserath,,BOTTLE,2021,3900,1250,14,MAG,,True,12.50 €
,WHITE,Riesling Kalkofen,Von Winning,,BOTTLE,2019,8200,3360,4,A2,,True,33.60 €
,WHITE,Riesling Kalkofen,Von Winning,,BOTTLE,2020,8200,3360,12,A2,,True,33.60 €
,WHITE,Riesling Kirchberg,Heymann- Löwenstein,,BOTTLE,2022,7800,3300,10,A3,,True,33.00 €
,WHITE,Sauvignon Flora Cellar Reserve,Girlan,,BOTTLE,2012,8600,3370,2,B3,,True,33.70 €
,WHITE,Sauvignon Porphyr & Kalk,Niedrist,,BOTTLE,2022,4300,1610,15,MAG,,True,16.10 €
,WHITE,Sauvignon Lafoa,K. Schreckbichl,,BOTTLE,2022,5100,1939,24,C2,,True,19.40 €
