type,prefix,name,winery,internal_notes,size,vintage,ricavo,purchase_price,sales_price,qty
,,ST.  VALENTIN,ST. MICHAEL EPPAN,,,X,32,20.64 €, 55.00 € ,8
,,Limes,Ignaz Niedrist,,,2021,36,22 €, 60.00 € ,10
,,RISERVA VORBERG,TERLAN,,,2020,52,20.90 €, 78.00 € ,10
,,RISERVA VORBERG,TERLAN,,,2021,,23.00 €, non in list,24
,,RISERVA VORBERG,TERLAN,Late release Harpf,,2015,,37.00 €, 93.00 € ,5
,,Phileo,Falkenstein,,,2018,,26.80 €, 85.00 € ,1
,,Weissburgunder  ,Dönnhoff,,,2021,,21.32 €, 62.00 € ,4
,,REINASSANCE,Gumphof,,,2019,32,27 €, 65.00 € ,2
,,Kirschgarten GG,Knipser,,,2020,34,36 €, 78.00 € ,5
,,Weisser Burgunder I,Von Winning,,,2015,,37.00 €, 98.00 € ,4
,,Castellberg GC,Martin Waßmer,,,2021,,40.00 €, 82.00 € ,9
,,RISERVA 5 YEARS,MERAN,,,2016,37,45.00 €, 98.00 € ,4
,,Weisser Burgunder S,Wittmann,,,2011,,53.00 €, NON IN LIST,2
,,SANCTISSIMUS,ST. PAULS,,,2017,48,55 €, 115.00 € ,7
,,RARITY,TERLAN,,,2010,143,108 €, 275.00 € ,2
,,RARITY,TERLAN,,,2008,,132 €, non in list,2
,,RARITY,TERLAN,,,2007,,137 €, non in list,2
,,RARITY,TERLAN,,,2006,,142 €, non in list,2
,CHARDONNAY,CHARDONNAY,H. LENTSCH,,,2019,22,10.30 €, 35.00 € ,30
,,Kreuth,Terlan,,,2022,,14 €, 45.00 € ,13
,,FLORA RISERVA,GIRLAN,,,2019,23,16.80 €, 48.00 € ,14
,,St. Valentin,St. Michael Eppan,,,2020,23,20 €, 48.00 € ,8
,,Crivelli,PETER ZEMMER,,,2021,27,25.40 €, 58.00 € ,8
,,DORAN RISERVA,ANDRIAN,,,2020,30,26 €, 60.00 € ,9
,,Chardonnay Vom Kalk,Ignaz Niedrist,,,2020,35,36 €, 75.00 € ,0
,,Lowengang,Alois Lageder,,,2020,36,45 €, 88.00 € ,9
,,Au,Tiefenbrunner,,,2020,,59 €, NON IN LIST,16
,,TROY,TRAMIN,,,misti,39,58.00 €, 105.00 € ,10
,,Kreuzweg,Castelfeder,,,2019,57,56.00 €, 125.00 € ,4
,,Kreuzweg,Castelfeder,,,2020,,56.00 €, NON IN LIST,7
,,Kreuzweg,Castelfeder,,,2018,,, NON IN LIST,0
,, Curlan,Girlan,,,2019,50,70 €, 135.00 € ,3
,, Curlan,Girlan,,,2020,62,60 €, NON IN LIST,7
,,NAMA,Nals Margreid,,,2020,62,78 €, 185.00 € ,4
,,Langhe Buschet,Moccagatta,,,2020,43,18 €, 65.00 € ,1
,,Vie di Romans,Vie di Romans,,,2022,,21 €, NON IN LIST,18
,,Vie di Romans,Vie di Romans,,,2021,30,20 €, 55.00 € ,6
,,Chardonnay Malterdinger,Bernard Huber ,,,2021,,23.25 €, NON IN LIST,6
,,CHARDONNAY GRANDE RESERVE,METZGER,,,2020,31,24.00 €, 60.00 € ,9
,,Valentine ,Ca del Baio,,,2021,38,29.85 €, 75.00 € ,1
,,Corrado di Manzano,Ronco del Gnemiz,,,2021,40,29.00 €, 75.00 € ,6
,,Jura Chardonnay,Sylvain Jacquot,,,2022,,34.90 €, NON IN LIST,2
,,Ronco Basso,Ronco del Gnemiz,,,2023,,34.50 €, NON IN LIST,6
,,Kozana Chardonnay,Edi Simcic,,,2021,,36.00 €, 82.00 € ,4
,,Cortesar,Vie di Romans,,,2016,26,38.00 €, 72.00 € ,0
,,Curie Climat ,Vie di Romans,,,2015,38,39.00 €, 85.00 € ,2
,,Etichetta Scura,Borgo del Tiglio,,,2021,44,35 €, 90.00 € ,2
,,Etichetta Scura,Borgo del Tiglio,,,2022,44,35 €, 90.00 € ,12
,,Chardonnay Napa,Mondavi,,,2018,34,42.00 €, 90.00 € ,8
,,SOL,RONCO DEL GNEMIZ,,,2021,,, non IN LIST,5
,,Block6 Chardonnay,Felton Road,,,2020,,54.00 €, 105.00 € ,5
,,Chardonnay,Timo Mayer,,,2022,,55.00 €, 115.00 € ,5
,,Rossj Bass,Gaja,,,2021,39,60.00 €, 112.00 € ,14
,,Chardonnay Yarra,Yarra Yering,,,2021,,60 €, 120.00 € ,2
,,Chardonnay,By Farr,,,2022,,61.00 €, 138.00 € ,13
,,Nägelin,Ziereisen,,,2020,51,66 €, 132.00 € ,4
,,Estate Chardonnay,The Hilt,,,2020,,73 €, 165.00 € ,6
,,Chardonnay Patagonia,Chacra,,,2022,,75 €, NON IN LIST,5
,,Cote Vineyard Chardonnay,By Farr,,,2021,,85 €, 125.00 € ,6
,,Les Noisetiers,Kistler,,,2021,92,113.00 €, 230.00 € ,5
,,Chardonnay ,Gantenbein,,,2018,64,136, 230.00 € ,3
,White,Chablis,Droin,,,2023,,23.90 €, 56.00 € ,15
,,Bourgogne Blanc Les Setilles ,Olivier Leflaive,,,2019,27,29.00 €, 62.00 € ,1
,,Bourgogne Blanc,Fontaine Gagnard,,,2021,28,30 €, 65.00 € ,3
,,Bourgogne Blanc,Mikulski,,,2020,26,32.00 €, 65.00 € ,2
,,Chablis 1er Vaillons,Droin,,,2022,,32.00 €, NON IN LIST,15
,,Chablis 1er Vaucoupin,Jean Paul Droin,,,2023,,35.00 €, NON IN LIST,12
,,Meursault,Cristian Bellang,,,2023,,40 €, 83.00 € ,28
,,Saint Aubin 1er Cru En Creot,Lamy Pillot,,,2021,,40.00 €, 85.00 € ,0
,,Chablis 1er Monte Tonnere,Droin,,,2022,38,42.00 €, 89.00 € ,0
,,Chablis 1er Montmains,Jean Paul Droin,,,2023,,39.00 €, NON IN LIST,12
,,Chablis 1er Monte Tonnere,Jean Paul Droin,,,2023,,45.00 €, NON IN LIST,12
,,Chablis 1er Vaulorent,Jean Paul Droin,,,2023,,45.00 €, NON IN LIST,12
,,Chablis 1er Vaucoupin,Nicolas Potel,,,2021,,43.00 €, 95.00 € ,3
,,Chassagne Montrachet Village,Lamy Pillot,,,2021,50,47 €, 105.00 € ,10
,,Chassagne Village,Fontaine Gagnard,,,2021,110,57 €, 180.00 € ,2
,,Saint Romain Sous le Chateau,Olivier Leflaive,,,2020,47,60 €, 120.00 € ,4
,,Puligny Montrachet,Moingeon,,,2022,,60.00 €, 125.00 € ,12
,,Chassagne 1er Cru Morgeot,Lamy Pillot,,,2021,,69 €, 145.00 € ,4
,,Chablis Vaudesir,Jean Paul Droin,,,2022,,65 €, NON IN LIST,2
,,Chablis Valmur,Jean Paul Droin,,,2022,,65 €, NON IN LIST,2
,,Chablis Valmur,Jean Paul Droin,,,2023,,70 €, NON IN LIST,6
,,Meursault Vielles Vignes,Guy Bocard,,,2022,magaz,75.50 €, NON IN LIST,6
,,Chablis Hommage a Luis,Jean Paul Droin,,,2022,,76 €, NON IN LIST,2
,,Chablis Hommage a Luis,Jean Paul Droin,,,2023,,83 €, NON IN LIST,6
,,Chablis Grenouilles,Jean Paul Droin,,,2022,,76 €, NON IN LIST,2
,,Meursault,Pierre Morey,,,2021,,79.00 €, NON IN LIST,3
,,Puligny Montrachet,Sauzet,,,2022,,80.00 €, NON IN LIST,2
,,Maltroie Chassagne 1er Cru,Fontaine Gagnard,,,2022,,84.00 €, NON IN LIST,3
,,Chablis Les Clos GC,Nicolas Potel,,,2020,,90.00 €,0,3
,,Meursault 1er Cru Blagny,Latour,,,2020,95,89.90 €, 205.00 € ,1
,,Puligny 1er Perrieres,Lucien Boillot,,,2022,,95.00 €, 238.00 € ,9
,,Corton Charlemagne Grand Cru,Domaine Denis,,,2022,,158.00 €, 292.00 € ,4
,,Puligny 1er Champ Gain,Sauzet,,,2022,,170.00 €, NON IN LIST,2
,GEWURZTRAMINER,Gewürztraminer,Terlan,,,2023,,10.00 €, 35.00 € ,34
,,Gewurztraminer Eisacktal,Pacherhof,,,2021,30,18 €, 48.00 € ,14
,,St. Valentin,St. Michael,,,2020,,21 €, 58.00 € ,12
,,Gewurztraminer,Lieselehof,,,2020,30,18.00 €, 52.00 € ,13
,,Selection 12 Coteaux de Schengen,Henri Ruppert,,,2015,43,18.00 €, 65.00 € ,1
