type,prefix,name,winery,internal_notes,size,vintage,ricavo,purchase_price,sales_price,qty
,,"Soave Classico ""I Palchi"" Foscarino",Inama,,,2020,29,25 €, 60.00 € ,5
,,Ameixambar,Adega do Vulcao,,,2021,,26 €, 66.00 € ,3
,,Idda Bianco,Gaja,,,2021,,27 €, 83.00 € ,2
,,Vigne Niche Montalto,Tenuta Terre Nere,,,2020,37,43 €, 90.00 € ,0
,,Vigne Niche Montalto,Tenuta Terre Nere,,,2021,,43 €, 90.00 € ,0
,,Vigne Niche Montalto,Tenuta Terre Nere,,,2022,,43 €, 90.00 € ,6
,,Santo Spirito,Tenuta Terre Nere,,,2022,,43 €, non in list,5
,,Skitali,Hatzidakis,,,,,45 €, 90.00 € ,3
,,DU LOT,Inama,,,2018,,35 €, 93.00 € ,5
,,Calvarino,Pieropan,,,2010,33,49 €, 93.00 € ,2
,Solaris,Solaris Pustrissa,Laimburg,,,2020,25,14.00 €, 42.00 € ,2
,,Vino del Passo,Lieselehof,,,2020,34,37 €, 83.00 € ,75
,White,Erbaluce ,Ferrando,,,2022,,12 €, 45.00 € ,5
,,Roero Arneis,Bruno Giacosa,,,2023,,22 €, 62.00 € ,0
,,Roero Arneis BLANGE,Ceretto,,,2023,,15 €, 62.00 € ,6
,,Derthona Timorasso,Borgogno,,,2021,46,24 €, 75.00 € ,11
,,Derthona Timorasso,Borgogno,,,2020,,, 75.00 € ,6
,,Grand Fosto,Marina Coppi,,,2018,,39.00 €, 90.00 € ,5
,,Derthona Scaldapulce,Borgogno,,,2020,,69 €, 130.00 € ,2
,,Timorasso Montemarzino,Roagna,,,2022,,104 €, 208.00 € ,3
,White,Ribolla Gialla,I Clivi,,,2021,35,8.00 €, 45.00 € ,6
,,Friulano,I Clivi,,,2021,35,8 €, 45.00 € ,5
,,Slatnik (CH+Friulano),Radikon,,,2021,,21 €, non in list,2
,,Malvasia COLLEZIONE MILLESIMI,Vie di Romans,,,2009,43,26 €, 75.00 € ,3
,,Friulano,Borgo del Tiglio,,,2021,,23 €, non in list,6
,,Dolee Friulano,Vie di Romans,,,2008,45,24 €, 75.00 € ,4
,,San Zuan,Ronco del Gnemiz,,,2021,36,26 €, 68.00 € ,2
,,San Zuan,Ronco del Gnemiz,,,2022,,32 €, non in list,6
,,San Zuan,Ronco del Gnemiz,,,2023,,35 €, non in list,6
,,Malvasia Italo Bruno,Borgo del Tiglio,,,2021,35,41 €, 85.00 € ,8
,,Ronco della Chiesa (Friulano),Borgo del Tiglio,,,2021,40,46 €, 96.00 € ,9
,,Ribolla Gialla,Gravner,,,2015,60,66 €, 140.00 € ,7
,,Picolit SOL,Ronchi di Ciala,,,2009,,95 €, 200.00 € ,2
,White Cuvee,White Blend Saskia Miles,Mossop,,,2015,,, 42.00 € ,23
,,Contessa,Manincor,,,2023,,14 €, 46.00 € ,14
,,Manna,Franz Haas,,,2020,31,17 €, 52.00 € ,9
,,Galea ,I Clivi,,,2021,34,19 €, 55.00 € ,10
,,Flors di Uis,Vie di Romans,,,2022,,19 €, 62.00 € ,8
,,Stoan,Tramin,,,2022,,20 €, 65.00 € ,6
,,Trias,Ignaz Niedrist,,,2019,32,20 €, 56.00 € ,1
,,Giovo,Bergkellerei Passeier,,,2019,39,21 €, 65.00 € ,0
,,Aichberg,Kornell,,,2018,35,19 €, 58.00 € ,0
,,Ciallabianco,Ronchi di Ciala,,,2020,,19 €, 75.00 € ,4
,,Bordeaux Blanc,Chasse Spleen,,,2018,33,24 €, 62.00 € ,4
,,Old Vines White,Mullineux,,,2023,,27 €, 82.00 € ,17
,,Private Cuvee,Pacherhof,,,2020,31,29 €, 60.00 € ,18
,,Private Cuvee Cassa Mista 14/15/16,Pacherhof,Private Cuvee Cassa Mista 14/15/16,,,,110 €, NON IN LIST,2
,,Nova Domus,Terlan,,,2020,47,26 €, 79.00 € ,16
,,Nova Domus,Terlan,,,2021,,29 €, NON IN LIST,18
,,Nova Domus,Terlan,,,2017,,37 €, NON IN LIST,2
,,Nova Domus,Terlan,,,2019,,33 €, NON IN LIST,2
,,Gravonia Blanco,Lopez de Heredia,,,2014,90,29 €, 125.00 € ,1
,,Terra de Cuques,Terroir al Limit,,,X,,30 €, 85.00 € ,1
,,Veliko Belo,Movia,,,2017,31,30 €, 68.00 € ,0
,,DUT UN,Vie di Romans,,,2020,40,31 €, 88.00 € ,1
,,Marsannier ***,Knipser,,,2018,41,32 €, 80.00 € ,4
,,Paleo Bianco,Le Macchiole,,,2022,,43 €, 130.00 € ,2
,,Cervaro della Sala,Antinori,,,2022,45,49 €, 105.00 € ,21
,,Studio di Bianco,Borgo del Tiglio,,,2022,,49 €, 95.00 € ,9
,,Palette Blanc,Chateau Simone,,,2019,,50 €, NON IN LIST,2
,,Beyond the Clouds,Elena Walch,,,2021,,52 €, 100.00 € ,-12
,,Beyond the Clouds,Elena Walch,,,2022,,54 €, 100.00 € ,55
,,TAL WEISS,Bozen,,,2020,45,54 €, 111.00 € ,1
,,Amrita,Schiopetto,,,2021,,57 €, 150.00 € ,5
,,BATAR,Querciabella,,,2019,48,59 €, 120.00 € ,1
,,Blanc La Crau,Vieux Telegraphe,,,2020,106,61 €, 180.00 € ,0
,,LR,Schreckbichl,,,2019,42,70 €, 120.00 € ,7
,,Adamantis (SY/GV/PG/KE),Valle Isarco,,,2020,62,68 €, 145.00 € ,4
,,Chateauneuf du Pape Blanc,La Nerthe,,,2022,21,77 €, 115.00 € ,1
,,Hermitage Blanc Domaine Tourettes,Delas,,,2021,,87 €, 195.00 € ,3
,,Appius,St. Michael Eppan,,,2019,126,90 €, 225.00 € ,5
,,Appius,St. Michael Eppan,,,2015,,, 170.00 € ,2
,,Appius,St. Michael Eppan,,,2013,,, 175.00 € ,2
,,Primo Grand Cuvee,Terlan,,,2020,111,134 €, 275.00 € ,5
,,Primo Grand Cuvee,Terlan,,,2021,111,137 €, 275.00 € ,0
,,Chateauneuf du Pape,Beaucastel,,,2020,,141 €, 250.00 € ,3
,,Tondonia Blanco,Lopez de Heredia,,,2011,,40 €, NON IN LIST,3
,Rosè,Rose,H. Lentsch,,,2021,22,11 €, 35.00 € ,23
,,Forget me not,Lieselehof,,,X,,10 €, 40.00 € ,145
,,Rosa die Frati,Ca die Frati,,,2022,,11 €, 43.00 € ,28
,,Rose de Manincor,Manincor,,,2021,31,15 €, 49.00 € ,14
,,Whispering Angel,Chateua d'Esclans,,,2022,,17 €, 65.00 € ,9
,,Cerasuolo d´Abruzzo,Emidio Pepe,,,2022,54,23 €, 82.00 € ,2
,,Sancerre Rose,Vacheron,,,2023,,31.20 €, 75.00 € ,4
,,Bandol Rose,Chateau Pibarnon,,,2022,,31.20 €, NON IN LIST,6
,,GARRUS ,Chateua d'Esclans,,,2021,,76 €, 160.00 € ,4
,,Rosenmuskateller,Kaltern,,,2023,,7 €, 35.00 € ,3
,,Untertürkheimer Trollinger,Aldinger,,,X,,96 €, NON IN LIST,6
,ORANGE Wine,Julian Orange,Lieselehof,,,X,,30 €, 88.00 € ,2
,,Aurona,Laimburg,,,2015,39,17.00 €, 60.00 € ,5
,,SIVI,Radikon,,,2021,,22.60 €, 95.00 € ,5
,,Graue Freyheit,Heinrich,,,2020,48,22 €, 75.00 € ,4
,ALK FREI,ALKOHOLFREI WEIß,VINUCI,,,2021,,, 35.00 € ,14
,,Chardonnay 1.2.0,Leitz,,,0,,8 €, NON IN LIST,11
,,PN 0.5,Leitz,,,0,,8 €, NON IN LIST,3
,,sekt,Leitz,,,0,,9 €, NON IN LIST,2
RED,VERNATSCH,St. Magdalener Classico,Hubertus,,,0,23,9.50 €, 35.00 € ,49
RED,,Gschleier,Girlan,,,2021,32,13 €, 48.00 € ,15
RED,,Kalterersee Quintessence,Kaltern,,,2022,29,10.40 €, 42.00 € ,2
RED,,Gschleier Cellar Reserve,Girlan,,,2014,,31 €, 72.00 € ,2
RED,PINOT NOIR,Patricia,Girlan,,,2019,26,11 €, 40.00 € ,46
RED,,Buchholz,Castelfeder,,,2021,24,13 €, 50.00 € ,8
RED,,Saltner,Kaltern,,,2021,,13 €, 54.00 € ,7
RED,,Vassal,Elfenberg,,,2023,,17.00 €, 65.00 € ,25
RED,,Blauburrgunder,Unterortl,,,2019,,22 €, 60.00 € ,7
RED,,Trattmann Riserva ,Girlan,,,2020,37,27.00 €, 62.00 € ,33
RED,,Pinot Nero Riserva,Niedrist,,,2019,40,28.90 €, 75.00 € ,11
RED,,Vigna Kofl,Peter Zemmer,,,2021,,28 €, 80.00 € ,1
RED,,Riserva Mazzon,Gottardi,,,2016,,31.75 €, NON IN LIST,0
RED,,Krafuss,Alois Lageder,,,2022,,37 €, 93.00 € ,4
RED,,Wildmonn,Wildmonn,,,2020,,45 €, 150.00 € ,4
RED,,Dona Noir,Hartmann Dona,,,2016,,51 €, 108.00 € ,5
RED,,Ponkler,Franz Haas,,,2018,50,57.00 €, 120.00 € ,0
RED,, Curlan,Girlan,,,2019,,71 €, 120.00 € ,6
RED,, Curlan,Girlan,,,2020,,60 €, NON IN LIST,8
RED,,Vigna Ganger,Girlan,,,2019,,80 €, 160.00 € ,8
RED,,Vigna das Lange Feld,Pfitscher,,,2019,,89 €, 180.00 € ,5
RED,Red,Krauthaker Crni,Krauthaker,,,2016,28,22 €, 55.00 € ,2
RED,,Merlijaki,Tilia,,,2017,25,25.50 €, 56.00 € ,2
RED,,PN Serrania de Malaga,Cortijo Aguilares,,,2021,31,30 €, 68.00 € ,5
RED,,Sancerre Rouge,Vacheron,,,2022,,37.90 €, 88.00 € ,6
RED,,PN Carneros,Mondavi,,,2019,,43 €, 85.00 € ,2
RED,,Lunita,Chacra,,,2021,31,42 €, 82.00 € ,5
RED,,Les Rosiers Coteaux Champenois,Marucie Grumier,,,2020,,47 €, NON IN LIST,2
RED,,Chacra 55,Chacra,,,2021,,49 €, NON IN LIST,16
RED,,TE WAHI,Cloudy Bay,,,2019,,53 €, 120.00 € ,4
RED,,Pino Rosso,Gulfi,,,2016,,54 €, 108.00 € ,6
RED,,Close Planted,Timo Mayer,,,2022,,55 €, 110.00 € ,3
RED,,Gippsland,William Downie,,,2022,,57 €, NON IN LIST,12
RED,,Burn Cottage Vineyrad,Burn Cottage,,,2019,,60 €, NON IN LIST,4
RED,,Yarra Pinot Noir,Yarra Yering,,,2018,,60.00 €, 125.00 € ,3
RED,,Calvert,Felton Road,,,2020,,69 €, 148.00 € ,6
RED,,Bull's Swamp,William Downie,,,2022,,85 €, NON IN LIST,3
RED,,Tout Pres Pinot Noir,By Farr,,,2020,,85 €, 175.00 € ,5
RED,,Les Montes Coteaux Champenois,Bereche,,,2022,,94.00 €, NON IN LIST,3
RED,,Willamette,Nicolas Jay,,,2021,,109.00 €, NON IN LIST,2
RED,,Pinot Noir,Gantenbein,,,2018,84,136 €, 250.00 € ,7
RED,,Pinot Noir,Gantenbein,,,2019,,, 250.00 € ,2
RED,,Pinot Noir,Gantenbein,,,2020,,, 250.00 € ,2
RED,,Pinot Noir,Gantenbein,,,2017,,, 250.00 € ,3
RED,Red,Spätburgunder Malterdinger,Bernard Huber ,,,2018,,19.30 €, NON IN LIST,5
RED,,Schulen Spätburgunder,Ziereisen,,,2020,34,25 €, 65.00 € ,4
RED,,Brauneberger Mandelgraben,Molitor,,,2018,,29.95 €, 75.00 € ,5
RED,,Kirschgarten GG,Knipser,,,2017,38,38.61 €, 85.00 € ,1
RED,,Rosenthal GG,Adeneuer,,,2018,33,37 €, 78.00 € ,2
RED,,Spätburgunder Eichberg Grosse Lage,Franz Keller,,,2017,MAGAZ,41.10 €, NON IN LIST,6
RED,,Zipsin Jaspis,Ziereisen,,,2020,32,43.30 €, 85.00 € ,1
RED,,Im Großen Garten,Knipser,,,2018,,49 €, 95.00 € ,2
RED,,Alte Lay GG (Ahr),Adeneuer,,,2019,30,53.46 €, 95.00 € ,2
RED,,Schlossberg GG,Franz Keller,,,2020,MAGAZ,60 €, NON IN LIST,6
RED,,Pfarringwer,Meyer Näkel,,,2017,46,69 €, 130.00 € ,2
RED,,RDP,Knipser,,,2015,,94 €, 160.00 € ,5
RED,Red,Chorey les Beaune,Domaine Gay,,,2020,,27.00 €, 58.00 € ,5
RED,,Saint Aubin 1er Cru VV,Moingeon,,,2022,,32.00 €, 78.00 € ,6
RED,,Fixin,Molin,,,2022,,36 €, 75.00 € ,4
RED,,Bourgogne,Haisma,,,2022,,39.00 €, 85.00 € ,2
RED,,Gevrey Chambertin,Lucien Boillot,,,2021,32,42.90 €, 85.00 € ,10
RED,,Haut Cotes de Nuits Clos du Prieure,Thibault Liger Belair,,,2020,36,43.90 €, 90.00 € ,2
RED,,Monthelie,Parent,,,2022,,48 €, NON IN LIST,5
RED,,Volnay  Les Serpens,Douhairet Porcheret,,,2022,,48 €, 110.00 € ,4
RED,,Volnay,Bouley,,,2011,,50 €, 112.00 € ,2
RED,,Morey St Denis VV,Stephane Magnien,,,2022,,59.95 €, 122.00 € ,3
RED,,Volnay 1er Clos des Angles,Lucien Boillot,,,2022,MAGAZ,60.00 €, NON IN LIST,5
RED,,Corton  Perrieres GC,Philippe Girard,,,2017,72,62 €, 148.00 € ,1
RED,,Vosne Romanee,Chevillon Chezeaux,,,2022,,69 €, NON IN LIST,1
RED,,Morey St Denis,Arlaud,,,2022,,70.00 €, NON IN LIST,2
RED,,Gevrey 1er Les Corbeuax,Lucien Boillot,,,2022,MAGAZ,72.00 €, NON IN LIST,5
RED,,Marsannay Clos du Roy,Sylvain Pataille,,,2021,,74.00 €, 161.00 € ,6
RED,,Chambolle Musigny VV,Stephane Magnien,,,2022,MAGAZ,75.00 €, 155.00 € ,4
RED,,NSG 1er Cru Pruliers,Lucien Boillot,,,2021,,77 €, 175.00 € ,4
RED,,Gevrey Chambertin Lavaux St Jacques,Seguin,,,2017,,82.00 €, 179.00 € ,6
RED,,Chambolle Musigny,Hudelot Noellat,,,2022,,120.00 €, NON IN LIST,3
RED,,Pommard 1er Cru Fremiers,Bouley,,,2010,,122 €, NON IN LIST,3
RED,,Clos de Vougeot Grand Cru,Gros Frere et Soeur,,,2017,52,158 €, 245.00 € ,1
RED,,Corton Grand Cru,Faiveley,,,2017,65,160 €, 260.00 € ,1
RED,,Mazy Chambertin Grand Cru,Domaine Molin,,,2021,,299.00 €, 430.00 € ,3
RED,LAGREIN,Lagrein ,H. Lentsch,,,2018,26,10 €, 38.00 € ,40
RED,,Lagrein Morus,H. Lentsch ,,,2020,28,17.90 €, 50.00 € ,27
RED,,Abtei Muri,Muri Gries,,,2020,33,19.90 €, 57.00 € ,-1
RED,,Lagrein Riserva Late Release,H. Lentsch ,,,2018,,21.00 €,0,6
RED,,BERGER GEI,Niedrist,,,2020,35,26 €, 62.00 € ,5
RED,,Linticlarus,Tiefenbrunner,,,2020,36,24.50 €, 65.00 € ,2
RED,,Tor di Lupo,Andrian,,,2020,38,29.00 €, 72.00 € ,7
RED,,MIRELL,WALDGRIES,,,2020,,28, 79.00 € ,10
RED,,Castel Ringberg,Elena Walch,,,2021,,29.10 €, 82.00 € ,21
RED,,Lagrein Morus Late Release,H. Lentsch ,,,2015,28,30.00 €,0,4
RED,,Taber Riserva,Kellerei Bozen,,,2020,39,31.00 €, 75.00 € ,18
RED,,Porphyr Riserva,Kellerei Terlan,,,2020,40,36.70 €, 85.00 € ,6
RED,,Porphyr Riserva,Kellerei Terlan,,,2021,,36.00 €, 85.00 € ,14
RED,,Lamarein,Unterganzner,,,2021,93,42.90 €, 145.00 € ,10
RED,,Kunst.stück,Kaltern,,,2020,38,45.00 €, 93.00 € ,1
RED,,Hofacker,Georg Ramoser,,,2019,44,50 €, 105.00 € ,6
RED,,Weingarten Klosteranger,Muri Gries,,,2016,43,51 €, 105.00 € ,5
RED,,Perflabilis,Griesbauer,,,2019,57,58.50 €, 128.00 € ,13
RED,,Roblinus,Ansitz Waldgries,,,2017,66,64.90 €, 125.00 € ,2
RED,MERLOT,Merlot Riserva,H. Lentsch,,,2017,19,12.90 €, 35.00 € ,20
RED,,Siebeneich,Schreckbichl,,,2020,24,16.50 €, 44.00 € ,15
RED,,550,Istine,,,2019,28,18 €, 50.00 € ,2
RED,,Mühlweg,Niedrist,,,2020,38,25.50 €, 68.00 € ,10
RED,,Merlot Riserva Gant ,Andrian,,,2019,32,36.20 €, 80.00 € ,8
RED,,Brenntal Riserva,Kellerei Kurtatsch,,,2020,33,34.00 €, 75.00 € ,8
RED,,La Ricolma,San Giusto a Rentennano,,,2018,228,46.20 €, 285.00 € ,8
RED,,Merlot Collio,Radikon,,,2005,56,48.40 €, 99.00 € ,2
RED,,Rosso della Centa,Borgo del Tiglio,,,2018,52,64 €, 130.00 € ,3
RED,,Galatrona,Petrolo,,,2019,87,88.60 €, 195.00 € ,4
RED,,Palafreno,Querciabella,,,2017,,95 €, 220.00 € ,5
RED,,Redigaffi,Tua Rita,,,2020,131,220 €, 400.00 € ,1
RED,,Masseto,ORNELLAIA,,,2020,,860 €,1350,1
RED,CABERNET,Cabernet Riserva ,H. Lentsch,,,2018,22,12.70 €, 38.00 € ,14
RED,,213 / 1,Peter Dipoli,,,2019,28,14.70 €, 45.00 € ,12
RED,,Saumur Champigny Paterne,Antoine Sanzay,,,2020,33,17.80 €, 55.00 € ,3
RED,,Cabernet,Unterganzner,,,2021,,22 €, NON IN LIST,12
RED,,Erminio,Bruno Grigolli,,,2018,,25.00 €, 65.00 € ,8
RED,,Mumelter Riserva,Kellerei Bozen,,,2019,39,25 €, 70.00 € ,6
RED,,Amistar Edizione Cab Sav,Peter Sölva,,,2019,46,37.90 €, NON IN LIST,2
RED,,Franschhoek CS,Boekenhoutskloof,,,2021,,38 €, 105.00 € ,6
RED,,Stellenbosch CS,Boekenhoutskloof,,,2021,,38 €, NON IN LIST,12
RED,,Amistar CF,Peter Sölva,,,2020,,43 €, 85.00 € ,7
RED,,Saumur Champigny Poyeux,Antoine Sanzay,,,2020,,40.00 €, 112.00 € ,7
RED,,Freienfeld,Kurtatsch,,,2020,,39 €, 85.00 € ,5
RED,,Lafoa,Schreckbichl,,,2020,28,55 €, 88.00 € ,11
RED,,Shay's Flat Cab Sav,Joshua Cooper,,,2020,,57 €, 120.00 € ,5
RED,,Campo di Magnacosta (CF),Tenuta di Trinoro,,,2017,64,58 €, 135.00 € ,3
RED,,Cabernet Sauvignon Napa ,Heitz Cellars,,,2016,41,69.20 €, 125.00 € ,7
RED,,Cabernet Estate Santa Cruz Mountain,Ridge Vineyards,,,2019,47,80 €, 140.00 € ,7
RED,,Lafoa Harpf,Schreckbichl,,,2009,,82.00 €, 162.00 € ,3
RED,,Toren,Tiefenbrunner,,,2020,,83.00 €, 177.00 € ,1
RED,,Darmagi,Gaja,,,1995,,, 245.00 € ,1
RED,,Paleo,Le Macchiole,,,2018,83,108 €, 215.00 € ,2
RED,,Sassicaia,Tenuta San Guido,,,2021,,302 €, 700.00 € ,2
RED,,Sassicaia,Tenuta San Guido,,,2020,170,180 €, 390.00 € ,3
RED,,Sassicaia,Tenuta San Guido,,,2019,161,249 €, 465.00 € ,2
RED,,Sassicaia,Tenuta San Guido,,,2017,200,180 €, 420.00 € ,0
RED,,Sassicaia,Tenuta San Guido,,,2018,160,307 €, 534.00 € ,1
RED,,Sassicaia,Tenuta San Guido,,,1992,,, 410.00 € ,0
RED,,Darmagi,Gaja,,,1995,,, 345.00 € ,1
RED,VALPOLICELLA,Valpolicella Classico,Ragose,,,2021,25,7.90 €, 35.00 € ,9
RED,,Ripasso Progni,Salette,,,2018,28,13.30 €, 44.00 € ,32
RED,,Amarone della Valpolicela,Le Ragose,,,2012,42,36.60 €, 85.00 € ,22
RED,,Heletto,Garbole,,,2016,,37.50 €, 92.00 € ,0
RED,,Amarone Pietro dal Cero,Ca dei Frati,,,2017,45,44.00 €, 105.00 € ,24
RED,,KAIROS IGT,Zymé,,,2018,45,43.90 €, 99.00 € ,2
RED,,Rosso del Merlo,Quintarelli,,,2015,59,69.00 €, 135.00 € ,7
RED,,Valpolicella Superiore,Giuseppe Quintarelli,,,2016,,70.00 €, 165.00 € ,3
RED,,Amarone della Valpolicella,Bertani,,,2012,53,75 €, 180.00 € ,1
RED,,,,,,2013,,103 €, 130.00 € ,6
RED,,Valpolicella Superiore,Dal Forno,,,2013,,95.00 €, 200.00 € ,4
RED,,Amarone Riserva,Rubinelli Vajol,,,2010,,105 €, 285.00 € ,2
RED,,Amarone ,Quintarelli,,,2015,107,213 €, 350.00 € ,9
RED,,Amarone,Dal Forno,,,2013,58,305 €, 430.00 € ,3
RED,SYRAH,Syrah Cortona,Amerighi Stefano,,,2019,48,16.50 €, 68.00 € ,13
RED,,Crozes-Hermitage Les Jalets,Paul Jaboulet Aine,,,2021,24,20.90 €, 55.00 € ,5
RED,,Gestad ,Ziereisen,,,2020,26,21 €, 52.00 € ,1
RED,,Mitterberg Syrah,Ignz Niedrist,,,2018,36,24.50 €, 66.00 € ,6
RED,,LP54,Lentsch,,,2020,,29.00 €, 68.00 € ,8
RED,,Syrah,Quinta do Noval,,,2017,,26.00 €, non in lista,1
RED,,Case Via,Fontodi,,,2019,,29.90 €, 75.00 € ,2
RED,,Crozes-Hermitage,Alain Graillot,,,2022,,35.00 €, non in lista,5
RED,,Swartland Syrah,Mullineux,,,2021,,35.00 €, non in lista,12
RED,,Gigondas,Saint Cosme,,,2022,,37.30 €, 85.00 € ,5
RED,,Syrah ,Boekenhoutskloof,,,2021,,38 €, 95.00 € ,11
RED,,Bin 28 Syrah,Penfolds,,,2018,23,38.60 €, 68.00 € ,7
RED,,Cornas Nouvelle R,Guillaume Gilles,,,2022,,47.50 €, 89.00 € ,5
RED,,Sonoma Coast Syrah,Ramey,,,2012,37,49.90 €, 98.00 € ,1
RED,,Yarra Valley Syrah,Timo Mayer,,,2022,,55 €, 115.00 € ,5
RED,,Hermitage Rouge,Guigal,,,2019,56,56.20 €, 125.00 € ,1
RED,,Cote Rotie Ampodium,Domaine Rostaing,,,2022,,68.00 €, non in lista,6
RED,,Cornas,Haisma,,,2022,,64 €, 125.00 € ,6
RED,,Hermitage Rouge Domaine Tourettes,Delas,,,2021,,86 €, 185.00 € ,3
RED,,Chateau d'Ampuis,Etienne Guigal,,,2015,,92 €, 170.00 € ,4
RED,,Cornas,Clape,,,2021,,111 €, non in lista,1
RED,,GRANITE Syrah,Mullineux,,,2021,,123.00 €, non in lista,3
RED,,10 Hoch4,Ziereisen,,,2018,66,130 €, 225.00 € ,2
RED,NEBBIOLO,Langhe Nebbiolo ,Trediberri,,,2023,,9.40 €,0,1
RED,,Langhe Nebbiolo ,Vajra,,,2018,24,11.55 €, 38.00 € ,1
RED,,Langhe Nebbiolo ,Produttori del Barbaresco,,,2022,,11 €, 38.00 € ,3
RED,,Langhe Nebbiolo ,Burlotto,,,2023,,15 €, NON IN LIST,5
RED,,Langhe Nebbiolo ,Penna Currado,,,2023,,17 €, NON IN LIST,19
RED,,Pian delle Mole,Giulia Negri,,,2022,,20 €, 58.00 € ,2
RED,,NO NAME,Borgogno,,,2020,,24.83, 75.00 € ,3
RED,,IL FAVOT,Aldo Conterno,,,2019,,34.00 €, 90.00 € ,2
RED,,Langhe Rosso,Roagna,,,2018,,36.00 €, 95.00 € ,4
RED,,Sito Moresco,Gaja,,,2021,,42.50 €, NON IN LIST,12
RED,,Sito Moresco,Gaja,,,2019,,42.50 €, NON IN LIST,6
RED,,Sito Moresco,Gaja,,,2016,,42.50 €, NON IN LIST,5
RED,,Nebbiolo Ester Canale,Giovanni Rosso,,,2019,,, 280.00 € ,4
RED,,Nebbiolo Arione,Giacomo Conterno,,,2020,,129 €, 270.00 € ,2
RED,BARBARESCO,Barbaresco ,Produttori del Barbaresco,,,2019,35,18.50 €, 58.00 € ,0
RED,,Barbaresco,,,,2018,,18.50 €, 65.00 € ,12
RED,,Asili,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,4
RED,,Montefico,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,5
RED,,Montestefano,Produttori del Barbaresco,,,2019,#NAME?,28.00 €, 90.00 € ,4
RED,,Muncagota,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,4
RED,,Ovello,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,8
RED,,Paje,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,5
RED,,Pora,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,6
RED,,Rabaja,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,6
RED,,Rio Sordo,Produttori del Barbaresco,,,2019,,28.00 €, 90.00 € ,8
RED,,Barbaresco Vallegrande,ca del baio,,,2019,,28.15 €, 72.00 € ,0
RED,,Barbaresco,Ceretto,,,2021,,33.75 €, 88.00 € ,2
RED,,Barbaresco Bordini,La Spinetta,,,2020,36,40 €, 85.00 € ,1
RED,,Barbaresco ,Francesco Versio,,,2020,,42 €, 88.00 € ,12
RED,,Barbaresco ,Francesco Versio,,,2021,,43 €, NON IN LIST,18
RED,,Don Fiorino,Produttori del Barbaresco,,,2016,93,48 €, 152.00 € ,16
RED,,Barbaresco Martinenga,Marchesi Gresy,,,2018,,50.00 €, NON IN LIST,0
RED,,Barbaresco Rabaja,Bruno Rocca,,,2019,,57 €, NON IN LIST,6
RED,,Barbaresco Gallina,Ceretto,,,2019,,73 €, 152.00 € ,4
RED,,Barbaresco Rabaja Riserva,Giuseppe Cortese,,,2016,55,77.50 €, 150.00 € ,6
RED,,BARBARESCO Asili Riserva,ca del baio,,,2018,,82.80 €, 160.00 € ,3
RED,,Barbaresco Starderi Vürsu,La Spinetta,,,2019,46,98 €, 166.00 € ,6
RED,,Barbaresco Rabaja,Bruno Giacosa,,,2017,,165 €, NON IN LIST,1
RED,,Barbaresco Albesani,Roagna,,,2018,,133 €, NON IN LIST,2
RED,,Barbaresco Gallina,Roagna,,,2018,,133 €, NON IN LIST,2
RED,,Barbaresco Paje,Roagna,,,2019,,144 €, NON IN LIST,6
RED,,Barbaresco,Gaja,,,2019,54,218 €, 320.00 € ,10
RED,,Barbaresco,Gaja,,,2018,126,159 €, 320.00 € ,1
RED,,Barbaresco Asili Vecchie Vigne,Roagna,,,2019,,313 €, NON IN LIST,3
RED,,Barbaresco Harpf,Gaja,,,2004,,229.00 €, 412.00 € ,3
RED,,Barbaresco Costa Russi,Gaja,,,1995,,, 325.00 € ,1
RED,BAROLO,Barolo Berri,Trediberri,,,2019,,24 €, 68.00 € ,1
RED,,Barolo la Morra,Crissante,,,2020,,22 €, 75.00 € ,14
RED,,Barolo Serralunga ,Ettore Germano,,,2019,28,27.30 €, 62.00 € ,11
RED,,Barolo Riserva,Boschetti,,,2015,,30.00 €, 105.00 € ,4
RED,,Barolo Monforte,Domenico Clerico,,,2019,,32 €, 65.00 € ,14
RED,,Barolo Ravera,Piero Benevelli,,,2019,35,30 €, 72.00 € ,13
RED,,Barolo Mosconi,Piero Benevelli,,,2018,26,32 €, 65.00 € ,2
RED,,Barolo Galina,Crissante,,,2019,,32 €, NON IN LIST,2
RED,,Barolo Capalot,Crissante,,,2019,,32 €, NON IN LIST,2
RED,,Barolo aArborina,Renato Corino,,,2019,,33 €, 75.00 € ,1
RED,,Barolo Bussia,Giacomo Fenocchio,,,2018,26,36.00 €, 72.00 € ,1
RED,,Barolo In Vino Veritas,Borgogno,,,2019,,36.50 €, 89.00 € ,12
RED,,Barolo Rocche Annunziata,Renato Corino,,,2019,,39 €, NON IN LIST,3
RED,,Barolo Rocche Annunziata,Trediberri,,,2019,,40 €, 92.00 € ,15
RED,,Barolo Vigna Rionda,Pira Luigi,,,2018,,47.35 €, 97.00 € ,1
RED,,Barolo Fossati Annata Storica,Borgogno,,,2013,,48.00 €, 135.00 € ,3
