external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
,,Champagne Rose CUVEE SPECIAL ROSE ,BOLLINGER,,BOTTLE,0,15500,8100,2,,,True
,,Champagne Rose Rose Brut,Ruinart,,BOTTLE,0,16200,8200,3,,,True
,,Champagne Rose Bulle de Rosé 1er Cru,Savart,,BOTTLE,0,0,8900,6,,,False
,,Champagne Rose Rose 23esima,Krug,,BOTTLE,0,65000,34900,2,,,True
,WHITE,PINOT BIANCO WEISSBURGUNDER,H. LENTSCH,,BOTTLE,2022,3500,1050,14,,,True
,,PINOT BIANCO Weissburgunder  ,Unterortl,,BOTTLE,2022,5200,1310,4,,,True
,,PINOT BIANCO RISERVA FLORA,GIRLAN,,BOTTLE,2018,4700,1440,16,,,True
,,PINOT BIANCO Private Reserve,Falkenstein,,BOTTLE,2016,7000,1650,2,,,True
,,PINOT BIANCO Kristallberg,Elena Walch,,BOTTLE,2022,6500,1700,12,,,True
,,PINOT BIANCO Tyrol,Meran,,BOTTLE,2022,6000,1800,6,,,True
,,PINOT BIANCO Limes,Ignaz Niedrist,,BOTTLE,2021,6000,2200,10,,,True
,,PINOT BIANCO RISERVA VORBERG,TERLAN,,BOTTLE,2020,7800,2090,10,,,True
,,PINOT BIANCO RISERVA VORBERG,TERLAN,,BOTTLE,2021,0,2300,24,,,False
,,PINOT BIANCO RISERVA VORBERG,TERLAN,,BOTTLE,2015,9300,3700,5,,Late release Harpf,True
,,PINOT BIANCO Phileo,Falkenstein,,BOTTLE,2018,8500,2680,1,,,True
,,PINOT BIANCO Weissburgunder  ,Dönnhoff,,BOTTLE,2021,6200,2132,4,,,True
,,PINOT BIANCO REINASSANCE,Gumphof,,BOTTLE,2019,6500,2700,2,,,True
,,PINOT BIANCO Kirschgarten GG,Knipser,,BOTTLE,2020,7800,3600,5,,,True
,,PINOT BIANCO Weisser Burgunder I,Von Winning,,BOTTLE,2015,9800,3700,4,,,True
,,PINOT BIANCO Castellberg GC,Martin Waßmer,,BOTTLE,2021,8200,4000,9,,,True
,,PINOT BIANCO RISERVA 5 YEARS,MERAN,,BOTTLE,2016,9800,4500,4,,,True
,,PINOT BIANCO Weisser Burgunder S,Wittmann,,BOTTLE,2011,0,5300,2,,,False
,,PINOT BIANCO SANCTISSIMUS,ST. PAULS,,BOTTLE,2017,11500,5500,7,,,True
,,PINOT BIANCO RARITY,TERLAN,,BOTTLE,2010,27500,10800,2,,,True
