"name","winery","vintage","size","sales_price_eur","purchase_price","storage_area"
"Brunello di Montalcino Bio","Col d'Orcia","2017/2018",0.75,€ 75.00,€ 28.90,"Hauptlager"
"Brunello di Montalcino „Le Macioche“","Famiglia Cottarella","2016/2017",0.75,€ 139.00,€ 54.36,"Hauptlager"
"Brunello di Montalcino „Poggio al Vento” Bio","Col d'Orcia",2015,0.75,€ 179.00,€ 80.00,"Hauptlager"
"Morellino di Scansano „Capatosta“","Poggioargentiera",2020,0.75,€ 45.00,€ 10.85,"Hauptlager"
"Cuvée „Rosso dei Notri“","Tua Rita",2022,0.75,€ 49.00,€ 11.20,"Hauptlager"
"Bolgheri Rosso „Varvàra“","Castello di Bolgheri",2020,0.75,€ 56.00,€ 18.25,"Hauptlager"
"Bolgheri Rosso „Il Bruciato“","Guado al Tasso",2023,0.75,€ 59.00,€ 20.95,"Hauptlager"
"Bolgheri Sup. „Villa Donoratico“","Argentiera",2021,0.75,€ 73.00,€ 22.00,"Hauptlager"
"Cifra Bio","Duemani",2021,0.75,€ 68.00,€ 23.70,"Hauptlager"
"Cont’Ugo","Guado al Tasso",2020,0.75,€ 94.00,€ 38.20,"Hauptlager"
"Guidalberto","San Guido",2020,0.75,€ 104.00,€ 37.90,"Hauptlager"
"Bolgheri Superiore „Argentiera“","Argentiera","2019/2020",0.75,€ 159.00,€ 71.50,"Hauptlager"
"Bolgheri Superiore „Guado al Tasso”","Marchese Antinori          ","2019/2020",0.75,€ 198.00,€ 115.40,"Hauptlager"
"Solaia","Marchese Antinori          ",2019,0.75,€ 429.00,€ 295.00,"Hauptlager"
"Sassicaia","San Guido",2018,0.75,€ 514.00,€ 359.00,"Hauptlager"
"Primitivo „Torcicoda”","Tormaresca","2021/2022",0.75,€ 44.00,€ 12.80,"Hauptlager"
"Negroamaro „Appassimento Nireus”","Ionis",2021,0.75,€ 49.00,€ 8.95,"Hauptlager"
"Primitivo di Manduria „Ater”","Ionis",2015,0.75,€ 57.00,€ 16.90,"Hauptlager"
"Primitivo „Diciotto“","Schola Sarmenti","2019/2020",0.75,€ 89.00,€ 34.34,"Hauptlager"
"Primitivo „Se”","Gianfranco Fino",2019,0.75,€ 109.00,€ 45.00,"Hauptlager"
"Aglianico „Castel del Monte” Bio","Bocca di Lupo","2019/2020",0.75,€ 110.00,€ 47.00,"Hauptlager"
"Negroamaro „Jo”","Gianfranco Fino",2018,0.75,€ 117.00,€ 51.00,"Hauptlager"
"Primitivo „Es”","Gianfranco Fino",2021,0.75,€ 118.00,€ 51.00,"Hauptlager"
"Primitivo „Es” – RED Edition","Gianfranco Fino",2017,0.75,€ 183.00,€ 86.50,"Hauptlager"
"Sole dei Padri Bio","Die Principi di Spadafora","2009/2012",0.75,€ 83.00,€ 44.00,"Hauptlager"
"Mille e una Notte","Donnafugata",2018,0.75,€ 119.00,€ 49.30,"Hauptlager"
"Terre Brune Superiore","Cantina Santadi",2018,0.75,€ 104.00,€ 39.60,"Hauptlager"
"Spätburgunder GG „Bienenberg“","Bernhard Huber",2014,0.75,€ 164.00,€ 74.15,"Hauptlager"
"Rioja „Jaun de Alzate“ Riserva","Bodegas Loli Casado",2018,0.75,€ 49.00,€ 19.02,"Hauptlager"
"Negre de Negres","Clos del Portal/Arribas",2017,0.75,€ 95.00,€ 28.50,"Hauptlager"
"Haut Médoc Rouge AOC","Château Sociando Mallet",2017,0.75,€ 89.00,€ 30.50,"Hauptlager"
"Pauillac Rouge","Château Lynch-Bages","2017/2018",0.75,€ 216.00,€ 93.70,"Hauptlager"
"Châteauneuf du Pape AOC","Domaine de Villeneuve","2016/2017",0.75,€ 99.00,€ 32.80,"Hauptlager"
"Gevrey Chambertin AGC Vieilleis","Domaine F. Magnien",2017,0.75,€ 129.00,€ 55.20,"Hauptlager"
"Pinot Noir „Block 10“","Saint Clair Family Estate",2020,0.75,€ 89.00,€ 34.00,"Hauptlager"
"Cabernet Sauvignon „Redstone“","Capelands Estate","2013/2016",0.75,€ 87.00,€ 25.00,"Hauptlager"
"Rosenmuskateller","Kaltern",2022,0.75,€ 39.00,€ 7.50,"Hauptlager"
"Goldmuskateller","Kaltern",2022,0.75,€ 42.00,€ 7.80,"Hauptlager"
"Moscato d’Asti „Serralunga“ 0,7 lt.","Massolino","2021/2022",0.75,€ 37.00,€ 8.00,"Hauptlager"
"Petit Manseng „Aurie“ 0,5 lt.","St. Pauls","2019/2020",0.75,€ 49.00,€ 17.00,"Hauptlager"
"Passito „Canthus“","Schreckbichl","2015/2016",0.75,€ 57.00,€ 20.90,"Hauptlager"
"Passito „Comtess“","St. Michael/Eppan",2021,0.75,€ 60.00,€ 23.10,"Hauptlager"
"Kerner „Nectaris“","Eisacktaler Kellerei",2021,0.75,€ 62.00,€ 22.50,"Hauptlager"
"Recioto della Valpolicella","Secondo Marco","2016/2017",0.75,€ 75.00,€ 29.30,"Hauptlager"
"Recioto della Valpolicella „Amandorlato”","Zýmē",2016,0.75,€ 155.00,€ 66.00,"Hauptlager"
"Verduzzo Friulano 0,5 lt.","Torre Rosazza","2018/2019",0.75,€ 44.00,€ 9.25,"Hauptlager"
"Passito Primitivo „Corimei”","Schola Sarmenti",2020,0.75,€ 49.00,€ 10.00,"Hauptlager"
"Passito della Pantelleria „Ben Ryé“          ","Donnafugata ",2020,0.75,€ 65.00,€ 25.80,"Hauptlager"
