"name","winery","vintage","size","sales_price_eur","purchase_price","storage_area"
"Amarone della Valpolicella „Pietro dal Cero“ ","Ca’ dei Frati",2008,1.5,€ 265.00,€ 167.00,"Hauptlager"
"Amarone della Valpolicella „Selezione Benedetto Speri“ ","Secondo Marco",2008,1.5,€ 305.00,€ 177.10,"Hauptlager"
"Tignanello","Antinori",2018,1.5,€ 315.00,€ 203.00,"Hauptlager"
"Weissburgunder „Steil“","St. Pauls",2024,0.75,€ 35.00,€ 7.40,"Hauptlager"
"Weissburgunder „Klassisch“","Wassererhof ","2020/2021",0.75,€ 38.00,€ 11.75,"Hauptlager"
"Weissburgunder Ris. „Salamander“","Niklas",2021,0.75,€ 42.00,€ 12.33,"Hauptlager"
"Weissburgunder „Praesulis“","Gumphof",2022,0.75,€ 45.00,€ 14.50,"Hauptlager"
"Weissburgunder „Sirmian“","Nals/Margreid","2021/2022",0.75,€ 50.00,€ 17.00,"Hauptlager"
"Weissburgunder Ris. „Vorberg“","Terlan",2020,0.75,€ 56.00,€ 21.40,"Hauptlager"
"Weissburgunder Ris. „Sanctissimus“","St. Pauls",2019,0.75,€ 125.00,€ 57.00,"Hauptlager"
"Chardonnay „Somereto“","Andrian",2024,0.75,€ 36.00,€ 7.70,"Hauptlager"
"Chardonnay „Cardellino“","Elena Walch","2022/2023",0.75,€ 44.00,€ 14.45,"Hauptlager"
"Chardonnay „Pfaffenegg”","Josmoar",2022,0.75,€ 47.00,€ 13.20,"Hauptlager"
"Chardonnay Ris. „Burgum Novum“","Castelfeder ",2020,0.75,€ 54.00,€ 19.85,"Hauptlager"
"Chardonnay Ris. „Belasy“","Schloss Englar",2021,0.75,€ 57.00,€ 22.30,"Hauptlager"
"Chardonnay R. „Baron Salvadori“","Nals/Margreid",2021,0.75,€ 67.00,€ 27.00,"Hauptlager"
"Cardonnay „Langenstein“","Baron Longo",2018,0.75,€ 83.00,€ 39.00,"Hauptlager"
"Chardonnay Ris. „Löwengang“ Bio","Alois Lageder",2021,0.75,€ 109.00,€ 44.95,"Hauptlager"
"Chardonnay Riserva „Troy”","Tramin",2019,0.75,€ 141.00,€ 56.60,"Hauptlager"
"Chardonnay Riserva „Vigna Au”","Tiefenbrunner",2018,0.75,€ 160.00,€ 60.75,"Hauptlager"
"Chardonnay Riserva „Kreuzweg“","Castelfeder ","2018/2019",0.75,€ 181.00,€ 78.75,"Hauptlager"
"Sauvignon „Mock“","Bozen",2023,0.75,€ 36.00,€ 9.84,"Hauptlager"
"Sauvignon „Klassisch“","Laimburg","2022/2023",0.75,€ 38.00,€ 11.50,"Hauptlager"
"Sauvignon „800“","Andreas Berger – Thurnhof ",2021,0.75,€ 41.00,€ 11.90,"Hauptlager"
"Sauvignon „Pfaffenegg“","Josmoar","2022/2023",0.75,€ 44.00,€ 13.80,"Hauptlager"
"Sauvignon „Voglar“","Peter Dipoli","2019/2020",0.75,€ 47.00,€ 16.45,"Hauptlager"
"Sauvignon „Lafóa“","Schreckbichl",2021,0.75,€ 52.00,€ 18.90,"Hauptlager"
"Sauvignon „St. Valentin“","St. Michael/Eppan","2022/2023",0.75,€ 55.00,€ 19.10,"Hauptlager"
"Sauvignon „Schalenstein“","Luis Wine",2021,0.75,€ 58.00,€ 20.80,"Hauptlager"
"Sauvignon „Lieben Aich“ Bio","Manincor","2020/2022",0.75,€ 109.00,€ 45.45,"Hauptlager"
"Riesling „Aristos“","Eisacktal",2021,0.75,€ 45.00,€ 13.80,"Hauptlager"
"Riesling „Paula“","Röck",2022,0.75,€ 49.00,€ 15.55,"Hauptlager"
"Riesling „Falkenstein“","Falkenstein",2022,0.75,€ 51.00,€ 15.80,"Hauptlager"
"Pinot Grigio „Sonnweiler“ Bio","Sonnweiler",2022,0.75,€ 35.00,€ 7.15,"Hauptlager"
"Pinot Grigio „Meanberg“","Baron Longo","2018/2019",0.75,€ 42.00,€ 9.90,"Hauptlager"
"Pinot Grigio „Castel Ringberg“","Elena Walch",2022,0.75,€ 51.00,€ 16.90,"Hauptlager"
"Pinot Grigio „Unterebner“","Tramin","2020/2021",0.75,€ 55.00,€ 19.80,"Hauptlager"
"Gewürztraminer „Kleinstein“","Bozen",2022,0.75,€ 39.00,€ 12.70,"Hauptlager"
"Gewürztraminer „Gols“","Griesserhof",2022,0.75,€ 44.00,€ 14.20,"Hauptlager"
"Gewürztraminer „Nussbaumer“","Tramin",2022,0.75,€ 57.00,€ 21.10,"Hauptlager"
"Gewürztraminer Orange „Norèy“","Laimburg",2011,0.75,€ 178.00,€ 89.80,"Hauptlager"
"Müller Thurgau „Petra“","Röck",2022,0.75,€ 41.00,€ 12.60,"Hauptlager"
"Kerner „Aristos“","Eisacktal",2022,0.75,€ 43.00,€ 12.90,"Hauptlager"
"Eisacktaler Sylvaner „Gols“","Griesserhof",2022,0.75,€ 45.00,€ 12.90,"Hauptlager"
