type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
,ROSSO DELLA CASTELLADA  La Castellada Doc Collio  ,ROSSO DELLA CASTELLADA  La Castellada Doc Collio  ,,MAGNUM,2009.0, 125.00,"MERLOT, CABERNET SAUVIGNON | Magnum",https://lacastellada.it/schede-tecniche/Rosso_della_Castellada.pdf,,,,,
,SACRISASSI  Le due Terre Doc COF ,SACRISASSI  Le due Terre Doc COF ,,MAGNUM,2018.0, 110.00,"SCHIOPPETTINO, REFOSCO",https://www.callmewine.com/sacrisassi-rosso-due-terre-2018-P33918.htm,,,,,
,SOSSÒ ROSSO Riserva  Livio Felluga Doc COF ,SOSSÒ ROSSO Riserva  Livio Felluga Doc COF ,,MAGNUM,2016.0, 160.00,"REFOSCO, MERLOT, PIGNOLO",https://www.winekissyou.com/prodotto/friuli-colli-orientali-sosso-riserva-doc-2016-livio-felluga/?utm_source=google&utm_medium=google+shopping&utm_content=23735&utm_source=google&utm_medium=cpc&campaignid=17614147830&adgroupid=&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIDsXbCMavZ8iczZ5H9ZEGOttYOr6hZwm4rRbhreaQ7iHr_DQkUfTexoCXl0QAvD_BwE&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIDsXbCMavZ8iczZ5H9ZEGOttYOr6hZwm4rRbhreaQ7iHr_DQkUfTexoCXl0QAvD_BwE,,,,,
,BRAIDE ALTE  Livon IGT Venezia Giulia ,BRAIDE ALTE  Livon IGT Venezia Giulia ,,MAGNUM,2018.0, 105.00,"CHARDONNAY, SAUVIGNON, PICOLIT, MOSCATO GIALLO",https://www.callmewine.com/braide-alte-livon-2019-P35799.htm,,,,,
,ROSSO BISEST  Moschioni Doc COF  ,ROSSO BISEST  Moschioni Doc COF  ,,MAGNUM,2014.0, 85.00,"PIGNOLO, SCHIOPPETTINO | Magnum",https://www.michelemoschioni.it/wp-content/uploads/2018/07/MOSCH_Bisest_ITA.pdf,,,,,
,ROSSO CELTICO Riserva  Moschioni Doc COF   ,ROSSO CELTICO Riserva  Moschioni Doc COF   ,,MAGNUM,2013.0, 135.00,"MERLOT, CABERNET SAUVIGNON | Magnum | 1 - 2011",https://www.michelemoschioni.it/wp-content/uploads/2018/07/MOSCH_RossoCeltico_ITA.pdf,,,,,
,ROSSO DEGLI ORZONI  Russiz Superiore Doc Collio ,ROSSO DEGLI ORZONI  Russiz Superiore Doc Collio ,,MAGNUM,2015.0, 120.00,"MERLOT, CABERNET SAUVIGNON, CABERNET FRANC",https://www.marcofelluga.com/vini/collio-rosso-riserva-degli-orzoni-russiz-superiore/,,,,,
,MERLOT Oscar Sturm Doc Collio   ,MERLOT Oscar Sturm Doc Collio   ,,MAGNUM,2016.0, 95.00,Magnum,https://sturm.it/i-nostri-vini/merlot/,,,,,
,AMARONE della Valpolicella Musella Docg   ,AMARONE della Valpolicella Musella Docg   ,,MAGNUM,2011.0, 128.00,Magnum,https://www.musella.it/amarone-della-valpolicella-docg/,,,,,
,AMARONE Classico Riserva “COSTASERA” Masi Docg ,AMARONE Classico Riserva “COSTASERA” Masi Docg ,,MAGNUM,2016.0, 230.00,,https://www.masi.it/files/masi_riservacostasera_i.pdf,,,,,
,VALPOLICELLA Superiore I Saltari Doc   ,VALPOLICELLA Superiore I Saltari Doc   ,,MAGNUM,2013.0, 69.00,Magnum,https://www.sartoriwineshop.com/prodotto/i-saltari-valpolicella-superiore-doc/,,,,,
,VALPOLICELLA Superiore Ripasso “RIPASSA” Zenato Doc  -1 bott. 2015  ,VALPOLICELLA Superiore Ripasso “RIPASSA” Zenato Doc  -1 bott. 2015  ,,MAGNUM,2017.0, 85.00,Magnum,https://www.zenato.it/images/2019/schede-pdf-vini-ita/Ripassa_rev.pdf,,,,,
,ROSSO DELLA CASA  Conte Loredan Gasparini Montello Doc ,ROSSO DELLA CASA  Conte Loredan Gasparini Montello Doc ,,MAGNUM,2017.0, 95.00,"CABERNET SAUVIGNON, CABERNET FRANC, MERLOT, MALBEC",https://www.callmewine.com/rosso-della-casa-venegazzu-2017-P35395.htm?gclid=CjwKCAjww8mWBhABEiwAl6-2RS0cF-gkEAp_QsUD7jD6Ebc8XnCGZGS4ruCyvoDHlvcfz9id_rFSwBoCHBkQAvD_BwE,,,,,
,BROLO “CAMPOFIORIN ORO”  Masi Rosso del Veronese IGT ,BROLO “CAMPOFIORIN ORO”  Masi Rosso del Veronese IGT ,,MAGNUM,2017.0, 65.00,"CORVINA, RONDINELLA, OSELETA",https://www.masi.it/files/masi_brolo_campofiorin_oro_it.pdf,,,,,
,NASI ROSSI  Maso di Villa Colli di Conegliano Docg     ,NASI ROSSI  Maso di Villa Colli di Conegliano Docg     ,,MAGNUM,2013.0, 130.00,"MERLOT, CABERNET SAUVIGNON, CABERNET FRANC | 1 - 2010 | Magnum",https://venetino.it/products/nasi-rossi-2010?variant=41053226958997,,,,,
,PINOT NERO “RODEL PIANEZZI” Pojer & Sandri IGT   ,PINOT NERO “RODEL PIANEZZI” Pojer & Sandri IGT   ,,MAGNUM,2016.0, 99.00,Magnum,https://www.pojeresandri.com/wp-content/uploads/2019/09/Pinot-Nero-Rodel-Pianezzi.pdf?x45718,,,,,
,"LAGREIN ""STEINRAFFLER"" J. Hofstatter Doc Südtirol   ","LAGREIN ""STEINRAFFLER"" J. Hofstatter Doc Südtirol   ",,MAGNUM,2017.0, 110.00,Magnum,https://www.shop.hofstatter.com/it/eur/it/prodotti/vigna-steinraffler-lagrein-alto-adige-doc-2017-j-hofstatter.html,,,,,
,LAGREIN Riserva “GRIES” Terlan Doc Südtirol  ,LAGREIN Riserva “GRIES” Terlan Doc Südtirol  ,,MAGNUM,2017.0, 75.00,Magnum,https://www.cantina-terlano.com/it/weinbrief/?w-id=100&l-id=7,,,,,
,PINOT BIANCO “VORBERG” Terlan Doc Südtirol  ,PINOT BIANCO “VORBERG” Terlan Doc Südtirol  ,,MAGNUM,2019.0, 95.00,1 - 2018,https://www.cantina-terlano.com/it/weinbrief/?w-id=97&l-id=13,,,,,
,PINOT NERO Riserva “PRAEPOSITUS” A. di Novacella Doc Südtirol ,PINOT NERO Riserva “PRAEPOSITUS” A. di Novacella Doc Südtirol ,,MAGNUM,2018.0, 130.00,,"https://www.callmewine.com/pinot-nero-praepositus-abbazia-di-novacella-2018-P34209.htm#:~:text=Il%20Pinot%20Nero%20%E2%80%9CPraepositus%E2%80%9D%20Riserva,coltivazione%20del%20vitigno%20di%20Borgogna.",,,,,
,"PINOT NERO Riserva ""LUDWIG"" Elena Walch Doc Südtirol ","PINOT NERO Riserva ""LUDWIG"" Elena Walch Doc Südtirol ",,MAGNUM,2017.0, 120.00,,https://www.elenawalch.com/it/shop/,,,,,
,PINOT NERO Franz Haas Doc Südtirol     ,PINOT NERO Franz Haas Doc Südtirol     ,,MAGNUM,2021.0, 90.00, - 2020 | 3 - 2018 | Magnum,https://www.franz-haas.it/wp-content/uploads/2021/04/13-PinotNero_ITA.pdf,,,,,
,PINOT NERO Riserva “FLORA” Girlan Doc Südtirol   ,PINOT NERO Riserva “FLORA” Girlan Doc Südtirol   ,,MAGNUM,2019.0, 110.00,Magnum,https://www.girlan.it/it/weinbrief/?id=236,,,,,
,PINOT NERO Riserva “TRATTMANN” Girlan Doc Südtirol    ,PINOT NERO Riserva “TRATTMANN” Girlan Doc Südtirol    ,,MAGNUM,2019.0, 140.00,2 - 2017 | Magnum,https://www.girlan.it/it/weinbrief/?id=236,,,,,
,"PINOT NERO Riserva ""MAZON"" J. Hofstatter Doc Südtirol ","PINOT NERO Riserva ""MAZON"" J. Hofstatter Doc Südtirol ",,MAGNUM,2018.0, 130.00,,https://www.shop.hofstatter.com/it/eur/it/prodotti/riserva-mazon-pinot-nero-alto-adige-doc-2019-j-hofstatter,,,,,
,"PINOT NERO Riserva ""MASON DI MASON” Manincor Doc Südtirol ","PINOT NERO Riserva ""MASON DI MASON” Manincor Doc Südtirol ",,MAGNUM,2020.0, 280.00,,https://www.manincor.com/it/mason-di-mason.html,,,,,
,PINOT NERO Maso Thaler Doc Südtirol ,PINOT NERO Maso Thaler Doc Südtirol ,,MAGNUM,2018.0, 85.00,,https://static1.squarespace.com/static/508560dfe4b02e0cbd20489f/t/54b6868ee4b0c2baff7e618c/1421248142082/Maso+Thaler+Scheda+Pinot+Nero.pdf,,,,,
