ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,score
TRUE,28,SPARKLING,champagne brut,Gimonnet & Fils,,BOTTLE,,8000,,0,,Chardonnay Brut Champagne Premier Cru,Pierre Gimonnet & Fils,wine_01gzr4ksvfgrc285c6yxqxf23v,,"29,328,571",
FALSE,29,SPARKLING,champagne,Dom Perignon,,MAGNUM,2010,85000,,1,,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,,"38,154,243",
FALSE,30,SPARKLING,champagne,Dom Perignon,,BOTTLE,2008,0,,1,,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,,"38,154,243",
FALSE,31,SPARKLING,champagne,Dom Perignon,,BOTTLE,2010,40000,,1,,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,,"38,154,243",
FALSE,32,SPARKLING,champagne,Dom Perignon,,BOTTLE,2012,38000,,2,,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,,"38,154,243",
FALSE,33,SPARKLING,champagne,Dom Perignon,,BOTTLE,2013,38000,,12,,Oenothèque Brut Champagne,Dom Pérignon,wine_01gzr4ksd86zp7p57wrwa5y92d,,"38,154,243",
TRUE,34,SPARKLING,champagne brut royale reserve,Philipponnat,,BOTTLE,,8500,,2,,Royale Réserve Brut Champagne,Philipponnat,wine_01gzr4ks63nx7n95vw12dcynhy,,"40,840,416",
FALSE,35,SPARKLING,champagne brut,Petrois Moriset,,BOTTLE,,8000,,2,,L'Assemblage Brut Champagne,Pertois-Moriset,wine_01h4pmmghf450gmej3xcj6c3vs,,"43,206,783",
TRUE,36,SPARKLING,champagne assemblage,Petrois Moriset,,BOTTLE,,9000,,1,,L'Assemblage Brut Champagne,Pertois-Moriset,wine_01h4pmmghf450gmej3xcj6c3vs,,"46,445,194",
FALSE,37,RED,champagne 168 edition,Krug,,BOTTLE,,45000,,0,,Arlberg Edition,Weingut Krug,wine_01gzr4ks7jx3mr4qdap01vn0ys,,"2,334,658",
TRUE,38,SPARKLING,champagne grande cuvée,Krug,,BOTTLE,2017,45000,,0,,Grande Cuvée,Krug,wine_01gzr4ks7h5x1nhhc1jnbgbg29,,"2,956,721",
TRUE,40,SPARKLING,champagne reserve imperiale,Moet & Chandon,,MAGNUM,,21000,,4,,Réserve Impériale Brut Champagne,Moët & Chandon,wine_01gzr4ks6axf9040f937x9p6wx,,"4,423,155",
TRUE,42,SPARKLING,champagne collection 243,Roederer,,MAGNUM,,22000,,5,,Collection 243 Champagne,Louis Roederer,wine_01gzr4ks5tefbv8mz37yrb2ndk,,"3,893,904",
TRUE,43,SPARKLING,champagne cristal,Roederer,,BOTTLE,2013,42000,,1,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,"32,009,605",
TRUE,44,SPARKLING,champagne collection 242,Roederer,,BOTTLE,,9500,,0,,Collection 242 Champagne,Louis Roederer,wine_01gzr4ks5tkz3teyz5d7mgv3q3,,"3,893,904",
TRUE,45,SPARKLING,champagne collection 242,Roederer,,MAGNUM,2017,16000,,0,,Collection 242 Champagne,Louis Roederer,wine_01gzr4ks5tkz3teyz5d7mgv3q3,,"3,893,904",
TRUE,46,SPARKLING,champagne vintage rosé,Veuve Cliquot,,BOTTLE,2012,14000,,6,,Vintage Rosé Brut Champagne,Veuve Clicquot,wine_01gzr4ks5vqd44r3ahjcpe303m,,"43,823,845",
TRUE,47,SPARKLING,champagne cuvée saint petersbourg,Veuve Cliquot,,BOTTLE,,9000,,6,,Cuvée Saint-Pétersbourg Brut Champagne,Veuve Clicquot,wine_01gzr4ks5vtmcbtxja8zx2ax6e,,"4,964,695",
TRUE,48,SPARKLING,champagne blanc de blanc,Ruinart,,BOTTLE,,14000,,1,,Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,,"42,043,827",
TRUE,49,SPARKLING,champagne blanc de blanc,Ruinart,,MAGNUM,,32000,,5,,Blanc de Blancs Brut Champagne,Ruinart,wine_01gzr4ksd2c8ryrf1nbh9jb83z,,"42,043,827",
TRUE,50,SPARKLING,champagne rosé,Ruinart,,BOTTLE,,14000,,13,,Brut Rosé Champagne,Ruinart,wine_01h0f3cmbmtvmkd6m243g38m9r,,"3,516,826",
TRUE,51,SPARKLING,champagne rosé,Ruinart,,MAGNUM,,32000,,9,,Brut Rosé Champagne,Ruinart,wine_01h0f3cmbmtvmkd6m243g38m9r,,"3,516,826",
TRUE,52,SPARKLING,champagne special cuvée,Bollinger,,BOTTLE,,11000,,27,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,,"36,435,703",
TRUE,53,SPARKLING,champagne special cuvée,Bollinger,,MAGNUM,,24000,,6,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,,"36,435,703",
TRUE,54,SPARKLING,champagne la grande annéé,Bollinger,,BOTTLE,2014,19000,,13,,La Grande Année Brut Champagne,Bollinger,wine_01gzr4ks6y229v3p9003jmyzy6,,"41,242,973",
TRUE,55,SPARKLING,champagne rosé,Bollinger,,BOTTLE,,11000,,4,,Rosé Brut Champagne,Bollinger,wine_01gzr4ks77z0y7cq2wp8xbrtm4,,"3,257,768",
TRUE,56,SPARKLING,champagne b13,Bollinger,,BOTTLE,,24000,,0,,B13 Champagne,Bollinger,wine_01gzr4ks777d7y0zsgcdwyt6fv,,"40,097,008",
TRUE,57,SPARKLING,champagne special cuvee 007,Bollinger,,BOTTLE,,13000,,9,,Champagne Special Cuvée 007 Limited Edition,Bollinger,wine_01gzr4ks779f55kpwmw7s0wtjp,,"4,350,515",
FALSE,58,SPARKLING,champagne,Bollinger,,MAGNUM,,23000,,0,,B13 Champagne,Bollinger,wine_01gzr4ks777d7y0zsgcdwyt6fv,,"29,949,715",
TRUE,59,SPARKLING,champagne extra brut,Gosset,,BOTTLE,,9000,,1,,Extra Brut Champagne,Gosset,wine_01h0f3cmbt0m9fwkwy9qde52r2,,"35,186,077",
FALSE,60,SPARKLING,champagne brut nature,Dechannes,,BOTTLE,,8500,,19,,Non Deux Vallons Les Riceys Brut Nature Champagne,Christophe Dechannes,wine_01h0sq48385z365xsxy2g90wef,,"30,682,571",
TRUE,61,SPARKLING,champagne n.7,Ayala,,BOTTLE,,0,,2,,No. 7 Brut Champagne,Ayala,wine_01h4pmmgfkwrvpmj4dgf2x4x0r,,"35,618,523",
TRUE,62,SPARKLING,champagne grand brut,Perrier et Jouet,,MAGNUM,,0,,1,,Grand Brut Champagne,Perrier-Jouët,wine_01h0f3cmbmghj9f4c14wg390vb,,"48,694,214",
