external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,
74,Franciacorta,Brut P.R. Blanc de Blancs,,Monte Rossa,ITA,,,,,
75,Franciacorta ,Satèn,Magnum,Monte Rossa,ITA,,€,"€ 80,00",,
76,Franciacorta,Cabochon Fuoriserie ,,Monte Rossa,ITA,,€,"€ 100,00","7 n. 023, 5 n. 024",
77,Franciacorta,Animante Extra Brut,,Barone Pizzini,ITA,,€,"€ 60,00",8,
78,Franciacorta ,Golf 1927 Brut,,Barone Pizzini,ITA,,€,"€ 65,00",4,
79,Franciacorta,Satèn,,Barone Pizzini,ITA,19,,,1,
80,Spumante ,Brut,,Maso Martis,ITA,,€,"€ 60,00",16,
81,Spumante ,Brut Millesimato,Magnum,Maso Martis,ITA,16,€,"€ 105,00",1,
82,Spumante Ferrari ,Perlé,,Ferrari,ITA,18,€,"€ 65,00",6,
83,Spumante Ferrari ,Perlé,Magnum,Ferrari,ITA,12,€,"€ 160,00",6,
84,Spumante riserva del fondatore ,,Magnum,Giulio Ferrari,ITA,8,€,"€ 420,00",1,
85,Spumante riserva del fondatore,,,Giulio Ferrari,ITA,8,,"€ 210,00","1 ‘08, 1 ‘10",
86,Spumante riserva Lunelli,,,Giulio Ferrari,ITA,6,€,"€ 250,00",,
87,Spumante ,Cuvée Voyage,,Frescobaldi,ITA,,€,"€ 38,00",3,
88,Spumante Riesling,Brut,,P. J. Kuhn,DEU,‘19,€,"€ 50,00",15,
89,Spumante Lamm n.12,Extra Brut,,Winkler,ITA,,€,"€ 65,00",7,Esce
90,Spumante,Extra Brut,,Loredan Gasparini,ITA,1979-2019,€,"€ 45,00",,
91,Prosecco,,,,,,,,,
92,Valdobbiadene DOCG Prosecco Superiore,Extra Dry,,Agostinetto,,,€,"€ 25,00",82,
93,Valdobbiadene DOCG Vigna del Baffo,,,Agostinetto,,,,,4,
94,Cartizze Valdobbiadene DOCG Prosecco Superiore,Dry,,Agostinetto,,21,€,"€ 48,00","9 ‘21, 11 ‘20, 27 ’22",
95,"Valdobbiadene Prosecco Superiore DOCG ""Bareta""",Brut,,Merotto,,,€,"€ 30,00",42,
96,"Valdobbiadene Prosecco Superiore DOCG ""Castè""",Extra Dry,,Merotto,,,€,"€ 30,00",,
97,Valdobbiadene Prosecco Superiore DOCG,Brut,,Nino Franco,,,€,"€ 30,00",24,
98,Prosecco ,Millesimato Brut,,Ardenghi,,,€,"€ 30,00",,
99,"Valdobbiadene Prosecco Superiore DOCG ""Fagher""",Brut,,Le Colture,,,€,"€ 25,00",,
100,"Valdobbiadene Prosecco Superiore DOCG ""Fagher""",Brut,Magnum,Le Colture,,,€,"€ 50,00",16,
101,Prosecco ,Extra Dry,,Borgo Antico,,,€,"€ 28,00",,
102,Valdobbiadene DOCG ,Brut,,Ra Spondes de Edy,,,,,44,
103,,,,,,,,,,
104,Vini Bianchi,,,,,,,,,
105,Trentino Alto Adige,,,,,,,,,
106,"Gewurztraminer ""Nussbaumer""",,,Tramin,,20,€,"€ 60,00",12,
107,Gewurztraminer,,,Elena Walch,,,€,"€ 27,00","27 ‘22, 1 ‘21",
108,Gewurztraminer ,,,Alois Lageder,,,€,"€ 30,00",2 ‘21 5 ‘22,
109,Gewurztraminer ,,,Franz Haas,,20,€,"€ 48,00",17,
110,"Gewurztraminer ""Kolbenhof""",,,Tenuta J. Hofstätter,,,€,"€ 70,00","3 ‘18, 3 ‘19, 13 ‘21 ",
111,Gewurztraminer,,,Abbazia di Novacella,,,€,"€ 33,00","3 ‘21, 8 ‘22",
112,Gewurztraminer Praepositus,,,,,,,,,
