name,winery,vintage,size,price
Lina 2020,Weingut Bergmannhof,2020,,"""45,00 €"""
Chardonnay 2023,Alois Lageder,2023,,"""36,00 €"""
First Lady,Papstlhof,,,"""43,00 €"""
Burgum Novum,Weingut Castelfeder,,,"""48,00€ (2019) | 58,00 € (2015) | 63,00 € (2014) """
Marie Sophie Riserva 2022,Weingut Eichenstein,2022,,"""38,00 €"""
Vigna Crivelli Riserva,Weingut Peter Zemmer,,,"""49,00 € (2019) | 59,00 (2017)"""
Baron Salvadori Riserva 2021,Kellerei Nals Margreid,2021,,"""49,00 €"""
Lafóa 2022,Kellerei Schreckbichl,2022,,"""49,00 €"""
Kreuzweg Riserva 2020,Weingut Castelfeder,2020,,"""119,00 €"""
Fluch und Segen 2022,Weingut Martin Schgraffer,2022,,"""49,00 €"""
Urgestein 2023,Weingut Baron Longo,2023,,"""40,00 €"""
Sauvignon Exclusiv 2021,Weingut Plonerhof,2021,,"""56,00 €"""
Mervin,Kellerei Meran,,,"""41,00 € (2018) | 53,00 € (2011)"""
Praesulis 2022,Weingut Gump Hof,2022,,"""39,00 €"""
Quarz 2021,Kellerei Terlan,2021,,"""69,00 € (2021) | 99,00 € (2017)"""
Mantele 2021,Kellerei Nals Margreid,2021,,"""43,00 €"""
Südtiroler Sauvignon 2022,Weinhof Prackfol,2022,,"""39,00 €"""
Echt Geil Sauvignon 2022,Weingut Seeperle,2022,,"""36,00 €"""
Fallwind 2023,Kellerei St. Michael-Eppan,2023,,"""37,00 €"""
Porer 2022,Alois Lageder,2022,,"""39,00 €"""
Fallwind 2021,Kellerei St. Michael/Eppan,2021,,"""35,00 €"""
Unterebner 2021,Kellerei Tramin,2021,,"""49,00 €"""
Aristos 2022,Kellerei Eisacktal,2022,,"""40,00 €"""
Giatl Riserva 2020,Weingut Peter Zemmer,2020,,"""46,00 €"""
Pinot Grigio 2022,Stiftskellerei Kloster Neustift,2022,,"""35,00 €"""
