external_id,name,winery,vintage,size,eur_sales_price,qty
76,Sauvignon Exclusiv 2021,Weingut Plonerhof,2021,BOTTLE,56,2
77,Mervin,Kellerei Meran,2018,BOTTLE,41,2
78,Mervin,Kellerei Meran,2011,BOTTLE,53,1
79,Praesulis 2022,Weingut Gump Hof,2022,BOTTLE,39,0
80,Quarz ,Kellerei Terlan,2021,BOTTLE,69,17
81,Quarz,Kellerei Terlan,2017,BOTTLE,99,5
82,Mantele 2021,Kellerei Nals Margreid,2021,BOTTLE,43,4
83,Südtiroler Sauvignon 2022,Weinhof Prackfol,2022,BOTTLE,39,1
84,Echt Geil Sauvignon 2022,Weingut Seeperle,2022,BOTTLE,36,0
85,Fallwind 2023,Kellerei St. Michael-Eppan,2023,BOTTLE,37,3
86,Porer 2022,Alois Lageder,2022,BOTTLE,39,3
87,Fallwind 2021,Kellerei St. Michael/Eppan,2021,BOTTLE,35,2
88,Unterebner 2021,Kellerei Tramin,2021,BOTTLE,49,6
89,Aristos 2022,Kellerei Eisacktal,2022,BOTTLE,40,3
90,Giatl Riserva 2020,Weingut Peter Zemmer,2020,BOTTLE,46,4
91,Pinot Grigio 2022,Stiftskellerei Kloster Neustift,2022,BOTTLE,35,4
92,Sanct Valentin 2021,Kellerei St. Michael/Eppan,2021,BOTTLE,45,5
93,Penon 2021,Kellerei Kurtatsch,2021,BOTTLE,39,1
94,Südtiroler Grauburgunder 2021,Weingut Wassererhof,2021,BOTTLE,39,5
95,Aristos 2021,Kellerei Eisacktal,2021,BOTTLE,38,5
96,Vives 2020,Weingut Radoarhof,2020,BOTTLE,40,6
97,Mitterberg 2020,Weingut Andi Sölva,2020,BOTTLE,39,3
98,Fallwind 2021,Kellerei St. Michael/Eppan,2021,BOTTLE,34,5
99,Castel Juval – Weingarten Windbichel 2021,Weingut & Hofbrennerei Unterortl,2021,BOTTLE,79,2
100,Grüner Veltliner Johanna 2021,Weingut Röck,2021,BOTTLE,37,2
101,Grüner Veltliner 2021,Weingut Hoandlhof Manni Nössing,2021,BOTTLE,35,2
102,Initium Solaris,Viventum,2021,BOTTLE,40,2
103,Initium Solaris,Viventum,2020,BOTTLE,43,2
104,Eisacktaler Veltliner 2021,Weingut Kuenhof,2021,BOTTLE,35,0
105,Sylvaner 2021,Weingut Pacherhof,2021,BOTTLE,36,1
106,Praepositus Sylvaner 2022,Stiftskellerei Kloster Neustift,2022,BOTTLE,39,6
107,Müller-Thurgau Etza 2020,Weingut Radoarhof,2020,BOTTLE,34,3
108,Feldmarschall von Fenner Müller-Thurgau 2020,Schlosskellerei Tiefenbrunner,2020,BOTTLE,69,8
109,Graun Müller-Thurgau,Kellerei Kurtatsch,2021,BOTTLE,35,3
110,99 S.ALT Solaris Rarity 2018,Thomas Niedermayr – Hof Gandberg,2018,BOTTLE,69,3
111,Amperg Goldmuskateller 2022 (trocken ausgebaut),Weingut Klaus Lentsch,2022,BOTTLE,32,6
112,Praepositus 2022,Stiftskellerei Kloster Neustift,2022,BOTTLE,39,2
113,Kerner 2023,Weingut Strasserhof,2023,BOTTLE,34,1
114,Kerner 2022,Kellerei Eisacktal,2022,BOTTLE,29,2
115,Libellula Mondevinum Riserva 2020,Weingut Niklas,2020,BOTTLE,40,5
116,Petit Manseng 2021,Weingut Baron Widmann,2021,BOTTLE,45,16
117,Stoan 2022 ,Kellerei Tramin,2022,BOTTLE,46,0
118,Caruess Weiss 2021 ,Weingut Röck,2021,BOTTLE,39,6
119,Summ 2021 ,Thomas Niedermayr – Hof Gandberg,2021,BOTTLE,37,3
120,Viribus Unitis Weiß 2018 ,Weingut Andi Sölva und Norbert Kofler,2018,BOTTLE,82,4
121,Gloria Dei 2023 ,Weingut Eichenstein,2023,BOTTLE,35,4
122,Casòn Bianco 2020 ,Weingut Alois Lageder,2020,BOTTLE,56,6
123,Dolomytos 2018,Ansitz Dolomytos Sacker,2018,BOTTLE,58,3
124,Réserve della Contessa 2022 ,Weingut Manincor,2022,BOTTLE,39,9
125,Terlaner Cuvée 2022 ,Kellerei Terlan,2022,BOTTLE,39,2
126,NAMA 2018 ,Kellerei Nals Margreid,2018,BOTTLE,146,3
127,Private Cuvée 2019 ,Weingut Pacherhof,2019,BOTTLE,59,4
128,LR Riserva 2019 ,Kellerei Schreckbichl,2019,BOTTLE,129,3
129,Appius ,Kellerei St. Michael/Eppan,2018,BOTTLE,165,1
130,Appius ,Kellerei St. Michael/Eppan,2015,BOTTLE,195,1
131,Appius ,Kellerei St. Michael/Eppan,2014,BOTTLE,215,1
132,Appius ,Kellerei St. Michael/Eppan,2012,BOTTLE,220,1
133,Nova Domus Terlaner Riserva 2020 ,Kellerei Terlan,2020,BOTTLE,68,6
134,Aichberg 2021 ,Weingut Kornell,2021,BOTTLE,44,6
135,DJJ Südtiroler Weiss 2021 ,Weingut Niklas,2021,BOTTLE,74,6
136,Adamantis Cuvée 2020 ,Kellerei Eisacktal,2020,BOTTLE,120,3
137,Büchsenöffner Cuvée 2022 ,Weingut Pitzner,2022,BOTTLE,37,6
138,Upupa Orange 2020,Weingut Abraham,2020,BOTTLE,43,0
139,Graf Gewürztraminer 2022,Kellerei Meran,2022,BOTTLE,39,6
140,Nussbaumer 2021,Kellerei Tramin,2021,BOTTLE,47,2
141,Aimè 2022,Kellerei Girlan,2022,BOTTLE,45,4
142,Hohenstein 2020,Weingut Baron Longo,2020,BOTTLE,42,5
143,Sissi Passito 2019 ,Kellerei Meran,2019,HALF_BOTTLE,51,0
144,Roen 2022 ,Kellerei Tramin,2022,HALF_BOTTLE,41,3
145,Epokale 2015 ,Kellerei Tramin,2015,HALF_BOTTLE,131,2
146,Terminum 2021 ,Kellerei Tramin,2021,HALF_BOTTLE,63,2
147,"Sese 2020 Muscat D'Alexandrie (0,5 l)",Azienda Agricola Tua Rita,2020,HALF_LITER,44,3
148,Fontanasanta Nosiola 2021,Foradori,2021,BOTTLE,45,3
149,Cervaro della Sala 2021 ,Castello della Sala,2021,BOTTLE,79,3
150,Marangona Lugana 2023,Marangona,2023,BOTTLE,35,5
151,Santa Cristina Lugana 2022,Weingut Zenato,2022,BOTTLE,34,4
152,Lugana 2023,Cavaliere del Garda,2023,BOTTLE,36,15
153,Vermentino di Gallura Superiore 2021,Cantina di Mogoro,2021,BOTTLE,33,2
154,Vintage Tunina 2021 ,Jermann,2021,BOTTLE,71,2
155,Vie di Romans 2022 ,Vie di Romans,2022,BOTTLE,51,2
156,Friulano 21,Agrargesellschaft Torre Rosazza,2021,BOTTLE,32,3
157,Chardonnay Toscana 2019,Monteverro,2019,BOTTLE,125,5
158,Gavi di Gavi 2023 ,Villa Sparina,2023,BOTTLE,32,0
159,Etna Bianco „Contrada Blandano“ 2018,Terra Costantino,2018,BOTTLE,43,3
160,Verdicchio di Matelica „M“,Gàjole,,BOTTLE,30,0
161,Soave Superiore 2021,Dal Cero – Weingut Corte Giacobbe,2021,BOTTLE,38,2
