external_id,name,winery,vintage,size,eur_sales_price,qty
334,Marqués de Murrieta Reserva 2018 ,Bodegas Marqués de Murrieta,2018,BOTTLE,48,3
335,Viña Tondonia Reserva ,López de Heredia,2010,BOTTLE,68,1
336,Viña Tondonia Reserva ,López de Heredia,2006,BOTTLE,84,2
337,Galantas Gran Reserva 2018 ,Viña Haras de Pirque,2018,BOTTLE,38,2
338,Wine of Lebanon,Château Musar – Gaston Hochar,2017,BOTTLE,99,5
339,Wine of Lebanon,Château Musar – Gaston Hochar,2016,BOTTLE,105,5
340,Wine of Lebanon,Château Musar – Gaston Hochar,2007,BOTTLE,129,5
341,Wine of Lebanon,Château Musar – Gaston Hochar,2003,BOTTLE,148,5
342,Bin 389 2019 ,Penfolds,2019,BOTTLE,106,4
343,"Praeclarus Brut 1,5 L ",Kellerei St. Pauls,,MAGNUM,92,1
344,"Arunda Cuvée Marianna Extra Brut 1 ,5 L ",Sektkellerei Arunda,,MAGNUM,95,1
345,"Ca’ del Bosco Rosé Annamaria Clementi Vintage 2012 Extra Brut 1,5 L ",Ca’ del Bosco,2012,MAGNUM,345,5
346,"Champagne Signature Brut 1,5 L ",Huguenot - Tassin,,MAGNUM,105,0
347,"Ca’ del Bosco Cuvée Prestige Rosé Brut 1,5 L PN, CH",Ca’ del Bosco,,MAGNUM,86,1
348,"Terlaner Cuvée 1,5 L ",Kellerei Terlan,2022,MAGNUM,82,1
349,"Terlaner Cuvée 1,5 L ",Kellerei Terlan,2020,MAGNUM,98,0
350,"Terlaner Cuvée 1,5 L ",Kellerei Terlan,2018,MAGNUM,125,0
351,"Terlaner Cuvée 1,5 L ",Kellerei Terlan,2017,MAGNUM,135,0
352,"Sauvignon Quarz Riserva 1,5 L",Kellerei Terlan,2020,MAGNUM,150,4
353,"Sauvignon Quarz Riserva 1,5 L",Kellerei Terlan,2018,MAGNUM,190,1
354,"Sauvignon Quarz Riserva 1,5 L",Kellerei Terlan,2017,MAGNUM,195,1
355,"Sauvignon Quarz Riserva 1,5 L",Kellerei Terlan,2015,MAGNUM,215,1
356,"Sauvignon Quarz Riserva 1,5 L",Kellerei Terlan,2014,MAGNUM,225,1
357,"Sauvignon Quarz Riserva 1,5 L",Kellerei Terlan,2013,MAGNUM,235,1
358,"Sauvignon Sanct Valentin 2022 1,5 L",Kellerei St. Michael Eppan,2022,MAGNUM,81,1
359,"Nova Domus Terlaner Riserva 1,5 L ",Kellerei Terlan,2015,MAGNUM,205,1
360,"Nova Domus Terlaner Riserva 1,5 L ",Kellerei Terlan,2014,MAGNUM,215,1
361,"Nova Domus Terlaner Riserva 1,5 L ",Kellerei Terlan,2013,MAGNUM,225,1
362,"Weissburgunder Sirmian 2017 1,5 L",Kellerei Nals Margreid,2017,MAGNUM,130,2
363,"Weissburgunder Vorberg Riserva 1,5 L",Kellerei Terlan,2017,MAGNUM,138,3
364,"Weissburgunder Vorberg Riserva 1,5 L",Kellerei Terlan,2015,MAGNUM,158,1
365,"Weissburgunder Vorberg Riserva 1,5 L",Kellerei Terlan,2014,MAGNUM,169,1
366,"Weissburgunder Vorberg Riserva 1,5 L",Kellerei Terlan,2013,MAGNUM,180,1
367,"Chardonnay Lafóa 2022 1,5 L",Kellerei Schreckbichl,2022,MAGNUM,115,1
368,"Chardonnay Burgum Novum 2017 1,5 L",Weingut Castelfeder,2017,MAGNUM,125,1
369,"Kerner Aristos 2022 1,5 L",Kellerei Eisacktal,2022,MAGNUM,78,1
370,"Pic Chablis 1er Cru 2012 1,5 L",Domaine Régnard,2012,MAGNUM,350,2
371,"Vigna Toren Riserva 2018 1,5 L",Schlosskellerei Tiefenbrunner,2018,MAGNUM,325,1
372,"Linticlarus Riserva 2019 1,5 L ",Schlosskellerei Tiefenbrunner,2019,MAGNUM,135,1
373,"Composition Reif 1,5 L ",Weingut Erbhof Unterganzner,2020,MAGNUM,175,2
374,"Composition Reif 1,5 L ",Weingut Erbhof Unterganzner,2019,MAGNUM,185,2
375,"Lagrein Mirell Riserva 2020 1,5 L",Ansitz Waldgries,2020,MAGNUM,130,2
376,"Lamarein 1,5 L",Weingut Erbhof Unterganzner,2021,MAGNUM,245,2
377,"Lamarein 1,5 L",Weingut Erbhof Unterganzner,2022,MAGNUM,235,2
378,"Sanct Valentin Pinot Noir Riserva 2018 1,5 L",Kellerei St. Michael Eppan,2018,MAGNUM,130,2
379,"Taber Lagrein Riserva 1999 1,5 L",Kellerei Bozen,1999,MAGNUM,189,1
380,Porphyr Lagrein Riserva 2020,Kellerei Terlan,2020,MAGNUM,149,2
381,Porphyr Lagrein Riserva 2020,Kellerei Terlan,2020,JEROBOAM,310,1
382,"Monticol Riserva 2020 1,5 L",Kellerei Terlan,2020,MAGNUM,110,2
383,"Merlot Mervin 2005 1,5 L",Kellerei Meran,2005,MAGNUM,105,1
384,Terra di Monteverro 2019 ,Weingut Monteverro,2019,MAGNUM,165,2
385,Terra di Monteverro 2019 ,Weingut Monteverro,2019,JEROBOAM,330,2
386,"Concerto di Fonterutoli 1,5 L ",Mazzei Castello di Fonterutoli,,MAGNUM,199,0
387,"Kairos Cuvée 2019 1,5 L",Zýmē di Celestino Gaspari,2019,MAGNUM,205,1
388,"Amarone della Valpolicella Classico 2007 1,5 L",Weingut Bertani,2007,MAGNUM,380,1
389,"Cabreo Il Borgo 2019 1,5 L ",Ambrogio e Giovanni Folonari,2019,MAGNUM,145,2
390,"Ilatraia 2013 1,5 L ",Brancaia,2013,MAGNUM,205,1
391,"CR 1 Redstone Reserve 2016 3,0 L I CS, COT",Capelands Estate,2016,JEROBOAM,165,3
392,"Merlot-Lagrein Graf 2021 5,0 L",Kellerei Meran,2021,BORDEAUX_JEROBOAM,225,5
393,"Amarone della Valpolicella Costasera 2009 6,0 L",Masi,2009,MATHUSALEM,1100,1
394,Lucente,,,BOTTLE,,5
395,Lux vitis,,,BOTTLE,,3
396,Luce,,,BOTTLE,,6
397,Castel giocondo,,,BOTTLE,,3
398,La Maione,,,BOTTLE,,6
399,Rialzi,,,BOTTLE,,6
400,Mormoretto ,,,BOTTLE,,5
401,Le Serre Nuove del Ornellaia,,,BOTTLE,,6
402,Ornellaia,,,BOTTLE,,6
403,Monteverro 2008,,,BOTTLE,,3
404,Monteverro 2009,,,BOTTLE,,3
405,Monteverro 2010,,,BOTTLE,,3
406,Monteverro 2011,,,BOTTLE,,3
407,Monteverro 2012,,,BOTTLE,,3
408,Monteverro 2013,,,BOTTLE,,3
409,Monteverro 2014,,,BOTTLE,,3
410,Monteverro 2015,,,BOTTLE,,3
411,Monteverro 2016,,,BOTTLE,,3
412,Monteverro 2017,,,BOTTLE,,3
413,Monteverro 2018,,,BOTTLE,,3
414,Monteverro 2019,,,BOTTLE,,3
415,Monteverro 2020,,,BOTTLE,,3
416,Sassicaia 2019,,,BOTTLE,,6
417,Amarone Bertani 1994,,,MAGNUM,,
