"name","winery","vintage","size","price"
"Floreale Rosé","""Vinuci Monteverde Saggio, Bozen""",,"BOTTLE","""36,00 €"""
"Sirmian 2021","Kellerei Nals Margreid",2021,"BOTTLE","""43,00 €"""
"Eichhorn","Weingut Manincor",2022,"BOTTLE","""47,00 €"
"Eichhorn","Weingut Manincor",2019,"BOTTLE","52,00 €"
"Eichhorn","Weingut Manincor",2018,"BOTTLE","59,00 €"
"Sanct Valentin 2021","Kellerei St. Michael/Eppan",2021,"BOTTLE","""43,00 €"""
"Tyrol Riserva","Kellerei Meran",2021,"BOTTLE","""43,00 € "
"Tyrol Riserva","Kellerei Meran",2013,"BOTTLE"," 53,00 € "
"Vorberg Riserva","Kellerei Terlan",2021,"BOTTLE","""49,00 € "
"Vorberg Riserva","Kellerei Terlan",2014,"BOTTLE","61,00 € "
"„Wir mußten Künstler sein“ 2022","Weingut Andi Sölva",2022,"BOTTLE","""40,00 €"""
"""Sonnenberg, Vinschgau 2014""","Kellerei Meran",2014,"BOTTLE","""49,00 €"""
"Pfaffenegg 2023","Weingut Josmoarhof",2023,"BOTTLE","""40,00 €"""
"Lina 2020","Weingut Bergmannhof",2020,"BOTTLE","""45,00 €"""
"Chardonnay 2023","Alois Lageder",2023,"BOTTLE","""36,00 €"""
"First Lady","Papstlhof",,"BOTTLE","""43,00 €"""
"Burgum Novum","Weingut Castelfeder",2019,"BOTTLE","""48,00 € "
"Burgum Novum","Weingut Castelfeder",2015,"BOTTLE","58,00 € """
"Burgum Novum","Weingut Castelfeder",2014,"BOTTLE","63,00 € "
"Marie Sophie Riserva 2022","Weingut Eichenstein",2022,"BOTTLE","""38,00 €"""
"Vigna Crivelli Riserva","Weingut Peter Zemmer",2019,"BOTTLE","""49,00 € "
"Vigna Crivelli Riserva","Weingut Peter Zemmer",2017,"BOTTLE","""59,00 €"
"Baron Salvadori Riserva 2021","Kellerei Nals Margreid",2021,"BOTTLE","""49,00 €"""
"Lafóa 2022","Kellerei Schreckbichl",2022,"BOTTLE","""49,00 €"""
"Kreuzweg Riserva 2020","Weingut Castelfeder",2020,"BOTTLE","""119,00 €"""
"Fluch und Segen 2022","Weingut Martin Schgraffer",2022,"BOTTLE","""49,00 €"""
"Urgestein 2023","Weingut Baron Longo",2023,"BOTTLE","""40,00 €"""
"Sauvignon Exclusiv 2021","Weingut Plonerhof",2021,"BOTTLE","""56,00 €"""
"Mervin","Kellerei Meran",2018,"BOTTLE","""41,00 € "
"Mervin","Kellerei Meran",2011,"BOTTLE","53,00 € "
"Praesulis 2022","Weingut Gump Hof",2022,"BOTTLE","""39,00 €"""
"Quarz ","Kellerei Terlan",2021,"BOTTLE","""69,00 "
"Quarz","Kellerei Terlan",2017,"BOTTLE","99,00 €"
"Mantele 2021","Kellerei Nals Margreid",2021,"BOTTLE","""43,00 €"""
"Südtiroler Sauvignon 2022","Weinhof Prackfol",2022,"BOTTLE","""39,00 €"""
"Echt Geil Sauvignon 2022","Weingut Seeperle",2022,"BOTTLE","""36,00 €"""
"Fallwind 2023","Kellerei St. Michael-Eppan",2023,"BOTTLE","""37,00 €"""
"Porer 2022","Alois Lageder",2022,"BOTTLE","""39,00 €"""
"Fallwind 2021","Kellerei St. Michael/Eppan",2021,"BOTTLE","""35,00 €"""
"Unterebner 2021","Kellerei Tramin",2021,"BOTTLE","""49,00 €"""
"Aristos 2022","Kellerei Eisacktal",2022,"BOTTLE","""40,00 €"""
"Giatl Riserva 2020","Weingut Peter Zemmer",2020,"BOTTLE","""46,00 €"""
"Pinot Grigio 2022","Stiftskellerei Kloster Neustift",2022,"BOTTLE","""35,00 €"""
"Sanct Valentin 2021","Kellerei St. Michael/Eppan",2021,"BOTTLE","""45,00 €"""
"Penon 2021","Kellerei Kurtatsch",2021,"BOTTLE","""39,00 €"""
"Südtiroler Grauburgunder 2021","Weingut Wassererhof",2021,"BOTTLE","""39,00 €"""
"Aristos 2021","Kellerei Eisacktal",2021,"BOTTLE","""38,00 €"""
"Vives 2020","Weingut Radoarhof",2020,"BOTTLE","""40,00 €"""
"Mitterberg 2020","Weingut Andi Sölva",2020,"BOTTLE","""39,00 €"""
"Fallwind 2021","Kellerei St. Michael/Eppan",2021,"BOTTLE","""34,00 €"""
"Castel Juval – Weingarten Windbichel 2021","Weingut & Hofbrennerei Unterortl",2021,"BOTTLE","""79,00 €"""
"Grüner Veltliner Johanna 2021","Weingut Röck",2021,"BOTTLE","""37,00 €"""
"Grüner Veltliner 2021","Weingut Hoandlhof Manni Nössing",2021,"BOTTLE","""35,00 €"""
"Initium Solaris","""Viventum, Mals""",2021,"BOTTLE","""40,00 € "
"Initium Solaris","""Viventum, Mals""",2020,"BOTTLE","43,00 € "
"Initium Solaris","""Viventum, Mals""",2018,"BOTTLE","49,00 € "
"Eisacktaler Veltliner 2021","Weingut Kuenhof",2021,"BOTTLE","""35,00 €"""
"Sylvaner 2021","Weingut Pacherhof",2021,"BOTTLE","""36,00 €"""
"Praepositus Sylvaner 2022","Stiftskellerei Kloster Neustift",2022,"BOTTLE","""39,00 €"""
"Müller-Thurgau Etza 2020","Weingut Radoarhof",2020,"BOTTLE","""34,00 €"""
"Feldmarschall von Fenner Müller-Thurgau 2020","Schlosskellerei Tiefenbrunner",2020,"BOTTLE","""69,00 €"""
"Graun Müller-Thurgau","Kellerei Kurtatsch",2021,"BOTTLE","""35,00 € "
"Graun Müller-Thurgau","Kellerei Kurtatsch",2016,"BOTTLE"," 42,00 € "
"Ackerlen Solaris/Muscaris 2020","Burgerhof Meßner",2020,"BOTTLE","""34,00 €"""
"99 S.ALT Solaris Rarity 2018","Thomas Niedermayr – Hof Gandberg",2018,"BOTTLE","""69,00 €"""
"Amperg Goldmuskateller 2022 (trocken ausgebaut)","Weingut Klaus Lentsch",2022,"BOTTLE","""32,00 €"""
"Praepositus 2022","Stiftskellerei Kloster Neustift",2022,"BOTTLE","""39,00 €"""
"Kerner 2023","Weingut Strasserhof",2023,"BOTTLE","""34,00 €"""
