name,winery,vintage,size,price
Arunda Riserva Extra Brut ,Sektkellerei Arunda,,BOTTLE,50
Arunda Phineas IV ,Sektkellerei Arunda,,BOTTLE,85
Praeclarus Brut ,Kellerei St. Pauls,,BOTTLE,48
Blanc de Blancs Brut Nature 2018 ,Montris,2018.0,BOTTLE,60
Brut Riserva 36 2019 ,Kellerei Meran,2019.0,BOTTLE,47
600 Blanc de Blancs Pas Dosé 2017,Kellerei Kurtatsch,2017.0,BOTTLE,53
InSekt Pet Nat 2021 ,Burgerhof Meßner,2021.0,BOTTLE,39
Athesis Brut Rosé 2019 ,Kellerei Kettmeir,2019.0,BOTTLE,49
Methius Riserva Brut 2018 ,Dorigati Mezzocorona,2018.0,BOTTLE,59
Lamm No 12 Extra Brut ,Sektmanufaktur Winkler,,BOTTLE,58
Honey GourMET Honig Brut,Imkerei Innerhofen,,BOTTLE,38
Masnen-Vignal Millesimato Riserva 2018 ,Klinger Pilati,2018.0,BOTTLE,49
Ferrari Perlé 2017 ,Kellerei Ferrari,2017.0,BOTTLE,63
Ferrari Perlé Rosé Riserva 2016,Kellerei Ferrari,2016.0,BOTTLE,79
Blauwal Vintage Riserva 2014,Cesconi,2014.0,BOTTLE,72
SomVita Prosecco Extra Brut,Kellerei Sacchetto,,BOTTLE,29
Santa Margherita 52 Brut 2021,Santa Margherita,2021.0,BOTTLE,32
Corvezzo Diamas Blanc de Blancs Extra Brut ,Agrargesellschaft Corvezzo,,BOTTLE,34
Lele Rosé Millesimato Brut 2021,Vineyards V8+,2021.0,BOTTLE,33
Ruinart Blanc de Blancs Brut ,Montagne de Reims,,BOTTLE,129
"Champagne Ruinart,  Rosé Brut ",Montagne de Reims,,BOTTLE,135
Champagne Grand Cru ,Champagne J. Vignier,,BOTTLE,125
Moët & Chandon Ice Impérial Brut,Champagne Moët & Chandon,,BOTTLE,110
Insouciance Rosé Brut,Champagne Huré Frères,,BOTTLE,75
Perrier-Jouët Grand Brut,Perrier-Jouët,,BOTTLE,115
Perrier-Jouët Blason Rosé Brut,Perrier-Jouët,,BOTTLE,135
Roederer Rosé Vintage Brut 2015,Champagne Louis Roederer,2015.0,BOTTLE,155
Laurent-Perrier La Cuvée Brut ,Champagne Laurent-Perrier,,BOTTLE,75
Legras & Haas Intuition Brut ,Champagne Legras & Haas,,BOTTLE,73
Legras & Haas Blanc de Blancs Millésime Brut 2015 ,Champagne Legras & Haas,2015.0,BOTTLE,120
Face Nord Grand Cru Rosé Brut ,Champagne Pehu Simonet,,BOTTLE,71
Millésime 2010 ,Champagne A. Robert,2010.0,BOTTLE,112
Alliance Rosé ,Champagne A. Robert,,BOTTLE,79
Dom Pérignon Brut ,Champagne Moët & Chandon,2012.0,BOTTLE,350
Dom Pérignon Brut ,Champagne Moët & Chandon,2012.0,BOTTLE,320
Charles le Bel Inspiration 1818 ,Champagne Billecart&Salmon,,BOTTLE,68
Ca’ del Bosco Cuvée Prestige Edizione 46 Extra Brut ,Ca’ del Bosco,,BOTTLE,59
Ca’ del Bosco Cuvée Prestige Rosé Brut,Ca’ del Bosco,,BOTTLE,86
Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut ,Ca’ del Bosco,2009.0,BOTTLE,179
Ca’ del Bosco Cuvée Annamaria Clementi Extra Brut ,Ca’ del Bosco,2014.0,BOTTLE,159
Bellavista Satèn Brut 2017 ,Bellavista,2017.0,BOTTLE,72
Ca’ del Bosco Rosé Annamaria Clementi Vintage 2012 Extra Brut ,Ca’ del Bosco,2012.0,MAGNUM,345
Rosé Bellavista Brut 2018 ,Kellerei Bellavista,2018.0,BOTTLE,82
Marchese Antinori Contessa Maggi Brut 2016 ,Weingut Montenisa,2016.0,BOTTLE,69
Sessanta Dosage Zéro ,Luca Bellani,,BOTTLE,40
Centoventi Rosé Dosage Zéro ,Luca Bellani,,BOTTLE,48
For England Rosé Pas Dosé Blanc de Noir 2018 ,Kellerei G. Contratto,2018.0,BOTTLE,55
Cuvée Novecento Pas Dosé 2012 ,Kellerei G. Contratto,2012.0,BOTTLE,64
"Sparkling Rocco Apple (0,2 l)",Rocco,,,5
Bella Glamour ,Iris Vigneti,,BOTTLE,29
Allegro ,Vinuci Monteverde Saggio,,BOTTLE,35
Floreale Rosé,Vinuci Monteverde Saggio,,BOTTLE,36
Sirmian 2021,Kellerei Nals Margreid,2021.0,BOTTLE,43
Eichhorn,Weingut Manincor,2022.0,BOTTLE,47
Eichhorn,Weingut Manincor,2019.0,BOTTLE,52
Eichhorn,Weingut Manincor,2018.0,BOTTLE,59
Sanct Valentin 2021,Kellerei St. Michael/Eppan,2021.0,BOTTLE,43
Tyrol Riserva,Kellerei Meran,2021.0,BOTTLE,43
Tyrol Riserva,Kellerei Meran,2013.0,BOTTLE, 53
Vorberg Riserva,Kellerei Terlan,2021.0,BOTTLE,49
Vorberg Riserva,Kellerei Terlan,2014.0,BOTTLE,61
„Wir mußten Künstler sein“ 2022,Weingut Andi Sölva,2022.0,BOTTLE,40
"Sonnenberg, Vinschgau 2014",Kellerei Meran,2014.0,BOTTLE,49
Pfaffenegg 2023,Weingut Josmoarhof,2023.0,BOTTLE,40
Lina 2020,Weingut Bergmannhof,2020.0,BOTTLE,45
Chardonnay 2023,Alois Lageder,2023.0,BOTTLE,36
First Lady,Papstlhof,,BOTTLE,43
Burgum Novum,Weingut Castelfeder,2019.0,BOTTLE,48
Burgum Novum,Weingut Castelfeder,2015.0,BOTTLE,58
Burgum Novum,Weingut Castelfeder,2014.0,BOTTLE,63
Marie Sophie Riserva 2022,Weingut Eichenstein,2022.0,BOTTLE,38
Vigna Crivelli Riserva,Weingut Peter Zemmer,2019.0,BOTTLE,49
Vigna Crivelli Riserva,Weingut Peter Zemmer,2017.0,BOTTLE,59
Baron Salvadori Riserva 2021,Kellerei Nals Margreid,2021.0,BOTTLE,49
Lafóa 2022,Kellerei Schreckbichl,2022.0,BOTTLE,49
Kreuzweg Riserva 2020,Weingut Castelfeder,2020.0,BOTTLE,119
Fluch und Segen 2022,Weingut Martin Schgraffer,2022.0,BOTTLE,49
Urgestein 2023,Weingut Baron Longo,2023.0,BOTTLE,40
Sauvignon Exclusiv 2021,Weingut Plonerhof,2021.0,BOTTLE,56
Mervin,Kellerei Meran,2018.0,BOTTLE,41
Mervin,Kellerei Meran,2011.0,BOTTLE,53
Praesulis 2022,Weingut Gump Hof,2022.0,BOTTLE,39
Quarz ,Kellerei Terlan,2021.0,BOTTLE,69
Quarz,Kellerei Terlan,2017.0,BOTTLE,99
Mantele 2021,Kellerei Nals Margreid,2021.0,BOTTLE,43
Südtiroler Sauvignon 2022,Weinhof Prackfol,2022.0,BOTTLE,39
Echt Geil Sauvignon 2022,Weingut Seeperle,2022.0,BOTTLE,36
Fallwind 2023,Kellerei St. Michael-Eppan,2023.0,BOTTLE,37
Porer 2022,Alois Lageder,2022.0,BOTTLE,39
Fallwind 2021,Kellerei St. Michael/Eppan,2021.0,BOTTLE,35
Unterebner 2021,Kellerei Tramin,2021.0,BOTTLE,49
Aristos 2022,Kellerei Eisacktal,2022.0,BOTTLE,40
Giatl Riserva 2020,Weingut Peter Zemmer,2020.0,BOTTLE,46
Pinot Grigio 2022,Stiftskellerei Kloster Neustift,2022.0,BOTTLE,35
Sanct Valentin 2021,Kellerei St. Michael/Eppan,2021.0,BOTTLE,45
