type,winery,name,size,internal_notes,eur_price
WHITE,,Friulano,,,30
WHITE,SASSOCORNO,,,,
WHITE,,Malvasia,,,36
WHITE,,Roche,,,36
WHITE,SCHIOPPETTO,,,,
WHITE,,Friulano,,,39
WHITE,,Pinot Bianco,,,39
WHITE,,Pinot Grigio,,,39
WHITE,,Sauvignon,,,39
WHITE,TERCIC,,,,
WHITE,,Friulano,,,30
WHITE,,Ribolla Gialla,,,30
WHITE,TOROS,,,,
WHITE,,Ribolla Gialla Collio,,,35
WHITE,,Sauvignon Collio,,,35
WHITE,,Chardonnay,,,35
WHITE,,Friulano,,,35
WHITE,TUNELLA ,,,,
WHITE,,Valmasia Malvasia,,,28
WHITE,,Sauvignon,,,28
WHITE,,Ribolla Gialla,,,28
WHITE,,Friulano,,,28
WHITE,VILLA VASI,,,,
WHITE,,Malvasia Somnija,,,24
WHITE,,,,,
WHITE,ABBAZZIA NOVACELLA,,,,
WHITE,,Kerner,,,20
WHITE,,Sylvaner,,,20
WHITE,KOLLERHOF,,,,
WHITE,,Solaris Sisyphos,,,35
WHITE,KURTATSCH,,,,
WHITE,,Sauvignon,,,30
WHITE,,Gewurztraminer,,,30
WHITE,,Pinot Bianco,,,30
WHITE,LEYA,,,,
WHITE,,Pinot Bianco,,,35
WHITE,,Terlaner,,,39
WHITE,,Gewurztraminer,,,35
WHITE,LUNELLI,,,,
WHITE,,Pietragrande,,,25
WHITE,,Villa Margon,,,75
WHITE,MASO CANTANGHEL,,,,
WHITE,,Sauvignon,,,29
WHITE,SCHWEITZER,,,,
WHITE,,Chardonnay Tschaupp,,,39
WHITE,ST. MICHEL EPPAIN,,,,
WHITE,,Sanct Valentin Sauvignon,,,50
WHITE,,Pinot Bianco,,,24
WHITE,,Gewurztraminer,,,24
WHITE,VALLE ISARCO,,,,
WHITE,,Gewurztraminer,,,30
WHITE,,Kerner,,,30
WHITE,,,,,
WHITE,SAN NAZARIO,,,,
WHITE,,Dulcmara,,,24
WHITE,,,,,
WHITE,GIANNI DOGLIA,,,,
WHITE,,Moscato d'Asti,,,19
WHITE,,,,,
WHITE,VEVEY,,,,
WHITE,,Blanch de Morgex et  de la Salle,,,25
WHITE,,,,,
WHITE,LUNAE,,,,
WHITE,,Vermentino,,,45
WHITE,,,,,
WHITE,DONNA FUGATA,,,,
WHITE,,La Fuga Contessa Entellina (Chardonnay),,,24
WHITE,,Chiarandà Contessa Entellina (Chardonnay),,,49
WHITE,,Vigna di Gabri DOC ,,,30
WHITE,,Ben Ryè Passito di Pantelleria,,,45
ROSSO,,,,,
ROSSO,,,,,
ROSSO,ALBERT BESOMES,,,,
ROSSO,,Cabernet Sauvignon What The Phoque,,,24
ROSSO,CHATEAU MOUTTE BLANC,,,,
ROSSO,,Haut-Medoc Marguerite ,,,45
ROSSO,CHAUME-ARNAUD,,,,
ROSSO,,Saint Maurice Rouge,,Cotes du Rhone,35
ROSSO,DOMAINE LAGUERRE,,,,
ROSSO,,Rouge Eos Lauger 21,,,24
ROSSO,,Rouge Le Ciste Lauger 22,,,40
ROSSO,GUILHELM ET JEAN-HUGUES,,,,
ROSSO,,Goisot 22,,,24
ROSSO,TIRE PE,,,,
ROSSO,,Bordeaux Rouge 19,,,30
ROSSO,,,,,
ROSSO,PEDRO XIMENEZ,,,,
ROSSO,,Jerez de la Frontera 0.375 ,,,39
ROSSO,SEMBRO,,,,
ROSSO,,Vino Tinto ,,,20
ROSSO,,,,,
ROSSO,CLOUDY BAY,,,,
ROSSO,,Pinot Nero,,,65
ROSSO,,,,,
ROSSO,,,,,
ROSSO,CASTELVECCHIO,,,,
ROSSO,,Cabernet Sauvignon ,,,30
ROSSO,FERESIN DAVIDE,,,,
ROSSO,,Refosco Nero di Botte,,,35
ROSSO,GRADIS'CIUTTA,,,,
ROSSO,,Merlot,,,30
ROSSO,,Franconia,,,30
ROSSO,MONVIERT,,,,
ROSSO,,Merlot,,,20
ROSSO,,Cabernet Franc,,,20
ROSSO,MUZIC,,,,
ROSSO,,Cabernet Sauvignon,,,22
ROSSO,,Merlot,,,22
ROSSO,POLENCIC,,,,
ROSSO,,Merlot ,,,20
ROSSO,RONCO DEI PINI,,,,
ROSSO,,Schioppettino,,,30
ROSSO,RONCO DEI TASSI,,,,
ROSSO,,Cjarandon,,,30
ROSSO,TOROS,,,,
ROSSO,,Merlot Collio,,,35
ROSSO,TUNELLA,,,,
ROSSO,,Arcione,,,35
ROSSO,,Merlot,,,28
ROSSO,,Schioppettino,,,30
ROSSO,,Cabernet Sauvignon,,,28
ROSSO,,Pignolo,,,60
ROSSO,SASSOCORNO,,,,
ROSSO,, Rex (Refosco),,,24
ROSSO,,Cuar,,,24
ROSSO,SCHIOPPETTO,,,,
ROSSO,,Blumeri,,,59
ROSSO,,,,,
ROSSO,BENEDETTI LA VILLA,,,,
ROSSO,,Valpolicella Classico Superiore,,,22
ROSSO,,Valpolicella Ripasso,,,26
ROSSO,CASTELNUOVO DEL GARDA,,,,
ROSSO,,Amarone della Valpollicella,,,30
ROSSO,,Merlot Nero Assolutamente,,,25
ROSSO,,Ca'Vegar Amarone della Valpolicella Riserva,,,30
ROSSO,COLLI VECENTINI,,,,
ROSSO,,Carlo V,,,25
ROSSO,GIANNITESSARI,,,,
ROSSO,,Pinot Noir,,,25
ROSSO,SAN NAZARIO,,,,
ROSSO,,Merlot Ruzante,,,24
ROSSO,MONTECI,,,,
ROSSO,,Roveiago,,,18
ROSSO,MONTE DEL FRA,,,,
ROSSO,,Valpolicella Classico,,,22
ROSSO,,Valpolicella Classico Superiore,,,30
ROSSO,,Valpolicella Ripasso,,,30
ROSSO,MONTE ZOVO,,,,
ROSSO,,Calinverno,,,39
ROSSO,SANSONINA,,,,
ROSSO,,Evaluna,,,30
ROSSO,ZENATO,,,,
ROSSO,,Valpolicella Classico Superiore ,,,24
ROSSO,,Ripasso,,,35
ROSSO,,Reciotto,,,55
ROSSO,,Amarone,,,90
ROSSO,,,,,
ROSSO,ABBAZZIA NOVACELLA,,,,
ROSSO,,Pinot Nero,,,20
ROSSO,KOLLERHOF,,,,
ROSSO,,Pinot Nero Mazon,,,39
ROSSO,ST. MICHEL EPPAIN,,,,
ROSSO,,Sanct Valentin Pinot Nero,,,65
ROSSO,,Sanct Valentin Cabernet-Merlot,,,65
ROSSO,,Fallwind Merlot Cabernet Riserva,,,30
ROSSO,,Fallwind Pinot Nero,,,35
ROSSO,,Lagrein,,,22
ROSSO,,Pinot Nero,,,28
ROSSO,,St. Magdalen,,,22
ROSSO,,Cabernet,,,22
ROSSO,,,,,
ROSSO,CORINO,,,,
ROSSO,,Nebbiolo,,,24
ROSSO,,Ciabot Du Re,,,35
ROSSO,MATTEO CORREGGIA,,,,
ROSSO,,Roero,,,24
ROSSO,,Barbera d'Alba,,,24
ROSSO,LODALI,,,,
ROSSO,,Dolcetto d'Alba,,,18
ROSSO,LUIGI EINAUDI,,,,
ROSSO,,Dogliani Superiore,,,25
ROSSO,,,,,
ROSSO,CAMIGLIANO,,,,
ROSSO,,Rosso di Montalcino,,,25
ROSSO,CANTINAIA,,,,
ROSSO,,Rosso di Bolgheri,,,30
ROSSO,CASALVENTO,,,,
ROSSO,,Chianti,,,30
ROSSO,,Chianti Riserva,,,30
ROSSO,CENNATOIO,,,,
ROSSO,,Chianti Classico,,,25
ROSSO,RICCI,,,,
ROSSO,,Rosso di Montalcino,,,30
ROSSO,ROCCAPESTA,,,,
ROSSO,,Ribeo,,,24
ROSSO,,Morellino di Scansano,,,30
ROSSO,,Morellino di Scansano Riserva,,,45
ROSSO,,,,,
ROSSO,LUNELLI,,,,
ROSSO,,Ziggurat,,,25
ROSSO,,Lampante,,,45
ROSSO,,Aliotto,,,25
ROSSO,,,,,
ROSSO,ZACCAGNINI,,,,
ROSSO,,magnum,,,45
ROSSO,,Montepulciano Tralcetto,,,24
ROSSO,,,,,
ROSSO,COSTANTINO,,,,
ROSSO,,Salento Rosso Passito,,,18
ROSSO,GIULIANI,,,,
ROSSO,,Lavarossa Primitivo DOC,,,28
ROSSO,,,,,
ROSSO,NANIHA,,,,
ROSSO,,Cannonau di Sardegna,,,30
ROSSO,,,,,
ROSSO,DONNA FUGATA,,,,
ROSSO,,Bell'Assai Vittoria DOC Frappato,,,30
