"type","name","qty","eur_sales_price","eur_purchase_price"
"WHITE","Riesling Pittermännchen GG 2017 Diel Nahe",3.00,95.00 €,285.00 €
"WHITE","Riesling Frühlingsplätzchen GG 2018 Schäfer-Fröhlich Nahe",1.00,105.00 €,105.00 €
"WHITE","Riesling Stromberg GG 2021 Schäfer-Fröhlich Nahe",3.00,120.00 €,360.00 €
"WHITE","Riesling Kreuznacher Kahlenberg 2022 Dönnhoff Nahe",1.00,45.00 €,45.00 €
"WHITE","Riesling Kalkofen GG 2021 Von Winning Pfalz",4.00,90.00 €,360.00 €
"WHITE","Riesling Kiedrich Turmberg GG 2021 Robert Weil Rheingau",3.00,58.00 €,174.00 €
"WHITE","Riesling Sankt Nikolaus GG 2021 P.J. Kühn Rheingau ",2.00,115.00 €,230.00 €
"WHITE","Riesling Scharzofberger GG 2021 Van Volxem Saar",5.00,85.00 €,425.00 €
"WHITE","Riesling Rausch GG 2021 Zilliken Mosel",6.00,98.00 €,588.00 €
"WHITE","Riesling Trocken 2018 Heymann-Löwenstein Mosel",1.00,38.00 €,38.00 €
"WHITE","Riesling Röttgen GG 2020 Heymann-Löwenstein Mosel",8.00,85.00 €,680.00 €
"WHITE","Riesling Erdener Treppchen Spätlese 2020 Markus Molitor Mosel ",11.00,45.00 €,495.00 €
"WHITE","Riesling Zeltinger Himmelreich Kabinett 2020 Molitor Mosel",2.00,46.00 €,92.00 €
"WHITE","Chardonnay ""R"" 2021 Rudolf Fürst Franken ",2.00,125.00 €,250.00 €
"WHITE","Chardonnay Oberbergen Bassgeige 2020 Franz Keller Baden",5.00,39.00 €,195.00 €
"WHITE","Chardonnay Malterdinger Alte Reben 2021 Bernhard Huber Baden ",6.00,98.00 €,588.00 €
"WHITE","Weissburgunder Oberbergen Bassgeige 2020 Franz Keller Baden ",2.00,39.00 €,78.00 €
"WHITE","Friulano 2020 La Duline, Friaul Venetien ",4.00,40.00 €,160.00 €
"WHITE","Pinot Grigio Ronco Pitotti 2022 La Duline, Friaul Venetien ",2.00,45.00 €,90.00 €
"WHITE","Chardonnay Ronco Pitotti 2021 La Duline, Friaul Venetien ",3.00,60.00 €,180.00 €
"WHITE","Friulano Collio 2020 Schiopetto, Friaul Venetien ",2.00,45.00 €,90.00 €
"WHITE","Friulano San Zuan 2021 Ronco del Gnemiz, Friaul Venetien ",1.00,45.00 €,45.00 €
"WHITE","Chardonnay Ronco Basso 2021 Ronco del Gnemiz, Friaul Venetien ",4.00,50.00 €,200.00 €
"WHITE","Soave Classico 2016 Monte Fiorentine Ca'Rugate, Friaul Venetien ",3.00,40.00 €,120.00 €
"WHITE","Ribolla Gialla 2021 Jermann, Friaul Venetien ",1.00,49.00 €,49.00 €
"WHITE","Ribolla Gialla 2012 Josko Gravner, Friaul Venetien ",3.00,120.00 €,360.00 €
"WHITE","Cuvée Custoza 2020 Albino Piona, Friaul Venetien ",2.00,25.00 €,50.00 €
"WHITE","Cuvée L'Estro (V/M/SB) 2013 Casa Caterina, Lombardei ",4.00,60.00 €,240.00 €
"WHITE","Verdicchio Classico 2020 Il Coroncino, Marken ",3.00,34.00 €,102.00 €
"WHITE","Verdicchio Classico Balluccio 2020 Tenuta dell'Ugolino, Marken ",2.00,36.00 €,72.00 €
