"type","name","qty","eur_sales_price","eur_purchase_price"
"RED","Lagrein Riserva Taber 2020 Kellerei Bozen ",6.00,70.00 €,420.00 €
"RED","Lagrein Riserva 2021 Franz Gojer Karneid ",6.00,47.00 €,282.00 €
"RED","Cuvée Anticus Riserva (M/CS) 2019 Nals-Margreid ",4.00,58.00 €,232.00 €
"RED","Cuvée Anticus Riserva (M/CS) 2018 Nals-Margreid ",1.00,58.00 €,58.00 €
"RED","Cuvée Staffelfeld (CS/M) 2019 Baron Widmann Kurtatsch",3.00,50.00 €,150.00 €
"RED","Cuvée Iugum (M/CS) 2017 Dipoli Neumarkt ",4.00,65.00 €,260.00 €
"RED","Cuvée Iugum (M/CS) 2015 Dipoli Neumarkt ",3.00,65.00 €,195.00 €
"RED","Cuvée Zeder (M/CS/L) 2021 Kornell Terlan ",7.00,34.00 €,238.00 €
"RED","Cuvée Hexagon (CS/M/CF/S/PV) 2021 Pitzner Kardaun ",12.00,89.00 €,"1,068.00 €"
"RED","Cuvée Mauritius (L/M) 2020 Kellerei Bozen",3.00,59.00 €,177.00 €
"RED","Cuvée Cassiano (M/CF/T/CS/PV/SY) 2021 Manincor Kalterer See",13.00,62.00 €,806.00 €
"RED","Blaufränkisch Leithaberg 2017 Heinrich Burgenland, Österreich",1.00,45.00 €,45.00 €
"RED","Merlot Mönchhof 2012 Pöckl Burgenland, Österreich",1.00,155.00 €,155.00 €
"RED","Cuvée (Z/M/CS) Admiral 2015 Pöckl Burgenland, Österreich",1.00,90.00 €,90.00 €
"RED","Tempranillo Reserva 2009 Vina Tondonia Rioja, Spanien",4.00,70.00 €,280.00 €
"RED","Shiraz Kalimna Bin 28 2017 Penfolds, Australien",1.00,85.00 €,85.00 €
"RED","Pinot Noir Ocean Eight 2014 Mike Aylward, Australien",1.00,99.00 €,99.00 €
"RED","Zinfandel Founders Estate 2018 Beringer, Kalifornien",1.00,40.00 €,40.00 €
"RED","Monte Bello (CS) 2018 Ridge, Kalifornien",2.00,410.00 €,820.00 €
"RED","Cuvée (S/CS/CF) The Echo of G. 2014 Südafrika ",2.00,180.00 €,360.00 €
"RED","Cabernet Savignon Estate 2018 Ridge, Kalifornien ",1.00,160.00 €,160.00 €
"RED","Spätburgunder JJ 2020 Adeneuer Ahr ",9.00,36.00 €,324.00 €
"RED","Spätburgunder Kräuterberg GG 2018 Adeneuer Ahr ",6.00,105.00 €,630.00 €
"RED","Spätburgunder Gärkammer GG 2020 Adeneuer Ahr ",3.00,115.00 €,345.00 €
"RED","Spätburgunder Tradition 2021 Künstler Rheingau",2.00,40.00 €,80.00 €
"RED","Spätburgunder Eichberg Große Lage 2017 Keller Baden",1.00,95.00 €,95.00 €
"RED","Spätburgunder Malterdinger Alte Reben 2021 Bernhard Huber Baden",3.00,98.00 €,294.00 €
"RED","Spätburgunder Jaspis Alte Reben 2013 Ziereisen Baden",1.00,98.00 €,98.00 €
"RED","Spätburgunder Bürgstadter 2019 Fürst Franken ",5.00,48.00 €,240.00 €
"RED","Spätburgunder Bürgstadter 2017 Fürst Franken",2.00,48.00 €,96.00 €
"RED","Syrah Däublin 2019 Ziereisen Baden",5.00,100.00 €,500.00 €
"RED","Teroldego Granato 2018 Foradori Trentino ",6.00,89.00 €,534.00 €
"RED","Amarone Ca' Coato 2017 Antolini Valpolicella",6.00,69.00 €,414.00 €
"RED","Barbaresco Montestefano 2014 Rivella Piemont ",3.00,120.00 €,360.00 €
"RED","Barbaresco Vigneto Starderi 2010 La Spinetta Piemont ",1.00,160.00 €,160.00 €
"RED","Barbaresco Ronchi 2020 Albino Rocco Piemont ",2.00,85.00 €,170.00 €
"RED","Barbaresco Ronchi Riserva 2016 Albino Rocca Piemont ",2.00,187.00 €,374.00 €
"RED","Barbaresco Ronchi Riserva 2019 Albino Rocca Piemont ",2.00,187.00 €,374.00 €
"RED","Barbaresco 2014 Angelo Gaja Piemont ",3.00,370.00 €,"1,110.00 €"
"RED","Grumello Valtellina Superiore 2019 I Vitari Valtellina ",4.00,96.00 €,384.00 €
"RED","Grumello Valtellina Superiore 2021 I Vitari Valtellina ",6.00,96.00 €,576.00 €
"RED","Rosso di Valtellina 2020 I Vitari Valtellina",10.00,45.00 €,450.00 €
"RED","Nebbiolo Sassella Riserva 2018 Clos Convento San Lorenzo Valtellina",12.00,65.00 €,780.00 €
"RED","Nebbiolo 2022 Albino Rocca Piemont ",8.00,39.00 €,312.00 €
"RED","Nebbiolo 2021 Albino Rocca Piemont ",3.00,39.00 €,117.00 €
"RED","Nebbiolo Gattinara 2020 Travaglini Piemont ",5.00,45.00 €,225.00 €
"RED","Nebbiolo d'Alba Anphora 2021 Réva Piemont ",10.00,38.00 €,380.00 €
"RED","Nebbiolo 2009 Ciabot Mentin Domenico Clerico Piemont ",3.00,165.00 €,495.00 €
"RED","Nebbiolo Lessona 2018 Proprietá Sperino Piemont ",5.00,112.00 €,560.00 €
"RED","Barolo Conteisa 2015 Gaja Piemont ",2.00,610.00 €,"1,220.00 €"
"RED","Barolo Ravera 2019 Revá ",2.00,135.00 €,270.00 €
"RED","Langhe Virtus (Barbera/CS) 2011 Marchesi di Gresy ",1.00,45.00 €,45.00 €
"RED","Montepulciano Riserva Illuminati 2001 Zanna Abruzzen MAGNUM",2.00,80.00 €,160.00 €
"RED","Montefalco Sagrantino Bio 2017 Di Filippo Umbrien ",4.00,50.00 €,200.00 €
