type,winery,name,size,vintage,supplier,price_eur,qty,Storage_1,Storage_2,Storage_3,purchase_price_inclvat
RED,Castello Monaci,Piluna Primitivo Salento,,2021,GIV,25 €,2,bar008,,, 7 € 
RED,Castello Monaci,Sciu,,2020,GIV,25 €,2,bar008,,, 7 € 
RED,Ceretto,Barbaresco,,2020,,,2,s3,,, 1 € 
RED,Ceretto,Barbaresco docg Bio,,2021,,72 €,5,s3,,, 36 € 
RED,Ceretto,Barolo docg Bio,,2020,,90 €,2,bar002,,, 45 € 
RED,Ceretto,Brunat,,2020,,,1,snack,,, 1 € 
RED,Ceretto,Dolcetto Rossana,,2018,,,1,bar002,,, 11 € 
RED,Ceretto,Dolcetto Rossana,,2020,,30 €,1,bar002,,, 11 € 
RED,Ceretto,Monsordo Langhe Bio doc,,2020,,45 €,3,s3,,, 16 € 
RED,Ceretto,Monsordo Langhe Bio doc,,2021,Om,45 €,6,s3,,, 18 € 
RED,Ceretto,Nebbiolo d'Alba Bernardina,,2021,,45 €,1,bar002,,, 18 € 
RED,Ceretto,Nebbiolo d'Alba Bernardina,,2022,,45 €,5,s3,,, 18 € 
RED,Ceretto,Prapo',,2020,,,1,snack,,, 1 € 
RED,Cesconi,Moratel Vigneti delle Dolomiti ,,2020,,30 €,1,bar001,,, 10 € 
RED,Chateau Mont Redon,Chateaunef - Du - Pape (Cote Du Rohn),,2020,Ceretto,95 €,6,s4,,, 45 € 
RED,Colle Duga di Damian Princic,Colle Duga - Collio - Merlot ,,2022,TOLM,39 €,2,bar006,,, 14 € 
RED,Comte de Dauzac,Bordeaux Rouge,,2020,,29 €,1,bar009,,, 13 € 
RED,Coronica Moreno,Gran Terran -Terrano 100% Umago,,2013,,60 €,2,Collezione,,, 27 € 
RED,Coronica Moreno,Teran - Terrano (Umago),,2015,,55 €,7,s4,,, 24 € 
RED,Dorigo,Monsclapade Taglio Bordolese,,2020,TOLM,50 €,3,Frigo Sala sx,,, 16 € 
RED,Doro Princic,Merlot,,2021,,40 €,1,bar006,,, 18 € 
RED,Elio Perrone,Mongovone Barbera d'Asti (da Litro),LITER,2021,TOLM,50 €,1,tav10,,, 18 € 
RED,Fattoria del Teso,Montecarlo Bianco,,,,25 €,1,Frigo bianchi,magazzino,, 7 € 
RED,Fattoria del Teso,Montecarlo Riserva,,2020,,35 €,4,bar010,,, 15 € 
RED,Fiegl,Cabernet Franc,,2022,,,15,tav10,s1,bar007,
RED,Fiegl,Cabernet Sauvignon,,2024,,20 €,42,tav10,,, 7 € 
RED,Fiegl,Leopold Merlot,,2018,,35 €,6,s1,bar007,,
RED,Fiegl,Merlot ,,2023,,20 €,4,tav10,,,
RED,Fiegl,Pinot Nero,,2022,,,1,snack,,,
RED,Fiegl,Refosco (raduno DS 2024),,2023,,,5,tav10,,,
RED,Fontanafredda,Barolo docg Serralunga d'Alba,,2014,,72 €,1,Collezione,,, 30 € 
RED,Fontanafredda,Barolo docg Serralunga d'Alba,,2019,,69 €,16,s3,ingresso,bar002, 23 € 
RED,Formentini,Merlot,,2021,GIV,25 €,8,bar007,sarpi,, 8 € 
RED,Formentini,Merlot,,2022,,25 €,6,s2,bar007,,
RED,Francesco Clerico,Bussia - Barolo,,2020,,60 €,34,s3,bar001,, 26 € 
RED,Francesco Clerico,Nebbiolo Langhe,,2022,,30 €,3,bar001,,, 13 € 
RED,Francois Lurton,Mas Janeil - Le Petit Pas,,2022,,30 €,13,s4,bar008,, 11 € 
RED,Frescobaldi ,Lucente igt,,2020,Friends,50 €,20,s4,Frigo Sala sx,bar010, 15 € 
RED,G. D. Vajra,Albe (Barolo),,2020,,,1,Frigo Sala sx,,, 1 € 
RED,Gregoletto,Cabernet Colli Trevigiani docg ,,2022,,25 €,17,bar004,cheba giù,, 8 € 
RED,Gregoletto,Merlot Colli Trevigiani docg,,2022,,25 €,9,bar004,cheba giù,, 7 € 
RED,Gregoletto,Vino Rosso Colli Trev.Mer.+C.S.+C.F.,,2018,,40 €,8,bar004,cheba giù,, 16 € 
RED,Guido Porro,Barolo,,2019,Friends,80 €,1,Collezione,,, 1 € 
RED,I Clivi,Merlot Galea Terreno Argilloso Vigne 80 Anni,,2018,,40 €,3,Frigo bianchi,,, 14 € 
RED,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",,2020,,50 €,8,s3,bar002,, 16 € 
RED,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",,2021,,50 €,24,s3,bar002,cheba giù, 17 € 
RED,Il Mongetto,Barbera del Monferrato doc Superiore ,,2017,,,2,Collezione,,,
RED,Il Mongetto,Barbera del Monferrato doc Superiore ,,2019,,30 €,1,bar002,,, 10 € 
RED,Il Mongetto,Barbera del Monferrato doc Superiore ,,2020,,34 €,10,s3,bar002,, 10 € 
RED,Il Mongetto,Barbera del Monferrato doc Superiore ,,2021,,34 €,24,s3,bar002,cheba giù, 12 € 
RED,Il Mongetto,Grignolino del Moferrato doc,,2020,,25 €,11,s3,bar002,, 9 € 
RED,Il Mongetto,Kurteis - Cortese Bianco,,2018,,25 €,1,Frigo bianchi,,, 6 € 
RED,Jaffelin Borgogn,Pinot Noir App. Bourgogne Controle,,2022,,49 €,11,s4,bar008,, 19 € 
RED,Jaffelin Borgogn,Pinot Noir Vin De France Cote D'or,,2023,,25 €,23,s4,bar008,, 8 € 
RED,Joseph Faiveley,Cote De Nuits (Pinot Nero),,2021,Friends,75 €,4,s4,bar008,, 28 € 
RED,La Castellada,Merlot,,2014,,80 €,10,s2,Frigo Sala sx,, 31 € 
RED,La Castellada,Rosso della Castellada  - 80% Merlot +Cab.Sau,,2013,,80 €,3,Frigo Sala sx,,, 30 € 
RED,La Colombera,"Arche' Croatina- Spezie, Bals. Erbe Ar. Barriq",,2017,,35 €,2,Frigo bianchi,,, 13 € 
RED,La Luna Storta,Merlot  ,,2020,,30 €,7,s2,bar007,, 12 € 
RED,La Mannella di Cortonesi,Brunello Di Montalc.,,2017,,75 €,4,bar010,,, 32 € 
RED,La Mannella di Cortonesi,Leonus Toscana Rosso,,2021,,30 €,3, bar010,,, 8 € 
RED,La Selvanella,Chianti Classico Radda In Chianti,,2020,,40 €,5,tav10,,, 17 € 
RED,Le Due Terre,Pinot Nero   ,,2018,TOLM,60 €,1,Frigo bianchi,,, 22 € 
RED,Le Konde,Merlot,,2022,,27 €,5,s2,,, 8 € 
RED,Le Monde,Cabernet Sauvignon,,2022,,27 €,5,s2,,, 8 € 
RED,Le Monde,Merlot,,2022,,27 €,5,s2,,,
RED,Le Vigne di Zamò,Refosco,,2019,,40 €,1,Frigo bianchi,,, 10 € 
RED,Le Vigne di Zamò,Ronco dei Roseti Rosso,,2001,,30 €,1,Frigo bianchi,,, 10 € 
RED,Livio Felluga,Merlot,,2020,,40 €,12,s2,Frigo Sala sx,bar007, 18 € 
RED,Livio Felluga,Refosco dal Peduncolo Rosso,,2020,,40 €,6,s2,Frigo Sala sx,bar007, 18 € 
RED,Livio Felluga,Sossò,,2016,,80 €,6,s2 - legno,,, 35 € 
RED,Livio Felluga,Vertigo  - Merlot e Cab.Sauvignon,,2022,,25 €,33,s2,bar007,, 11 € 
RED,Manincor,Mason - Pinot Nero,,2021,,60 €,5,tav11,,, 27 € 
RED,Marco Felluga,Merlot Varneri,,2022,,27 €,30,s1,bar008,, 9 € 
RED,Marinacci,Barbaresco Riserva Paja,,2009,,90 €,2,bar003,,, 31 € 
RED,Marinacci,Dolcetto d'Alba doc,,2018,,30 €,2,bar003,,, 9 € 
RED,Masut Da Rive,Pinot Nero,,2021,,40 €,1,Frigo Sala sx,,, 14 € 
RED,Mazzei,Zisola  (Nero D'avola doc Noto Sicilia),,2018,,26 €,1,bar009,,, 8 € 
RED,Moschioni,"Real (Tazzelenghe, Mer, C.Sau. Mariotti)",,2013,,50 €,2,Frigo Sala sx,,, 23 € 
RED,Moschioni,"Real (Tazzelenghe, Mer, C.Sau. Mariotti)",,2015,,50 €,,Frigo Sala sx,,, 23 € 
RED,Moschioni ,Rosso Celtico (Merlot e Cab Sauvignon Mariotti),,2015,,50 €,7,Frigo Sala sx,bar006,, 23 € 
RED,Nino Negri,Ca' Guicciardi - Inferno docg,,2019,,60 €,2,s4,,, 23 € 
RED,Nino Negri,Castel Chiuro (Conf.Blu) Valt. Super.,,2009,,100 €,1,tav10-top,,, 34 € 
RED,Nino Negri,Fracia Valgella,,2017,,55 €,1,bar004,,, 23 € 
RED,Nino Negri,Fracia Valgella,,2018,,60 €,3,s4,tav10,, 24 € 
RED,Nino Negri,Giuen Nebbiolo,,2021,,30 €,4,bar004,,, 9 € 
RED,Nino Negri,Sassorosso-Grumello ,,2019,,60 €,5,s4,tav10,, 23 € 
RED,Nino Negri,Sfursat 5 Stelle ,,2020,,99 €,2,tav10-top,,, 57 € 
RED,Nino Negri,Sfursat Valtellina Carlo Negri docg,,2017,GIV,90 €,1,bar004,,, 30 € 
RED,Nino Negri,Sfursat Valtellina Carlo Negri docg,,2019,GIV,70 €,4,bar004,tav10-top,, 25 € 
RED,Nino Negri,Sfursat Valtellina Carlo Negri docg,,2021,GIV,80 €,6,bar004,tav10-top,, 30 € 
RED,Ornella Molon,Malanotte,,2012,,,1,tav10-top,,, 1 € 
RED,Ornellaia Bolgheri,Bolgheri Ornellaia,,2021,,,1,tav10-top,,, 125 € 
RED,Pellegrino,Biosfera Catarratto Igp,,2021,,25 €,4,Frigo Sala sx,,, 5 € 
