type,winery,name,size,vintage,supplier,price_eur,qty,Storage_1,Storage_2,Storage_3,purchase_price_inclvat
WHITE,I Clivi ,Verduzzo,,2017,,30 €,2,Frigo bianchi,,, 11 € 
WHITE,IT-VR,Heartbreaker - Riesling Renano Trevenezie,,2019,Area 6 srl,36 €,1,Frigo bianchi,,, 16 € 
WHITE,Jaffelin Borgogn,Chablis - Cote D'or - Beaune,,2023,,60 €,6,Frigo Sala sx,,, 21 € 
WHITE,Jaffelin Borgogn,Chardonnay Vin De France,,2023,,25 €,11,Frigo Sala sx,Frigo bianchi,, 8 € 
WHITE,Jaffelin Borgogn,Chardonnay Vin De France,,2024,,25 €,8,Frigo Sala sx,,, 8 € 
WHITE,Kante,Chardonnay,,2021,,35 €,2,Frigo bianchi,,, 14 € 
WHITE,Kante,Sauvignon ,,2021,,35 €,1,Frigo bianchi,,, 14 € 
WHITE,La Bella Notte,Conte Lucio Pinot Grigio,,2018,,34 €,6,Frigo Sala sx,,, 15 € 
WHITE,La Bella Notte,Luna De Ronchi Sauvignon,,2018,,27 €,3,Frigo bianchi,,, 12 € 
WHITE,La Castellada ,Friulano,,2017,,55 €,2,Frigo Sala sx,Frigo friulani,, 22 € 
WHITE,La Luna Storta,Ante Lucem Bianco,,2022,,30 €,5,Frigo Sala sx,,, 11 € 
WHITE,La Luna Storta,Friulano,,2022,,25 €,8,Frigo Sala sx,Frigo friulani,, 9 € 
WHITE,Le Monde,Friulano,,2024,,25 €,12,s1,Frigo friulani,, 8 € 
WHITE,Le Monde,Pinot Bianco,,2024,,25 €,10,s1,Frigo bianchi,, 6 € 
WHITE,Le Vigne Di Zamò,No Name Friulano,,2022,TOLM,34 €,1,Collezione,,, 12 € 
WHITE,Le Vigne Di Zamò,Ribolla Gialla,,2021,TOLM,34 €,1,Frigo bianchi,,, 12 € 
WHITE,Livio Felluga,Abbazia di Rosazzo,,2021,regalo Paolo,,1,Frigo Sala sx,,, 30 € 
WHITE,Livio Felluga,Friulano,,2023,,30 €,9,s1,Frigo friulani,, 12 € 
WHITE,Livio Felluga,Sharis - Chardonnay + Ribolla,,2023,,25 €,16,s1,Frigo bianchi,, 8 € 
WHITE,Louis Moreau,Chablis - Chardonnay/Bourgogne,,2023,,60 €,6,Frigo Sala dx,,, 23 € 
WHITE,Manincor,Sophie,,2022,,48 €,1,tav11,,, 1 € 
WHITE,Manincor,Tannenberg - Sauvignon Blanc,,2022,,48 €,2,tav11,,, 22 € 
WHITE,Marco Felluga,Amani Friulano,,2023,,27 €,35,s1,Frigo friulani,Frigo bianchi, 9 € 
WHITE,Marjan Simcic,Pinot Grigio,,2020,,33 €,2,Frigo Sala dx,,, 12 € 
WHITE,Marjan Simcic,Ribolla Brda,,2020,,30 €,1,Frigo Sala dx,,, 11 € 
WHITE,Meroi Bianco,Meroi Bianco,,2022,TOLM,28 €,2,Frigo bianchi,,, 10 € 
WHITE,Moschioni,Bianco Colli Orientali ,,2021,,45 €,2,Frigo friulani,,, 17 € 
WHITE,Niegl,Urgenstein - Riesling,,2023,,60 €,6,Frigo Sala dx,,, 24 € 
WHITE,Nino Negri,Alpi Retiche Igp-Nebbiolo In Bianco,,2023,,25 €,5,tav10-top,Frigo bianchi,, 9 € 
WHITE,Pojer e Sandri,Monogramma Mueller Thurgau,,2020,,36 €,1,Frigo bianchi,,, 16 € 
WHITE,Pojer e Sandri,Monogramma Riesling,,2021,,38 €,1,Frigo bianchi,,, 17 € 
WHITE,Pulec,Rebula Brda,,2022,,,1,Frigo bianchi,,,
WHITE,Raccaro,Friulano - Vigna del Rolat,,2023,TOLM,42 €,5,Frigo friulani,tav10-top,, 15 € 
WHITE,Ronco Severo,Ribolla Gialla,,2020,TOLM,50 €,4,Frigo Sala sx,,, 17 € 
WHITE,Ronk,Chardonnay Selectus,,2019,,,1,tav10-top,,, 1 € 
WHITE,Sancin,Malvasia,,2022,,25 €,2,Frigo bianchi,,, 10 € 
WHITE,Santa Barbara,Satisfaction - Verdicchio Cast. Jesi Marche,,2018,Area 6 srl,25 €,1,Frigo bianchi,,, 11 € 
WHITE,Santa Cristina (Antinori),Vermentino igt,,2023,,,1,Frigo bianchi,tav10-top,, 6 € 
WHITE,Schioppetto,Friulano,,2022,TOLM,34 €,1,Frigo friulani,,, 12 € 
WHITE,Schreckbichl,Chardonnay Colterenzio (Oscar),,2023,,,1,Frigo bianchi,,, 1 € 
WHITE,Serge Dagueneau,Pouilly Fumé - Sauvignon Blanc/Loire,,2023,,50 €,4,Frigo Sala dx,,, 24 € 
WHITE,Simon di Brazzan,Friulano ,,2023,,30 €,2,Frigo friulani,,, 9 € 
WHITE,Sturm,Chardonnay Andritz igt,,2016,,30 €,1,Frigo bianchi,,, 11 € 
WHITE,Tami,Friulano,,2023,,25 €,2,Frigo friulani,,, 7 € 
WHITE,Tenuta di Tavignano,Verdicchio Castelli di Jesi,,2023,,30 €,15,s4,tav10-top,Frigo bianchi, 9 € 
WHITE,Terlan,Chardonnay,,2022,,,12,Frigo bianchi,tav11,,
WHITE,Terlan,Chardonnay,,2023,,30 €,12,tav11,Frigo bianchi,, 11 € 
WHITE,Terlan,Pinot Bianco,,2023,,30 €,2,Frigo bianchi,,, 11 € 
WHITE,Terlan,Terlaner Classico doc ,,2022,,35 €,8,tav11,Frigo bianchi,, 13 € 
WHITE,Terlan,Vorberg Riserva Pinot Bianco,,2022,,60 €,6,tav11,,, 26 € 
WHITE,Terlan,Winkl  Sauvignon Blanc,,2015,,45 €,1,Frigo bianchi,,, 12 € 
WHITE,Terlan,Winkl  Sauvignon Blanc,,2022,,36 €,9,tav11,,, 12 € 
WHITE,Terre Del Faet,Friulano,,2022,,30 €,4,Frigo friulani,,, 10 € 
WHITE,Tonut,Bianco Blend - Suo Tempo,,2018,,25 €,1,tav11,,, 10 € 
WHITE,Toros Friulano,Toros Friulano,,2022,TOLM,42 €,2,Frigo friulani,,, 15 € 
WHITE,Tramin,Glarea Chardonnay,,2021,,35 €,3,Frigo bianchi,,, 13 € 
WHITE,Tramin,Nussbaumer Gewuerztraminer,,2021,,50 €,5,tav11,,, 23 € 
WHITE,Tramin,Pepi Sauvignon,,2021,,35 €,6,Frigo Sala sx,,, 13 € 
WHITE,Tramin,Unterebener Pinot Grigio,,2021,,50 €,6,tav11,,, 21 € 
WHITE,Zorzettig,Friulano Myo,,2022,,30 €,30,s1,Frigo friulani,, 11 € 
,Tuzko (Antinori),Pannon Riesling Tuzko,,2022,,30 €,4,Frigo Sala dx,,, 5 € 
,Adami,Bosco di Gica Brut Valdobbiadene docg Prosecco Superiore,,,,21 €,89,Frigo bianchi,braceria,, 8 € 
,Adami,Col Credas (Extra Brut),,2023,,25 €,66,Frigo bianchi,braceria,, 9 € 
,Adami,Col Fondo Brut Nature Valdobbiadene docg Prosecco Superiore Sui Lieviti,,2022,,21 €,9,ingresso,Frigo bianchi,, 8 € 
,Ca Bianca,Alta Langa Met.Classico,,2020,,35 €,3,Frigo Sala dx,totem,, 15 € 
,Campe Dhei,Canaja,,,,,2,,,, 14 € 
,Campe Dhei,Sgajo Rosé ,,2018,,,3,tav10-top,MAG,, 10 € 
,Ermes Botanica,Rubeôlus - Ribolla Gialla Brut,,,Ermes Botanica,,36,F bianchi,totem,MAG, 8 € 
,Gregoletto ,Boschera,,,,21 €,1,Frigo Sala sx,,, 8 € 
,Gregoletto ,Prosecco Sui Lieviti Erti doc Tv,,,,21 €,8,Frigo Sala sx,totem,, 8 € 
,Pojer e Sandri,Zero Infinito - Solaris-Bio,,2022,,33 €,12,totem,cheba giù,, 12 € 
,Pojer e Sandri,Zero Infinito - Solaris-Bio,,2023,,33 €,11,totem,totem,cheba giù, 12 € 
,Tenuta Rapitalà,Bouquet Frizzante,,,,25 €,1,Frigo bianchi,,, 6 € 
,Tenute Cadorin Le Favole,Ribolla Gialla (Caneva di Sacile),,,,,1,tav10-top,,, 1 € 
SPIRITS,Bodegas Toro Albala (Ceretto),Don PX Cosecha,,2020,,,2,MAG,,, 27 € 
SPIRITS,Bodegas Toro Albala (Ceretto),Don PX Cosecha ,,2021,,,3,MAG,,, 28 € 
SPIRITS,Bodegas Toro Albala (Ceretto),Don PX G.R. Magnum,,1986,,,1,tav10-top,,, 1 € 
SPIRITS,Bodegas Toro Albala (Ceretto),Don PX Gran Reserva (Do-Montilla-Moriles),,1986,,,1,MAG,,, 1 € 
SPIRITS,Bodegas Toro Albala (Ceretto),Don PX Pedro Ximenez,,1999,,84 €,1,MAG,,, 37 € 
SPIRITS,Ermes Botanica,Il Vermut Cannabis,,,Ermes Botanica,,1,MAG,,, 19 € 
SPIRITS,Ermes Botanica,Il Vermut Ribolla Gialla,,,Ermes Botanica,,2,MAG,,, 19 € 
SPIRITS,H. Fuente (Ceretto),H. Fuente Rum Nicaragua 15 Anni,,,,,2,MAG,,, 52 € 
SPIRITS,Hennessy,Fine de Cognac,,,,,1,MAG,,, 1 € 
SPIRITS,J.Trefois (Ceretto),Rhum Agricole Guadalupe,,,,,1,MAG,,, 59 € 
SPIRITS,Le Lieu Chéri (Ceretto),Calvados Pays d'Auge 5 ans,,,,,1,MAG,,, 34 € 
SPIRITS,Zacapa,Etiqueta Negra - Solera 23),,,,,1,MAG,,, 1 € 
SPIRITS,Zacapa,Riserva Limitada,,2019,,,1,MAG,,, 1 € 
SPIRITS,Zacapa,XO Solera Gran Riserva ,,,,,1,MAG,,, 1 € 
,Antinori ,Rose' Franciacorta (Tenuta Montenisa),,,,48 €,2,totem,,, 21 € 
,Arnaldo Caprai,Brut P.Nero E Chard. 20 Mesi Sui Lieviti,,,,39 €,5,totem,,, 13 € 
,Bellei,Cuvée Brut Rosè Pinot Nero e Chardonnay,,,,38 €,1,totem,,, 16 € 
,Bozzon Emilio,Nina Rosè Brut Millesimato Glera Raboso,,,,21 €,6,totem,tav10-top,, 7 € 
,Carolina Gatti,"Sgajo Rose, Bolle Bandite",,,,28 €,5,totem,tav10-top,MAG, 10 € 
,Castel Faglia,Monogram (Franciacorta),,,GIV,35 €,35,totem,ingresso,, 15 € 
,Castello di Cigognola,Moratti Oltrepò Pavese,,,,45 €,20,Frigo Sala dx,totem,ingresso, 16 € 
,Cesconi,Blauwal,,,,40 €,,totem,,, 17 € 
,Cesconi,Der Blauwal Riserva Extra Brut,,2016,,70 €,3,Frigo Sala dx,totem,, 29 € 
,Fontanafredda,Alta Langa Anniversario 166,,,,45 €,1,totem,,, 20 € 
,Il Mongetto,Cisgnanum,,,,,1,totem,s3,,
,Kante,Dosaggio Zero Chardonnay E Malvasia,,,,35 €,1,totem,,, 14 € 
,Monte Rossa,Cabochon Doppiozero ,,2018,,,1,tav10,,,
,Monte Rossa,Cabochon Fuoriserie n° 021,,,,,1,tav10,,,
,Monte Rossa,Cabochon Fuoriserie n° 023,,,,,2,tav10,totem,totem,
,Monte Rossa,Cabochon Fuoriserie n° 025,,,,95 €,4,totem,totem,, 42 € 
,Monte Rossa,Cabochon Fuoriserie n° 06 Rosé,,,,,2,tav10,,,
,Monte Rossa,Coupe' Brut Nature - Chardonnay,,,,36 €,84,totem,Frigo carni,, 19 € 
,Monte Rossa,Flamingo Rosé,,,,39 €,9,totem,Frigo carni,, 21 € 
,Monte Rossa,Millesimato,,2014,,,1,tav10,,,
,Monte Rossa,Sanseveè,,,,,1,totem,totem,,
,Adami,Vigneto Giardino Asciutto Prosecco di Valdobbiadene docg Rive di Colbertaldo,MAGNUM,2023,,,1,snack,,, 24 € 
,Adami ,Prosecco Magnum,MAGNUM,,,50 €,1,totem,,, 24 € 
,Adami ,Proseco 3 Litri,JEROBOAM,,,130 €,1,braceria,,, 95 € 
,Allegrini,La Grola igt Rosso Veronese,MAGNUM,2018,,80 €,3,tav10-top,,, 37 € 
,Allegrini,Palazzo della Torre - Veronese igt,MAGNUM,2018,,70 €,2,tav10-top,,, 21 € 
,Angelo Negro,Basarin - Barbaresco,MAGNUM,2020,friends???,140 €,1,tav10-top,,, 1 € 
,Antinori,Tignanello,MAGNUM,2021,,290 €,1,cheba-top,,, 165 € 
,Arnaldo Caprai,Montefalco Rosso Riserva In Cassa,MAGNUM,2019,,80 €,1,cheba-top,,, 35 € 
,Arnaldo Caprai,Montefalco Val di Maggio docg,MAGNUM,2016,,100 €,6,cheba-top,,, 48 € 
,Arnaldo Caprai,Vigna Flaminia Maremmana (Montefalco Rosso doc),MAGNUM,2019,,60 €,,,,, 24 € 
,Borgo San Daniele,Jiasik,MAGNUM,2021,,50 €,1,tav10-top,,, 23 € 
,Borgo San Daniele,Jiasik (3 Litri),JEROBOAM,2022,,,1,tav10-top,,, 95 € 
,Bressani,Merlot Riserva,MAGNUM,2019,,80 €,2,s1,,, 35 € 
,Bressani,Refosco Riserva,MAGNUM,2019,,80 €,3,s1,,, 35 € 
,Castello Monaci,Artas Primitivo del Salento,MAGNUM,2017,,85 €,1,tav10-top,,, 44 € 
,Castelnau,Champagne Brut Serserve,MAGNUM,,,150 €,3,totem,,, 67 € 
,Ceretto ,Barolo doc Magn,MAGNUM,2016,,140 €,9,s3,,, 68 € 
,Ceretto ,Barolo doc,MAGNUM,2019,Om,180 €,1,snack,,, 90 € 
,Cesconi,Blauwal Trento doc Cuvee Extra Brut,MAGNUM,,,85 €,2,tav10-top,totem,, 37 € 
,Comelli,Pinot Bianco?,MAGNUM,,,,1,tav10-top,,, 1 € 
,Fiegl,Cuvee Rouge,MAGNUM,2015,,,1,s2,,,
,Fiegl,Cuvee Rouge,MAGNUM,2017,,,3,s2,,,
,Fiegl,Leopold Merlot,MAGNUM,2013,,,1,s2,,,
,Fiegl,Leopold Merlot,MAGNUM,2015,,70 €,2,Collezione,,,
,Fiegl,Leopold Merlot,MAGNUM,2016,,,1,s2,,,
,Fiegl,Leopold Merlot,MAGNUM,2017,,56 €,3,s2,,, 24 € 
,Gino Fuso Carmignani,Merlo della Topanera C.L.,MAGNUM,1998,,,1,tra frigo e tav11,,, 60 € 
,Gino Fuso Carmignani,Merlo Della Topanera C.L.,MAGNUM,2000,,,1,tra frigo e tav11,,, 60 € 
,Gino Fuso Carmignani,Merlo Della Topanera C.L.,MAGNUM,2016,,,1,tra frigo e tav11,,, 60 € 
,Gino Fuso Carmignani,Merlo Della Topanera C.L.,MAGNUM,2017,,130 €,4,tra frigo e tav11,,, 60 € 
,Gino Fuso Carmignani,Merlo Della Topanera C.L.,MAGNUM,2017,,,1,tra frigo e tav11,,, 60 € 
,Gino Fuso Carmignani,Merlo Della Topanera C.L. PORTOFINO,MAGNUM,,,,1,tra frigo e tav11,,, 60 € 
,Gosset ,Gosset Extra Brut,MAGNUM,,TOLM,200 €,2,totem,,, 90 € 
,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",MAGNUM,2004,,130 €,1,s3,,, 49 € 
,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",MAGNUM,2006,,110 €,1,s3,,, 46 € 
,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",MAGNUM,2013,,110 €,3,s3,,, 39 € 
,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",MAGNUM,2018,,100 €,2,cheba giù,,,
,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",MAGNUM,2019,,100 €,4,s3,cheba giù,, 36 € 
,Il Mongetto,"""Guera"" Barbera d'Asti Superiore docg",MAGNUM,2020,,100 €,2,s3,cheba giù,,
,Il Mongetto,Barbera del Monferrato Superiore,MAGNUM,2020,,60 €,12,s3,,, 21 € 
,La Castellada,Pinot Grigio,MAGNUM,2018,zio,100 €,1,tav10-top,,,
,La Luna Storta,Pepe Nero Schioppettino E Pinot Nero,MAGNUM,2022,,70 €,1,tav10-top,,, 28 € 
,La Selvanella,Chianti Classico Radda In Chianti,MAGNUM,2020,,90 €,1,cheba-top,,, 42 € 
,Livio Felluga,Sossò,MAGNUM,2001,,200 €,1,tav10-top,,, 70 € 
,Livio Felluga,Sossò,MAGNUM,2016,,160 €,2,tav10-top,,, 73 € 
,Nino Negri,Ca' Guicciardi - Inferno docg,MAGNUM,2019,,100 €,1,tav10-top,,, 50 € 
,Nino Negri,Fracia Valgella,MAGNUM,2016,,100 €,1,tav10-top,,, 50 € 
,Nino Negri,Fracia Valgella,MAGNUM,2018,,110 €,1,tav10-top,,, 54 € 
,Nino Negri,Sassorosso-Grumello ,MAGNUM,2019,,100 €,1,tav10-top,,, 50 € 
,Peteglia,Montecucco Sangiovese 18 Mesi Barr,MAGNUM,2020,,78 €,4,tav10-top,snack,, 32 € 
,Rotari,Brut Trento doc,MAGNUM,,,,1,tav10-top,,,
,Santi,Amarone (dedica Il Bottegon),MAGNUM,2018,,,1,cheba-top,,,
,Tenuta Rapitalà,Hugonis Rosso igt C.L.,MAGNUM,2013,,90 €,1,tav10-top,,, 42 € 
,Terre Del Faet,Bianco Uve Autoctone,MAGNUM,2021,,75 €,1,Frigo friulani,,, 31 € 
,Tramin,"Maglen Blauburg.Riserva 1,5 Lt",MAGNUM,2020,,90 €,2,tav10-top,,, 26 € 
,Beaumont,Fleur  De Meunier - P.Meunier,,,GIV,100 €,1,totem,,, 44 € 
,Billecart Salmon,Billecart Salmon Brut Reserve,,,TOLM,95 €,4,Frigo Sala dx,totem,tav10, 35 € 
,Bollinger,Bollinger 30/10/24 Special Cuvée,,,TOLM,120 €,10,Frigo Sala dx,totem,, 43 € 
,Castelnau,Brut Reserve,,,,80 €,8,Frigo Sala dx,Totem,, 29 € 
,Charles Heidsieck,Charles Heidsieck,,,TOLM,90 €,3,Frigo Sala dx,totem,, 38 € 
,Delamotte,Champagne,,,,60 €,51,Frigo Sala dx,totem,ingresso, 38 € 
,Delamotte,Salon Champagne Cuvee's,,2013,,,1,Frigo Sala dx,,, 854 € 
,Dom Perignon ,Dom Perignon Vintage ,,2015,Friends,300 €,17,Frigo Sala dx,totem,tav10, 150 € 
,Gosset ,Gosset Extra Brut P.N+ P.M.+ Ch,,,TOLM,90 €,1,totem,,, 30 € 
,Jacques Rousseaux,Cuvee Montgolfier,,,,,1,totem,,,
,Joseph Perrier,Champagne,,,,,1,totem,,, 1 € 
,Krug,Krug 171 Eme Edizione ,,,Friends,300 €,14,Frigo Sala dx,tav10,, 165 € 
,Laurent Perrier,Laurent Perrier,,,TOLM,110 €,1,totem,,, 36 € 
,Legras & Haas,Exigence N°10 Gran Cru P.N E Ch.,,,,160 €,4,Frigo Sala dx,totem,, 80 € 
,Legras & Haas,L'evidence Blanc De Blanc ,,,,120 €,6,Frigo Sala dx,totem,, 51 € 
,Louis Roederer,Cristal ,,2015,Friends,320 €,11,Frigo Sala dx,totem,tav10, 200 € 
,Perrier Jouet,Belle Epoque ,,2015,,250 €,1,totem,,, 158 € 
,Philipponnat,Philipponnat Royal Non Dosè  (Pn+Ch+Pm),,,TOLM,100 €,1,Frigo Sala dx,,, 38 € 
,Philipponnat,Philipponnat Royal Reserve Brut  (Pn+Ch+Pm),,,TOLM,100 €,2,Frigo Sala dx,totem,, 35 € 
,Pol Roger,Pol Roger Brut Réserve,,,TOLM,98 €,2,totem,tav10,, 37 € 
,Pol Roger,Pol Roger Rosè Vintage Millesime,,2015,,,1,totem,,, 37 € 
,Taittinger,Taittinger Cuvee Prestige ,,,TOLM,90 €,1,totem,,, 38 € 
,Veuve Ambal,Cremant de Bourgogne Brut,,,,30 €,90,Frigo Sala dx,totem,ingresso, 12 € 
