external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_inclvat
,RED,Nebbiolo Langhe,Ca Bianca,,BOTTLE,2022,2500,573,13,s3+bar002,Fornitore: GIV,True, 7 € 
,RED,Nebbiolo Langhe,Ca Bianca,,BOTTLE,2023,2500,573,24,s4+abbattitore,Fornitore: GIV,True, 7 € 
,RED,Fioravanti - Pinot Nero dell'Oltrepò Pavese doc ,Calatroni,,BOTTLE,2014,2500,573,2,bar003,,True, 7 € 
,RED,Pinot Nero (Oltrepo Pavese),Calatroni,,BOTTLE,2012,3600,1311,2,bar003,,True, 16 € 
,RED,Riesling,Calatroni,,BOTTLE,2013,3600,1311,3,Frigo Sala sx,,True, 16 € 
,RED,Sior ,Campe Dhei,,BOTTLE,2018,0,819,12,tav10-top+MAG,,True, 10 € 
,RED,El Gat Ros,Carolina Gatti,,BOTTLE,0,0,0,5,tav10-top+MAG,,True,0
,RED,Raboso,Carolina Gatti,,BOTTLE,2019,2100,655,1,tav10-top,,True, 8 € 
,RED,I Sodi di S. Nicolò,Castellare di Castellina,,BOTTLE,2019,0,3278,1,cheba-top,,True, 40 € 
,RED,Chianti Classico docg,Castello di Ama,,BOTTLE,2021,4000,1393,14,s3+bar010,,True, 17 € 
,RED,San Lorenzo,Castello di Ama,,BOTTLE,2019,8000,3032,4,Frigo Sala sx,,True, 37 € 
,RED,Artas Primitivo del Salento,Castello Monaci,,BOTTLE,2020,5200,1639,6,s4,Fornitore: GIV,True, 20 € 
,RED,Maru Negroamaro Salento igt,Castello Monaci,,BOTTLE,2020,2500,491,1,bar008,Fornitore: GIV,True, 6 € 
,RED,Piluna Primitivo Salento,Castello Monaci,,BOTTLE,2021,2500,573,2,bar008,Fornitore: GIV,True, 7 € 
,RED,Sciu,Castello Monaci,,BOTTLE,2020,2500,573,2,bar008,Fornitore: GIV,True, 7 € 
,RED,Barbaresco,Ceretto,,BOTTLE,2020,0,81,2,s3,,True, 1 € 
,RED,Barbaresco docg Bio,Ceretto,,BOTTLE,2021,7200,2950,5,s3,,True, 36 € 
,RED,Barolo docg Bio,Ceretto,,BOTTLE,2020,9000,3688,2,bar002,,True, 45 € 
,RED,Brunat,Ceretto,,BOTTLE,2020,0,81,1,snack,,True, 1 € 
,RED,Dolcetto Rossana,Ceretto,,BOTTLE,2018,0,901,1,bar002,,True, 11 € 
,RED,Dolcetto Rossana,Ceretto,,BOTTLE,2020,3000,901,1,bar002,,True, 11 € 
,RED,Monsordo Langhe Bio doc,Ceretto,,BOTTLE,2020,4500,1311,3,s3,,True, 16 € 
,RED,Monsordo Langhe Bio doc,Ceretto,,BOTTLE,2021,4500,1475,6,s3,Fornitore: Om,True, 18 € 
,RED,Nebbiolo d'Alba Bernardina,Ceretto,,BOTTLE,2021,4500,1475,1,bar002,,True, 18 € 
,RED,Nebbiolo d'Alba Bernardina,Ceretto,,BOTTLE,2022,4500,1475,5,s3,,True, 18 € 
,RED,Prapo',Ceretto,,BOTTLE,2020,0,81,1,snack,,True, 1 € 
,RED,Moratel Vigneti delle Dolomiti ,Cesconi,,BOTTLE,2020,3000,819,1,bar001,,True, 10 € 
,RED,Chateaunef - Du - Pape (Cote Du Rohn),Chateau Mont Redon,,BOTTLE,2020,9500,3688,6,s4,Fornitore: Ceretto,True, 45 € 
,RED,Colle Duga - Collio - Merlot ,Colle Duga di Damian Princic,,BOTTLE,2022,3900,1147,2,bar006,Fornitore: TOLM,True, 14 € 
,RED,Bordeaux Rouge,Comte de Dauzac,,BOTTLE,2020,2900,1065,1,bar009,,True, 13 € 
,RED,Gran Terran -Terrano 100% Umago,Coronica Moreno,,BOTTLE,2013,6000,2213,2,Collezione,,True, 27 € 
,RED,Teran - Terrano (Umago),Coronica Moreno,,BOTTLE,2015,5500,1967,7,s4,,True, 24 € 
,RED,Monsclapade Taglio Bordolese,Dorigo,,BOTTLE,2020,5000,1311,3,Frigo Sala sx,Fornitore: TOLM,True, 16 € 
,RED,Merlot,Doro Princic,,BOTTLE,2021,4000,1475,1,bar006,,True, 18 € 
,RED,Mongovone Barbera d'Asti (da Litro),Elio Perrone,,LITER,2021,5000,1475,1,tav10,Fornitore: TOLM,True, 18 € 
,RED,Montecarlo Bianco,Fattoria del Teso,,BOTTLE,0,2500,573,1,Frigo bianchi+magazzino,,True, 7 € 
,RED,Montecarlo Riserva,Fattoria del Teso,,BOTTLE,2020,3500,1229,4,bar010,,True, 15 € 
,RED,Cabernet Franc,Fiegl,,BOTTLE,2022,0,0,15,tav10+s1+bar007,,True,0
,RED,Cabernet Sauvignon,Fiegl,,BOTTLE,2024,2000,573,42,tav10,,True, 7 € 
,RED,Leopold Merlot,Fiegl,,BOTTLE,2018,3500,0,6,s1+bar007,,True,0
,RED,Merlot ,Fiegl,,BOTTLE,2023,2000,0,4,tav10,,True,0
,RED,Pinot Nero,Fiegl,,BOTTLE,2022,0,0,1,snack,,True,0
,RED,Refosco (raduno DS 2024),Fiegl,,BOTTLE,2023,0,0,5,tav10,,True,0
,RED,Barolo docg Serralunga d'Alba,Fontanafredda,,BOTTLE,2014,7200,2459,1,Collezione,,True, 30 € 
,RED,Barolo docg Serralunga d'Alba,Fontanafredda,,BOTTLE,2019,6900,1885,16,s3+ingresso+bar002,,True, 23 € 
,RED,Merlot,Formentini,,BOTTLE,2021,2500,655,8,bar007+sarpi,Fornitore: GIV,True, 8 € 
,RED,Merlot,Formentini,,BOTTLE,2022,2500,0,6,s2+bar007,,True,0
,RED,Bussia - Barolo,Francesco Clerico,,BOTTLE,2020,6000,2131,34,s3+bar001,,True, 26 € 
,RED,Nebbiolo Langhe,Francesco Clerico,,BOTTLE,2022,3000,1065,3,bar001,,True, 13 € 
,RED,Mas Janeil - Le Petit Pas,Francois Lurton,,BOTTLE,2022,3000,901,13,s4+bar008,,True, 11 € 
