type,external_id,name,format,verkaufspreis,vintage,kellerei,einkaufspreis,lagerbereich,bestand
,198, Pierre Peters Blanc de Blancs Grand Cru Extra Brut,"0,75 lt.","€ 150,00",,Pierre Peters,57,6,12
,199, Deutz Classic Brut,"0,75 lt.","€ 95,00",,Deutz,47.25,6,18
,151, Cuvee William Deutz Brut 2013,"0,75 lt.","€ 325,00",2013,Deutz ,152.79,1,3
,134, Bollinger Special Cuvee Brut,"0,75 lt.","€ 115,00",,Bollinger,49.5,6,18
,135, Bollinger Special Cuvee Brut Magnum/Deutz Brut Classic Magnum,"1,50 lt.","€ 230,00",,Bollinger,99,1,6
,137, Bollinger La Grande Annee Brut 2014,"0,75 lt.","€ 240,00",2014,Bollinger,108.3,1,6
,, Bollinger B 13 Brut,"0,75 lt.","€ 210,00",,Bollinger ,89.5,1,3
,, Bollinger PN VZ 16 /AYC 18 Brut,"0,75 lt.","€ 180,00",,Bollinger ,78,1,6
,, Bollinger RD ,"0,75 lt.","€ 450,00",2007,Bollinger,186,1,3
,138, Pol Roger Brut ,"0,75 lt.","€ 105,00",,Pol Roger,38.2,5,24
,139, Teophile Rose Brut,"0,75 lt.","€ 85,00",,Teophile,32.5,5,24
,140, Gosset Grand Rose Brut,"0,75 lt.","€ 130,00",,Gosset,54.5,1,6
,157, Dom Perigon Rose Brut Vintage 2006,"0,75 lt.","€ 600,00",2006,Dom Perigon,282.89,1,6
,159, Laurent Perrier Cuvee Rose Brut,"0,75 lt.","€ 140,00",,Laurent Perrier,55.8,1,12
,156, Jacquesson745/746 Extra Brut,"0,75 lt.","€ 130,00",,Jacquesson,51.2,6,12
,164, V. C. P. La Grande Dame Rose Brut ,"0,75 lt.","€ 450,00",2006,V.C.P. ,211.1,1,6
,136, Pol Roger Cuvee Sir Winston Churchill ,"0,75 lt.","€ 450,00",2013,Pol Roger ,175,1,3
,142, Dom Perignon Cuvée Brut Vintage 2013,"0,75 lt.","€ 450,00",2013,Dom Perignon,170.51,1,6
,143, Dom Perignon Cuvée Brut P2 Vintage 2000,"0,75 lt.","€ 750,00",2000,Dom Perignon,250,1,3
,144, V. C. P. La Grande Dame Brut 2006,"0,75 lt.",€ 350.00,2006,V. C. P.,132.29,1,6
,145, Krug Grande Cuvée Brut,"0,75 lt.","€ 370,00",,Krug,180.19,1,6
,163, Krug Vintage ,"0,75 lt.","€ 600,00",2006,Krug,165,1,6
,146, Roederer Cristal Brut Millesime  ,"0,75 lt.","€ 450,00",2008,Roederer,183,5,6
,, Roederer Cristal Brut Millesime ,"1,5 lt.","€ 1150,00",2012,Roederer,540,5,1
,147, Dom Ruinart Blanc de Blancs Brut Millesime 2007,"0,75 lt.","€ 450,00",2010,Ruinart,181,1,6
,148, Pol Roger Blanc de Blancs Brut Millesime 2015,"0,75 lt.","€ 175,00",2015,Pol Roger,76,6,6
,196, Amor de Deutz Blanc de Blancs Brut Millesime 2011,"0,75 lt.","€ 350,00",2011,Deutz,190.98,1,3
,149, Nicolas Feuillatte BdN Grand Cru Brut Millesime 2014,"0,75 lt.","€ 105,00",2014,Nicolas Feuillatte,42.48,6,3
,150, Mailly Blanc de Noirs Brut,"0,75 lt.","€ 95,00",,Mailly ,45,5,12
,152, Guy Larmandier Cramant Blanc de Blancs Grand Cru ,"1,50 lt.","€ 190,00",,Guy Larmandier,72.9,5,3
,153, Brut Jeroboam,"3,00 lt.","€ 380,00",,,180,1,1
,154, Bruno Paillard Nec Plus Ultra ,"0,75 lt.","€ 500,00",2002,Bruno Paillard,140,1,3
,155, Salon Cuvee S Blanc de Blancs Le Mesnil ,"0,75 lt.","€ 1400,00",2012,Salon,540,1,3
,200, Gewürztraminer Vigna Kolbenhof ,"1,5 lt.","€ 130,00",2021,Hofstätter,33,6,3
,202, Sauvignon Lafoa ,"1,5 lt.","€ 110,00",2021,Schreckbichl-Colterenzio,38.4,1,3
,203, Sauvignon Voglar ,"1,5 lt.","€ 95,00",2018,Dipoli ,35,1,3
,205, Terlaner Weissburgunder Vorberg ,"1,5 lt.","€ 110,00",2020,KG.Terlan,40.19,1,3
,206, Vinschgauer Riesling ,"1,5 lt.","€ 95,00",2021,"Falkenstein, Pratzner",29.75,1,3
,207, Vintage Tunina ,"1,5 lt.","€ 190,00",2021,Jermann,83.2,1,1
,208, Chardonnay Formigar ,"3,0 lt.","€ 250,00",2010,Schreckbichl-Colterenzio,90,1,1
,209, Chardonnay Lafoa ,"1,5 lt.","€ 110,00",2020,Schreckbichl-Colterenzio,38.4,1,3
,211, Cabernet Löwengang ,"1,5 lt.","€ 250,00",2007,Alois Lageder,,2,3
,210, Cabernet Löwengang ,"3,0 lt.","€ 500,00",2007,Alois Lageder,,2,3
,212, Cabernet Sauvignon Ris. Mumelter ,"1,5 lt.","€ 125,00",2020,KG. Bozen,,2,3
,213, Cabernet Sauvignon Lafoa ,"1,5 lt.","€ 210,00",2005,Schreckbichl-Colterenzio,,2,3
,214, Cabernet Sauvignon Lafoa ,"3,0 lt.","€ 400,00",2005,Schreckbichl-Colterenzio,,2,3
,215, Lagrein Riserva ,"1,5 lt.","€ 115,00",2018,Abtei Muri,,2,3
,216, Lagrein Riserva Prestige ,"1,5 lt.","€ 115,00",2018,KG. Bozen,39.5,2,3
,217, Lagrein Riserva Taber ,"1,5 lt.","€ 150,00",2016,KG. Bozen,65.5,2,3
,224, Lagrein Ris. Vigna Klosteranger ,"1,5 lt.","€ 300,00",2014,Abtei Muri,81,2,1
,218, Pinot Nero Schweitzer ,"1,5 lt.","€ 150,00",2009,Franz Haas,40,2,3
,219, Pinot Nero Ris. Trattmann ,"1,5 lt.","€ 140,00",2016,KG. Girlan,51.5,2,3
,220, Pinot Nero Mazzon ,"1,5 lt.","€ 115,00",2015,Gottardi,31.5,2,3
,221,  Pinot Nero Ris. Hausmannhof ,"1,5 lt.","€ 159,00",2015,Haderburg,65,2,3
,222, Pinot Nero Ris. Vigna S.Urbano ,"1,5 lt.","€ 215,00",2007,Hofstätter,61,2,4
,243, Pinot Nero Ris.680 ,"1,5 lt.","€ 119,00",2015,Maso Thaler,30,2,3
,242, Merlot Ris. Praun ,"1,5 lt.","€ 115,00",2020,KG Bozen,48.5,2,3
,223, Kermesse ,"1,5 lt.","€ 170,00",2019,Elena Walch,58,2,2
,243, Cornelius Rosso ,"1,5 lt.","€ 120,00",2021,Schreckbichl-Colterenzio ,45,2,3
,225, Granato ,"1,5 lt.","€ 129,00",2003,Foradori,50,2,1
,226, San Leonardo ,"1,5 lt.",€ 280.00,2019,San Leonardo,128,2,6
,227, Iugum ,"3,0 lt.","€ 300,00",2011,Dipoli,120,2,2
,, Iugum ,"1,5 lt.","€ 150,00",2015,Dipoli,51.2,2,3
,228, Cepparello ,"1,5 lt.","€ 210,00",2001, Isole & Olena,94.5,2,3
,229, Brunello di Montalcino ,"1,5 lt.","€ 130,00",2019,Collosorbo,55,2,5
,230, Brunello di Montalcino Riserva ,"1,5 lt.","€ 320,00",2007,Capanna,64.5,2,2
,231, Mormoreto ,"1,5 lt.","€ 170,00",2012,Frescobaldi,40,2,2
,245, Chianti Cl. Gran Selezione Rialzi ,"1,5 lt.","€ 130,00",2015,Perano,55,2,1
,232, Barolo Prapo ,"1,5 lt.","€ 350,00",1997,Ceretto,,2,2
,233, Barolo Prapo ,"3,0 lt.","€ 700,00",1996,Ceretto,,2,2
,234, Cor Römigberg ,"1,5 lt.","€ 250,00",2015,Alois Lageder,65,2,1
,235, Cor Römigberg ,"3,0 lt.","€ 500,00",2003,Alois Lageder,150,2,3
,236, Bricco dell’Uccellone ,"3,0 lt.","€ 290,00",1997,Braida,,2,1
,237, Amarone della Valpolicella Ravazzol ,"1,5 lt.","€ 210,00",2016,Ca la Bionda,78.65,2,3
,199,  Amarone della Valpolicella ,"1,5 lt.","€ 285,00",2012,Bertani,,2,1
,238,  Amarone della Valpolicella ,"3,0 lt.","€ 500,00",2006,Bertani,,2,1
,239, Cote Rotie ,"1,5 lt.","€ 140,00",2010,Bonnefond,,2,2
,240, Château Margaux ,"1,5 lt.","€ 2500,00",1991,Ch. Margaux 1-er Grand Cru Classe,,2,1
,241, Château Latour ,"3,0 lt.","€ 3200,00",1991,Ch. Latour DMG Pauillac Grand Cru Classe,,2,1
,246, Château Latour ,"1,5 lt.","€ 1600,00",1991,Ch. Latour MG Pauillac Grand Cru Classe,,2,1
WHITE,401, Eisacktaler Sylvaner ,"0,75 lt.","€ 45,00",2022,"Kuenhof, Pliger",12.95,4,24
WHITE,402, Eisacktaler Sylvaner Praepositus ,"0,75 lt.","€ 45,00",2022,Abtei Neustift,12.7,4,12
WHITE,403, Eisacktaler Sylvaner Alte Reben ,"0,75 lt.","€ 49,00",2019,Pacherhof,17,4,12
WHITE,404, Eisacktaler Sylvaner Lahner ,"0,75 lt.","€ 49,00",2020,Taschlerhof,15.5,4,6
WHITE,399, Eisacktaler Grüner Veltliner ,"0,75 lt.","€ 39,00",2022,"Hoandlhof, Nössing",11.2,4,24
WHITE,398, Eisacktaler Veltliner ,"0,75 lt.","€ 45,00",2022,"Kuenhof,Pliger",11.9,4,24
WHITE,397, Eisacktaler Grüner Veltliner ,"0,75 lt.","€ 49,00",2019,Dorfmann,16,4,24
