type,external_id,name,format,verkaufspreis,vintage,kellerei,einkaufspreis,lagerbereich,bestand
RED,545, Riserva Siebeneich ,"0,75 lt.","€ 49,00",2022,Schreckbichl-Colterenzio,16.5,4,60
RED,546, Riserva Lona ,"0,75 lt.","€ 99,00",2019,KG. St. Pauls,37,5,2
RED,539, Riserva Gant ,"0,75 lt.","€ 85,00",2021,KG. Andrian,32.77,5,24
RED,510,Pinot Noir Grafenau,"0,75 lt.",€ 50.00,2021,Stachlburg Kripp,16.71,3,48
RED,547, Il Conte ,"0,75 lt.","€ 45,00",2022,Manincor,12.9,5,30
RED,542, Lehm& Kies ,"0,75 lt.","€ 55,00",2020,"Untermoserhof, Ramoser",19.3,4,24
RED,548, Lacus ,"0,75 lt.","€ 85,00",2020,Schullian,34,3,24
RED,549, Cor Römigberg ,"0,75 lt.","€ 89,00",2015,Alois Lageder,35,2,6
RED,550, Iugum ,"0,75 lt.","€ 75,00",2018,Dipoli,30.75,4,30
RED,551, Grande Cuvee Kermesse ,"0,75 lt.","€ 85,00",2021,Elena Walch,33.85,4,
RED,552, Loam ,"0,75 lt.",€ 80.00,2019,KG. Tramin,31,4,12
RED,553, Frauenriegel ,"0,75 lt.","€ 85,00",2019,Dipoli,32.6,5,24
RED,554, Arzio ,"0,75 lt.","€ 79,00",2020,Baron di Pauli,28.8,3,24
RED,555, Brenntal ,"0,75 lt.","€ 115,00",2018,Dipoli,41.5,3,24
RED,556, Cornelius Rosso ,"0,75 lt.","€ 65,00",2020,Schreckbichl-Colterenzio,20.5,4,24
RED,557, Anticus Riserva Baron Salvadori ,"0,75 lt.",€ 80.00,2021,KG. Nals,32,4,24
RED,558, Marzemino ,"0,75 lt.","€ 30,00",2022,Simoncelli,7.35,3,12
RED,559, Navesel ,"0,75 lt.","€ 39,00",2020,Simoncelli,10.4,3,12
RED,560, Teroldego ,"0,75 lt.","€ 45,00",2022,Foradori,11.8,5,12
RED,561, Rosso Faye Vigneto Paradisot ,"0,75 lt.","€ 65,00",2018,Pojer & Sandri,26.05,3,30
RED,562, San Leonardo ,"0,75 lt.",€ 135.00,2015,San Leonardo,58,5,30
RED,563, Granato ,"0,75 lt.","€ 85,00",2019,Foradori,30,3,6
WHITE,564, Soave Classico Superiore Calvarino ,"0,75 lt.","€ 50,00",2021,Pieropan,17.95,4,18
RED,601, Valpolicella Ca Fiui ,"0,75 lt.",€ 37.00,2021,Corte Sant Alda,10.6,3,18
RED,602, Valpolicella Classico Ripasso ,"0,75 lt.","€ 41,00",2021,Le Ragose,12.5,3,30
RED,604, Amarone della Valpolicella ,"0,75 lt.","€ 139,00 ",2012,Bertani,62,3,24
RED,605, Amarone della Valpolicella Valmezzane ,"0,75 lt.","€ 95,00 ",2013,Corte Sant Alda,40,3,12
RED,606, Amarone della Valpolicella Ravazzol ,"0,75 lt.","€ 105,00",2018,Ca la Bionda,43.5,3,30
RED,607, Valpolicella Superiore ,"0,75 lt.","€ 180,00",2016,Romano Dal Forno,66,3,3
RED,608, Amarone della Valpolicella ,"0,75 lt.","€ 450,00",2013,Romano Dal Forno,220,3,3
RED,612, Amarone della Valpolicella ,"0,75 lt.","€ 450,00",2012,Quintarelli,173.8,3,3
RED,613, Rosso del Pepi ,"0,75 lt.","€ 180,00",2010,Quintarelli,81.3,3,3
WHITE,609, Vintage Tunina ,"0,75 lt.","€ 90,00",2018,Jermann,37.3,4,12
WHITE,610, Chardonnay Gaia & Rey ,"0,75 lt.","€ 330,00",2018,Gaja,150,2,6
RED,700, Barbera d’Alba Bricco del Pilone ,"0,75 lt.","€ 39,00",2021,Benevelli,14.5,5,12
RED,701, Barbera d’Alba ,"0,75 lt.","€ 39,00",2021,Burlotto,9.4,4,6
RED,703, Langhe Nebbiolo ,"0,75 lt.","€ 39,00",2018,G.D. Vajra ,10.5,5,24
RED,705, Barbaresco ,"0,75 lt.","€ 95,00",2015,Pio Cesare,39,1,18
RED,706, Barbaresco Rabaja ,"0,75 lt.","€ 135,00",2018,Bruno Rocca,48,1,12
RED,708, Barbaresco Gaiun Martinenga ,"0,75 lt.","€ 125,00",2010,Marchesi di Gresy,42,2,12
RED,709, Barbaresco Riserva Camp Gros Martinenga ,"0,75 lt.","€ 180,00",2014,Marchesi di Gresy,79.5,2,3
RED,713, Barbaresco Martinenga ,"0,75 lt.","€ 75,00",2015,Marchesi di Gresy,25,1,6
RED,710, Barbaresco ,"0,75 lt.","€ 330,00",2017,/20 Gaja,118,1,6
RED,697, Barbaresco Asili ,"0,75 lt.","€ 75,00",2019, Ca del Bajo,28.6,3,18
RED,711, Barolo ,"0,75 lt.","€ 95,00",2019, Briccolina,36,3,24
RED,712, Barolo ,"0,75 lt.","€ 100,00",2018, Burlotto,29,3,3
RED,715, Barolo Sori Ginestra ,"0,75 lt.","€ 145,00",2010, Conterno Fantino,63,3,24
RED,716, Barolo Ciabot Mentin Ginestra ,"0,75 lt.","€ 145,00",2008, Domenico Clerico,45,3,12
RED,717, Barolo Ornato ,"0,75 lt.","€ 145,00",2015, Pio Cesare,60,1,12
RED,718, Barolo ,"0,75 lt.","€ 95,00",2020, Pio Cesare,35,1,30
RED,699, Barolo Brunate ,"0,75 lt.","€ 205,00",2016, Ceretto Bio,70,1,12
RED,698, Barolo Castiglione ,"0,75 lt.","€ 95,00 ",2019, Vietti Bio,32.5,5,24
RED,719, Barolo Cerequio ,"0,75 lt.","€ 300,00",1998, Roberto Voerzio,,1,3
RED,720, Barolo Cannubi Boschis ,"0,75 lt.","€ 350,00",1997, Sandrone,50,1,3
RED,721, Barolo Ris. Monfortino ,"0,75 lt.","€ 1800,00",1993, Giacomo Conterno,,2,6
RED,722, Monprá ,"0,75 lt.","€ 55,00",2015," Conterno Fantino (NE, BA, CS)",20,1,6
RED,724, Darmagi ,"0,75 lt.","€ 350,00",1995, Gaja (CS),,2,6
RED,801, Rosso di Montalcino ,"0,75 lt.","€ 45,00",2019, Lisini,13,5,24
RED,802, Brunello di Montalcino Riserva ,"0,75 lt.","€ 160,00",2012, Capanna,43,1,24
RED,803, Brunello di Montalcino ,"0,75 lt.","€ 75,00",2018, Lisini ,28.5,1,30
RED,804, Brunello di Montalcino Riserva ,"0,75 lt.","€ 250,00",2010, Costanti,85,1,12
RED,805, Brunello di Montalcino Ugolaia ,"0,75 lt.","€ 125,00",2013, Lisini,42,1,6
RED,806, Brunello di Montalcino Il Greppo ,"0,75 lt.","€ 350,00",2010, Biondi Santi,55,2,6
RED,807, Brunello di Montalcino Riserva Il Greppo ,"0,75 lt.","€ 750,00",2004, Biondi-Santi,95,2,6
RED,808, Brunello di Montalcino ,"0,75 lt.","€ 70,00",2018, Collosorbo,25,1,36
RED,812, Brunello di Montalcino Riserva ,"0,75 lt.","€ 105,00",2013, Piancornello,42,1,3
RED,809, Montevertine ,"0,75 lt.","€ 105,00",2019, Montevertine,32,1,18
RED,810, Chianti Classico Riserva Berardenga ,"0,75 lt.","€ 55,00",2018,/19 Felsina,18.25,1,24
RED,811, Chianti Rufina Riserva Vecchie Viti ,"0,75 lt.","€ 45,00",2021, Frescobaldi,14.8,5,24
RED,800, Chianti Classico Gran Selezione Rialzi ,"0,75 lt.","€ 69,00",2019, Perano,27.7,5,24
RED,813, Morellino di Scansano Riserva ,"0,75 lt.","€ 55,00",2019, Moris Farms ,13,1,24
RED,814, Vino Nobile di Montepulciano ,"0,75 lt.","€ 49,00",2019, Poliziano,16,1,24
RED,816, Syrah Collezione Privata ,"0,75 lt.","€ 95,00",2015,/18 Isole & Olena,32.5,1,24
RED,817, Vigna L’Apparita ,"0,75 lt.",€ 300.00,2004, Castello di Ama (M),,1,2
RED,818, Lamaione ,"0,75 lt.","€ 92,00",2016, /20 Frescobaldi (M),37.1,3,24
RED,840, Avvoltore ,"0,75 lt.","€ 89,00",2018,"  Moris Farms (SG, CS, M, SY)",22.5,1,24
RED,845, Lucente ,"0,75 lt.","€ 49,00",2020," Frescobaldi (SG,M)",18.9,5,6
RED,842, Cabreo Il Borgo ,"0,75 lt.","€ 75,00",2019," Cabreo (CS, CF, M,)",28,1,30
RED,819, Le Serre Nuove ,"0,75 lt.","€ 85,00",2020," Ornellaia (M, CS, PV, CF)",32.3,1,24
RED,820, Magari ,"0,75 lt.","€ 85,00",2015," Ca Marcanda, Gaja (M, CS)",25,1,3
RED,821, Il Pino di Biserno ,"0,75 lt.","€ 85,00",2021," Tenuta di Biserno (CF, M, CS, PV)",33.5,5,30
RED,822, Fontalloro ,"0,75 lt.",€ 105.00,2019, Felsina (SG),41.8,1,24
RED,823, Mormoreto ,"0,75 lt.","€ 92,00",2018," Frescobaldi (CS, M, CF, PV)",34.6,1,12
RED,824, Cepparello ,"0,75 lt.","€ 150,00",2016, Isole & Olena (SG),65,1,12
RED,825, Masseto ,"0,75 lt.","€ 1,200",2014, /17Tenuta Massetto (M),462,1,3
RED,827, Le Pergole Torte ,"0,75 lt.","€ 245,00",2019, Montevertine,39,1,24
RED,828, Luce della Vite ,"0,75 lt.","€ 165,00",2018," Frescobaldi (SG, M)",65,1,6
RED,829, Tignanello ,"0,75 lt.","€ 215,00",2021," Antinori (SG, CS, CF)",95,1,6
RED,830, Vigna d’Alceo ,"0,75 lt.","€ 205,00",2000, Castello dei Rampolla (CS),50,2,6
RED,831, Ornellaia ,"0,75 lt.","€ 380,00",2009," Tenuta dell’Ornellaia (CS, M, CF, PV)",116,2,6
RED,832, Sassicaia ,"0,75 lt.","€ 450,00",2000," Tenuta San Guido (CS, CF)",100,1,6
RED,838, Lodovico ,"0,75 lt.","€ 700,00",2013," Tenuta di Biserno (CF, M, CS)",180,1,3
RED,839, Biserno di Biserno ,"0,75 lt.","€ 250,00",2021," Tenuta di Biserno (CF, M, CS, PV)",99,1,6
RED,841, Lux Vitis ,"0,75 lt.","€ 250,00",2018,"/19 Frescobaldi (CS, SG)",93,1,3
RED,843, Cabernet Sauvignon Collezione Privata ,"0,75 lt.","€ 150,00",2015, Isole & Olena,45,1,12
RED,844, Opera Omnia ,"0,75 lt.",€ 125.00,2015," La Madonnina (CS, CF)",52,1,12
RED,833, Turriga ,"0,75 lt.","€ 120,00 ",2017," Argiolas  (Cannonau, Carignano, Bobal, Malvasia Nera)",50.5,1,6
RED,900, Ghirada Cara Gonare Barbagia Rosso ,"0,75 lt.","€ 95,00",2019," Teularju  (Cannonau, Carignano)",36.5,3,18
WHITE,834, Chardonnay Contea di Sclafani Tenuta Regeleali ,"0,75 lt.","€ 75,00",2021,  Tasca d’Almerita,28,4,3
RED,835, Tascante ,"0,75 lt.","€  49,00",2014, Tasca d’Almerita (Nerello M.),11,3,12
RED,836, Rosso del Conte ,"0,75 lt.",€ 70.00,2016, Tasca d’Almerita,27,3,12
RED,837, Cabernet Sauvignon Vigna S. Francesco  Tenuta Regeleali ,"0,75 lt.",€ 67.00,2019, Tasca d’Almerita,25,3,18
,901, Riesling Trocken GG Hermannshöhle ,"0,75 lt.","€ 130,00",2019," Dönnhof, Nahe",44.5,1,6
,905, Riesling Graacher Domprobst Auslese ,"0,75 lt.","€ 170,00",2006,"  Willy Schäfer, Mosel (lieblich, dolce, sweet)",45,1,3
,906, Riesling Limestone ,"0,75 lt.","€ 45,00",2020,"/21 Keller, Rheinhessen",11.95,1,3
,907, Grüner Veltliner Smaragd Achleiten ,"0,75 lt.","€ 69,00",2022," Jäger,  Wachau",25.9,5,12
,908, Sauvignon Blanc Grassnitzberg ,"0,75 lt.","€ 55,00",2018, Tement STMK Bio,22.4,1,6
,911, Sauvignon Blanc Kapellenweingarten ,"0,75 lt.",€ 75.00,2020, Sattlerhof STMK,27.5,1,6
,909, Riesling Smaragd Steinriegel ,"0,75 lt.",€ 80.00,2016," Jäger,  Wachau",29.9,5,42
,910, Riesling Smaragd Ried Loibenberg ,"0,75 lt.","€ 95,00",2020," E. Knoll,Wachau",37,1,6
,912, Riesling Smaragd Dürnsteiner Kellerberg ,"0,75 lt.","€ 150,00 ",2021, F.X. Pichler Wachau,61.5,1,3
,913, Blaufränkisch Leithaberg ,"0,75 lt.","€ 59,00",2018," Heinrich, Gols Bio",20.5,3,6
,915, Marques de Caceres Reserva ,"0,75 lt.","€ 55,00",2017," Marques de Caceres, Rioja",14.8,3,12
,920, Tinto Pesquera Reserva ,"0,75 lt.","€ 80,00",2019,"A. Fernandez, Ribera del Duero",32,3,24
,916, Manoella Tinto ,"0,75 lt.","€ 45,00",2021," Wine & Soul, Douro Cima Corgo (TN,TF,TR)",12.8,5,6
,941, Chardonnay ,"0,75 lt.","€ 400,00",2015, Gantenbein ,125,3,2
,942, Pinot Noir ,"0,75 lt.","€ 400,00",2015, Gantenbein,125,3,2
,917, Kopàr ,"0,75 lt.","€ 120,00",1999," Gere, Villàny (CF, M CS)",25,2,6
,918, Solus ,"0,75 lt.","€ 120,00",2002," Gere, Villàny (M)",25,2,6
,919, Merlot ,"0,75 lt.","€ 39,00",2017, Casa Lapostolle,9.8,3,6
,921, Malbec Saurus,"0,75 lt.","€ 55,00",2019, Schroeder,16.5,3,18
,922, Pinotage ,"0,75 lt.","€ 75,00",2020, Aaldering,26.1,3,12
,923, Shiraz Kalimna Bin 28 ,"0,75 lt.","€ 75,00",2020, Penfolds,30,3,24
,924, Sauvignon Blanc ,"0,75 lt.","€ 49,00",2019, Palliser Estate,15.5,1,6
,996, Te Koko (SB) ,"0,75 lt.","€ 95,00",2021,Cloudy Bay,37.5,1,3
,997, Te Wahi (PN) ,"0,75 lt.","€ 125,00",2019,Cloudy Bay,52.99,3,6
,925, Viognier Yarden ,"0,75 lt.","€ 39,00",2017, Golan Heights Winery,10,1,6
,920, Pinot Noir Gamla ,"0,75 lt.","€ 39,00",2019, Golan Heights Winery,39,3,3
,928, Cabernet S. Res. Knights Valley ,"0,75 lt.","€ 90,00",2018, Beringer,33.8,3,24
,998, Ramnista (Xinomavro) ,"0,75 lt.","€ 55,00",2019,Kir Yianni Naoussa ,17.5,5,6
,930, Chateau Musar Red ,"0,75 lt.","€ 85,00",2016," Chateau Musar  (CS, Cinsault, Grenache)",27.5,2,6
,999, Ao Yun ,"0,75 lt.","€ 350,00",2014," Adong Yunnan (CS,CF)",150,1,1
,931, Riesling Grand Cru Henriette ,"0,75 lt.","€ 59,00",2021, Mochel,21.5,1,30
,932, Gewürztraminer Grand Cru ,"0,75 lt.","€ 59,00",2020,"  Mochel, (lieblich, dolce, sweet)",21.5,1,12
,933, Pouilly Fume ,"0,75 lt.","€ 65,00",2022, De Ladoucette ,24.5,1,6
,998, Baron de L ,"0,75 lt.",€ 155.00,2019, De Ladoucette ,67,1,6
,934, Sancerre 1 er Cru Clos Du Roy ,"0,75 lt.","€ 85,00",2022, Pascal Jolivet,32,1,6
,935, Savennieres La Roche Aux Moines ,"0,75 lt.","€ 55,00",2010, Dom. Aux Moines,20,1,12
,936, Chablis Saint Pierre ,"0,75 lt.","€ 59,00",2022, Dom. Albert Pic ,21,1,6
,993, Chablis 1er Cru Fourchaume ,"0,75 lt.",€ 82.00,2022, Dom. Fevre ,30.48,1,18
,937, Macon Verze ,"0,75 lt.","€ 77,00",2022, Dom. Leflaive Bio,29.9,4,18
,946, Corton Charlemagne ,"0,75 lt.","€ 320,00",2017, Louis Latour,150,1,2
,939, Chassagne-Montrachet 1-er Cru Morgeot ,"0,75 lt.","€ 225,00",2017,  Dom. Vincent Girardin,97.5,1,3
,940, Montrachet Grand Cru ,"0,75 lt.","€ 1600,00",2010,/15 Dom. J. Prieur,550,1,12
,929, Bourgogne Blanc Les Setilles ,"0,75 lt.","€ 85,00",2020, O. Leflaive Bio,24.9,1,6
,, Chassagne-Montrachet,"0,75 lt.",€ 130,2020,Fernand&Laurent Pillot,54.5,1,4
,944, Morgon,"0,75 lt.",€ 45,2018,Chateau du Jacques,14,5,4
,945, Gevrey-Chambertin Vielle Vignes ,"0,75 lt.","€ 115,00",2020, Rossignol - Trapet,47.5,2,12
,943, Gevrey-Chambertin Vielle Vignes ,"0,75 lt.","€ 150,00",2018,/20 Dom. Laurent,66,2,9
,948, Corton Languettes ,"0,75 lt.","€ 150,00",1989, Dom. Voarick,,2,2
,949, Nuits-Saint-Georges Les Fleurieres ,"0,75 lt.","€ 125,00",2018, Dom J. J. Confuron,51,2,9
,950, Fixin 1-er Cru Clos du Chapitre,"0,75 lt.","€ 125,00",2017, Dom. Meo Camuzet,49,2,6
,992, Nuits-Saint-Georges 1-er Cru Les Cras ,"0,75 lt.","€ 2500,00",2015,   Dom. du Comte Liger Belair,140,2,1
,991, Vosne-Romanee ,"0,75 lt.","€ 1200,00",2019, Dom. du Comte Liger Belair,116,2,2
,993, Vosne-Romanee Vielles Vignes ,"0,75 lt.","€ 1500,00",2002, Dom. Bizot,,1,1
,952, Clos de la Roche Grand Cru ,"0,75 lt.","€ 2500,00",1990, Dom. Armand Rousseau,80,2,3
,994, Clos de la Roche Grand Cru ,"0,75 lt.","€ 450,00",2015, Dom. Jadot,184,2,2
,953, Beaune 1-er Cru Vignes de L`Enfant Jesus ,"0,75 lt.","€ 210,00",2016,  Dom. Bouchard Père et Fils,86.73,2,6
,954, Volnay 1-er Cru Le Fremiets ,"0,75 lt.",€ 265.00,2022, Dom. D Angerville,120,2,3
,955, Volnay 1-er Cru Clos des Ducks ,"0,75 lt.","€ 550,00",2010, Dom. D Angerville ,,2,3
,956, Volnay,"0,75 lt.",€ 175,2022, Dom. D Angerville,75,2,6
,995, Santenay 1-er Cru Le Beuregard ,"0,75 lt.","€ 105,00",2017,/20 V. Girardin,39.5,2,6
,965, Clos Floridene Blanc ,"0,75 lt.","€ 55,00",2017," Graves Denis Dubourdieu (SB,SEM,M) ",21.5,1,6
,966,  Le Petit Château Smith Haut Lafitte Blanc ,"0,75 lt.","€ 90,00",2019," Pessac L.(SB,SEM)",36,1,6
,982, Château Smith Haut Lafitte Blanc ,"0,75 lt.","€ 350,00",2020," Pessac L.(SB,SEM) ",154,1,4
,967, Château Batalley ,"1,50 lt.","€ 250,00 ",2007, Pauillac Grand Cru Classe Magnum,90,1,4
,968, Château Margaux ,"1,50 lt.","€ 2500,00",1991, Margaux Grand Cru Classe Magnum,,1,1
,971, Château Le Boscq ,"0,75 lt.","€ 80,00",2020, St. Estephe Cru Bourgeois Superieur,30,1,6
,973, Château Brane Cantenac ,"0,75 lt.","€ 175,00",2018, Margaux Grand Cru Classe,78.5,1,3
,973, Château Cantenac Brown ,"0,75 lt.","€ 175,00",2018, Margaux Grand Cru Classe,71.2,1,3
,974, Château Palmer 2006/,"0,75 lt.","€ 450,00",2007, Margaux,200,2,2
,975, Château de Pez ,"0,75 lt.","€ 85,00",2020,  St. Estephe Cru Bourgeois Exceptionelle,33,5,9
,977, Château Phelan Segur ,"0,75 lt.","€ 160,00",2016, St. Estephe,66,2,12
,976, Château Talbot ,"0,75 lt.","€ 185,00",2016, St. Julien,85,2,6
,983, Essence de Dourthe ,"0,75 lt.",€ 285.00,2015, ,130,2,2
,984, Château Lafon Rochet ,"0,75 lt.","€ 125,00",2016, St. Estephe Grand Cru Classe,54.3,2,9
,985, Château La Pointe ,"0,75 lt.","€ 135,00",2016, Pomerol,55,2,24
,986, Château Chasse Spleen ,"0,75 lt.","€ 105,00",2019, Moulis Cru Bour. Exceptionelle,40,2,12
,987, Château Pichon- Longueville au Baron ,"0,75 lt.","€ 360,00",2018, Pauillac,,,
,969, Château Grand Corbin Despagne ,"0,75 lt.","€ 105,00",2015,/16 St Emilion Grand Cru Classe,41.94,2,6
,979, Château Ampeleia ,"0,75 lt.","€ 50,00",2016, Castillon Cotes de BDX,16,2,6
,990, Château Haut Brion ,"0,75 lt.","€ 3000,00",1989, Pessac Leognan Grand Cru Classe,375,2,6
,978, Cote Rotie La Turque ,"0,75 lt.","€ 500,00",1992, E. Guigal,52,2,1
,978, Cote Rotie La Mouline ,"0,75 lt.","€ 500,00",1992, E. Guigal,52,2,1
,980, Cote-Rotie Les Rochaines ,"0,75 lt.","€ 69,00",2004,/05 Bonnefond,25,1,12
,980, Cote-Rotie ,"0,75 lt.","€ 69,00",2000, Bonserine,,1,3
,981, Chateauneuf du Pape Rouge ,"0,75 lt.","€ 120,00",2019, Ch. le Nerthe,49.5,2,6
,988, Chateauneuf du Pape Rouge Tradition ,"0,75 lt.","€ 75,00",2021,  Domaine de La Solitude,28.43,2,18
,982, Chateau Montus Cuvee Prestige ,"0,75 lt.","€ 49,00",1996, Alain Brumont,10,2,12
,957, Marsala Superiore Riserva Oro Dolce  Bip Benjamin ,"0,75 lt.","€ 45,00 ",2013, Pellegrino,15,3,3
,, Marsala Superiore Rubino Dolce Uncle Joseph ,"0,75 lt.","€ 45,00",2015, Pellegrino,15,3,6
,958, Almacenista Fino del Puerto Jose Luis Gonzalez Obregon Solera Sherry Emilio Lustau,"0,50 lt.","€ 45,00 ",,Emilio Lustau,13.3,3,6
,958, Alvear Medium Dry Montilla Morilles,"0,75 lt.","€ 45,00",,Alvear ,9.3,3,6
,920, Madeira Bual 5 Years Old Cossart Gordon,"0,50 lt.","€ 45,00 ",,Cossart Gordon ,18.4,3,6
,960, Late Bottled Vintage ,"0,75 lt.","€ 55,00",2018, Ramos Pinto,18.5,3,6
,961, Vintage Port ,"0,75 lt.","€ 95,00",1997, Quinta De La Rosa,25,3,6
,, 10 Years Ramos Pinto Quinta De Ervamoira                                            ,"0,75 lt.","€ 95,00",,Ramos Pinto,28,3,6
,962, Porto Colheita ,"0,75 lt.","€ 95,00",1987, Niepoort,30,3,1
,963, Porto Ruby Ramos Pinto,"0,75 lt.","€ 45,00 ",,Ramos Pinto,11.8,3,6
,964, Manoella White Port 10 Years Wine & Soul,"0,75 lt.","€ 65,00",,Wine & Soul,23.25,3,6
,964, Porto Vintage Pintas,"0,75 lt.","€ 200,00",2015,  Wine & Soul,89.1,3,3
,1000, Riesling Spätlese ,"0,375 lt.","€ 55,00",2015, Taschlerhof,20,1,6
,1001, Vinalia Goldmuskateller ,"0,375 lt.","€ 65,00",2021, KG. Bozen,29,1,6
,1003, Rosenmuskateller Moscato Rosa ,"0,5 lt.","€ 60,00",2023, Franz Haas,22,1,6
,1004, Roen ,"0,375 lt.","€ 55,00 ",2022, KG. Tramin,19.4,1,6
,1005, Gewürztraminer Terminum ,"0,375 lt.","€ 90,00",2022, KG. Tramin,33,1,6
,1012, Passithea Oro ,"0,375 lt.","€ 60,00",2019, KG. Girlan,21.5,1,6
,1006, Serenade Passito Quintessenz ,"0,375 lt.","€ 65,00",2015, Kellerei Kaltern,25,1,6
,1007, Kerner Praepositus Passito ,"0,375 lt.",€ 60.00,2020, Abtei Neustift,20.3,1,6
,1014, Cantus ,"0,375 lt.","€ 55,00",2022, Schreckbichl-Colterenzio,17.9,1,6
,1008, Merlino 17/04 Pojer & Sandri,"0,500 lt.","€ 45,00",,Pojer & Sandri,16.8,3,6
,1009, Vin Santo ,"0,375 lt.",€ 95.00,2010, Isole & Olena,37,1,3
,1011, Moscato D’Asti ,"0,750 lt.","€ 39,00",2023, Saracco,8,4,12
,1013, Passito di Pantelleria Naturale NES ,"0,500 lt.","€ 72,00 ",2021, Pellegrino,27.74,3,6
,1110, Château Guiraud ,"0,375 lt.","€ 65,00",2005, Sauternes Grand Cru Classe,25,2,3
,1111, Château Rieussec ,"0,375 lt.","€ 79,00",2005, Sauternes Grand Cru Classe,35,2,3
,1216, Château Filhot ,"0,375 lt.","€ 45,00",2013, Sauternes,16,2,6
,1112, Château Farluret ,"0,750 lt.","€ 45,00",2015, Sauternes,12.5,2,6
,1201, Tokaji Aszu 6 Puttonyos ,"0,500 lt.","€ 150,00",1995, Disznokö,55,2,3
,1203, Tokaji Aszu 6 Puttonyos 1999/,"0,500 lt.","€ 165,00",2002, Oremus,75,2,3
,1204, Tokaji Aszu 3 Puttonyos ,"0,500 lt.","€ 75,00",2013, Oremus,33,2,6
,1205, Tokaji Aszu 5 Puttonyos ,"0,500 lt.","€ 90,00",2006, Oremus,39,2,6
,1206, Tokaji Aszu 6 Puttonyos ,"0,500 lt.","€ 350,00",1996, Szepsy,139.5,2,6
,1206, Tokaji Aszu 6 Puttonyos ,"0,500 lt.","€ 350,00",2008, Szepsy,139.5,2,6
,1207, Tokaji Esszencia ,"0,375 lt.","€ 599,00",2000, Disznokö,295,2,1
,1217, Tokaji Szamorodni ,"0,500 lt.",€ 160.00,2013, /17Szepsy,70,2,3
,1208, Beerenauslese Cuvee ,"0,375 lt.","€ 49,00",2017, Kracher,16.8,1,6
,1209, Ruster Ausbruch Essenz ,"0,375 lt.",€ 90,2004, Feiler-Artinger,29,,1
,1210, Muskat Ottonel TBA ,"0,375 lt.",€ 90.00,1998, Velich,19.9,,1
,1211, Eiswein ,"0,375 lt.","€ 79,00",2020, Kracher,31,1,6
,1212, Riesling Eiswein ,"0,375 lt.","€ 111,00",2001," P.J.Kühn, Rheingau",43,,1
,905, Riesling Auslese Graacher Domprobst ,"0,750 lt.","€ 170,00 ",2006,"  Willy Schäfer, Mosel",35,1,3
,1214, Don Zolio Pedro Ximenez Very Sweet Sherry Dolce,"0,750 lt.","€ 45,00 ",,Williams&Humbert,15,3,6
,1215, Dulce Monastrel ,"0,750 lt.","€ 65,00",1996, Olivares Jumilla,10,1,3
,,Steinbock Sparkling ZERO Hofstätter,"0,75 lt.","€ 35,00",,Hofstätter,7.3,1,1
,,Steinbock Riesling ZERO Hofstätter,"0,75 lt.","€ 35,00",,Hofstätter,7.3,1,6
