name,size,vintage,price
Blauburgunder Riserva Mazon Hofstätter,,2019,17500
"Blauburgunder Barthenau ""Vigna S.Urbano"" Hofstätter",,2013,29000
Lagrein Riserva Taber Cant. Bolzano,,2018,19000
Barbaresco Asili Ca Del Baio,,2019,23000
Barolo Castiglione Vietti,,2019,22000
Barolo Brunate Ceretto,,2016,43000
Barolo Bussia Ceretto,,2015,55000
Barbaresco Masseria Vietti,,2019,48000
Pino di Biserno Tenuta di Biserno Lodovico Antinori,,2020,24000
Cabreo Rosso il Borgo Folonari,,2018,17000
Tignanello Antinori,,2020,45000
Brunello di Montalcino Pian Delle Vigne Antinori,,2018,22000
Brunello di Montalcino Biondi Santi,,2017,85000
Biserno (Cab. F.–Merlot–Cab. Sauv.–Petit Verdot) Tenuta di Biserno Lodovico Antinori,,2016,69000
Biserno (Cab. F.–Merlot–Cab. Sauv.–Petit Verdot) Tenuta di Biserno Lodovico Antinori,,2020,69000
Sassicaia (Cab. Sauv.–Cab. Franc) Tenuta San Guido,,2019,98000
Sassicaia (Cab. Sauv.–Cab. Franc) Tenuta San Guido,,2018,90000
Sassicaia (Cab. Sauv.–Cab. Franc) Tenuta San Guido,,2007,98000
Sassicaia (Cab. Sauv.–Cab. Franc) Tenuta San Guido,,2006,98000
Sassicaia (Cab. Sauv.–Cab. Franc) Tenuta San Guido,,2005,98000
Solaia Antinori,,2016,115000
Lodovico Tenuta di Biserno Lodovico Antinori,,2019,180000
Lodovico Tenuta di Biserno Lodovico Antinori,,2015,270000
Masseto (Merlot) Tenuta dell’Ornellaia,,2015,270000
Gevrey-Chambertin Alain Jeanniard,,2019,26400
Nuits-Saint-Georges 1er Cru Domaine de la Vougeraie,,2019,33000
Nuits-Saint-Georges 1er Cru Alain Michelot,,1996,59000
Les 8 Ouvrées 1er Cru Domaine Des Perdrix,,2013,62500
Rosè Et Or (6 litri) Minuty,MATHUSALEM,2018,45000
Blauburgunder Riserva Mazon (3litri) Hofstätter,JEROBOAM,2018,36000
"Blauburgunder Barthenau ""Vigna S. Urbano"" (3litri) Hofstätter",JEROBOAM,2005,46000
Lagrein Dunkel Collection (3litri) Cantina Gries,JEROBOAM,2018,18000
Valpolicella “Ripasso” Campofiorin (3litri) Masi,JEROBOAM,2015,18000
Le Volte Dell'Ornellaia Tenuta dell'Ornellaia,,2021,22000
La Vite Lucente (3 Litri) Frescobaldi,JEROBOAM,2020,30000
Brunello di Montalcino Castel Giocondo Frescobaldi,,2018,38000
Le Serre Nuove (3litri) Tenuta dell'Ornellaia,JEROBOAM,2019,45000
Mormoreto (3litri) Frescobaldi,JEROBOAM,1997,77000
Tignanello (3 Litri) Antinori,JEROBOAM,2020,88500
Luce Della Vite (3 Litri) Frescobaldi,JEROBOAM,2019,91000
Les 5 1er Cru (3litri) Domaine des Perdrix,JEROBOAM,2009,86200
Ornellaia (3 Litri) Tenuta dell'Ornellaia,JEROBOAM,2019,174000
Sassicaia (3litri) Tenuta San Guido,JEROBOAM,2004,195000
Lodovico (3litri) Tenuta di Biserno,JEROBOAM,2017,250000
Le Volte (6 litri) Tenuta Sdell'Ornellaia,MATHUSALEM,2017,45000
La Vite Lucente (6 Litri) Frescobaldi,MATHUSALEM,2020,60000
Guidalberto (6 litri) Tenuta San Guido,MATHUSALEM,2017,115000
Ornellaia (6 litri) Tenuta dell’Ornellaia,MATHUSALEM,2015,415000
Venegazzù della Casa (12litri) Loredan Gasparini,BALTHAZAR,2015,120000
Pinot Grigio Lis Neris,,2021,1600
Laurent-Perrier Brut ,,,4100
Blauburgunder Hofstätter,,2020,1800
Cabernet Sauvignon Lis Neris,,2019,1900
Barolo Castiglione Vietti,,2019,5500
Venegazzù della Casa Loredan Gasparini,,2018,3000
Venegazzù Capo di Stato Loredan Gasparini,,2016,5400
"Chianti Classico ""Pèppoli"" Antinori",,2022,5400
Brunello di Montalcino Castel Giocondo Frescobaldi,,2016,4900
Amarone della Valpolicella Costasera Masi,,2017,6600
Luce Della Vite Frescobaldi,,2015,9500
Ornellaia (Cab. Sauv.– Mer.–Cab. F.–Petit Verdot) Tenuta dell’Ornellaia,,2019,21000
Ramandolo 500 ml Ronco Vieri,HALF_LITER,2018,2600
"Recioto di Soave ""Le Colombare"" 500 ml Pieropan",HALF_LITER,2018,5200
Maximo (Botrytis Cinerea) 375 ml Umani Ronchi,HALF_BOTTLE,2014,4300
Angialis 375 ml Argiolas,HALF_BOTTLE,2016,7500
Eiswein 375 ml Edith Michlits,HALF_BOTTLE,2018,6900
Sauternes 375 ml Ier Grand Cru Chateau Guiraud,HALF_BOTTLE,2017,9000
