external_id,full_details,type,quantity,internal_notes,price
v.79454.2008.b,"Davino Meroi, Verduzzo Friulano, 2008, 750 ml",,2,10,75
v.79454.2014.b,"Davino Meroi, Verduzzo Friulano, 2014, 750 ml",,5,10,65
v.34818.2004.a,"Dönnhoff, Riesling Auslese Schlossböckelheimer Felsenberg, 2004, 375 ml",,2,10,40
v.862.2008.b,"Franz Haas, Moscato Rosa Passito, 2008, 750 ml",,2,9,50
v.79452.2014.m,"Iole Grillo, Colli Orientali del Friuli Verduzzo Friulano, 2014, 500 ml",,2,10,40
v.12429.2008.m,"Livio Felluga, Picolit Rosazzo, 2008, 500 ml",,1,18,90
v.12429.2013.m,"Livio Felluga, Picolit Rosazzo, 2013, 500 ml",,1,12,70
v.74286.2006.b,"Mark Angeli - Ferme de la Sansonnière, Coteau du Houet, 2006, 750 ml",,1,32,120
v.60066.1988.b,"Max Ferd. Richter, Riesling Auslese Brauneberger Juffer-Sonnenuhr, 1988, 750 ml",,1,45,190
v.60066.1993.b,"Max Ferd. Richter, Riesling Auslese Brauneberger Juffer-Sonnenuhr, 1993, 750 ml",,1,34,140
v.60066.1998.b,"Max Ferd. Richter, Riesling Auslese Brauneberger Juffer-Sonnenuhr, 1998, 750 ml",,1,34,140
v.60066.2001.b,"Max Ferd. Richter, Riesling Auslese Brauneberger Juffer-Sonnenuhr, 2001, 750 ml",,1,26,110
v.60066.2003.b,"Max Ferd. Richter, Riesling Auslese Brauneberger Juffer-Sonnenuhr, 2003, 750 ml",,1,17,95
v.4856.1981.b,"Moulin Touchais, Coteaux du Layon, 1981, 750 ml",,3,40,130
v.79456.2015.m,"Paolo Rodaro, Colli Orientali del Friuli Pra Zenar, 2015, 500 ml",,3,10,40
v.10605.2012.a,"Possa, Cinque Terre Sciacchetrà, 2012, 375 ml",,3,18,75
v.43572.2016.b,"Uroulat, Jurançon, 2016, 750 ml",,2,15,55
v.1091.2012.b,"Arcari e Danesi, Franciacorta Dosaggio Zero, 2012, 750 ml",SPARKLING,2,15,65
v.948.2000.b,"Bellavista, Franciacorta Rosé Brut, 2000, 750 ml",SPARKLING,3,23,90
v.6037.2007.b,"Berlucchi, Franciacorta Cellarius Brut, 2007, 750 ml",SPARKLING,2,10,50
v.11614.2007.b,"Berlucchi, Franciacorta Riserva Cuvée J.R.E. n.3 Rosé Extra brut, 2007, 750 ml",SPARKLING,4,12,60
v.30656.2008.b,"Berlucchi, Franciacorta Riserva Cuvée J.R.E. n.4 Extra brut, 2008, 750 ml",SPARKLING,4,12,60
v.56085.2009.b,"Berlucchi, Franciacorta Riserva Cuvée J.R.E. n.5 Extra brut (dég. anno/2020), 2009, 750 ml",SPARKLING,1,12,60
