"external_id","type","full_name",,"MAGNUM",,"BOTTLE","HALF_LITER","HALF_BOTTLE"
76,"WHITE","PINOT BIANCO Salamander, Riserva Weingut Niklas`20",,,,30,,
77,"WHITE","PINOT BIANCO Strahler, Weingut Stroblhof ´22",,,,30,,
78,"WHITE","PINOT BIANCO Athesis, Kellerei Kettmeir ´22",,,,37,,
79,"WHITE","PINOT BIANCO Vorberg Riserva, Kellerei Terlan, ´22",,,,48,,
80,"WHITE","PINOT BIANCO St Valentin, Kellerei St. Michael´21",,,,42,,
81,"WHITE","CHARDONNAY Feld, Steflhof Georg Andergassen ´23",,,,25,,
82,"WHITE","CHARDONNAY Marei, Castel Sallegg ´22",,,,37,,
83,"WHITE","CHARDONNAY Lafoa´, Kellerei Schreckbichl 21 ",,,,46,,
84,"WHITE","CHARDONNAY BARON SALVADORI, Riserva Kellerei Nals-Margreid ´21",,,,45,,
85,"WHITE","SAUVIGNON BLANC Stern, Kellerei Kaltern ´22",,,,30,,
86,"WHITE","SAUVIGNON BLANC Vom Kalk, Stefan Rohregger ´21",,,,39,,
87,"WHITE","SAUVIGNON BLANC preyda, Weingut Seppi BIO ´19",,,,40,,
88,"WHITE","Moscato Giallo, Castel Sallegg ´23",,,,28,,
89,"WHITE","Goldmuskateller, Weingut Dominikus ",,,,27,,
90,"WHITE","Riesling Mitterberg, Weingut Andi Sölva ´21",,,,33,,
91,"WHITE","Kerner, Weingut Thomas Unterhofer, ´23",,,,30,,
92,"WHITE","Kerner, Weingut Strasserhof, ´22",,,,31,,
93,"WHITE","Kerner Praepositus, Stiftskellerei Neustift ´22",,,,37,,
94,"WHITE","GEWÜRZTRAMINER STEPHANIE, Weingut Nicolussi Leck ´21",,,,33,,
95,"WHITE","GEWÜRZTRAMINER Selida, Kellerei Tramin ´22",,,,28,,
96,"WHITE","GEWÜRZTRAMINER PANICUM, Weingut Seppi BIO ´20",,,,52,,
97,"WHITE","GEWÜRZTRAMINER KOLBENHOF, Gewürztraminer, Kellerei J. Hofstätter ´20",,,,62,,
98,"WHITE","Muller Thurgau Coste, Weingut Manuel Tadde, `22",,,,36,,
99,"WHITE","Solaris INITIUM VINEVENTUM Weinmanufaktur Wallnöfner Stefan BIO `21",,,,58,,
100,"WHITE","Solaris INITIUM VINEVENTUM Weinmanufaktur Wallnöfner Stefan BIO `22",,,,64,,
101,"WHITE","Planties weiss, AG-PR-JH, BIO, Weingut St. Quirinus ´22",,,,31,,
102,"WHITE","Fruglau WB-PG-SV Weingut Romen `22 ",,,,30,,
103,"WHITE","AICHBERG WB-CH-SV, Weingut Kornell `20 ",,,,50,,
104,,"LUIS, Lagrein Rose` Mitterberg, Luis Oberrauch ´21",,,,35,,
105,,"ROSE`, Weingut Unterhofer Thomas `23",,,,25,,
106,"RED","KALTERER SEE Erbe & Auftrag, Weingut Andi Sölva ´20",,,,48,,
107,"RED","KALTERER SEE Plantaditsch, Weingut Klosterhof ´20",,,,29,,
108,"RED","KALTERER SEE Bischofsleiten, Castel Sallegg ´21",,,,31,,
109,"RED","KALTERER SEE Quintessenz, Kellerei Kaltern ´22",,,,31,,
110,"RED","KALTERER SEE Alexander, Weingut Nicolussi- Leck 22",,,,29,,
111,"RED","KALTERER SEE Olte Reben, Thomas Pichler ´21",,,,29,,
112,"RED","KALTERER SEE Dominikus, Weingut Dominikus 24",,,,29,,
113,"RED","Magdalener Artis, Weingut Thomas Unterhofer ´21",,,,30,,
114,"RED","Magdalener Isarcus, Griesbauerhof ´21",,,,36,,
115,"RED","PINOT NOIR Pigeno, Weingut Stroblhof ´21",,,,39,,
116,"RED","PINOT NOIR Schwarze Madonna, Weingut Klosterhof ´20",,,,45,,
117,"RED","PINOT NOIR Turmhof, Kellerei Tiefenbrunner ´22",,,,33,,
118,"RED","Puntay, Pinot Nero Riserva, Kellerei Kaltern BIO´22",,,,34,,
119,"RED","PINOT NOIR MAZON, Weingut Castelfeder ´22",,,,41,,
120,"RED","PINOT NOIR LACUNA, Weingut Michael Puff ´21",,,,55,,
121,"RED","PINOT NOIR VOM LEHM, Riserva, Stefan Rohregger ´21 ",,,,63,,
122,"RED","PINOT NOIR BURGUM NOVUM, Riserva, Weingut Castelfeder `19",,,,59,,
123,"RED","PINOT NOIR MAZON, Riserva, Kellerei J. Hofstätter `20",,,,63,,
124,"RED","PINOT NOIR St. Valentin, Riserva, Kellerei St. Michael ´21",,,,61,,
125,"RED","PINOT NOIR LEHMONT, Riserva, Kellerei St. Pauls `20",,,,60,,
126,"RED","Cabernet ISTRICE CB Riserva Weingut Elena Walch 21",,,,45,,
127,"RED","Cabernet QUINTESSENZ, CS Riserva Kellerei Kaltern 21",,,,56,,
128,"RED","Cabernet BURGUM NOVUM CB Riserva Weingut Castelfeder 20",,,,55,,
129,"RED","Cabernet LERIAN CF, Weingut Seppi BIO´19",,,,45,,
130,"RED","Cabernet PODALIRIUS, CF, Weingut Morandell ´20",,,,43,,
131,"RED","Cabernet Franc, Weingut Nicolussi Leck `20 ",,,,56,,
132,"RED","Cabernet Sauvignon Castel Salegg Riserva 21",,,,46,,
133,"RED","LAGREIN LATUS, Weingut Ritterhof ´21",,,,34,,
134,"RED","LAGREIN Bellutti Riserva Weinberghof Tramin, ´20",,,,43,,
135,"RED","LAGREIN SEPP, Weingut Nicolussi Leck´21",,,,34,,
136,"RED","LAGREIN LUIS, Mitterberg, Weingut Luis Oberrauch ´21",,,,43,,
137,"RED","LAGREIN Calldiv, Von Braunbach ´20",,,,31,,
138,"RED","LAGREIN Bos Taurus, Riserva,Weingut Niklas ´21",,,,38,,
139,"RED","LAGREIN PRESTIGE, Kellerei Bozen ´21",,,,47,,
140,"RED","LAGREIN Carano,ARZENHOF, Riserva, Baron di Pauli ´20",,,,49,,
141,"RED","MERLOT Roan, Steflhof, Weingut Georg Andergassen ´23",,,,29,,
142,"RED","MERLOT Siebeneich, Riserva Kellerei Terlan ´21",,,,40,,
143,"RED","MERLOT Castel Sallegg, Riserva, ´20",,,,40,,
144,"RED","MERLOT NUSSBAUM, Riserva Weingut Klosterhof `20",,,,46,,
145,"RED","MERLOT KASTELAZ Riserva Weingut Elena Walch `19 ",,,,65,,
146,"RED","MERLOT NUSSLEITEN, Riserva, Castel Sallegg ´20",,,,70,,
147,"RED","MERLOT BRENNTAL Riserva, Kellerei Kurtatsch ´20",,,,70,,
148,"RED","PALESTINA CS-ME Riserva, Weingut H.Lentsch ´20",,,,55,,
149,"RED","LINTICLARUS, CS-ME Riserva Kellerei Tiefenbrunner ´21",,,,60,,
150,"RED","ANTICUS, CS-ME, Riserva, Kellerei Nals-Margreid 21",,,,61,,
151,"RED","KERMESSE Grand Cuvee`ME-LA-CS-PV-SY, Weingut Elena Walch `19 ",,,,85,,
152,"RED","Il Conte, LA-ME-CS, Weingut Manincor BIO ´21",,,,37,,
153,"RED","Soma, ME-CS, Kellerei Kurtatsch ´21",,,,40,,
154,"RED","PLANTIES Rot, Cabernet Cortis, St. Quirinus BIO´18",,,,70,,
155,"RED","FELDHERR, CS-CF-CB, Weingut Lieselehof BIO ´19",,,,57,,
156,"RED","COL DE RÉY, LA-PV-TA, Landesweingut Laimburg ´17",,,,58,,
157,"RED","LOAM, CS-ME, Riserva, Kellerei Tramin ´21",,,,68,,
158,"RED","ARZIO, ME-CS, Riserva, Baron di Pauli ´20",,,,60,,
159,"RED","VALBION, ME-CF,Weingut  Stroblhof ´20",,,,52,,
160,"RED","MAURITIUS, LA-ME, Kellerei Bozen ´12 ",,,,75,,
161,"RED","MAURITIUS, LA-ME, Kellerei Bozen `13",,,,70,,
162,"RED","MAURITIUS, LA-ME, Kellerei Bozen `20",,,,55,,
163,"RED","CASSIANO, ME-CF-TE, Weingut Manincor BIO´21",,,,65,,
164,"RED","Vigna Windegg ME-CS Kellerei Josef Brigl `19 ",,,,38,,
165,"DESSERT","Quintessenz Passito, Kellerei Kaltern, 0,375l `19"," ",,,,,61
166,"DESSERT","Moscato Giallo, Baronesse, Kellerei Nals-Margeid  0,375l `21",,,,,,53
167,"DESSERT","Rosenmuskateller, Ansitz Waldgries, 0,375l `21",,,,,,50
168,"DESSERT","Feldmarschall, Müller-Thurgau, Kellerei Tiefenbrunner, 0,5l `16",,,,,120,
169,"WHITE","Grüner Veltliner Kamptal Reserve trocken BRANDL Zöbing LAMM 1 `19",,,,42,,
170,"WHITE","Riesling Kamptal Reserve trocken BRANDL Zöbing KOGELBERG 1 `20 ",,,,50,,
171,,"Franciacorta DOCG Riserva ""EL SOC L E BU"" Le CantoriE ´15",,,,78,,
172,,"Franciacorta, DOCG Brut Armonia, Le CantoriE ´20",,,,99,,
173,,"Franciacorta DOCG Brut Armonia, Le CantoriE ´20",,,,48,,
174,,"Franciacorta DOCG Rosé, Le CantoriE ´19",,,,52,,
175,,"Toblino Vent, Extra Brut, Trento DOC ´20",,,,35,,
176,,"Praal, Pinot Bianco Kellerei/Cantina Toblino `20",,,,38,,
177,,"Prosecco D.O.C. Treviso Extra Dry, Ciodet ""Sàntol"" ´23",,,,26,,
178,"WHITE","Lugana DOC Il Gruccione, Nunzio Ghiraldi ´23",,,,26,,
179,"RED","AMARONE Riserva Musella, Valpolicella, Veneto BIO ´16",,,,70,,
180,"RED","MONTEVERRO, Cuvee Toscana CS-CF-ME-PV, `19",,,,150,,
181,"RED","CHIANTI Castello di Brolio Gan Selezione `10",,,,95,,
182,"RED","CHIANTI Castello di Brolio Gan Selezione `15",,,,85,,
